rapper,song,year,lyrics
BJ the Chicago Kid,Church,2015,"Church Lyrics[Chorus: BJ The Chicago Kid]|She say she wanna drink, do drugs and have sex tonight|But I got church in the mornin', church in the mornin'|She say she wanna drink, do drugs and have sex tonight|But I got church in the mornin', church in the mornin'||[Bridge: Buddy]|Hopefully we can go to heaven, I pray|Hopefully we can go to heaven, cause I'm staying|Hopefully we can go to heaven, I pray|Hopefully we can go to heaven, cause I'm staying, I'm staying|[Verse 1: BJ The Chicago Kid]|Amazing grace|It's hard to say no when it's looking so good in my face|Girl all them curves got me on a swerve when I'm tryna drive straight|If you called me on another day, baby girl I probably woulda took that cake|Cause every nigga love birthday cake||[Pre-Chorus: BJ The Chicago Kid]|And every time I come around I can tell you be looking at me|And I can tell you be wondering if I'm really loving what I see|It'll be wrong if we get along, because I know me|But still I try and be strong, say ""b keep your G on"", but she ain't tryna hear me||[Chorus: BJ The Chicago Kid]|She say she wanna drink, do drugs and have sex tonight|But I got church in the mornin', church in the mornin'|She say she wanna drink, do drugs and have sex tonight|But I got church in the mornin', church in the mornin'||[Verse 2: BJ The Chicago Kid]|Trouble in my way|Whispered in my ear, she didn't have good uhh, since last May|And she know I could change all that if I want to, right now, today|Straight put her in her place, make her ass wanna stay|Now I can never get away|You might also like[Pre-Chorus: BJ The Chicago Kid]|Cause every time I come around I can tell you be looking at me|And I can tell you be wondering if I'm really loving what I see|It'll be wrong, if we get along, because I know me|But still I try and be strong, say ""b keep your G on"", but she ain't tryna hear me|She ain't tryna hear me, she ain't tryna hear me||[Chorus: BJ The Chicago Kid]|She say she wanna drink, do drugs and have sex tonight|But I got church in the mornin', church in the mornin'|She say she wanna drink, do drugs and have sex tonight|But I got church in the mornin', church in the mornin'||[Bridge: Buddy]|Hopefully we can go to heaven, I pray|Hopefully we can go to heaven, cause I'm staying|Hopefully we can go to heaven, I pray|Hopefully we can go to heaven, cause I'm staying, I'm staying||[Verse 3: Chance The Rapper]|Hot as hell in the fur coat, walls like Jericho|Pussy like hurr ya go|Loud like church folk, heavy like work load|How you like miracles?|Never sang, Kirk F, bang like Kirko|Ankle like Kurt came back like Derrick Rose|She always get in her own way|When I try, she always say|""Hey I don't wanna get saved, don't wanna be saved""|Pray that one of these days she'll wanna behave|Keep my head up, I wrap the silver round the cloud|I went to junior church, little children running round|I like what he gave ya, I'm just tryna save ya|I got something saved up in case you come around|[Chorus: BJ The Chicago Kid]|She say she wanna drink, do drugs and have sex tonight|But I got church in the mornin', church in the mornin'|She say she wanna drink, do drugs and have sex tonight|But I got church in the mornin', church in the mornin'||[Bridge: Buddy & Chance The Rapper]|Hopefully we can go to heaven, I pray|Hopefully we can go to heaven, cause I'm staying|Hopefully we can go to heaven, I pray|Hopefully we can go to heaven, cause I'm staying, I'm staying|(Hot as hell in the fur coat)|Hopefully we can go to heaven, I pray|(Walls like Jericho, pussy like hurr you go)|Hopefully we can go to heaven, cause I'm staying|(Loud like church folk, heavy like workload)|(How you like miracles?)|Hopefully we can go to heaven, I pray|(We can go to heaven)|Hopefully we can go to heaven|(We can go to heaven)|Cause I'm staying, I'm staying9Embed"
BJ the Chicago Kid,His Pain II,2012,"His Pain II Lyrics[Verse 1: Kendrick Lamar]|Yesterday, my nigga had told me his brother died|A day before that, his homeless uncle was cold outside|A week before, he seen the cancer in his mother's eyes|Two weeks before that, couldn't pay his rent ’cause he lost his job|A month before that, he lost the custody of his daughter|Six months before that, her mother said she won't see her father|And this before he did a year when them charges was brought up|I shook my head, turned around, then found a hundred dollars||[Hook: Kendrick Lamar]|I don't know why He keep blessing me|I don't know why He keep blessing me|I don't know why He keep blessing me|I don't know why He keep blessing me|I don't know why, I don't know why, I don't know why|I don't know why He keep blessing me|I don't know why He keep blessing me|I don't know why He keep blessing me|I don't know why He keep blessing me|I don't know why, I don't know why, I don't know why|[Verse 2: Kendrick Lamar]|Yesterday, I invaded privacy of a home|The day before that, my partner had fronted me a zone|A week before, I had loaded bullets inside that chrome|Two weeks before that, I shot them bullets and he was gone|A month before that, I cursed my mother then slammed the door|Six months before that, I hit my woman, she hit the floor|I stormed out, then seen a black Honda Accord|Them hollow tips missed me then hit that little boy||[Hook: Kendrick Lamar]|I don't know why He keep blessing me|I don't know why He keep blessing me|I don't know why He keep blessing me|I don't know why He keep blessing me|I don't know why, I don't know why, I don't know why|I don't know why He keep blessing me|I don't know why He keep blessing me|I don't know why He keep blessing me|I don't know why He keep blessing me|I don't know why, I don't know why, I don't know why||[Verse 3: Kendrick Lamar]|So today I laid in my bed, stared at the ceilin'|Closed my eyes, then asked myself how I was feelin'|I analyzed on how a saint can play the villain|Is my life coincidental or just God willin'?|I came to grips, jumped up, looked out the window|See my nigga had that same little boy that didn't know|Bullets is nameless, I guess this was meant for|Me to give them a hundred dollars then trash my pistol|You might also like[Hook 2: Kendrick Lamar]|Now I know why He keep blessing me|Now I know why He keep blessing me|Now I know why He keep blessing me|Now I know why He keep blessing me|Now I know why, now I know why, now I know why|Now I know why He keep blessing me|Now I know why He keep blessing me|Now I know why He keep blessing me|Now I know why He keep blessing me|Now I know why, now I know why, now I know why||[Bridge: Kendrick Lamar and BJ the Chicago Kid]|So I can bless you|So I can bless you|So I can bless you|Yeah, you||[Verse 4: BJ the Chicago Kid]|Lord help me|Cause I need You|I know this weed is burning|And I'm on drink number two|But it's all to soothe the pain from this|Cold, cold world|Sometimes I think it can help me|But this buzz here is temporary|So I'm talking to You|This sick world will drive a sane man crazy|Dead birds dropping out the sky, daughters having their fathers' babies|And this the news I hear|When my god kids, nieces, and nephews turn a year|I wonder will it get better|A little cheddar will make it better|But the risk of fast cash|Will make last year's Christmas gift be my last|[Hook 3: BJ the Chicago Kid]|But somehow You keep blessing me|But somehow You keep blessing me|But somehow You keep blessing me|But somehow You keep blessing me|But somehow, but somehow, but somehow|But somehow You keep blessing me|But somehow You keep blessing me|But somehow You keep blessing me|But somehow You keep blessing me|But somehow, but somehow, but somehow||[Verse 5: BJ the Chicago Kid]|If I just keep the faith|I know You'll be right there|Sometimes it may not seem that You are there|But You're there|I feel You're there|You're everywhere|And I thank You for|Protecting me in these streets|From danger seen and unseen|I never know|What happened the night|I wasn't there|Something told me leave so I left|News the next morning|Three guys shot after the club|Awwhh, listening to that small voice|Oh it saved my life30Embed"
BJ the Chicago Kid,Smokin’ and Ridin’,2013,"Smokin’ and Ridin’ Lyrics[Hook: BJ The Chicago Kid and (Freddie Gibbs)]|Smokin' and ridin'|Smokin' and ridin'|Smokin' and ridin'|(Yeah, uhh, yeah)||[Verse 1: Freddie Gibbs]|I left my love in San Francisco with ten pounds of indo|I put her on the road with the work|Told her: ""Hold that first, I'm gon' cash out, get mo'.""|Down from the jump, hand on the pump|She my shotgun rida'|If a nigga want funk, throw him in the trunk|Burn him up, pass my lighter|Smokin' on killa, straight casualties|In your weed like Mickey and Mallory|A pimp nigga, bitch nigga, yeah, I gotta be|A broke bitch fuck with my allergies|(Phoow!) Damn Fred, God bless you|These niggas and these hoes can't stress you|A sack of the good, rollin' the wood, ain't no pressure|[Pre-Hook: Freddie Gibbs]|I got money on my mind|Dopeheads on my line|Police tryin' to hit me|But they miss me every time|'Bout to smoke and ride|Pourin' up a pint|Police tryin' to hit me|But the miss me every time||[Hook: BJ The Chicago Kid]|Smokin' and ridin'|Smokin' and ridin'|Smokin' and ridin'||[Verse 2: BJ The Chicago Kid]|The gangsta Gibbs|And we cruisin' down these ghetto streets (You know it, you know it)|You checkin' out his trials, seein' how they be (You know it, you know it)|His cup full of pink, mines full of brown (You know it, you know it)|And you know that's us comin' down the block|When you hear that sound, aw yeah|Right now I'm smokin' with Gibbs|But girl I'm thinkin' about you|Then I smoke some more with Problem too|And when we done smokin'|I'm tryna get to you, baby, baby, baby|You might also like[Hook: BJ The Chicago Kid & *Problem*]|Smokin' and ridin' (Smokin’)|Smokin' and ridin' (Ridin’)|Smokin' and ridin' (When i see you girl you know we gon’ be)||Smokin' and ridin' (Smokin’)|Smokin' and ridin' (While you)|Smokin' and ridin'|*Whaaaat, whaaaat*||[Verse 3: Problem]|Yeah, half a zip of that Cali-flower|Every time I write rhymes|In first class, new Rollie on|That's how I define ""high times"" (What?)|Long way from them drive-by's|Them ratchet hoes and them drug dealers|Bougie party need a fifty plus|I'm bringin' ratchet hoes and all drug dealers|R-N-S, I love niggas, almost more than I love weed|Body shots, I see Bloods bleed|Once you return to hood they say ""Blood, leave!""|That's how they show me they love me|I thank 'em now that I smash off|Drop some bread in my cash vault|Then hit the block and drop a half off (Fuck it)|Smoke with me, roll it up|Money stacks gettin' Kobe tall|My young rider hit his first lick|We celebrate even though he wrong|Dream drag keepin' me calm|Stay focused on what I need to do|I'm the one, there's no need for two|I bleed the block, it bleed the truth|(Problem, Problem)|[Hook: BJ The Chicago Kid]|Smokin' and ridin'|Smokin' and ridin'|Smokin' and ridin'24Embed"
BJ the Chicago Kid,East Side High 2012 & Forever,2012,"East Side High 2012 & Forever Lyrics[Hook: BJ The Chicago Kid]|Fair Eastside High, Fair Eastside|By thy side we'll stand and always praise thy name|To heaven, yeah lend our hearts and hands to help increase thy fame. (oh lord)|The honor yeah, of old Eastside High brings forth our loyalty. (loyalty loyalty)|So cheer for dear old Eastside High lead on to victoryYou might also like3Embed"
BJ the Chicago Kid,The New Cupid,2016,"The New Cupid Lyrics[Intro: Samples & BJ The Chicago Kid]|Alright y'all|I want y'all to put your hands together|And to bring on the brothers that bound to lay more dips in your hips|More glide in your stride|Chi city in the building|And Mr. Southside|And if you don't think it's next you got the wrong damn address||[Verse 1: BJ The Chicago Kid]|Fuck your love, motherfuck your love|That's what Sir John say|You can laugh all you want but he's right as hell|Cupid's ain't around these days|I've heard many stories about how he made people all around the world fall in love|Well I got a call just the other day|Telling me where Cupid was|[Chorus: BJ The Chicago Kid]|Cupid's too busy in the club|At the bar|Rolling up|And if you see him, let him know|Love is gone|I know, I'm sure|Boys and girls||[Bridge: BJ The Chicago Kid]|Love ain't dead|Stupid I'm the the new Cupid|Throw your hands in the sky|'Cause love's still alive|I said, Love ain't dead|Stupid I'm the the new Cupid|Throw your hands in the sky|'Cause love's still alive||[Verse 2: BJ The Chicago Kid]|The responsibility lies on me|Since Cupid ain't around|And when y'all really feeling like you're falling in love|When my music put's you right on down|And everybody (I see)|And I know (I know)|Some people really think they in love|But now without a love song|Something's gone way wrong|You might also like[Chorus: BJ The Chicago Kid]|Cupid's too busy in the club|At the bar|Rolling up|And if you see him, let him know|Love is gone|I know I'm sure|Boys and girls||[Bridge: BJ The Chicago Kid]|Love ain't dead|Stupid I'm the the new Cupid|Throw your hands in the sky|'Cause love's still alive|I said, Love ain't dead|Stupid I'm the the new Cupid|Throw your hands in the sky|'Cause love's still alive|Love ain't dead|[Verse 3: Kendrick Lamar]|As I play out the Commodores, my faith destroyed|My heart don't work, I'm unemployed|The feeling is void, don't know what I need|Some pussy, some paper, some counseling|Maybe some Henny, some weed|I'm looking for you, I'm checking for her|I'm parking lot pimpin', I'm honking at women, I'm all on the curb|Skrt, skrt, skrt, pump my brake, pump my brake|Mini skirt, skirt, skirt, don't walk away, walk away|I'm fishing for compliments|This is a fairy tale, I know you very well|Fuck all your promises, I know what time it is|I'm just a realist, I am the realest|Reality is fatality cursed on the future for family, wife and some kids|I'm looking for you, I'm checking for her|I'm parking lot pimpin', I'm honking at women, I'm all on the curb|Skrt, skrt, skrt, pump your brake, pump your brake|Mini skirt, skirt, skirt, don't walk away, walk away (I promise)|[Chorus: BJ The Chicago Kid]|Cupid's too busy in the club|At the bar|Rolling up|And if you see him, let him know|Love is gone|I know I'm sure|Boys in the club|And if you see him, let him know|Love is gone|I know I'm sure|Boys and girls|[Skit]|Might sound weird|But a great night, you in a real relationship, you understand what I'm saying|A great night with somebody you love, is difficult|Somebody you like is always good|Like is wonderful|You come home with some juice, with the woman you like:|""Can I have some juice?""|""Gimme that juice, pour juice all over me""|Pour that juice all over that sexy body""|Let you be together three years and shit|""Can I have some juice?""|Bitch, why you want my juice?|You know I'm dehydrated|I try to come home and shit|Tryin' to get some juice you want my juice...18Embed"
BJ the Chicago Kid,His Pain,,"His Pain Lyrics[Verse 1: Kendrick Lamar]|Yesterday my nigga had told me his brother died|A day before that his homeless uncle was cold outside|A week before he seen the cancer in his mother's eyes|Two weeks before that, couldn't pay his rent cause he lost his job|A month before that he lost the custody of his daughter|Six months before that her mother said she won't see her father|And this before he did a year when them charges brought up|I shook my head, turned around then found a $100||[Hook: Kendrick Lamar (x2)]|I don't know why You keep blessing me|I don't know why You keep blessing me|I don't know why You keep blessing me|I don't know why You keep blessing me|I don't know why, I don't know why, I don't know why|[Verse 2: Kendrick Lamar]|Yesterday I invaded privacy of a home|The day before that my partner had fronted me a zone|A week before I had loaded bullets inside that chrome|Two weeks before that I shot them bullets and he was gone|A month before that I cursed my mother then slammed the door|Six months before that I hit my woman, she hit the floor|I stormed out then seen a black Honda Accord|Them hollow tips missed me then hit that little boy||[Hook: Kendrick Lamar (x2)]||[Verse 3: Kendrick Lamar]|So today I laid in my bed, stared at the ceiling|Closed my eyes then asked myself how I was feeling|I analyzed on how a saint can play the villain|Is my life coincidental or just God willing|I came to grips, jumped up, and looked out the window|See my nigga had that same little boy that didn't know|Bullets is nameless, I guess this is meant for|Me to give them a $100 then trash my pistol||[Hook 2: Kendrick Lamar (x2)]|Now I know why You keep blessing me|Now I know why You keep blessing me|Now I know why You keep blessing me|Now I know why You keep blessing me|Now I know why, now I know why, now I know why|You might also like[Bridge: Kendrick Lamar and BJ the Chicago Kid]|So I can bless you|So I can bless you|So I can bless you||[Verse 4: BJ the Chicago Kid]|Lord help me|Cause I need You|I know this weed is burning|And I'm on drink number two|But it's all to soothe the pain from this|Cold, cold world|Sometimes I think You can help me|But this bus here is temporary|So I'm talking to You|This sick world will drive a sane man crazy|Birds dropping out the sky, daughters having their fathers' babies|And this the news I hear|When my god kids, nieces, and nephews turn a year|I wonder, will it get better|A little cheddar, when will it get better|But the risk of that's cash will|Make last year's Christmas gift be, my last||[Hook 3: BJ the Chicago Kid (x2)]|But somehow You keep blessing me|But somehow You keep blessing me|But somehow You keep blessing me|But somehow You keep blessing me|But somehow, but somehow, but somehow|[Verse 5: BJ the Chicago Kid]|If I just keep the faith|I know You'll be right there|Sometimes it may not seem that You are there|But You're there|I feel You're there|You're everywhere|And I thank You for|Protecting me in these streets|From danger seen and unseen|I never know|What happened the night|I wasn't there|Something told me leave so I left|It was the next morning|Three got shot after the club|All listening to that small voice|Oh you saved my life3Embed"
BJ the Chicago Kid,Feel the Vibe,2019,"Feel the Vibe Lyrics[Intro: BJ the Chicago Kid]|Roll up|Roll up|Roll up|Roll up|Roll up|Roll up|Roll up|Roll up||[Verse: Anderson .Paak]|Yeah, my dreams were realized, the wings was double fried|My green was stuffed between the peas and kettle fries|I quit with the beef then I, gave up the pork then I|Snatched up a cosign from one of the GOATs|Come on in, you lettin' out all the cold air, bro|Where you been? I know that you ain't forget about your folk|Late again, he may not come when you want|But I'm always up, on time|So roll up the smoke, la-la (La-la)|The weed's too potent so I had to call mama|Tell her how much I love her for cookin' them home products|When them bills would pile up, cereal with the water|If Lord couldn't help us, we had Hamburger Helper|When you want it done right, you gotta get it for yourself, uh|It don't seem right bein' older than my uncle|Some people call it ghetto, I prefer another level|But I'm 'bout to board this plane, I can't wait to see your face and hear you say|[Chorus: BJ the Chicago Kid]|Come on in, close the door and feel the vibe|We got macaroni and cheese, collard greens and chicken inside|Can't forget the corn bread|Talkin' shit with the old heads|Mama dancin' to some Al Green|My Auntie join her and my Daddy said, ""Go 'head""|While he shine up his pinky ring|Don't forget to close the screen|Come on in, close the door and feel the vibe|We got macaroni and cheese, collard greens and chicken inside|Can't forget the corn bread|Talkin' shit with the old heads|Mama dancin' to some Al Green|My Auntie join her and my Daddy said, ""Go 'head""|'Bout to roll up the sticky green|'Bout to sneak and roll up||[Interlude: BJ the Chicago Kid]|Roll up|Roll up|Roll up|Roll up|Roll up|Roll up|Roll up|Roll up|You might also like[Chorus: BJ the Chicago Kid]|Come on in, close the door and feel the vibe|We got macaroni and cheese, collard greens and chicken inside|Can't forget the corn bread|Talkin' shit with the old heads|Mama dancin' to some Al Green|My Auntie join her and my Daddy said, ""Go 'head""|While he shine up his pinky ring|Don't forget to close the screen|Come on in, close the door and feel the vibe||[Outro: BJ the Chicago Kid]|Roll up|Roll up|Roll up|Roll up|Roll up|Roll up|Roll up|Roll up|Don't forget to close the screen|Roll up1Embed"
BJ the Chicago Kid,Turnin’ Me Up,2016,"Turnin’ Me Up Lyrics[Intro]|Play it from the top [?]|Let me get the track just to make sure|Uh uh uh uh uh uh yeah uh uh uh uh uh uh|Turn me up a little more|Uh uh uh uh uh uh uh yeah uh uh uh uh uh||[Verse 1]|Baby keep on turnin' me up (turnin' me up, turnin' me up)|Yeah ah|Baby keep on turnin' me up (turnin' me up, turnin' me up)|Yeah yeah yeah|It's just the little, bitty things you do that keeps on turnin' me up (Turnin' me up, turnin' me up)|Yeah yeah yeah|Keep doing that thang you're doing to me uh uh huh|That sweet lil thang you're doing to me, babe|Yeah yeah yeah (Yeah yeah yeah yeah ah)|It's just the little, bitty things you do, that keeps on turnin' me up (Turnin' me up, Turnin' me up)|Yeah yeah|Sometimes it makes me wanna say woooo|(Don't stop, Don't quit, Soul shit x4)|[Verse 2]|Baby keep on turnin' me on yeah yeah (turnin' me on, turnin' me on)|Baby keep on turnin' me on oh-oh (turnin' me on, turnin' me on)|It's just the little, little, bitty little things you do, that just keeps on turnin' me on|Music take me away, Music take me away|Music take me away, Music take me away|Music take me away, Music take me away||[Outro]|One shot, two shots, three shots, four shots|Five shots, six shots|One shot, two shots, three shots, four shots|Five shots, six shots|Don't stop, don't quit, some soul shit|Don't stop, won't quit, soul shit (layered)|Ah, southside [?]You might also like5Embed"
BJ the Chicago Kid,Heart Crush,2016,Heart Crush Lyrics[Verse 1]|So sick of trying|So tired of lying|Past the point of dying|No compromising||[Bridge]|And that fire we had girl just couldn’t survive the rain|Heard the weather man telling us that it was gonna shower some pain||[Hook]|Sometimes we want to work so bad we stay too long|Then too long turns to too much|'Cause too much is how two hearts crush|[Post-Hook Bridge]|Sometimes it gets too much|A lot of everything but no love|Just too much|That’s how two hearts crush||[Verse 2]|Arguing about everything|And having sex just to make me happy|Our folks think we got everything|But they don’t know that we so unhappy|Every time I hear a love song on the radio|I think of what we used to have but ain’t got no more||[Bridge]|(Like that fire) The fire we had girl just couldn’t survive the rain|Heard the weather man telling us that it was gonna shower some pain||[Hook]|Sometimes we want to work so bad we stay too long|Then too long turns to too much|'Cause too much is how two hearts crush||[Post-Hook Bridge]|Sometimes it gets too much|A lot of everything but no love|Just too much|That’s how two hearts crush|You might also like[Outro]|I swear it feel like pain got a thing for me|It’s like love want me to be in pain and want me to leave|I swear it feel like pain got a thing for me|It’s like love want me to be in pain and want me to leave|I swear it feel like pain got a thing for me|It’s like love want me to be in pain and want me to leave|I swear it feel like pain got a thing for me|It’s like love want me to be in pain and want me to leave1Embed
BJ the Chicago Kid,Good Luv’n,2012,"Good Luv’n Lyrics[Verse 1]|Just her face'll make you wanna have a taste|Or just her smile'll drive you crazy for a while|Then I told her, ""There's nothing wrong with me loving you|Baby, no no no, no no na na""|And giving yourself to me could never be wrong|If the love is true aw baby, aw|[Hook]|So let's do it in the morning|Sweet breeze in the summertime|Feelin' your sweet face|All laid up next to mine|Good lovin' in the midnight|Good sleep come mornin' light|Ain't worried 'bout nothin'|Just gettin' good, just gettin' good|Just gettin' good lovin'|(Everybody wanna feel that G-O-O-D-L-O-V-E)|Just gettin' good lovin'|(Everybody wanna be that G-O-O-D-L-O-V-E)|Just gettin' good lovin'|(yeah Everybody want that G-O-O-D-L-O-V-E)|Just gettin' good lovin'|(Everybody wanna feel that G-O-O-D-L-O-V-E)|[Verse 2]|Of course her waist line reminds me of this bass line|And if you went back in time she still would be fine|Even if this was 1959|Oh there's nothing wrong with me loving you, yeah|And giving yourself to me could never be wrong|If the love is true aw baby, aw||[Hook]||[Outro]|Everybody wanna feel that G-O-O-D-L-O-V-EYou might also like2Embed"
