rapper,song,year,lyrics
Coolio,Gangsta’s Paradise,1995,"Gangsta’s Paradise Lyrics[Recording Info]||[Verse 1: Coolio]|As I walk through the valley of the shadow of death|I take a look at my life and realize there's nothin' left|'Cause I've been blastin' and laughin' so long, that|Even my momma thinks that my mind is gone|But I ain't never crossed a man that didn't deserve it|Me be treated like a punk, you know that's unheard of|You better watch how you talkin' and where you walkin'|Or you and your homies might be lined in chalk|I really hate to trip, but I gotta loc|As they croak, I see myself in the pistol smoke|Fool, I'm the kinda G the little homies wanna be like|On my knees in the night, sayin' prayers in the streetlight|[Chorus: LV]|They've been spendin' most their lives livin' in the gangsta's paradise|They've been spendin' most their lives livin' in the gangsta's paradise|We keep spendin' most our lives livin' in the gangsta's paradise|We keep spendin' most our lives livin' in the gangsta's paradise||[Verse 2: Coolio]|Look at the situation they got me facin'|I can't live a normal life, I was raised by the state|So I gotta be down with the hood team|Too much television watchin' got me chasin' dreams|I'm a educated fool with money on my mind|Got my ten in my hand and a gleam in my eye|I'm a loc'd out gangsta, set trippin' banger|And my homies is down so don't arouse my anger|Fool, death ain't nothin' but a heartbeat away|I'm livin' life do or die, what can I say?|I'm 23 now, but will I live to see 24?|The way things is goin', I don't know|[Refrain: LV]|Tell me why are we so blind to see|That the ones we hurt are you and me?||[Chorus: LV]|They've been spendin' most their lives livin' in the gangsta's paradise|They've been spendin' most their lives livin' in the gangsta's paradise|We keep spendin' most our lives livin' in the gangsta's paradise|We keep spendin' most our lives livin' in the gangsta's paradise|You might also like[Verse 3: Coolio]|Power and the money, money and the power|Minute after minute, hour after hour|Everybody's runnin', but half of them ain't lookin'|It's goin' on in the kitchen, but I don't know what's cookin'|They say I gotta learn, but nobody's here to teach me|If they can't understand it, how can they reach me?|I guess they can't, I guess they won't|I guess they frontin', that's why I know my life is out of luck, fool!||[Chorus: LV]|They've been spendin' most their lives livin' in the gangsta's paradise|They've been spendin' most their lives livin' in the gangsta's paradise|We keep spendin' most our lives livin' in the gangsta's paradise|We keep spendin' most our lives livin' in the gangsta's paradise|[Refrain: LV]|Tell me why are we so blind to see|That the ones we hurt are you and me?|Tell me why are we so blind to see|That the ones we hurt are you and me?178Embed"
Coolio,"Aw, Here It Goes (Kenan and Kel Show Theme Song)",1996,"Aw, Here It Goes (Kenan and Kel Show Theme Song) Lyrics[Intro]|Aww, here it goes||[Verse]|Everybody out there, go run and tell|Your homeboys and homegirls it's time for Kenan and Kel|To keep you laughing in the afternoon|So don't touch that dial or leave the room|'Cause they're always into something|Or fronting and you don't wanna miss it|It's double K like, two to get greatness|Kenan and Kel, or should I say Kel and Kenan|And you gotta watch Kenan|'Cause Kenan be scheming|With a plan or a plot|To make it to the top|But they're kinda in the middle|'Cause they're always gettin' caught|This ain't the Hardy Boys or a Nancy Drew mystery|It's just Kenan and Kel in your vicinity|Like Siegfried and Roy, or Abbott and Costello|Magic and Kareem, or Penn and Teller|Somebody's in trouble? Aww, here it goes|On Nick, Ni, Nick, Nick, Ni, Nick, Nick, NickYou might also like12Embed"
Coolio,C U When U Get There,1997,"C U When U Get There Lyrics[Verse 1: Coolio]|Now I've seen places and faces|And things you ain't never thought about thinking|If you ain't peeped then you must be drinking and smoking|Pretending that you're loc'in but you're broken, let me get you open|Now little Timmy got his diploma and little Jimmy got life|And Tamikra around the corner just took her first hit off the pipe|The other homie shot the other homie and ran off with his money|And when the other homies heard about it they thought that it was funny|But who's the dummy? 'Cause, now you done lost the hustler|A down-ass brother done been replaced by a buster|And though I got love for ya, I know I can't trust ya|Cause my crew is rolling hummers and your crew is rolling dusters|And just because of that you act like you don't like the brother no mo'|Uh, I guess that's just the way it go|I ain't tryin' to preach, I believe I can reach|But your mind ain't prepared, I'll see you when you get there|[Chorus]|I'll see you when you get there|If you ever get there|See you when you get there|I'll see you when you get there|If you ever get there|See you when you get there||[Verse 2: Leek Ratt]|More temptation than faith, I guess we livin for the day|I seen a man get swept off his feet, by a boy with an AK|The situation so twisted everybody gettin lifted|I'm just tryin to take care of my kids and handle my business|Cause it way too serious so you gotta pay close attention|So you don't get caught slippin when they come and do all the gettin|Life is a big game so you gotta play it with a big heart|Some of us gotta run a little faster cause we gotta later start|I'd be a fool to surrender when I know I can be a contender|If everybody's a sinner then everybody can be a winner|No matter your rag color, deep down we all brothers|And regardless of the time, somebody up there still love us|I'ma scuffle and struggle until I'm breathless and weak|I done strived my whole life to make it to the mountain peak|Always keep reaching sure to grab on to something|I'll be there when you get there waiting with the sounds bumping|You might also like[Chorus]|I'll see you when you get there|If you ever get there|See you when you get there|I'll see you when you get there|If you ever get there|See you when you get there||[Verse 3: P.S. Pookie]|You need to loosen up and live a little|And if you got kids let them know how you feelin, for your own sake give a little|Oh, you don't want to hear that, you busy tryna stack|And keep up with the Jones's takin advantage of your own|The realest homies that you've been knowing for the longest|But some ain't missing a good thing until it's gone|Could have built an empire if not for the jealousy that divides us|We prefer to keep our eyes shut till it's right when there's something involved that we desire|So hold your head up high if you're poor and righteous|I know times seem strife and problems seem endless|But at the times of despair we got to put ourselves together|And if you feel you're out of the game then you need to get back in it|'Cause nothing worse than a quitter|You got to face responsibility one day, my brother|So wrap up your pity and turn it to ambition|And put your vehicle in 'drive' and stop by my side|[Chorus]|I'll see you when you get there|If you ever get there|See you when you get there|I'll see you when you get there|If you ever get there|See you when you get there||[Outro: Coolio]|As we walk down the road of our destiny|And the time comes to choose which shall it be|The wide and crooked or the straight and narrow|We got one voice to give and one life to live|Stand up for something or lie down in your game|Listen to the song that we sing|It's up to you to make it big|I guess I'll see you when you see me||[Chorus]|I'll see you when you get there|If you ever get there|See you when you get there|I'll see you when you get there|If you ever get there|See you when you get there4Embed"
Coolio,"1, 2, 3, 4 (Sumpin’ New)",1996,"1, 2, 3, 4 (Sumpin’ New) Lyrics[Intro]|This is some of the lingua franca of the funk business|And people come from miles around|With  an almost religious devotion to get on down||[Chorus]|One, two, three, four|Get your woman on the floor|Gotta—gotta get up to get down|Gotta—gotta get up to get down|One, two, three, four|Get your woman on the floor|Gotta—gotta get up to get down|Gotta—gotta get up to get down|[Verse 1]|What up everybody, so glad you're here|It's Coolio wit' the flow back in your ear|This ain't a fantastic voyage, but I'm still on a mission|To see if I can get your attention|Now I wants to drop some information|Just a little additive to your education|I live my life by the code of the funk|600 watt amps, 18's in the trunk|When I'm on the street, you gotta feel my beat, so|Throw your hands up if you're down with the C-|Double O-L-I-O with the flow|I'm lookin' for the party, so let a nigga know|One, two, three, it's like A, B, C|If hip hop didn't pay, I'd rap for free|Slide, slide, but that's that past|I got sumpin' brand new for that ass||[Chorus]|One, two, three, four|Get your woman on the floor|Gotta—gotta get up to get down|Gotta—gotta get up to get down|One, two, three, four|Get your woman on the floor|Gotta—gotta get up to get down|Gotta—gotta get up to get down|You might also like[Verse 2]|If you got beef, then nigga, eat a pork chop|Once I get it goin', you know it don't stop|I break like anti-locks, panties drop|From hood to hood, block to block|Help, I need somebody|To get it goin' on in this party|Baby, you can do it, take your time do it right|We can drink some yak and do it all damn night|My name ain't Wanda, but I'll rock your world|Get more bounce than a jheri curl|Too many looky loos be lookin' for clues|There's a party goin' on, now what'cha gonna do, so|Grab your partner, do-si-do|Now if you don't know who it is, it's Coolio|Slide, slide, but that's the past|I got sumpin' brand new for that ass||[Chorus]|One, two, three, four|Get your woman on the floor|Gotta—gotta get up to get down|Gotta—gotta get up to get down|One, two, three, four|Get your woman on the floor|Gotta—gotta get up to get down|Gotta—gotta get up to get down|[Verse 3]|Push, push, in the bush|But don't step on my toes 'cause you might get smushed|It's the brother from around the way|And what I say I bend a co'ner on three like Dr. Dre|Comin' at 'em with a pattern an' a fresh pair of atoms|I hope he don't trip 'cause I don't want to have to gat 'em|So move your body baby, drive the homies crazy|The way you shake that ass, it always amaze me|Ain't no party like a west coast party|'Cause a west coast party don't stop|So when you see a young nigga in a Chevy hittin' switches|Then you gotta give the nigga his props|I got size in my rise and the motion for your ocean|Coolio got the potion to get the party open|Slide, slide, but that's the past|I got sumpin' brand new for that ass||[Chorus]|One, two, three, four|Get your woman on the floor|Gotta—gotta get up to get down|Gotta—gotta get up to get down|One, two, three, four|Get your woman on the floor|Gotta—gotta get up to get down|Gotta—gotta get up to get down|One, two, three, four|Get your woman on the floor|Gotta—gotta get up to get down|Gotta—gotta get up to get down|One, two, three, four|Get your woman on the floor|Gotta—gotta get up to get down|Gotta—gotta get up to get down1Embed"
Coolio,Fantastic Voyage,1994,"Fantastic Voyage Lyrics[Verse 1: Coolio]|Come on y'all, let's take a ride|Don't ya say shit just get inside|It's time to take your ass on another kind of trip|'Cause you can't have the hop if you don't have the hip|Grab yo' gat with the extra clip|And close your eyes and hit the switch|We're going to a place where everybody kick it, kick it, kick it|Yeah, that's the ticket|Ain't no bloodin', ain't no crippin'|Ain't no punk ass niggas set trippin'|Everybody got a stack and it ain't no crack|And it really don't matter if you're white or black|I wanna take you there like the Staple Singers|Put something in the tank, and I know that I can bring ya|If ya can't take the heat get ya ass out the kitchen|We on a mission|[Hook]|Come along and ride on a fantastic voyage|Slide, slide slippity slide|I'm hittin' switches on the block in a 65|Come along and ride on a fantastic voyage|Slide, slide hoo ride, ain't no valley low enough or mountain high||[Verse 2: Coolio]|I'm tryin' to find a place where I can live my life and|Maybe eat some steak with my beans and rice|A place where my kids can play outside without livin' in fear of a drive-by|And even if I get away from them drive by killaz|I still gotta worry about those snitch ass niggas|I keep on searchin' and I keep on lookin'|But niggas are the same from Watts to Brooklyn|I try to keep my faith in my people|But sometimes my people be actin' like they evil|You don't understand about runnin' with a gang|'Cause you don't gang bang|And you don't have to stand on the corner and slang|'Cause you got your own thang|You can't help me if you can't help yourself|You better make a left||[Hook]|Come along and ride on a Fantastic Voyage|Slide, slide slippity slide|I do what I do just to survive|(Come along and ride on a Fantastic Voyage)|Slide slide hoo ride, that's why I pack my 45|You might also like[Verse 3: Coolio]|Life is a bitch and then you die|Still trying to get a piece of that apple pie|Every game ain't the same 'cause the game still remain|Don't it seem kinda strange ain't a damn thing changed|If you don't work then you don't eat|And only down ass niggas can ride with me|Hip hop hop your 45 quickly down the block|Stay sucker free and keep the busters of your jock|You gotta have heart son if you wanna go|Watch this sweet chariot, swing low|Ain't nobody crying ain't nobody dyin'|Ain't nobody worryin' everybody's tryin'|Nothing from nothin' leaves nothin'|If you wanna have somethin' you better stop frontin'|What you gonna do when the 5 rolls by?|You better be ready so you can ride||[Hook]|Come along and ride on a fantastic voyage|Slide slide slippity slide if you're living in the city it's do or die|Come along and ride on a fantastic voyage|Slide slide hoo ride you better be ready for the 5 rolls by||Just roll along (that's what you do)|Just roll along (that's right)|Just roll along (that's what you do)|Just roll along (that's right)|Do you want to ride with me? (x9)3Embed"
Coolio,Gangsta’s Paradise (Re-Recorded),2010,"Gangsta’s Paradise (Re-Recorded) Lyrics[Verse 1]|As I walk through the valley of the shadow of death|I take a look at my life and realize there's nothin' left|'Cause I've been blastin' and laughin' so long that|Even my mama thinks that my mind is gone|But I ain't never crossed a man that didn't deserve it|Me be treated like a punk, you know that's unheard of|You better watch how ya talking and where ya walking|Or you and your homies might be lined in chalk|I really hate to trip but I gotta loc'|As they croak, I see myself in the pistol smoke, fool|I'm the kind of G that little homies wanna be like|On my knees in the night, sayin' prayers in the street light|[Chorus]|Been spending most our lives|Living in a gangsta's paradise|Keep spending most our lives|Living in a gangsta's paradise|Been spending most our lives|Living in a gangsta's paradise|Keep spending most our lives|Living in a gangsta's paradise||[Verse 2]|Look at the situation they got me facin'|I can't live a normal life, I was raised by the street|So I gotta be down with the hood team|Too much television watchin' got me chasing dreams|I'm an educated fool with money on my mind|Got my ten in my hand and a gleam in my eye|I'm a loc'd out gangsta, set trippin' banger|And my homies is down, so don't arouse my anger, fool|Death ain't nothing but a heartbeat away|I'm living my life do-or-die, what can I say?|I'm twenty-three now, but will I live to see twenty-four?|The way things is going, I don't know||[Refrain]|Tell me why are we so blind to see|That the ones we hurt are you and me?|You might also like[Chorus]|Been spending most our lives|Living in a gangsta's paradise|Keep spending most our lives|Living in a gangsta's paradise|Been spending most our lives|Living in a gangsta's paradise|Keep spending most our lives|Living in a gangsta's paradise||[Verse 3]|Power and the money, money and the power|Minute after minute, hour after hour|Everybody's running, but half of them ain't lookin'|What's going on in the kitchen? But I don't know what's cookin'|They say I gotta learn, but nobody's here to teach me|If they can't understand it, how can they reach me?|I guess they can't, I guess they won't, I guess they front|That's why I know my life is out of luck, fool||[Chorus]|Been spending most our lives|Living in a gangsta's paradise|Keep spending most our lives|Living in a gangsta's paradise|Been spending most our lives|Living in a gangsta's paradise|Keep spending most our lives|Living in a gangsta's paradise|[Outro]|Tell me why are we so blind to see|That the ones we hurt are you and me?|Tell me why are we so blind to see|That the ones we hurt are you and me?Embed"
Coolio,Gangsta Walk,2006,"Gangsta Walk Lyrics[Intro: Snoop Dogg]|Yeah yeah, what it do nephew|It's ya' crippin' cousin Big Snoop D-O-Double-G|Oh yeah, west west y'all|We way over here in Italy man|Could you say that man? Italia man|You know what I'm talkin' 'bout?|My nigga Coolio out there doing real big|We blowin' on some of that shit|Oh yeah, Compton and Long Beach together|Now you know we in trouble|[Verse 1: Coolio]|Kit Kat, kick back homie don't you sit back|And hype when the sound start to click like a click-clack|Only nigga trippin lil' homie where ya shit at?|You rap don't got no respectance|Time to go get that|So lift that, point that, aim where's his dome at|Show these punk niggas how we do, where we roam at|Roll that, roll that, TVs on the roll back|Caddies start to cap, twenty niggas in the throwback|Get back you can't win that|Don't pretend that, you ain't got no chance|Put these balls where ya chin at|Spit heat, get cheese, that's how we move that|Who that move that nigga where ya crew at|You betta get ya money nigga|Stack some chips for the time of days ain't sunny nigga|I hope yo' mouth ain't runny nigga|'Cause if it is, yo' body gonna hop like bunny nigga||[Hook]|We got the gangsta walk|Gangsta talk, gangsta way|We got the gangsta way gangsta say|We got the gangsta walk|Gangsta talk, gangsta way|We got the gangsta way gangsta say|You might also like[Verse 2: Snoop Dogg]|Sit back, said that, dawg where the drink at?|Set back in the lac, kick back sit back toast to the big man|Yeah 'cuz you did that|100,000 rappers in line ready to spit raps|What fo'? Why not?|Everyone want my spot so I guess I gotta ""Drop it like it's hawt""|Ain't nuttin' to it to do it like done diddy|West coast general nigga, I'm cold niddy|You niggas, wanna G like, you think that you can be like?|Let me show you mothafuckas what it see like|See we like to ... an put outta town niggas outta' war shows|Now as far as the war goes|If you got beef wit' me, everyone catchin bullet holes this ain't no mutha fuckin movie script|This the life of a gangsta crip ya' punk bitch!||[Hook]|We got the gangsta walk|Gangsta talk, gangsta way|We got the gangsta way gangsta say|We got the gangsta walk|Gangsta talk, gangsta way|We got the gangsta way gangsta say||[Verse 2: Coolio]|I walk the walk, I talk the talk|Hey, you's a bitch that ain't my fault|Look, I lit the match I struck the spark|That heated the grease that fired the marks that|Grinds the chalk|You chicken shit niggas its time to squawk|It's some indiscrepancies 'bout the bullshit ya' brought|The rhymes ya' thought were dope were sure|You been judged been found one now you been caught|Call me gangsta call, me killa, call me rilla nigga|You can call me old man riva|Cause u goin str8 to the bottom I shot I'm they rottin' they new concrete boots still replacin' them cottons|Who the fuck you think I am you think I ran, I'm the man|And I am, still humble tennas an flaggin' bandanas|Type down on a whip with heat like Dan Tana|[Hook]|We got the gangsta walk|Gangsta talk, gangsta way|We got the gangsta way gangsta say|We got the gangsta walk|Gangsta talk, gangsta way|We got the gangsta way gangsta say||[Outro: Snoop Dogg]|I thought I told you man|This west coast gangsta shit is international man|If you don't know, you won't know man|Throw sum real spit on some real shit|I mean that's when you done took your game to another level|Now all my niggas on the east side I ain't forgot 'bout yall|You can't spell the west without the ES|Battle K in the house I see you ma nigga, gangsta up in this bitch|You know how we do2Embed"
Coolio,I Like Girls,2002,"I Like Girls LyricsCoolio.com|Is you, in it to win it, though, in it to spend it witchu|Knew what you were looking for, from the beginning|You wanna make it with chips, that's holding the riffs|Floating gators and psychics in my brand new timmins|A house and a job, I'll be at 5th in a pinch|No tension, just a big dick at attention|Did I mention, daddy's willing and ready|To take you shopping with no (thoughts???)|(???to the deeds to be dropping from your visit???)|(???make a dollar fool to be spending???)|(???he'd be the man, and you like the wealth he be living)|Fake cheddar|Everyday flipping and grilling|But you're nervous cause you really don't no one's attention|Is it true?|Or is it just a body you walk in, to keep laughing|Cause he always jumping and talking|Hips, lips, fingertips, diamonds and pearls|All around the world, I like the girls|CHORUS: ooh wee I like girls, I like girls, I like girls X4||But the red lights and stop signs, parlay with the stop time|(???It's already cracking???) as soon as I drop mine|Strap lines, white players and pimp|I'm permanent in the game, y'all niggas are temp|But back to the lecture at hand and no spit|Y'all fools gotta learn to be subtle with women|If baby got gift at Madison homey, yes|Honey got her own but don't act funny and|Treat her like she's special without spending a penny|She walked in and you showed her, take her to dinner|Will out a candle, and light it like a romeo low|And then look her in the eye, and tell her you broke|And if she trip on her grip, then it's time to chase|Cause you ain't got time for those, you got dollars to make|Gothia, Tammy, Sabrina, Tina, Sheena and Carol|All around the world, I like the girls||CHORUS: ooh wee I like girls, I like girls, I like girls X4||I like girls, ooh wee I like girls, I like girls (coolio.com)||Short ones, tall ones, fat ones, skinny ones|Not just any one, but gimme one|Hoes and bitches, sluts and chickens|Fuck what they talking about, I like women|Black ones, white ones, yellow ones, brown ones|It's hard on a brother when you looking for down one|Found one, then I, think you better keep her|But do your whole world before you go to see the preacher|If she got potential then, you could try to take her|If she don't, just sleep her, homeboy cause it's cheaper|That's what the 600 cell phone on your beeper|And cheese in your pocket can make you the leader|So call the rats out, with all the tats out|Here comes the pied piper falls false than the viper|Long hair, short hair, straight or curls|Bring it over here baby, I like girls|You might also likeCHORUS: ooh wee I like girls, I like girls, I like girls X8Embed"
Coolio,Take It to the Hub,2014,"Take It to the Hub Lyrics[Intro]|This goes out to all my nasty, classy motherfuckers out there|All my hairless harlots|Check it, I'm watching Brazzers on PornHub|Spend a dub, view porn|RedTube, look|Take it to the hub||[Chorus]|Do you want touch, touch, love?|Can't get enough?|Don't hesitate to grab that glove|And take it to the hub, porn|Take it to hub|Do you want touch, touch, love?|Can't get enough?|Don't hesitate to grab that glove|And take it to the hub, porn|Take it to hub|[Post-Chorus]|Take it to the hub, hub, hub, hub, hub, hub|Hub, hub, hub, hub, hub, hub|Take it to the hub, porn|Take it to the hub, porn|Take it to the hub, porn|Take it to the hub, take it to the hub, take it to the hub (Pornhub)||[Verse 1]|I saw a pussy and a titty, a asscheek|It kept a smile on my face since last week|It's been a little minute since my last gig|You know we gonna fuck so you don't have to ask me|So put on that YouPorn|And put on your uniform|Like Jesse Jane and Vanessa Del Rio|And Tera Patrick, a freaky little trio||[Chorus]|Do you want touch, touch, love?|Can't get enough?|Don't hesitate to grab that glove|And take it to the hub, porn|Take it to hub|Do you want touch, touch, love?|Can't get enough?|Don't hesitate to grab that glove|And take it to the hub, porn|Take it to hub|You might also like[Post-Chorus]|Take it to the hub, hub, hub, hub, hub, hub|Hub, hub, hub, hub, hub, hub|Take it to the hub, porn|Take it to the hub, porn|Take it to the hub, porn|Take it to the hub, take it to the hub, take it to the hub (Pornhub)||[Verse 2]|Don't you ever try to walk a pussy past me|I like it nasty, mixed with some classy|Forty days, the money eight days a week|All the pussy listen when my dick speak|And it can't be quiet|I ride pussy like a riot|Until I get tired|You ain't fucking, you fired|So I called up Yanofsky|And let Matt fuck a fat bitch|Belle Knox and a hard dick|On RedTube cause her ass thick|Katie Cummings is coming on Lela Star|Asa Akira is squirting in the homey car|Before I take it too far|Let's take it to the hub|[Chorus]|Do you want touch, touch, love?|Can't get enough?|Don't hesitate to grab that glove|And take it to the hub, porn|Take it to hub|Do you want touch, touch, love?|Can't get enough?|Don't hesitate to grab that glove|And take it to the hub, porn|Take it to hub||[Post-Chorus]|Take it to the hub, hub, hub, hub, hub, hub|Hub, hub, hub, hub, hub, hub|Take it to the hub, porn|Take it to the hub, porn|Take it to the hub, porn|Take it to the hub, take it to the hub, take it to the hub (Pornhub)||[Chorus]|Do you want touch, touch, love?|Can't get enough?|Don't hesitate to grab that glove|And take it to the hub, porn|Take it to hub|Do you want touch, touch, love?|Can't get enough?|Don't hesitate to grab that glove|And take it to the hub, porn|Take it to hub||[Post-Chorus]|Take it to the hub, hub, hub, hub, hub, hub|Hub, hub, hub, hub, hub, hub|Take it to the hub, porn|Take it to the hub, porn|Take it to the hub, porn|Take it to the hub, take it to the hub, take it to the hub (Pornhub)2Embed"
Coolio,Too Hot,1995,"Too Hot Lyrics[Verse 1]|Everybody listen up 'cause I'm about to get my speak on|Fools be trippin' when it's time to get their freak on|Runnin' round town, puttin' it down with-out|No protection, for they erection|When it's time for some action what's your direction?|Before you make a choice, you betta do some inspection|If you don't know my aim and don't know my game, then|Let me explain now|Aisha slept with Mark and Mark slept with Tina|And Tina slept wit Javier the first time he seen her|Javier slept with Loopy and Loopy slept with Rob|'Cause he was rollin' on beads and had a good ass job|Rob slept wit Lisa who slept wit Steve and|Steve was positive, H.I.V|What started off as a plan ended up in the plot|Ya betta cool ya ass off 'cause it's too damn hot|[Hook: J.T. Taylor]|Oh-ohh it's too hot (too hot)|Too hot lady (too hot)|Gotta run for shelter, gotta run for shade|It's too hot (too hot)|Too hot homie (too hot)|Gotta make some sense, from this mess that we made||[Verse 2: Coolio]|You're doin everything momma told ya not to do|Now you're tryin to walk away 'cause ya know it's true|Your sister can't explain, and your brother's ashamed|To admit you both have the same last name|I don't have to ask you where you've been|'Cause the matches in your purse say Holiday Inn|""A mind is a terrible thing to waste"" that was the slogan|But now it's ninety-five and it's ""Don't forget the Trojan""|Explained it to her momma, before somebody get her|Gotta hip her to the game of those smooth talkin niggas|Love is the word, seldom meant but often heard|Latex safe sex you better learn|Or get hip to the facts before you react or|End up in a box on your back|Sometimes you ask for what you want and, get what you got|Don't get caught up in the plot, it's too damn hot|You might also like[Hook: J.T. Taylor]|Oh-ohh it's too hot (too hot)|Too hot lady (too hot)|Gotta run for shelter, gotta run for shade|It's too hot (too hot)|Too hot homie (too hot)|Gotta make some sense, from this mess that we made||[Verse 3: Coolio]|Another day in the city and, oh what a pity|Even though we did our duty things are still lookin shitty|Everybody in the pack stacked, tryin to make some scratch|Walkin' in the rain but they ain't got no hat|Understand how we livin' in the nineties loc|Nuclear waste, cannibalism, and pistol smoke|Sex lies videotape and rape|Just a little bump n grind can seal your fate|We need to do something drastic, shit is gettin' tragic|And if you don't believe me, then go ask Magic|Everybody an they momma preachin' abstinence, these|Kids ain't checkin' for absti-shit|So put a condom in they hand and hope it don't bust|Another victim of the lust, in God we trust|What started off as a plan ended up in the plot|Water can't cool it off 'cause it's too damn hot|[Hook: J.T. Taylor]|Oh-ohh it's too hot (too hot)|Too hot lady (too hot)|Gotta run for shelter, gotta run for shade|It's too hot (too hot)|Too hot homie (too hot)|Gotta make some sense, from this mess that we made|Oh-ohh it's too hot (too hot)|Too hot lady (too hot)|Gotta run for shelter, gotta run for shade|It's too hot (too hot)|Too hot homie (too hot)|Gotta make some sense, from this mess that we made|Oh-ohh it's too hot (too hot)|Too hot lady (too hot)|Gotta run for shelter, gotta run for shade|It's too hot||[Outro]|Oh yeah that's it J.T|That's how we do it right thereEmbed"
