rapper,song,year,lyrics
Cordae,RNP,2019,"RNP Lyrics[Chorus: Anderson .Paak]|One of y'all niggas gon' be fuckin' with me|I got two bad bitches gon' be rubbin' my feet|I got three young niggas down to bust out the heat|And all y'all ain't got nothin' on me|Ooh, not one of y'all niggas gon' be fuckin' with me|I got two bad bitches gon' be rubbin' my feet|I got three young niggas down to bust out the heat|And all y'all ain't got nothin' on me||[Verse 1: YBN Cordae]|Uh, okay, put your fucking hands up, this the fucking anthem|Smiling 'cause I'm young, rich, black, and I'm handsome|Not to mention wealthy, ass on her healthy|Young millionaire, what the fuck can you tell me? Smell me?|Nigga, that's Chanel cologne|I'm in Europe with the tourists with no cellular phone||[Verse 2: Anderson .Paak]|Like ooh, sound like rich nigga problems|I hit a bad bitch with a fistful of condoms|And the randomness of risky ménages|Like get the head right, she can get what she wanted|The spits, then flaunt it, my drip like a faucet|She told me she was prego, I ain't even take the motherfuckin' dick out my pocket, yeah|You might also like[Verse 3: YBN Cordae]|The opposite|She want me to fly her, so I copped a jet|Must be thinkin' I'm a one way ticket on a runway|Drippin' in my feng shui, sippin' on a sundae||[Chorus: Anderson .Paak]|One of y'all niggas gon' be fuckin' with me|I got two bad bitches gon' be rubbin' my feet|I got three young niggas down to bust out the heat|And all y'all ain't got nothin' on me|Ooh, not one of y'all niggas gon' be fuckin' with me|I got two bad bitches gon' be rubbin' my feet|I got three young niggas down to bust out the heat|And all y'all ain't got nothin' on me||[Verse 4: YBN Cordae & Anderson .Paak]|I bought a Moncler coat for the times we were broke|I'ma wear it in the summer on LeBron James boat|Front row? Duh, bro, we don't sit on nosebleeds|Ain't your pockets obese? They won't fit in those seats|Ayy, we like a cold team, nigga, Shaq and Kobe|Like back in '03, I was only like 6|Shit, I was like 16, but I can give a sixteen|I can make a bitch scream, that's a bit extreme|I got a thick bald bitch, I call her Ms. Clean|My drip frosty like Halls and Listerine|We all all-stars, you hardly sixth string|Yeah, I had to ball hard to harvest these dreams|Swear to God, me too, no Harvey Weinstein|The coupe was lime green, my wrist was blinding|We party in South Beach, Ferraris and blue cheese|Fuck does that even mean? Nigga, just let the hook sing|[Chorus: Anderson .Paak]|One of y'all niggas gon' be fuckin' with me|I got two bad bitches gon' be rubbin' my feet|I got three young niggas down to bust out the heat|And all y'all ain't got nothin' on me|Ooh, not one of y'all niggas gon' be fuckin' with me|I got two bad bitches gon' be rubbin' my feet|I got three young niggas down to bust out the heat|And all y'all ain't got nothin' on me48Embed"
Cordae,Kung Fu,2018,"Kung Fu Lyrics[Intro]|Day-Day-Daytrip took it to 10||[Chorus]|Let me tell you how I come through with the 1-2|Kickin' shit like kung fu|Treat a bad bitch like she average|I'm a savage, lil' ho, what you wan' do?|I'm about cash if the route fast|I'ma get that lil' nigga, by any means|Momma complain 'bout my Balmains, but it's all sane|Couple racks in my skinny jeans||[Post-Chorus]|Ayy, hit it up, one time|Niggas gonna get it until the sunrise (Ayy)|School of hard knocks, I'm alumni|Bitches on my dick like fungi|Won't stop, what's that?|Keep the Tommy on me like a Rugrat (Ayy)|Niggas used to trap where the bus at|Tell momma I'ma quit but I love cash||[Verse 1]|I'ma just get it and get it again|Come ups I split with my friends, ayy|Twenty's them twenty's them twinny twin twin|Tryna flip Ford to a Benz|I'ma get it, I'ma get it regardless|Bussin juugs, I used to trap out the college|Give me brain, I swear that bitch is a scholar|No snakes around me, only snake on my collar|I'm a thief in the night, pray to Jesus, to Christ|Better hope he believe in your life|Free my lil' nigga Saudi, was catching them bodies|He fighting his demons to light|All my niggas be trapping, your niggas be rapping|They robbed you, you asking what happened|Got a new bitch from China, she wearing designer|I'm lacing her in the new fashion, ayy|You might also like[Chorus]|Let me tell you how I come through with the 1-2|Kickin' shit like kung fu|Treat a bad bitch like she average|I'm a savage, lil' ho, what you wan' do?|I'm about cash if the route fast|I'ma get that lil' nigga, by any means|Momma complain 'bout my Balmains, but it's all sane|Couple racks in my skinny jeans||[Post-Chorus]|Ayy, hit it up, one time|Niggas gonna get it until the sunrise (Ayy)|School of hard knocks, I'm alumni|Bitches on my dick like fungi|Won't stop, what's that?|Keep the Tommy on me like a Rugrat (Ayy)|Niggas used to trap where the bus at|Tell momma I'ma quit but I love cash||[Verse 2]|Ayy, I've been all around the fucking globe|Baby what ya know?|Motherfucker better tuck and roll, got places to go|And niggas missed the last flight, livin' in the fast life|Momma said, ""You never act right, goddamn""|Guess I'm a bad guy, but I'm on my grind like a halfpipe|'Cause I switch it and flip it and cook it up mad nice|'Til I see them flashlights, then I'm gone|Fast flash like, my future's a tad bright|Because when they rent is due, and your Benz is new|And your old friends be resenting you|Like my women brown, and my Benjis blue|Shit is fucked up, when they envy you|'Member niggas got killed over Penny shoes|Where I'm from niggas dying like Kenny do|Take a hit of this PAC and this Henny juice|Only one of me, but there's plenty you|It was all a dream, reminiscing over smaller things|Grandma cooking like Paula Deen|It ain't all it seems, grew up with the starving teens|And growing plants, still watering (ahh)|[Chorus]|Let me tell you how I come through with the 1-2|Kickin' shit like kung fu|Treat a bad bitch like she average|I'm a savage, lil' ho, what you wan' do?|I'm about cash if the route fast|I'ma get that lil' nigga, by any means|Momma complain 'bout my Balmains, but it's all sane|Couple racks in my skinny jeans||[Post-Chorus]|Ayy, hit it up, one time|Niggas gonna get it until the sunrise (Ayy)|School of hard knocks, I'm alumni|Bitches on my dick like fungi|Won't stop, what's that?|Keep the Tommy on me like a Rugrat (Ayy)|Niggas used to trap where the bus at|Tell Momma I'ma quit but I love cash||[Outro]|Daytrip took it to 1043Embed"
Cordae,Bad Idea,2019,"Bad Idea Lyrics[Intro: YBN Cordae]|Ooh|Ooh|Yeah, uh|(Bongo ByTheWay)||[Verse 1: YBN Cordae]|I know myself all too well to be a stranger of pain|Despite it all, we remainin' the same, I'm just changin' the game|Heart pure, never tainted with fame|Straight ahead, I'ma stay in my lane|Never switchin' courses, life's amazin', shit is gorgeous|Lookin' at the bigger picture, portrait, and I smile wide|Performed the song and the crowd cried|How can I lie? I'm tearin' up as I'm startin' to stare in y'all eyes|I know the shit you goin' through the last month|You stressin' as you hittin' on that glass blunt|A nigga prayin' to get lucky like Daft Punk|You can't even stomach the pain, now that's a bad lunch|Uh, ramen noodles on the regular|Add some seasoning and some hot sauce for a better touch|Peanut butter, jelly and syrup sandwich, etcetera|And we just flyin' in the nebula||[Chorus: YBN Cordae]|And it might not be such a bad idea if I never went home again|See, it might not be such a bad idea if I never went home again|So don't you cry, little baby, little baby|(Don't you cry, don't you cry, don't you cry)|It'll be alright|So don't you cry, little baby, little baby|(Don't you cry, don't you cry, don't you cry)|It's gon', it'll be alright|You might also like[Verse 2: Chance the Rapper]|I done been around the world four times, lookin' for parkin'|Finally found a condo, that shit still feel like apartment|Out South, my foul mouth started soundin' like Cartman|Roundabout like cartwheels, hopped inside of a U-Haul|Confused where all my art went, monsters in a quiet place|Some of these decisions is like Sharpie on a dry-erase|I know they thought I wouldn't, but I'm a fireplace|I had my cake and ate it too, that shit is an acquired taste|I promised I would buy a place, I got my favorite roommates|They used to never see me, like when you zip up a new Bape|Do that shit 'fore it's too late, don't ever drink the Kool-Aid|Don't ever think it's sweet, that's that crème de la brûlée|Who they? They Robert Goulet, they Nazi, cuckoo, goofy|My wifey yellin', ""Who they?"" My daughter yellin', ""Hooray""|I see it clear like Blu-Ray, I park it in the sky|I keep 'em on my block, 'round the corner of my eye|Like a stye (Uh)||[Verse 3: YBN Cordae]|So don't you shed a tear|'Cause there'll be better years|I live life by faith, nigga, instead of fear|God cryin', thunderstorms is Heaven tears|The feelin' of lost hope, shit is never here|'Cause we gon' make it happen by any means|A young nigga, dawg, but I done witnessed many things|Age 13, wearin' hand-me-down skinny jeans|You know they a little extra faded around the knees|With the grass stains in 'em|I really wish a little extra cash came in 'em, 'cause a nigga really needed it|Pain, I defeated it, and brought back|Soul survivor, nigga, what you call that?|[Chorus: YBN Cordae]|And it might not be such a bad idea if I never went home again|See, it might not be such a bad idea if I never went home again|So don't you cry, little baby, little baby|(Don't you cry, don't you cry, don't you cry)|It'll be alright|So don't you cry, little baby|(Don't you cry, don't you cry, don't you cry)|It's gon', it's gon' be alright|And it might not be such a bad idea if I never went home again|See, it might not be such a bad idea if I never went home again|So don't you cry, little baby|It'll be alright|So don't you cry, little baby|It'll be alright18Embed"
Cordae,Have Mercy,2019,"Have Mercy Lyrics[Intro]|Kid|Ugh||[Chorus]|Sweet Lord, please have mercy|Baby Jesus, please save us|I know I used up my three favors|Back to sinnin' like a week later|New car, speed racer|Cop a crib, need acres|Most of all, we all need prayer|Karma comin', beware|I don't know where I'm goin', huh|But I hope I'm on the right path|Life'll hit you with a light jab|Mike Tyson, strike back|You niggas goin' out slight sad|Know I'm all about my bag|New drip, I grab|I just wanna get my life back||[Verse 1]|There's no complainin' on this side|My niggas, shit is not tolerated|Cut some niggas off like a operation|And my team way more consolidated|Suite presidential, that's inauguration|'Cause we cookin' crack like Ronald Reagan|Chip on my shoulder, boy, I'm not for waitin'|Divine timin', took a lot of patience|Now it's time for the takeover, all gas and the brake's slower|Took a trip out to Tokyo, now I'm here in Paris for the layover|Fuck old niggas, boy, your day's over|You mad at me because your pace slower|Bitter nigga, you a shade-thrower, I was just sleepin' on Ace sofa|Now I ride with a paid chauffeur|'Cause I'm way doper, better stay sober|I paint pictures, you a Crayola|I got a bad bitch and she laid over|She really asked could she stay over|I told her that we need to face closure|The smell of money has a great odor|These the things that I prayed over|You might also like[Chorus]|Sweet Lord, please have mercy|Baby Jesus, please save us|I know I used up my three favors|Back to sinnin' like a week later|New car, speed racer|Cop a crib, need acres|Most of all, we all need prayer|Karma comin', beware|I don't know where I'm goin', huh|But I hope I'm on the right path|Life'll hit you with a light jab|Mike Tyson, strike back|You niggas goin' out slight sad|Know I'm all about my bag|New drip, I grab|I just wanna get my life back (Huh, huh)||[Verse 2]|Why cry over spilled milk if you still feel I'm the real deal?|My bitch bad with no ill-will 'cause she'll murk a nigga like Kill Bill|Loose lips sink ships, Cam'ron pink drip, that is my fashion|I'm not really with the high flashin', it's no helpin' with my braggin'|I penetrate it, been the greatest|New house, renovate it|I got the juice, you eliminated|Pussy niggas always instigatin'|Can't fuck me over, boy, I'm too clever|That applies all to whoever|I'm just here to pursue pleasure|Boy, I'm goin' out like Hugh Hefner|[Chorus]|Sweet Lord, please have mercy|Baby Jesus, please save us|I know I used up my three favors|Back to sinnin' like a week later|New car, speed racer|Cop a crib, need acres|Most of all, we all need prayer|Karma comin', beware|I don't know where I'm goin', huh|But I hope I'm on the right path|Life'll hit you with a light jab|Mike Tyson, strike back|You niggas goin' out slight sad|Know I'm all about my bag|New drip, I grab|I just wanna get my life back||[Outro]|Baby Jesus, please save us|Baby Jesus, please save us38Embed"
Cordae,Old Niggas,2018,"Old Niggas Lyrics[Intro]|Damn, Mizzy Mauri got beats||[Verse]|Uh, old niggas and new niggas, now what's the difference?|All in the same boat in a stuck position|So when an old nigga talkin' I don't fuckin' listen|They don't know, every day we make tough decisions|It seems though we is at a generational gap|Which bring conversation and a statement in fact|We can agree, none of us is 'posed to make it in rap|I understand both sides, let me break it in half|Let's take it back: when hip hop originated|And old niggas said it was wack, they couldn't take it|And called it a lil' trend, said it wouldn't last|Now, it's the number one genre as the time passed|Young niggas won't listen and we know it, ha|But old niggas always talk and never show it, uh|You gotta practice what you preach and the classes that you teach|We'll eventually listen, my mind mentally prison, uh|Lately, all my idols, they been failin' me|Catchin' sexual assaults and some felonies|Then, you want me to listen what you tellin' me|And wanna hate when we sing our lil' melodies|And other idols, they be broke, get your funds in order|And Kanye West is a Trump supporter|Then, we got R. Kelly and Bill Cosby|Who still probably got lil' girls in the Hills lobby|And these supposed to be our heroes? Negro, please|Old niggas unreliable like D-Rose knees|Only man I can trust is G-O-D|Not to mention Mos Def and Talib Kweli|Now I get it, y'all think new niggas really suck|And white kids fuckin' love it, lil' silly ducks|But I know it's a lot of bullshit goin' on|I understand, but please, don't complain without a plan|Ironically I wrote this whole song off a xan, nah I'm playin'|I'm just tryna be a fuckin' man|We see you old niggas as a lot of clowns|Not to mention, our father figures was not around|So we all on tours and we hoppin' towns|We just need to sit down and find common ground|And it's soon to come, soon to come|Hip-hop need balance like the moon and sun|It feel good when I wear Christian Louboutins|So I gotta drop music to accrue some funds|And I get it, that's the mindset that's killin' the rhyme-fest|But feedin' our families, lowering the crime, yet|You want us to be separate and make a contest|Rappin' to stay up out the streets, shouldn't mind that|Stayin' out of prison and we sayin' fuck the system, man|Rappin' is an outlet to go and get our dividends|Rather than out robbin' niggas, sellin' Ritalin|Old niggas bitter, y'all should love it when a nigga win|'Cause we came from the same struggle|Like Diddy and Dame Russell|Was teachin' and gained hustle, got rich, remained subtle|See, I listen, see, I listen|But Lil Dae-Dae water-whippin' in the kitchen|Ready to flip a pack and bring it back, no submission|Gotta just go attack Lil Pump when you're dissin'|I understand both sides of the Ziploc|Y'all old niggas' time is comin', nigga, tick-tock|I'ma still wear all my Gucci flip-flops|And the fuckin' diamond chain with the big rocks|And I'll be the greatest ever, nigga, just watch|Cardi B got rich from Love & Hip Hop, hahaYou might also like32Embed"
Cordae,Alaska,2018,"Alaska Lyrics[Intro]|Maddox on the beat|M.W.A. Music|Ayy, ayy, ayy, ayy||[Chorus]|Ayy, cook it up, whip it up faster|Diamonds cold swear that shit from Alaska ayy|I'm getting close to disaster ayy|Boy tell that shit to my pastor|I was flipping, whipping, dipped in the kitchen|These niggas tripping, put the game in submission|I'm Scottie Pippen, but I ball like a Piston|The shotty rippin' in a fucked up position||[Verse 1]|The game is over, my pain is over, you a lame, a joker|You can't catch me plus my flow is nasty and my name is vulgar|YBN, go and try again, we be the flyest friends|I do my thing, plus I pull some strings just like a violin|Let me tell you 'bout my life and my troubled past|Momma's car got stolen, took the shuttle pass|Re-up from three bucks copped the duffle bag|Please bruh, off these nuts, go and rush some cash|And now we winning again, my brothers spending a band|My niggas posted on the block, damn I be sinning with friends|I'm chasing twenties, Benjamins, and breaking barriers too|My family rich for generations, I might marry a Jew (Ayy, ayy, ayy, ayy)|You might also like[Chorus]|Ayy, cook it up, whip it up faster|Diamonds cold swear that shit from Alaska ayy|I'm getting close to disaster ayy|Boy tell that shit to my pastor|I was flipping, whipping, dipped in the kitchen|These niggas tripping, put the game in submission|I'm Scottie Pippen, but I ball like a Piston|The shotty rippin' in a fucked up position, uh||[Verse 2]|My lifestyle too wild, I know|Everything change with a new high low|Fifty bands, what I cashed in, my show|I got that gas, this that hydro|I'm too great, I don't have rivals|Niggas be telling speed dial 5-0|Cause these niggas be fake, I'm a winner these days|Motherfuckers be sweet, with a hint of cheesecake|Syrup spilling, coughin' penicillin|Heads turning walking in the building|Ledge burnin' often I'm a villain|Was deserted, brought up by some real ones|Had to catch it reckless, was a daily|Momma calling checking on her baby|Took a trip to Texas going crazy|Eating beats for breakfast, I'm elated|I was stressing, blessings on the way|Dropped out, no testing me today|Murder tracks, I bet I beat the case|Redbone, she built like LisaRaye|Stack my chips I bought my Frito Lay|I don't listen what these people say|Fuck a Honda, niggas need a Wraith|Damn the whole team eating great|[Chorus]|Ayy, cook it up, whip it up faster|Diamonds cold swear that shit from Alaska ayy|I'm getting close to disaster, ayy|Boy tell that shit to my pastor|I was flipping, whipping, dipped in the kitchen|These niggas tripping, put the game in submission|I'm Scottie Pippen, but I ball like a Piston|The shotty rippin' in a fucked up position (ah)23Embed"
Cordae,Broke As Fuck,2019,"Broke As Fuck Lyrics[Intro]|Uh, yeah|Daytrip took it to ten (Hey)||[Chorus]|I was broke as fuck‚ down up on my ass‚ had the lowest luck|Used to ride the bike up to the store‚ I need a Rover truck|A Bentley coupe, yeah, I'm wearin' Prada‚ I like Fendi too|Grandma passed, had a heart attack, only 62|My cousin shot‚ got me paranoid, who to trust or not|Gave my brother 25 years, that really sucked a lot|Post-traumatic stress is building up, you niggas so dramatic|Fuck these other niggas, I'm the illest, I'm the coldest at it (Yeah, uh)||[Verse 1]|Let me take you niggas back to a much simpler time|Picture yourself inside a vehicle, a ship in my mind|You'll see some childhood memories mixed with the cells of a don|You'll see the doctor smack my ass when I first fell out my mom|A Magic School Bus adventure trip inside my cerebral|Back when I told niggas I'll make it, swear they didn't believe him|Flashback to Brasstracks and we was playin' ""No Problems""|We was crankin' all the classics from the spring to the autumn|And I said motherfuck, need a bad bitch with a tummy tuck|How I make a million from a dollar? It was dummy luck|Need a new Lam', no sedan, fuck a Hummer truck|I'm aiming for the top, I'm steady climbing, fuck a runner-up|You might also like[Chorus]|I was broke as fuck, down up on my ass, had the lowest luck|Used to ride the bike up to the store, I need a Rover truck|A Bentley coupe, yeah, I'm wearin' Prada, I like Fendi too|Grandma passed, had a heart attack, only 62|My cousin shot, got me paranoid, who to trust or not|Gave my brother 25 years, that really sucked a lot|Post-traumatic stress is building up, you niggas so dramatic|Fuck these other niggas, I'm the illest, I'm the coldest at it, ayy||[Interlude]|Uh-huh|(Hey)|Yeah|Woo|Uh, yeah, uh||[Verse 2]|Mom and dad never had a damn thing, damn shame|Now I'm poppin' champagne on a private jet, fuck an airplane|Order Bossa Nova, eating plantains|Presidential Rollie, fuck a campaign|Impeach, nigga, ten deep, nigga|Remember days we was wearin' J's|And a gold chain, only had three figures|So fortunate, proportionate|Lost Boy, nigga, no coordinates|Remember Christmas? We was giftless|Three foot tree, no ornaments|Pull my dick out, hoes swarmin' it|Flow cold, nigga, no warmin' it|Mama couldn't afford AAU|So we couldn't hoop, nigga, no tournaments|I remember days sippin' lemonade|Ice cream truck gettin' plenty paid|Candy lady had Jolly Ranchers|I don't really have a lot of answers|I'm just searching for the same shit|Same niggas that I came with|Premonitions over reminiscing|Lam' truck how I lane switch (Ah)39Embed"
Cordae,Parables (Remix),2022,"Parables (Remix) Lyrics[Intro: Cordae]|Gotta ride with 'em, ride with 'em|Ride with 'em, roll with the, whoa, whoa, whoa|Tell 'em, ""Ride with 'em,"" we could ride with 'em|Ride with 'em, whoa, we could, whoa, whoa, whoa|I tell the odd, gotcha, odd, getcha, woo, what|Check it out, nigga, whoa, whoa, whoa, whoa|Nigga, I need, we could fight with 'em, ride|Yeah, uh, yeah||[Verse 1: Cordae]|Done seen some shit within my lifetime, my light shine bright|Protect yo' energy from poison when the python strike|My first mistake was doin' robberies on Niken bikes|Watch my movеs and I'ma show you what a icon like|Y'all let bygones bе bygones, right?|Nigga, fuck yo' truce, bust yo' move|And if that nigga touch your shoes|You better blast on 'em and on my mama, nigga|I'ma get that cash on 'em, hunnid on the dash on 'em|Swerve, born from the trench, you from the 'burbs|Nigga, fuck the early bird, nigga|I'ma get this motherfuckin' chicken|And if a nigga ever got a problem, nigga|We can fuckin' solve it, on my mama, nigga|I just been itchin' to prove myself|I just pray throughout the struggle I don't lose myself|Glock, no safety, Plaxico, I might shoot myself|They catchin' bullets like two Odells, and, nigga, you gon' tell|But listen|You might also like[Chorus: Cordae]|I can tell you 'bout the time was goin' hard up in the paint|And I can tell you shit that other niggas can't, lemme tell you|I can tell you 'bout the time I had to drop a nigga rank|And I can tell you shit I did up off the drank, lemme tell you|I can tell you 'bout the time I signed a deal for twenty bands|And used that shit to get my brother out the can, lemme tell you|I can tell you 'bout the time I had a penny and a plan|I can tell you shit, but you won't understand, lemme tell you, nigga||[Verse 2: Cordae]|First and foremost, for every door that's opened, a door close|Beat a nigga, take his Bordeauxs, upgrade my wardrobe|And Lord knows livin' like this, it leads a short road|A dead end, or prison time, where we was headin'|Instead, when I got bread, broke it with brethren|Eyes open, leave the house, move like a veteran|Made a couple dollars from come-ups, my niggas flexin'|Nigga got a problem, then I can make some corrections|Okay, cool, still with the same niggas since grade school|Give a fuck about your Shade Room when I had made room|For everybody on that late moon, and word to Rae Sremm'|Had to bring the motherfuckin' swang on 'em|And I ain't even wanna have to blank on 'em|That Lam' truck got a full tank on 'em|But, a nigga better not look at me wrong|It's certain shit that I can't say on this song, but let me tell you, nigga|[Chorus: Cordae & Eminem]|I can tell you 'bout the time was goin' hard up in the paint|And I can tell you shit that other niggas can't, lemme tell you|I can tell you 'bout the time I had to drop a nigga rank|And I can tell you shit I did up off the drank, lemme tell you|I can tell you 'bout the time I signed a deal for twenty bands|And used that shit to get my brother out the can, lemme tell you|I can tell you 'bout the time I had a penny and a plan (Yeah-yeah, yeah, yeah)|I can tell you shit, but you won't understand, lemme tell you, nigga||[Verse 3: Eminem]|I done seen some shit within my lifetime, at one time I|Can still remember just how bad I used to want '5 mics'|My biggest dream was just to make it into Unsigned Hype|It's so hard for me to fathom this was once my life|Shit'll make you wanna cop out like a plea deal|So I treat a beat like it's Tekashi, spit on that bitch like Meek Mill|My addiction got me weak-willed|I'm relapsing, I think I can't seem to stop eating Beat Pills|And Doctor D-R-E he still keeps on giving me refills|Send 'em at me, bullets hit indiscriminately|Women and men and little kids senior citizens till the Sig is empty|Whipped Gen-Z into a frenzy, but no give, is in me, I'm stingy|And that is the motherfuckin' difference between them and me|And that's the reason I'm, in my Louis Vuitton|Gorier than Eva Long|This rap shit, is somethin' that you'll never see me at, like senior prom|What I mean's the bar's, higher than Cheech and Chong|When you give them each a bong|I call my Stan's a, fan club 'cause whoever it's unleashed upon|Fuckin' beats up on, like police batons|Y'all are window shoppers, bunch a Peeping Toms|Still got that bullseye on my back, red dot on my head|Yeah, blood on my hands for some of the rhymes that I've said|Police squad on the task|Got 'em hot on my trail, like my stepfather with the belt, I got S.W.A.T on my ass|I was painfully shy, now I'm proud of myself|Like Obama's kids, I came outta my shell (Michelle)|And I can promise this|On my mama, shit, no daughters, bitch|That every single word'll be true so with out further adieu|It's return of the ruthless more murderous than Mook is so what you're gonna do's think I'm allergic when I point this motherfuckin burner at 'chu|I throw shade it'll be curtains for you|Pray for the verse to get through, birth of a new|Worser me who's determined to do|Permanent damage with the words that I threw, bird's-eye view I'm referred to as Zeus|Circlin' you like I'm a vulture features are tournaments, I turn 'em into|Turning me loose is like verbal abuse, language hurtful to use cursin' at you|Made a couple of mistakes that occurred in my youth, jumped a hurdle or two word but I'm through|With tellin' you about the food stamps and the government cheese|And how we used to get school lunches for free|Already told ya, 'bout the holes up in my Pony shoes and Rustler jeans|When it was Mother, lil' brother and me|I told you 'bout, being kicked out 20 degrees, no money to eat|'Bout the thrift stores and being piss poor, the Christmases Ma had gifts for us, when bro and me discovered that she|Was wrappin' shit up around the house, to stick it under the tree|Damn33Embed"
Cordae,Super,2021,"Super Lyrics[Intro]|Yeah, yeah, yeah (Woo, woo, woo)|Huh, huh||[Chorus]|Last year, I made seven million|Didn't have to do a single fuckin' show|Shout out to my niggas up at Coca-Cola|For the check they cut me at the Super Bowl|All my life moments is a super woah|My nigga Dr. Dre, he got a super boat|Last night, I was textin' Jack Dorsey|That's the perks you get from being super dope||[Verse 1]|This is real life, ain't no actin' it|All these rap niggas, they be Brad Pittin' (Uh)|Every little thing I do is mad different (Yeah)|Got my lil' cousin playin' badminton (Yeah)|Gave my lil' bro a quick fifty piеce|He got the wholе motherfuckin' trap hittin'|I been stackin' up all these assets|Can't be conductin' any bad business (Nah)|Like woah, hey, I keep that drip on me|My nigga, I'm big homie (Big homie)|Huh, hey, I can't ever slip homie|My mama might flip on me (Might flip on me)|Like woah, hey, drop-top coupe in the motherfuckin' summer|I rest my case (Rest my case)|Like huh, hey, I'ma live life to the fullest|With every single breath I take, uh-huh (Every breath I take)|Let me tell you lil' niggas something real quick (Uh)|Hatin'-ass ho, you can suck my dick (Suck it)|Get cold every time that you touch my wrist|I'm the greatest, nigga, you can't fuck with this (Nah)|My niggas pull up in them Chevys and Beamers|We all young and rich, you can't check my demeanor|I just bought a Birkin for my aunt Regina|I been getting money since I was a senior, but (Woo)|You might also like[Chorus]|Last year, I made seven million|Didn't have to do a single fuckin' show|Shout out to my niggas up at Coca-Cola|For the check they cut me at the Super Bowl|All my life moments is a super woah|My nigga Dr. Dre, he got a super boat|Last night, I was textin' Jack Dorsey|That's the perks you get from being super dope||[Verse 2]|I be feeling like it's me against the world|But I can give a fuck who my opponent is (Nah)|Niggas askin' why I dropped the YBN|I had no other choice 'cause we ain't own this shit (Real)|You know that janky shit, I'm not condoning it (Nah)|I'm with a couple niggas, I got a bone to pick (Real)|I'm on some movement shit, y'all on some moment shit (Huh)|But I'll be here forever, y'all can go and quit|We had bad bitches in a new Bentley|Just re-upped from that new stimmy|My brother countin' them blue Benjis|Only feel good when my crew with me, like woah|They tried to question my character|Young, rich, and Black, they hate me in America|We some real niggas, don't fit the criteria|Don't like your vibe, not allowed in my area|I entered this game and I came here to change it|Speak my beliefs, now they calling me dangerous|Takin' the throne and I'm gonna maintain it|I gotta go down as just one of the greatest (Huh)|So anybody got a problem with me|Can't fake kick it, fuck your politicking (Fuck)|I ain't worried 'bout it, I know God is with me (Amen)|And your piece of mind is worth a dollar fifty, but (Lord)|[Chorus]|Last year, I made seven million|Didn't have to do a single fuckin' show|Shout out to my niggas up at Coca-Cola|For the check they cut me at the Super Bowl|All my life moments is a super woah|My nigga Dr. Dre, he got a super boat|Last night, I was textin' Jack Dorsey|That's the perks you get from being super dope||[Outro]|One day, one day|I can survive|I can survive|Hey, hey (I can survive)16Embed"
Cordae,Gifted,2020,"Gifted Lyrics[Pre-Chorus: Ant Clemons]|Livin' out my dream, my life is different (Different)|If I want it, then I'ma get it (Get it)|Living every day like it was Christmas|'Cause I'm gifted (Ah, ah, ah)|And I know what my gift is (Ah, ah, ah)|And I know that I'm gifted (Ah, ah, ah)|And I know what my gift is (Ah, ah, ah)|'Cause I'm gifted||[Chorus: Cordae & Roddy Ricch]|Uh, I got a whole lotta people that's been countin' on me|Got this bad lil' shawty goin' down on the D|I met shorty and we connected like the WiFi|Hopped in the Phantom, disappeared like, ""Voilà""|I told niggas that I would make it, they said, ""No way""|Watch them niggas that might eat up off of your plate|They caught me slidin' on the E-Way with the hеat on the seat|I got tennis chains with crossеs but I still keep a piece||[Verse: Cordae & Roddy Ricch]|See, I was twelve years with the Tommy fit|Fifteen, crankin' ""Bobby Bitch""|I was seventeen years on this Earth|When I popped a Perc', made my body itch|Need a pound of blow when I'm drownin' slow|I was down below, word to Roddy Ricch|We was slap-boxin', no Karate Kid|Start to see the difference with a lotta shit|And my grandma got a lotta kids|Bought whips foreign, no mileages|Hit Saks Fifth and got a Prada fit|But I still got a lotta wallet|Shit, nigga, this the shit that I asked for|'Member last year I was mad poor|Seen my momma cry over homicides|Now she down to fly, she got a passport|And my brother locked for a backdoor|Got my grandmomma a new Jaguar|Big body whips like Shaq car|No credit check, straight Cash Card|Nigga, no stress, I progress|That's Mos Def like Black Star|Seen the future in my Audemars|Stack paper, don't do no facade|You might also like[Chorus: Cordae & Roddy Ricch]|Uh, I got a whole lotta people that's been countin' on me|Got this bad lil' shawty goin' down on the D|I met shorty and we connected like the WiFi|Hopped in the Phantom, disappeared like, ""Voilà""|I told niggas that I would make it, they said, ""No way""|Watch them niggas that might eat up off of your plate|They caught me slidin' on the E-Way with the heat on the seat|I got tennis chains with crosses but I still keep a piece||[Pre-Chorus: Ant Clemons]|Livin' out my dream, my life is different (Different)|If I want it, then I'ma get it (Get it)|Living every day like it was Christmas|'Cause I'm gifted (Ah, ah, ah)|And I know what my gift is (Ah, ah, ah)|And I know that I'm gifted (Ah, ah, ah)|And I know what my gift is (Ah, ah, ah)|'Cause I'm gifted||[Chorus: Cordae & Roddy Ricch]|Uh, I got a whole lotta people that's been countin' on me|Got this bad lil' shawty goin' down on the D|I met shorty and we connected like the WiFi|Hopped in the Phantom, disappeared like, ""Voilà""|I told niggas that I would make it, they said, ""No way""|Watch them niggas that might eat up off of your plate|They caught me slidin' on the E-Way with the heat on the seat|I got tennis chains with crosses but I still keep a piece|[Outro: Roddy Ricch]|Still keep a piece|Still keep a piece|Still keep a piece|Still keep a piece|Still keep a piece30Embed"
