rapper,song,year,lyrics
Guru,Lifesaver,1995,"Lifesaver Lyrics[Intro: Guru]|Mmm, is this really the end, or is it a new beginning?|A new reality||[Chorus: Guru & Baybe]|So many misconceptions (Don't be misled)|So many evil deceptions (I am)|I've come to give direction (The life)|For I, am the lifesaver|So many misconceptions (Don't be misled)|So many evil deceptions (I am)|I've come to give direction (The life)|For I, am the lifesaver|[Verse 1: Guru]|Scooby doo wah, scooby doo wee|Like a jazz player, I improvise wisely|Free with the style, I flow like the Nile|But remember, don't mistake the smile|Deep rooted is my rhymin'|Like ancient African griots, precise is my timin'|But let me get to the essence of what I'm sayin' here|Too many blood red streets with bodies layin' there|The systematic fanatics are at it again|Tryin' to kill me and all of us, my friend|But don't bend to the mental strain|Against all odds, we must strive for essential gains|Be true to the life the Lord gave ya|And that's a message from the lifesaver|The lifesaver||[Chorus: Guru & Baybe]|So many misconceptions (Don't be misled)|So many evil deceptions (I am)|I've come to give direction (The life)|For I, am the lifesaver|So many misconceptions (Don't be misled)|So many evil deceptions (Oh, I am, I am, I am)|I've come to give direction (The life)|For I, am the lifesaver|You might also like[Post-Chorus: Baybe & Guru]|Oh I am, the life (I am the lifesaver)|I am, the life, yeah||[Verse 2: Guru]|It takes a more intelligent man to squash a fight|Than to set one off, knowledge I'll let some off|'Cause nowadays, everybody's a killer|And as for me, no other MC is iller|But still a thorn scrapes my heart|When I see another life that's been torn apart|Over nonsense, no law, no order, it's evidence|That the money only takes precedence|'Cause everybody wants power|While the innocent are born or die during every hour|I scowl as I look upon evil|But I must have the strength to spark awareness in my people|And we will learn to respect our neighbors|Another message from the lifesaver|The lifesaver||[Chorus: Guru & Baybe]|So many misconceptions (Oh, don't be misled)|So many evil deceptions (I am)|I've come to give direction (The life)|For I, am the lifesaver|So many misconceptions (Don't be misled)|So many evil deceptions (Oh, I am, I am, I am)|I've come to give direction (The life)|For I, am the lifesaver|[Verse 3: Guru & Baybe]|People talk about the Armaggedeon|And nowadays everyone you know is packin' lead, son|Each day's another test|Ayo, I better do my best, 'cause a lot's ridin' on my chest|So when I lead you to the water|You best know how to swim across, so you can reach the border|It's international, the message and the flavor|So here's some more important words from the lifesaver|The lifesaver (I am the life)|The lifesaver (I am the life, oh oh yeah)|[Verse 4: Lucien]|Garçon, fâché, grandissant dans la violence et la pisse|Le mot peace, c'est pour ceux qui périssent|Chaque jour, aux alentours, dans le monde et ses tours|En prison ou retour en arrière dans les fours|Et les condés font leur rondes, les villes grondent|La terre chauffe les sommets de montagne fondent|Blondin ça passe black ça casse|Tel est mon uniforme dans une guerre entre races|On me regarde, me met en garde, à vue|Certains cafardent, d'autres bavardent, et tuent|Dédicace à tout quartier, toute cité, aux pas de chance|À ceux qui sont tombés mais pas pour la France|Pays trop bidon, vivement Armageddon|J'ai raison, priant Jéhovah pour mon pardon|Car si un flic me juge je le droite|Enfonçant mon doigt dans son oeil et le fond de son cerveau je gratte|... (Goes off to fade)||[Outro: Guru]|So many misconceptions|So many evil deceptions|I've come to give direction|For I, am the lifesaver12Embed"
Guru,"Le Bien, Le Mal",1993,"Le Bien, Le Mal Lyrics[Intro]|Dix-neuf cent quatre-vingt treize, Paris, Brooklyn|La puissance du son, oui||[Hook: Guru + MC Solaar]|It's the good, the bad|Le bien, le mal|The good, the bad|Le bien, le mal||[Verse 1: MC Solaar]|Il était vraisemblable que tous les faux-semblants|De la farce humanitaire aboutiraient au néant|C'est une boule à facettes comme dans les discothèques|Ça reflète à la lumière et sans elle, ffft ! Du vent|J'aime les images fortes car je suis comme toi|Le poids des mots et le choc des photos|[Verse 2: Guru]|Hey, yo, it's time to get up, time to change the world, 'cause I'm fed up|We're gonna expose the wrong that's been going on|There's people dying in the streets still|In every city, lots of kids they be ill|I live in Brooklyn, got boys all over|Been around the world and you know that I know...||[Hook: Guru + MC Solaar]|The good, the bad|Le bien, le mal|The good, the bad|Le bien, le mal||[Verse 3: MC Solaar]|L'homme qui prend le microphone se nomme Solaar|Maître de la rime urbaine accompagné des comparses de Gang Starr|À Paris en France comme dans la Rome antique|Imite le maître, mate le mythe comme Spartacus limite les mecs|Qui millimètre après millimètre jettent l'intellect à des kilomètres|It's your turn, Guru||[Verse 4: Guru]|Crazy madness, it's all I see out my window|It doesn't matter who's the president, yo|I hate to tell ya, but slavery is still in effect|Haven't you checked, us black folks we ain't free yet|I make a bet, if you don't let the truth out|Huh, evil will rule without a doubt and it's...|You might also like[Hook: Guru + MC Solaar]|The good, the bad|Le bien, le mal|The good, the bad|Le bien, le mal||[Ad Libs: Guru]|Solaar ...||[Verse 5: MC Solaar]|C'est le monde des affaires, OPA sur la misère|Le réel me nargue, tralalalalère|L'air de rien je doute de l’existence des dieux|De l’existence du mieux dans un lieu plus pieux|Alors je prends de l'avance, en prenant du recul|Car prendre du recul c'est prendre de l'élan||[Verse 6: Guru]|I come in peace, but suckers always trying to front, so|I gotta let 'em know, gotta let 'em know|This ain't no game, punk, cause you could wind up dead|With bullets to the head from the posse's lead|I'm like your mentor, and this is for your benefit|So hear the noise, cause the rude boys ain't havin' it, it's...||[Hook: Guru + MC Solaar]|The good, the bad|Le bien, le mal|The good, the bad|Le bien, le mal|[Verse 7: MC Solaar]|En prophète de la fête, je suis contre ceux qui fêtent|La défaite de la fête, alors faites attention|Cette recette intercepte l'adepte trouble-fête|Et le son domine la situation|Le bien et le mal, situation critique|Problème politique, éthique, technique OK man, tout s'explique||[Outro: Guru]|Yeah, my man MC Solaar in the house|I'm known as the Guru, d'you know that?|And the whole posse: Jimmy Jay, Mickey « Mus Mus », Lucien, Black Jack, The Vat, Terry, Ramses, Soon-E MC, Menelik, Bambi Cruz, Planet Mars, Strike, Bridges (?), Boom Bass, Zdar, Démocrates D|And their whole entire crew|You know what I'm sayin'?|Taking no shorts in '93|Peace, it's the good and the bad, and I'm out2Embed"
Guru,Plenty,2000,"Plenty Lyrics[Hook One: Erykah Badu]|When she wants plenty, she gets plenty|When she wants plenty, she gets plenty|When she wants plenty, she gets plenty|Then she gets plenty more, uhh|When she wants plenty, she gets plenty|When she wants plenty, she gets plenty|When she wants plenty, she gets plenty|Then she gets plenty more, uhh||[Guru]|Watching her driving by in her new whip so fly|Wish she could sing me a lullaby|And set me free like a butterfly|In her eyes is a flame that burns right through my soul|Can't pretend to be cool, about to lose my control|Yeah, I know she's got plenty; admirers, she's got many|Like an exotic fantasy, into a frenzy she sends me|Wow, I have to sit down, and gather my wits now|I wanna caress those hips now, wanna kiss those lips now|[Badu]|Hello? Hey, babyyy|I know you called and I didn't answer twice|But baby that's oh-kay, it's nice|For you to call anyway see, okay, see, uhh|Hey, babyyy|You know it's okay if you don't call me|Anymore, 'cause I got a-plenty|Truckload of niggas like you at my door||[Hook One: Erykah Badu]|When she wants plenty, she gets plenty|When she wants plenty, she gets plenty|When she wants plenty, she gets plenty|Then she gets plenty more, uhh||[Guru]|Yup|And every day is her day, every year is her year|Anyone tries to violate, they could straight disappear|She don't care if you play yourself, trying to step to her|The wildest of gangsters are showing respect to her|Truly glamorous, she ain't impressed and it shows|She don't like your new clothes, she don't care about your playa pose|Do you suppose I could luck up and spend time with her?|She's like how I dreamed — I'd bust my nine for her|You might also like[Hook Two: Erykah Badu]|When she gets plenty, she gets plenty|When she gets plenty, she gets plenty|When she wants plenty, she gets plenty|Any damn thang she wants||[Guru]|Uhh|Surgeon General — I provide vitamins and minerals|The charge that she's got on me, should be federal|Said 'never put the two before the one, son'|Always cultivate your Wisdom, to help to build your kingdom|I wanna be the answers to every question she has|When I wish to enter, she be lettin' me pass|I know I'm gonna be her G-O-D eventually|Still, she's got everything; ah, the girl's got plenty||[Bridge: Erykah Badu]|Flowers in her bedroom|Perfume on her neck|Nectar from a mason jar|Seven dollar dress; she's|Super cute, and plenty bad|Thirty, twenty-two, thirty-six-and-a-half|I, hope the dude will realize|She got the sexy bedroom eyes|Baby, baby, please don't break yo' neck|'Cause you gon' have a wreck|'Cause when it comes to love I get plenty|Degrees, one-twenty|My thigh slipped out my dress - OOPS!|[Hook Three: Erykah Badu + (Guru)]|When she gets plenty, she gets plenty (She gets it all)|When she wants plenty, she gets plenty (Uhh)|When she wants plenty, she gets plenty (C'mon)|And she gets plenty more (Plenty more) ahh|When she wants plenty, she gets plenty|When she wants plenty, she gets plenty (Mm, she gets it all)|When she wants plenty, she gets plenty|And any damn thang I want, right? (That's right)||[Guru]|In this game of life it takes a lot to win|Plenty more baby's what I got to give||[Badu]|Yeah, yeah, baby, that's really nice|But I'm tryin to read my book and you're in my light||[Guru]|Uhh - a woman like you could help me reach the top|If I get a chance to love you, huh, I won't stop||[Badu]|Oh huh, what? Huh, whaaat?|I didn't hear you, I was thinkin' 'bout some stuff||[Guru]|Baby, you so fine, I wanna smack myself|I don't need no support, I'm gonna back myself||[Badu]|Hooo, baby, you so sweet|Now can you get the lotion and rub my feets||[Guru]|In massage therapy, I got a Master's degree|I'll give you plenty more, than what you asking from me||[Badu + (Guru)]|I need a little bit of space, a little bit of wealth (Okay)|And oh - about the feets, a little to the left (Like this?)|Mmmmmm (M'hmm, like that?)|Yeahhh (Feels good right?)|Ohhhhh|Ahhhhh (Yeah, heh heh)|Hehehee! (You don't really care)|I do! (Heh, you the Queen)|More lotion! (C'mon...you got plenty!)2Embed"
Guru,Loungin’,1993,"Loungin’ Lyrics[Intro]|Yea, I'm loungin', I got my man Donald Byrd on the horns|I wanna give a big shout out to my little man, Miko, he's 2 years old|He's away visiting his grandmoms but I miss him dearly||[Verse 1]|Check it out|If I rhyme this, you will find this situation shall advance|You could take a glance or dance|Elevator lyrics to arouse the crowd|Now tell me who's the man to show you how|Many legacies of brothers who get busy|And I do it fluid 'til the suckers get dizzy|Saying peace to the blackbirds 125th street|And check the flow that's unique|[Chorus]|For loungin', loungin', mellow out and just loungin'|Loungin', loungin', mellow out and just loungin'||[Verse 2]|Can't refuse this, never lose this, it's the choice this|'Cause my voice is the smoothest|Dominating to your boys 'cause I've been around doing work|And sold tons of other jerk|Donald Byrd word on the track, quite exact|Giving you the format, Jack|See we gotta pave the way and display||[Chorus]|How to loungin', loungin', mellow out and just loungin'|Loungin', loungin', mellow out and just loungin'||[Verse 3]|Peace to the pioneers but I gotta try and clear|My throat, check out what I wrote|You can't tap into this unless you know the roots|Word shoe like life absolute|For real so now you gotta know the deal||[Chorus]|For loungin', just loungin', mellow out and just loungin'|Loungin', loungin', mellow out, check it out, and loungin'|Loungin', just loungin', mellow out, and just loungin'|Loungin', loungin', peace to Brooklyn where I live|You might also like[Verse 4]|Realistic, kind of mystic when I kick this|You should witness the slickness|Of the horn player and the dope rhymesayer|Quite emotional and inspirational|Philosophical, and yes, very logical|Teaching you the method for loungin'||[Outro]|Everybody knows they have times when they wanna just lay back|Kick their feet up, y'know|Listen to some good music and just lounge|That's right, I said lounge1Embed"
Guru,Keep Your Worries,2000,"Keep Your Worries Lyrics[Angie Stone]|Ooooooh-ooooooh (uh mm)|(mmm) Ooooooh-ooooooh (uh mm, keep your)|Yeah yeah, my brother Guru|And Angie Stone (ooooooh-oooooh)|And DJ Scratch (yeah mm mmm)|Uhh Guru, and Angie Stone||{*Angie Stone keeps harmonizing*}||[Chorus: Angie Stone]|Keep your feet, out my shoes|A nigga like me done paid my dues|Keep my comb, out your hair|Unless you bout ready to take it there|Keep my name, out your mouth|Until you got somethin worth talkin bout|Keep your hands, to yourself|Cause I belong to someone else|[Verse 1:Guru]|It's the, G-U-R-U, once again settin it off|Lettin it off my chest plus, bettin it all|Record sales, awards, accolades I'm, gettin it all|Mad chips, right above my grip I'm, lettin 'em fall|Who said the G-O-D wasn't comin to do his thing|Who said the industry, wasn't gonna bow to this king?|I paid dues stayed true so I, made it through|If you handle your B-I, fly guy, you can make it too|Your potential is infinite, be wise visualize witness it|Why waste your time focusin your mind on limp shit?|Angie understands me, and Scratch got my back|So keep away from the fire, burnin desire, yo we got that||[Chorus]|Keep your feet, out my shoes|A nigga like me done paid my dues|Keep my comb, out your hair|Unless you bout ready to take it there|Keep my name, out your mouth|Until you got somethin worth talkin bout|Keep your hands, to yourself|Cause I belong to someone else||[Verse2: Guru]|I've never been a|Stranger to struggle gotta maintain my hustle|Used to let the anger bubble|These streets can bring mad danger and trouble|And I can do bad all by myself|Do me a favor - don't be concerned about my wealth|If you're one of my peeps, you're gonna know that|But if I ain't feelin you player, huh|My face is gonna show that|So keep your eyes off my pockets|Don't be surprised if I cocked it|Can't outslick a can of oil, you never spoil my profits|See how I'm flippin this here?|Things are different this year|Ain't got no time to listen to niggas|That be trippin this year|Cause and effect, I always get, applause and respect|When I rhyme, universal laws, truth and righteousness connect|You might also like[Angie Stone]|You see the knowledge that I'm kickin's for you|And there is nothin that another can do|Try to stop me but I make it through|Recruitin angels as a warrior I'm true|People need people, it's true|True pride will sustain|In order to do what I do I can let you live|With me inside my brain||[Chorus]|Keep your feet, out my shoes|A nigga like me done paid my dues|Keep my comb, out your hair|Unless you bout ready to take it there|Keep my name, out your mouth|Until you got somethin worth talkin bout|Keep your hands, to yourself|Cause I belong to someone else||[Verse 3: Guru]|I've been tellin you, that there's war out here|And I've been tellin you, that there's more out here|So stop limitin your thoughts|Stop reconstructin your plots|It's more than luck it's an art|No more, duckin from NARC's|Haters stay at a distance, haters keep away from my fam|Haters stay in my business, haters still playin this jam|Mad Wisdoms, reflect the light of this man|Some jealous rappers, tried to pick a fight with this man|But despite all the nonsense, and false pretense I bomb this|Peace to those I get along with, my real nigga I'm strong with|And never get me twisted with no wack shit|And all that foolishness you was kickin, heh|I know you wanna take it back kid|[Chorus]|Keep your feet, out my shoes|A nigga like me done paid my dues|Keep my comb, out your hair|Unless you bout ready to take it there|Keep my name, out your mouth|Until you got somethin worth talkin bout|Keep your hands, to yourself|Cause I belong to someone else|Keep your feet, out my shoes|A nigga like me done paid my dues|Keep my comb, out your hair|Unless you bout ready to take it there|Keep my name, out your mouth|Until you got somethin worth talkin bout|Keep your hands, to yourself|Cause I belong to someone else||[Angie Stone]|Uhh.. Guru.. check it|DJ.. Scratch and Angie|Uhh..|Uhhhhh, ooooh yeahhh yeahhh||{*Angie harmonizes and scats to fade*}1Embed"
Guru,Take a Look (at Yourself),1993,"Take a Look (at Yourself) Lyrics(A lot of people don't realize that...|The reason why I'm talkin is... I'm tired of most)||[Intro]|And I'm tired of suckers always complain about your situation|'Cause you frontin' (you dig ?)||[Chorus (2x)]|Take a look at yourself|Take a look at yourself|Take one big look|Take a look at yourself (you dig ?)|[Verse 1]|You came up short man (that's right)|Yes just one time too many (too many)|Don't try to get too friendly (nah)|I shouldn't give you any (none)|R-E-S-P-E-C-T, you know respect (yeah)|You're messed up son, tryin' to play mack money (mack money)|You went for self, for the fast wealth, but you know what's funny?|Now you're fallin', crawlin', cryin' out for reasons (oww)|Should I sympathize, or let my lyrics give lesions?|And cuts? 'Cause I can straighten you up|I ain't on no crusade (nope)|It's just that your game's played (yup)|But are you afraid, to make moves, and get really paid?|You might fade (goodbye) cause punk you live for today|And most of your chances already blew away||[Chorus (2x)]|Take a look at yourself|Take a look at yourself|Take one big look|Take a look at yourself (you dig ?)||[Guru]|Listen (check it son)|Forget the dissin', I'm admittin'|I've done some wrong, also wrote some dope songs (word)|My man Roy, he brought the vibes along|Now I'm there, in here gettin' funky with the track|I used to drive a Cadillac, it took me there and back (right)|But seriously black, how you livin'? (how you livin'?)|From what I can see, word to mother you're slippin'|If I were you, I'd stop this fantasy world stuff (quit it)|'Cause the real world's tough, you ain't equipped enough|Step back, analyze, and use your own eyes to see (take a look)|I can't be you, you can't be me|For your problems, yo you can't blame no one else|You might also like[Chorus (2x)]|Take a look at yourself|Take a look at yourself|Take one big look|Take a look at yourself (you dig ?)||[Verse 3]|I ain't runnin away (never kid) yo are you?|I been through the BS, I got scars a few (many)|But I can't dwell in the hell that I've passed through (nope)|I'ma blast through (yup) and do what I gotta do (have to)|Amazing, suckers think this rap stuff won't phase them|I wait then, and cross the ceilings 'til they cave in (boom)|Or give in, 'cause the power keeps me driven (that's right)|I'll destroy the weak noise with much poise and no toys|Or tricks (nope) so stay off my tip|And get a grip on your own and get a life of your own|And stop waitin, for things to come to you|That's for chumps (that's right) I know what you oughta do||[Chorus (2x)]|Take a look at yourself|Take a look at yourself|Take one big look|Take a look at yourself (you dig ?)|[Bridge]|Yeah I wanna give a big, big shout out|To the Dirty Rotten Scoundrels and the Group Home|To my man Premier|Crazy shoutout to all the boroughs of New York|Know what I'm sayin'?|'Cause my man Roy Ayers is in full effect||[Chorus (2x)]|Take a look at yourself|Take a look at yourself|Take one big look|Take a look at yourself (you dig ?)||[Vibraphone Solo]1Embed"
Guru,Feel the Music,1995,"Feel the Music Lyrics[Intro: Baybe]|Feel the music|Feel the music||[Verse 1: Guru]|Times like this make me clench my fist|Then I'm caught up in the midst of the musical bliss|Guru, blow a kiss to the ladies in my corner|Caress the mic and kick my game like I wanna|What? You never see the brother Guru falter|Respect is due, praise me like the altar|The crew, we're as true as they come, son|We come from ill life experience, and take rap serious|Feel the music|[Chorus: Baybe]|We hold the key, to our destiny|We can make it everybody|Feel the music|Just free your mind, sit back relax and unwind|To a higher plane we're goin'|Can you feel the music?||Feel the music||[Verse 2: Guru]|Original baldhead Crooklynite, rudebwoy instructor|I came back to lay down law to the suckers|I'll crush ya, if you ain't actin' like my brother|Make one false move and with the mic, I'll bust ya|Just lay back and feel the music||[Chorus: Baybe]|We hold the key, to our destiny|We can make it everybody|Feel the music|Just free your mind, sit back relax and unwind|To a higher plane we're goin'|Can you feel the music?||Feel the music|Feel the music|Feel the music|You might also like[Verse 3: Guru]|When I step into the club, I come to do work|No hesitation, because I'm fully alert|Like Max Julien, I'm an authentic Mack|Many others can't compare, I'll bet on that|Dialect and vocal tone, completely exact|I react, then I max in this mellow track|In fact, I'm knockin' MC's out the frame|'Cause I'm smooth like jazz, Guru is my name|Feel the music||Feel the music||[Chorus: Baybe]|We hold the key, to our destiny|We can make it everybody|Feel the music||[Verse 4: Guru]|New reality.. a higher level of consciousness|Don't play yourself; get out of line and get stomped with this|Negativity is a chronic disease|But I'm like the cure, causin' infections to freeze|I'm not gonna let up, until you get the picture|My sound gets around, so you know I'm always with ya|Feel the music|Feel the music||[Chorus x3: Baybe]|We hold the key, to our destiny|We can make it everybody|Feel the music|Just free your mind, sit back relax and unwind|To a higher plane we're goin'|Can you feel the music?2Embed"
Guru,The Anthem,2001,"The Anthem Lyrics[Verse 1]|Yo fuck the kiddy crap, I did that stupid shit already jack|Many rapper talk about how they come strapped with plenty gats|And how they, were sellin' many cracks|I take my belt off and give 'em a hundred-twenty whacks|So many act, so I treat 'em like my sons|And nowadays you got frail niggas frontin' trife with guns|But I'm the truth like Beanie, none of y'all can see me|'Cause my family ties go as deep as Genovese|Baldhead to the S-L-I-C-K|Wanna rhyme, take a ride down my freeway|Peace to all the PJ's and all the DJ's|My word are like multitude so keep my shit on replay|He say, she say, niggas know I'm the man|Leavin' emcees depressed, tryna find a new plan|And few can ever measure up to these standards|The name is Baldhead Slick and yo, this is ""The Anthem""|[Hook: *cuts*]|""It's the gifted, prolific one...""|""Subtractin' all the rappers... who lack...""|""It's the gifted, prolific one...""|""Known as... Baldhead Slick...""|""It's the gifted, prolific one...""|""Carryin' my thoughts... the illest soldier...""|""It's the gifted, prolific one...""|""Known as... Baldhead Slick...""||[Verse 2]|One of the first real niggas, to ever rock a baldie|Slick Daddy; that's what my ladies like to call me|Trained in combat, still smooth in approach|Live from first class, while you snooze in coach|Coppin' cruiser boats, so I can rule the coast|Any altercation, our peeps and do a toast|I go from rockin' Timberlands, to wearin' Gucci boots|Never chasin' a silly bitch, even if the groupie's cute|I'm stakin' my claim, breakin' you lames|I'll choke you out into submission, you ain't takin' a bang|Fuck it, I'm takin' the blame for straight shakin' you up|Wakin' you up, that doo-rag ain't makin' you tough|Honestly you suck, like an infant on titties|Like kamikaze fighter planes, I bomb your city|Call me gritty, plus I'm spittin' at random|Bitch I'm Baldhead Slick, and yeah this is ""The Anthem""|You might also like[Hook: *cuts*]|""It's the gifted, prolific one...""|""Subtractin' others rappers... who lack...""|""It's the gifted, prolific one...""|""Known as... Baldhead Slick...""||[Verse 3]|Bis-Mi-Allah A-Rahman A-Rahim|All praises due, if ya know what I mean|I know what I've seen, so many folks broke with no CREAM|Bust out my own joints, so stop sellin' me dreams|Stop tellin' me lies, doin' the work of Yakub|I'm diligent and militant, and I'm gonna stop you|Drop you - right where ya standin'|Son I'm Baldhead Slick, and this is ""The Anthem""||[Hook: *cuts*]|""It's the gifted, prolific one...""|""Subtractin' others rappers... who lack...""|""It's the gifted, prolific one...""|""Known as... Baldhead Slick...""|""It's the gifted, prolific one...""|""Carryin' my thoughts... the illest soldier...""|""It's the gifted, prolific one...""|""Known as... Baldhead Slick...""Embed"
Guru,State of Clarity,2007,"State of Clarity Lyrics[Verse 1: Common]|My mind blows decisions, at times indecisive|I think about the paradox that life is|Keep my head to the sky and understand what Christ is|Turn off the news 'cause every day is a crisis|Lifeless *niggas* on the couch weeded out|It's certain types of *niggas* in my life I weeded out|I believe in the route of soul before paper|No gold before labor, truth told with no glaziers|Days are getting darker quick|I was told it was written, I'ma author it|Wanna go the same place that the martyrs went|The black figures on the wall in my apartment|Like LaDainian, y'all, I be charging it|Touching down with the people from my town|It's the Chi that be giving me my ground|Dug in the crates of my soul and I found… clarity|[Chorus: Guru and (Common)]|Be yourself (ah, and be so clear, come on)|Ayo, just be yourself (and be so clear)|So just be yourself (y'all be so clear)|C'mon, just be yourself (and be so clear)|Be yourself (yeah and be so clear)|Ayo, just be yourself (and be so clear)|So just be yourself (y'all be so clear)|C'mon, just be yourself (and be so clear)||[Verse 2: Guru]|Toiled in the trenches, faced judges on benches|Betrayed by some that I fed, not to mention|Standing here now in the best condition|Up outta the dirt so I suggest you listen|See, money can't make you or me|Protect my mind with nines 'cause it shines more than jewelry|Used to do things that weren't too productive|Now I breathe life into mics for your comfort|I see past the groupies and golddiggers to fine women|How I'm living? Doing me and not savagely driven|Taught the game of fortune and fame|So I'm not playing no more, I hold the torch with flames|I've lost and gained at the same time|MC's biting and swagger jacking still commit the same crimes|Once you see past the surface|That trash is worthless, with me you get a lasting purpose|You might also like[Chorus: Guru and (Common)]|Be yourself (and be so clear, come on)|Ayo, just be yourself (and be so clear)|So just be yourself (y'all be so clear)|C'mon, just be yourself (and be so clear)|Just be yourself (ah, and be so clear)|Ayo, just be yourself (and be so clear)|So just be yourself (y'all be so clear)|C'mon, just be yourself (and be so clear)Embed"
Guru,No Time to Play,1993,"No Time to Play Lyrics[Intro: Guru]|Yo I'm tired of chumps tryin to waste my time|I ain't got no time to play|Gotta make moves||[Chorus: DC Lee]|Never no time to play|Gotta keep workin every day|Never no time to play|Gotta make moves with no delay (I gotta make moves)|Never no time to play (No time to play)|Gotta keep workin every day|Never no time to play (I gotta make moves)|Gotta make moves|[Verse 1: Guru]|Nope, I can't stop, nope, I can't stop to talk|I gotta go I gotta go yo|Basically I'm a brother they depend on, lean on|So now I gotta be gone, I gotta keep strong|Always stayin busy kid, cause I can never fall off|Laziness ain't gettin to me|There's too much opportunity|And I'm not waitin for no one|'Cause slow ones, they don't get nuttin done son||[Chorus: DC Lee]|Never no time to play|Gotta keep workin every day (No time to play)|Never no time to play|Gotta make moves with no delay (I gotta make moves)|Never no time to play|Gotta keep workin every day (No time to play)|Never no time to play|Gotta make moves (I gotta make moves)||[Verse 2: Guru]|Your time is runnin short sport|Make a move or get caught|Nothing lasts forever, nothing lasts forever baby|Maybe, you shouldn't act so crazy|Instead of tryin to be the man|You could REALLY be the man, if you had a plan, understand?|But I'm not the one to be waitin for ya|Back in the day, I used to do stuff for ya|Now I'm warnin ya|That you really ain't no pimp, you wimp|You might also like[Chorus: DC Lee]|Never no time to play|Gotta keep workin every day (No time to play)|Never no time to play|Gotta make moves with no delay (I gotta make moves)|Never no time to play|Gotta keep workin every day|Never no time to play|(I gotta make moves) Gotta make moves||[Verse 3: Guru]|I gotta make moves, each and every day|I need the cash, I need the cash mo-ney|With my rhyme display, I may take all the paper|Wild, I guess I have the know-how|When you see me in the house you better go, ""What's up G?|What's up Gang?"" Then give me a pound|Because I've been down, dedicated and I've waited|For my turn, 'cause respect is somethin you earn||[Chorus: DC Lee]|Never no time to play|Gotta keep workin every day|Never no time to play (uhh, I gotta make moves)|Gotta make moves with no delay|Never no time to play (No time to play)|Gotta keep workin every day|Never no time to play (I gotta make moves)|Gotta make moves|Never no time to play|Gotta keep workin every day|Never no time to play|Gotta make moves with no delay|Never no time to play|Gotta keep workin every day|Never no time to play|Gotta make moves|Never no time to play|Gotta make moves|Never no time to play|No time to play, ahh|Never no time to play|Gotta make moves|[Bridge: DC Lee and Big Shug]|Ain't got no time|I ain't got no time|Ain't got no time|I ain't got no time|No time to play|I ain't got no time|No time to play|No time to play|No time to play|Ain't got no time|No time to play|No no time to play|No time to play|I ain't got no time|No time to play|I ain't got no time|No time to play|No time to play|No time to play-ohhh-ooooh-ahhh|Ain't got no time|I ain't got no time|I ain't got no time|Never have the time|Never no time to play|No time to play|No time to play|No time to play|No time to play-ayyy-hey||[Outro: Guru]|No time to play|My man Ronny Jordan gets busy on guitar|DC Lee and Big Shug in the house|Big shouts to the crew|Whassup to the Cutthroats, slicker than most|I ain't got no time yo so I'm gone, I'm goneEmbed"
