rapper,song,year,lyrics
Jeremih,Planez,2015,"Planez Lyrics[Intro]|This one goes out to all sides worldwide|Let that playa-ass nigga Thumpy be your guide|As we go on a ride|Where playa-hatin' killers and hood niggas thrive|And lame muh'fuckers can barely survive||[Verse 1: Jeremih]|Catch me rollin' through the city|Ridin' with the top off|Man, my whip so big, when you in it|Fuck around and get lost|Told my bitch to let her hair down|What this shit cost?|Tell me, baby, if you 'bout that life right now|Hope it ain't talk, no|[Refrain: Jeremih]|I could put you in the Mile High Club|What's up? Let's take a trip|Have you ever read ""The World Is Yours""|On a blimp?||[Pre-Chorus: Jeremih]|Tell her be free, baby, spread your wings|Got your legs in the sky like a plane|Let me guide that, I'm the pilot|Can't nobody see you, 30,000 feet|On your knees in them Pradas|Makin' freaky shit come up out her||[Chorus: Jeremih]|Get high, baby, roll one|Cloud nine 'bout to go up|Lovin' the feelin' the turbulence get when we turn up|When we land, we can roll out|Show you somethin' you ain't know 'bout|Tonight, we be takin' off flight with a camera to show out||[Verse 2: Jeremih]|I got you in the air, your body in the air|How it feel up here?|You can scream as loud as you want, loud as you can|And ain't nobody gonna hear|Would you like it better|If I hit the West Coast?|Tell me baby if you 'bout that life right now|I hope it ain't talk|You might also like[Refrain: Jeremih]|I could put you in the Mile High Club|What's up? Let's take a trip|Have you ever read ""The World Is Yours""|On a blimp?||[Pre-Chorus: Jeremih]|Tell her be free, baby, spread your wings|Got your legs in the sky like a plane|Let me guide that, I'm the pilot|Can't nobody see you, 30,000 feet|On your knees in them Pradas|Makin' freaky shit come up out her||[Chorus: Jeremih & J. Cole]|Get high baby, roll one|Cloud nine 'bout to go up|Lovin' the feelin' the turbulence get when we turn up|When we land we can roll out|Show you somethin' you ain't know 'bout (Cole World)|Tonight, we be takin' off flight with a camera to show out|I got it, I got it, I got it, listen||[Verse 3: J. Cole]|You need a nigga that's gon' come over and dig you out|You need a nigga that you know is not gon' run his mouth|You need a nigga when he done probably gon' put you out|You need a nigga that's gon' put it in your mouth|Dick so big, it's like a foot is in yo mouth|And you ain't babysittin' but my kids all on your couch|And oh, you nasty, oh, oh, you nasty|Both graduated, so fuck keepin' it classy|Look, they love me in the Chi like MJ|They love me in the Chi like Oprah|No nigga could block, not even Dikembe|Compared to Cole, boy, you're softer than a sofa|And so far, my new shit's so fire, nigga, check my profile|Who you know make waves in the low tide?|Deebo'd yo bitch, now she both ours|Nigga, little brown liquor in my liver|Pretty brown thing in my bed|Been a long time since I had to ask for head|So goddamn, don't make me beg|But I will if I need to, 'cause for real, girl, I need you|I could put you on a flight, we could take off tonight|If you scared of heights, shit, I got a pill I could feed you|Cole!|[Refrain: Jeremih]|I could put you in the Mile High Club|What's up? Let's take a trip|Have you ever read ""The World Is Yours""|On a blimp?927Embed"
Jeremih,Don’t Tell ’Em,2014,"Don’t Tell ’Em Lyrics[Intro: YG]|Mustard on the beat, ho||[Chorus: Jeremih]|Rhythm is a dancer, I need a companion|Girl I guess that must be you|Body like the summer, fuckin' like no other|Don't you tell 'em what we do|Don't tell 'em, don't tell 'em, you ain't even|Don't tell 'em, don't tell 'em|You ain't even, you ain't even gotta tell 'em|Don't tell 'em, don't tell 'em|You ain't even, don't tell 'em, don't tell 'em|You ain't even, you ain't even even gotta tell 'em|Don't tell 'em, don't tell 'em|[Verse 1: Jeremih]|Know you say you down with it|Won’t tell em how you hit the ground with it|Girl, you know I’m from Chicago|I act a fool, Bobby Brown with it (in it)|Nobody take me out, though|You got gifts, bring 'em down the South Pole|Marathon doll gon' put in miles|Don’t you worry 'bout him, I gon' work it out||[Pre-Chorus: Jeremih]|Only is you got me feeling like this|Oh why, why, why, why, why|Loving while grabbing the rhythm of your hips|That’s right, right, right, right, right||[Chorus: Jeremih]|Rhythm is a dancer, I need a companion|Girl, I guess that must be you|Body like the summer, fuckin' like no other|Don't you tell 'em what we do|Don't tell 'em, don't tell 'em, you ain't even|Don't tell 'em, don't tell 'em|You ain't even, you ain't even gotta tell 'em|Don't tell 'em, don't tell 'em|You ain't even, don't tell 'em, don't tell 'em|You ain't even, you ain't even even gotta tell 'em|Don't tell 'em, don't tell 'em|You might also like[Verse 2: Jeremih]|Girl, he fufu with it|But you know I know what to do with it|I'll give you that, girl, I'm talking laps|As if you got a pool in it|And she say she ain't with your best friends|Then let me be your diamond|You know you feeling, how your boy press play|Just keep that ass rewindin'||[Pre-Chorus: Jeremih]|Only is you got me feeling like this|Oh why, why, why, why|Loving while grabbing the rhythm of your hips|That’s right, right, right, right, right||[Chorus: Jeremih]|Rhythm is a dancer, I need a companion|Girl, I guess that must be you|Body like the summer, fuckin' like no other|Don't you tell 'em what we do|Don't tell 'em, don't tell 'em, you ain't even|Don't tell 'em, don't tell 'em|You ain't even, you ain't even gotta tell 'em|Don't tell 'em, don't tell 'em|You ain't even, don't tell 'em, don't tell 'em|You ain't even, you ain't even even gotta tell 'em|Don't tell 'em, don't tell 'em|[Verse 3: YG]|3-1-0 9-3-4 8-6-1-6|I got a missed call from your bitch|She been plottin' on me for a cool minute|She wanna' suck my dick, and I'm cool with it|I like girls in the shower, when it's winter fresh|It’s some Twitter pussy, I met on the Internet|On my late-night thirsty, ‘cause it was late-night and I was thirsty|Girl, I been to that county girl, I ain't tellin'|Handcuff me to the bed, girl it ain't no bailin'|I keep a stack of hundreds, I can keep a secret|If anything you was explorin', you wasn’t cheating|She got my number stored under fake names|Her nigga think she faithful, but she runnin' game|YOLO, so take me out these Polos|And we can fuck from Uno to Ocho||[Pre-Chorus: Jeremih]|Only is you got me feeling like this|Oh why, why, why, why, why|Loving while grabbing the rhythm of your hips|That’s right, right, right, right, right||[Chorus: Jeremih & YG]|Rhythm is a dancer, I need a companion|Girl, I guess that must be you|Body like the summer, fuckin' like no other|(I keep it on the D.L, and creep like TL|Just tell me them details, just hand me)|Don't you tell 'em what we do|Don't tell 'em, don't tell 'em, you ain't even|Don't tell 'em, don't tell 'em|You ain't even, you ain't even gotta tell 'em|Don't tell 'em, don't tell 'em|You ain't even, don't tell 'em, don't tell 'em|You ain't even, you ain't even even gotta tell 'em|Don't tell 'em, don't tell 'em (no)||[Outro: Jeremih]|Right, right, right, right, right, right, right|Don't tell 'em, don't tell 'em, no|Why, why, why, why would you do (oh)|Just keep the rhythm like that, that (that, that)|Put in on like that, that (that, that)|I know you like that (that, that, that, that)|You know I want that (that, that, that, that)|Ohh oh-ohh oh-ohh oh-ohh380Embed"
Jeremih,​oui,2015,"​oui Lyrics[Intro]|Ahh ahh ahh ahh ahh|Ahh ahh ahh ahh ahh|Ahh ahh ahh ahh ahh ahh..||[Verse 1]|I think about all the time|Think you may need all of mine|Hate to say you know that love is blind|I'm 'bout to see, I'll close my eyes|(Truth is) They can't see you in here though|Most of them need dollar signs to make|Every day your birthday|And every night your Valentine…|[Chorus]|If we|Tried that we could be|Somewhere in the climate|Is warm, long as you around me|I swear that everything will be just fine|I wish that we could take some time|Go anywhere, baby I don’t mind|Grown man, in my suit and tie|Hey, there's no we without you and I|Oh, yeah, ah yeah, ah ah yeah|Hey, there's no we without you and I|Oh yeah, ah yeah, ah ah yeah|Hey, there's no we without you and I||[Verse 2]|See my baby know|Where my baby go, I go|It's no better feeling, you know|When I’m next to her for sure|It's like you on my mind all day|Get this off my chest|Ah damn, I know I love you|I swear your shit the best|Friends, they know they hate|Get that off my chest|Ah yeah, I think I love you|Oh baby, maybe|You might also like[Chorus]|If we|Tried that we could be|Somewhere in the climate|Is warm, long as you around me|I swear that everything will be just fine|I wish that we could take some time|Go anywhere, baby I don’t mind|Grown man, in my suit and tie|Hey, there's no we without you and I|Oh, yeah, ah yeah, ah ah yeah|Hey, there's no we without you and I|Oh yeah, ah yeah, ah ah yeah|Hey, there's no we without you and I||[Bridge]|Oohh, da du du du|Oohh, da du du du|Oohh, da du du du|Oohh, da du du du||[Chorus]|If we|Tried that we could be|Somewhere in the climate|Is warm, long as you around me|I swear that everything will be just fine|I wish that we could take some time|Go anywhere, baby I don’t mind|Grown man, in my suit and tie|Hey, there's no we without you and I|Oh, yeah, ah yea, ah ah yeah|Hey, there's no we without you and I|Oh yeah, ah yeah, ah ah yeah|Hey, there's no we without you and I90Embed"
Jeremih,All the Time,2013,"All the Time Lyrics[Chorus: Natasha Mosley]|Early in the mornings when I think about you|Yeah - I hit you like “what you sayin'?”|In the mornings when I wanna fuck you|Yeah - I hit you like “what you sayin'?”|I could fuck you all the time|I could fuck you all the time||[Verse 1: Jeremih]|M-O-Ë-T, that's the fuck we sippin'|That's the fuck we drippin', trap house still tippin'|Facetime when I'm gone, she give me dome from a distance|And she love to climb on top, she love to walk off limpin'|Pimps up, hoes down, legs up or toes down|Why she jock me?|‘Cause she knocked knees and we got trees, so Mary go around|Gotta know I ate it, she so sweet, now and later|I want that all the time, all the time, I’mma give you all of mine when it’s|[Chorus: Natasha Mosley]|Early in the mornings when I think about you|Yeah - I hit you like “what you sayin'?”|In the mornings when I wanna fuck you|Yeah - I hit you like “what you sayin'?”|I could fuck you all the time|I could fuck you all the time||[Verse 2: Lil Wayne]|Uhh, p-p-p-pussy for breakfast, that’s how I start my day|My dick is a pen, it’s written all over her face|I put my tongue in her mouth, I make them pussy lips drool|She got that junk in her trunk, you know I like junk food|I tell her like this, life is good, your pussy better|I put on a magnum, like a gold medal|And if it’s sweet then I’mma eat it ‘til I get sugar diabetes|I’m a blood and she anemic, we perfect|Tunechi, oh yeah, I make her say|Young Mula Baby||[Chorus: Natasha Mosley]|Early in the mornings when I think about you|Yeah - I hit you like “what you sayin'?”|In the mornings when I wanna fuck you|Yeah - I hit you like “what you sayin'?”|I could fuck you all the time|I could fuck you all the time|You might also like[Verse 3: Jeremih]|Damn, damn lil’ mama, you’re sticky, icky, icky|Got a nigga out here feelin’ picky, icky, icky|Every time you put it on, man, it leave me real trippy|Every time we on it we keep it 50-50, uh|Don’t let the time ticky, icky, icky|While I’m snappin’ off your bra, and bitin’ on your Vickie's|Head shots, feelin’ real tipsy|Gettin’ real freaky and it’s gettin’ real frisky|She never say, ""no"", damn, she’s so cold|Up and down, that pole, she go, go|Fuck me like you hate me, kiss me like you miss me|Anything I want to, that’s what she always lets me||[Chorus: Natasha Mosley]|Early in the mornings when I think about you|Yeah - I hit you like “what you sayin'?”|In the mornings when I wanna fuck you|Yeah - I hit you like “what you sayin'?”|I could fuck you all the time|I could fuck you all the time104Embed"
Jeremih,Impatient,2015,"Impatient Lyrics[Pre-Chorus: Jeremih]|Know your city, what you're used to|Know I ain't exactly what you're used to|Know you're prolly worried what I'm used to|I don't blame you, what you s'posed do?|Last time we fucked like it was all night|Now you got me thinkin' 'bout you all night|Me and you, seemed like it'd be alright|Long as we can keep it all night||[Chorus: Jeremih]|Cup full, yeah I'm on|Poured up, she ready|Leave here, too on|Tell me where I'm headed|Tree leaf, a little O|You know I'm faded|Heart shape and I love that|Come here, I'm down with it|I, can't|I can't keep my eyes off your face|Let alone talk 'bout your body|I've been waiting for so long|Girl you just don't know, no|[Verse 1: Jeremih]|Still dippin' through the city with the top down|Shawty got that show-me-what-you-'bout-now|I ain't waitin' for tonight, I'm talkin' right now|Still know my way right with the lights down|Set it down every time you go low|Ain't nobody worried if we on it solo|You know when we creepin' it be alright|I kill it 'til you say it's all mine||[Pre-Chorus: Jeremih]|Know your city, what you're used to|Know I ain't exactly what you're used to|Know you're prolly worried what I'm used to|I don't blame you, what you s'posed do?|Last time we fucked like it was all night|Now you got me thinkin' 'bout you all night|Me and you, seemed like it'd be alright|Long as we can keep it all night||[Chorus: Jeremih]|Cup full, yeah I'm on|Poured up, she ready|Leave here, we're too on|Tell me where I'm headed|Tree leaf, a little O|You know I'm faded|Heart shape and I love that|Come here, I'm down with it|I, can't|I can't keep my eyes off your face|Let alone talk 'bout your body|I've been waiting for so long|Girl you just don't know, no|You might also like[Verse 2: Ty Dolla $ign]|Told her ""Bae I’m ready, bae I want it""|I can go all the way until the mornin'|We could do all different type of positions|I'ma have you suckin' on my fingers while I hit it|From the back, you like it like that|I know 50 different ways to make you climax|You got the flavored oil, girl you nasty|Rubbin' lotion on you, you ain't even ashy, yeah|Tryna get you to the room and take you down (Down, down, down, down, mmm)|Come give it to a thug, give it to a real one, oh, oh||[Chorus: Jeremih & Ty Dolla $ign]|Cup full, yeah I'm on|Poured up, she ready (Yeah she ready)|Leave here, too on (On)|Tell me where I'm headed (Where I'm headed)|Tree leaf, a little O (Little O)|You know I'm faded|Heart shape and I love that (Oh yeah)|Come here, I'm down with it (Yeah)|I, can't|I can't keep my eyes off your face|Let alone talk 'bout your body|I've been waiting for so long|Girl you just don't know, no32Embed"
Jeremih,Birthday Sex,2009,"Birthday Sex Lyrics[Verse 1]|It's yo' birthday so I know you want to ri-i-ide out|Even if we only go to my-y-y house|Sip mo' easy as we sit up on my-y-y couch|Feels good but I know you want to cry-y-y out|You say you want passion, I think you found it|Get ready for action, don't be astounded|We switchin' positions, you feel surrounded|Tell me where you want your gift, girl||[Chorus]|Girl, you know I-I-I, girl, you know I-I-I|I've been fiendin', wake up in the late-night dreamin' about your lovin'|Girl, you know I-I-I, girl, you know I-I-I|Don't need candles or cake, just need yo' body to make, ooh|Birthday sex, birthday sex (It's the best day of the year, girl)|Birthday sex, birthday sex (It feels like, feels like, lemme hit that G-spot, G-spot)|[Verse 2]|See you sexy and them jeans got me on tent|One, two, three, think I got you pinned|Don't tap out; fight until the end|Ring that bell; we gon' start over again|We grindin' with passion 'cause it's yo' birthday|Been at it for hours, I know you thirsty|You kiss me so sweetly, taste just like Hershey's|Just tell me how you want your gift, girl||[Chorus]|Girl, you know I-I-I, girl, you know I-I-I|I've been fiendin', wake up in the late-night dreamin' about your lovin'|Girl, you know I-I-I, girl, you know I-I-I|Don't need candles or cake, just need yo' body to make, ooh|Birthday sex, birthday sex (It's the best day of the year, girl)|Birthday sex, birthday sex (It feels like, feels like, lemme hit that G-spot, G-spot)||[Verse 3]|First, I'm gonna take a dive into the water|Deep until I know I pleased that body, body, ah-ooh|Or, girl, without a broom, I might just sweep you off your feet|And make you wanna tell somebody, body how I do|Or maybe we can float on top my waterbed|You close your eyes as I improv between yo' legs|We work our way from kitchen stoves and tables|Girl, you know I'm more than able to please, yeah|Say you wanted flowers on the bed|But you got me and hours on the bed|You might also like[Chorus]|Girl, you know I-I-I, girl, you know I-I-I|I've been fiendin', wake up in the late-night dreamin' 'bout your lovin'|Girl, you know I-I-I, girl, you know I-I-I|Don't need candles or cake, just need yo' body to make, ooh|Birthday sex, birthday sex (It's the best day of the year, girl)|Birthday sex, birthday sex (It feels like, feels like, lemme hit that G-spot, G-spot)67Embed"
Jeremih,Love Don’t Change,2010,"Love Don’t Change Lyrics[Verse 1]|Yehey|Girl I still kiss your head, in the morning|Make you breakfast in bed, while your yawning|And I don't do everything, how you want it|But you can't say your man, don't be on it||[Pre-Chorus 1]|Cause I know true love ain't easy|And girl I know it's you, cause you complete me|And I just don't want you leavin'|Even though I give you reasons|[Chorus]|Cause baby sometimes, I can tell just by your faces this part of us been gone for so long|And I know there's no replacing what we had going on for so long|But when it hurts, I can make it better|Girl if it works, it's gone be forever|We been through the worst, made it through the weather|Our problems and the pain (Pain), but love don't change, ooh ooh||[Verse 2]|Girl you still hold me close when you see me|And you still make me know that you need me|And I know sometimes you don't believe me|But you stay on my mind, so believe me||[Pre-Chorus 2]|Cause you have my heart don't break it (Oh no don't break it girl)|Girl when times get tough, don't hate me (Ohh)|And it all adds up, we gone make it (Gotta make it)|Cause when you mad, I know you can't fake it (Ohh)||[Chorus]|Cause baby sometimes, I can tell just by your faces this part of us been gone for so long (So long)|And I know there's no replacing what we had going on... for so long|But when it hurts, I can make it better|Girl if it works, it's gone be forever|We been through the worst, made it through the weather|Our problems and the pain (Pain), but love don't change|You might also like[Verse 3]|Hold me down and I'm gone do the same...for you love|I been through a thing... for you love|I want this together even though it gets better...|Or worse||[Chorus]|Cause baby sometimes, I can tell just by your face this part of us been gone for so long (So long)|And I know there's no replacing what we had going on... for so long|But when it hurts, I can make it better|Girl if it works, it's gone be forever|We been through the worst, made it through the weather|Our problems and the pain (pain), but love don't change|But when it hurts, I can make it better|Girl if it works, it's gone be forever|We been through the worst, made it through the weather|Our problems and the pain (Pain), but love don't change|Our love don't change93Embed"
Jeremih,Fuck You All the Time,2012,"Fuck You All the Time Lyrics[Pre-Hook: Natasha Mosley & OB O'Brien]|Early in the morning is when I think about you|I hit you like, ""what you saying""|And the morning is when I want to fuck you, yeah|I hit you like ""what you saying""||[Hook: Natasha Mosley & OB O'Brien]|I could fuck you all the time|I could fuck you all the time||[Verse: Jeremih]|M.O.E.T|That's the fuck we sip|That's the fuck we drip|Traphouse still tip|Facetime when I'm gone|She gives me dome from a distance|And she loves to climb on top|Because she loves to walk off limping|Pimps up, hoes down|Legs up or toes down|Why she jock me?|Because shes knock-kneed|And we've got trees|So Mary, go around|Gotta know, I ate her|She's so sweet, Now or Later|I want that all the time, all the time|I'll make you all mine|[Pre-Hook: Natasha Mosley & OB O'Brien]|Early in the morning is when I think about you|I hit you like, ""what you saying""|And the morning is when I want to fuck you, yeah|I hit you like ""what you saying""||[Hook: Natasha Mosley & OB O'Brien]|I could fuck you all the time|I could fuck you all the time||[Pre-Hook: Natasha Mosley & OB O'Brien]|Early in the morning is when I think about you|I hit you like, ""what you saying""|And the morning is when I want to fuck you, yeah|I hit you like ""what you saying""||[Hook: Natasha Mosley & OB O'Brien]|I could fuck you all the time|I could fuck you all the timeYou might also like40Embed"
Jeremih,Down on Me,2010,"Down on Me Lyrics[Intro: 50 Cent & Jeremih]|She want it, I can tell she want it|Want me to push up on it 'fore she know when I'm all on it|We get the party goin', liquor flowin', this is fire|50 and Jeremih number one, there's nothing higher (Oh!)|(Won't you go and) Get it, get it, work it, work it (I see you baby)|Break it, break it, down, down (Just put it down on me)|(Won't you go and) Get it, get it, work it, work it (Put it down on)|Break it, break it, down||[Verse 1: Jeremih]|Okay, she headed to the dance floor and she slowly start to poppin' it|Somethin' like my wrist piece, everybody got to watchin it|Girl you got that secret treasure, I'm gon' put a lock on it|Don't care what they say, I would be stupid to be not on it|Ms. Vicky, heard you got that sticky|Let's go and take nine shots, we'll just call it fifty|And I'm gonna licky licky licky 'til her hicky|Ha-ha-have her river runnin', keep you gunnin' 'til you empty|(Bang bang bang bang) Oh, you look so sweet|What you work at Bally's? Look at your physique|Girl you are a beauty, well-well I am a beast|They must have been trippin' to have let me off a leash|[Hook: Jeremih, 50 Cent & Jeremih]|I like the way you grind with that booty on me|Shorty you a dime, why you lookin' lonely?|Go buy another round and it's all on me|As long as I'm around, put it down on me|Just put it down on me, put it down on me|Down-down on me, put it down on me|Don't throw it off the mound, show me how it's 'gon be|Girl all I really want is you down on me (Put it down on me)||[Verse 2: 50 Cent & Jeremih]|System’s thumpin', party jumpin', shorty, she’s a perfect ten|She rock her hips then roll her hips then drop it down like it’s nothin|She shaped just like an hourglass, see how fast an hour passed|Time flies when I’m on that ass but I won’t put your shit on blast|Work it like a pro-pro-pro, sit and watch it go-go-go|Do her thing all on the flo', she bounce it fast and shake it slow|So sexual, incredible, she beautiful, she edible|I got her, I won’t let her go, I ain’t seen nothing better yo (Yeah)|Look at how she twerk it, the way she work it|Make me wanna hit it, hit it, heaven when I’m in it, in it (Oh, oh, yeah)|If I do not fit, I’m gonna make it|Girl you can take it, don’t stop, get it, get it||[Hook: Jeremih, 50 Cent & Jeremih]|I like the way you grind with that booty on me|Shorty you a dime, why you lookin' lonely?|Go buy another round and it's all on me|As long as I'm around, put it down on me|Just put it down on me, put it down on me|Down-down on me, put it down on me|Don't throw it off the mound, show me how it's 'gon be|Girl all I really want is you down on me (Put it down on me)|You might also like[Bridge: Jeremih]|Say you independent (Hey) get it from your momma (Hey)|Tell me if you with it (What?) do you really wanna? (Wanna)|Baby when you see me (Yeah) you know I be on it (Yeah)|Can you keep it up and (Up and) put it down up on me?|Say you independent, get it from your momma|Tell me if you with it, do you really wanna?|Baby when you see me, you know I be on it|Can you keep it up and, put it down up on me?|Down with that booty on me (On me)|Shorty you a dime, why you lookin' lonely?|Oh baby, we can go (Go) low (Low)|Low, yeah||[Hook: Jeremih, 50 Cent & Jeremih]|I like the way you grind with that booty on me|Shorty you a dime, why you lookin' lonely?|Go buy another round and it's all on me|As long as I'm around, put it down on me|Just put it down on me, put it down on me|Down-down on me, put it down on me|Don't throw it off the mound, show me how it's 'gon be|Girl all I really want is you down on me (Put it down on me)29Embed"
Jeremih,Remember Me,2015,"Remember Me Lyrics[Verse 1]|Fortunate to know you babe|While I've been busy running these streets|You make sure your home is straight|While I be politicking with the freaks|And I know everything has changed|Everything with you and me|Cause you know where my heart is girl|In our bed where you sleep||[Pre-Chorus]|I hope, I hope, I hope, I hope, I hope, I hope, I hope we make it babe|For rich or poor, we won't be broke|But baby even if a nigga ain't rich|[Chorus]|Remember me like this|Just like this|Remember me like this|Just like this||[Verse 2]|I know my loyalty, you waiting on it|But you've had it since the day you met it|Now I'd lose my way girl if I left you lonely|It's because of who we are, you hear love||[Pre-Chorus]|I hope, I hope, I hope, I hope, I hope, I hope, I hope we make it babe|For rich or poor, we won't be broke|But baby even if your nigga ain't rich||[Chorus]|Just remember me like this|Just like this|Remember me like this|Just like this||[Bridge]|Have me lover|Keep me baby|Think of me forever this way|Hold me closer, keep me safe|Now I told you, love don't change|Love me lover|Keep me baby|Think of me forever this way|Hold me closer, keep me safe|Keep me safe, oh|You might also like[Pre-Chorus]|I hope, I hope, I hope I hope, I hope, I hope I hope we make it babe|For rich or poor we won't be broke|But baby even if your nigga ain't rich||[Chorus]|Remember me like this|Just like this|Remember me like this9Embed"
