rapper,song,year,lyrics
Juice WRLD,Lucid Dreams,2017,"Lucid Dreams Lyrics[Intro]|Enviyon on the mix|No, no, no, no|No-no, no, no, no|No, no, no, no, no|No, no, no, no||[Chorus]|I still see your shadows in my room|Can't take back the love that I gave you|It's to the point where I love and I hate you|And I cannot change you, so I must replace you, oh|Easier said than done, I thought you were the one|Listenin' to my heart instead of my head|You found another one, but I am the better one|I won't let you forget me|I still see your shadows in my room|Can't take back the love that I gave you|It's to the point where I love and I hate you|And I cannot change you, so I must replace you, oh|Easier said than done, I thought you were the one|Listenin' to my heart instead of my head|You found another one, but I am the better one|I won't let you forget me|[Verse]|You left me falling and landing inside my grave|I know that you want me dead|I take prescriptions to make me feel a-okay|I know it's all in my head|I have these lucid dreams where I can't move a thing|Thinking of you in my bed|You were my everything|Thoughts of a wedding ring|Now I'm just better off dead (Uh, uh, uh)|I'll do it over again|I didn't want it to end|I watch it blow in the wind|I should've listened to my friends|Leave this shit in the past, but I want it to last|You were made outta plastic, fake|I was tangled up in your drastic ways|Who knew evil girls had the prettiest face?|You gave me a heart that was full of mistakes|I gave you my heart and you made heartbreak||[Bridge]|You made my heart break|You made my heart ache (I still see your shadows in my room)|You made my heart break|You made my heart ache (Can't take back the love that I gave you)|You made my heart break (Were made outta plastic, fake)|You made my heart ache (I still see your shadows in my room)|You made my heart break again (I was tangled up in your drastic ways)|(Who knew evil girls had the prettiest face?)|You might also like[Chorus]|I still see your shadows in my room|Can't take back the love that I gave you|It's to the point where I love and I hate you|And I cannot change you, so I must replace you, oh|Easier said than done, I thought you were the one|Listenin' to my heart instead of my head|You found another one, but I am the better one|I won't let you forget me|I still see your shadows in my room|Can't take back the love that I gave you|It's to the point where I love and I hate you|And I cannot change you, so I must replace you, oh|Easier said than done, I thought you were the one|Listenin' to my heart instead of my head|You found another one, but I am the better one|I won't let you forget me||[Outro]|Leave this shit in the past, but I want it to last|You were made outta plastic, fake|I was tangled up in your drastic ways|Who knew evil girls had the prettiest face?|Easier said than done, I thought you were—|—instead of my head|You found another— better one|I won't let you forget me517Embed"
Juice WRLD,All Girls Are the Same,2017,"All Girls Are the Same Lyrics[Intro]|Mhm, they're rotting my brain, love|These hoes are the same||[Verse 1]|I admit it, another ho got me finished|Broke my heart, oh, no, you didn't|Fuck sippin', I'ma down a whole bottle|Hard liquor, hard truth, can't swallow|Need a bartender, put me out my sorrow|Wake up the next day in the Monte Carlo|With a new woman, tell me she from Colorado|And she love women, she'll be gone by tomorrow|Who am I kiddin'?|All this jealousy and agony that I sit in|I'm a jealous boy, really feel like John Lennon|I just want real love, guess it's been a minute|Pissed off from the way that I don't fit in (I don't fit in)|Tell me, what's the secret to love? I don't get it|Feel like I be runnin' a race I'm not winnin'|Ran into the devil today and she grinnin'|[Pre-Chorus]|Hey, these girls are insane, yeah, uh||[Chorus]|All girls are the same, they're rotting my brain, love|Think I need a change before I go insane, love|All girls are the same, they're rotting my brain, love|Think I need a change before I go insane, love||[Verse 2]|Ten minutes, she told me it would take ten minutes|To break my heart, oh, no, she didn't|Fuck livin', I'ma drown in my sorrow|Fuck givin', I'ma take, not borrow|And I'm still sinnin', I'm still losin' my mind|I know I been trippin', I'm still wastin' my time|All the time given, am I dyin'? Am I livin'?|It's fuck feelings, my sorrow go up to the ceilin'||[Pre-Chorus]|Ah||[Chorus]|Now I am insane, demons in my brain, love|Peace I can't attain 'cause all these girls the same, love|Now I am insane, demons in my brain, love|Peace I can't attain 'cause all these girls the same, loveYou might also like237Embed"
Juice WRLD,Wishing Well,2020,"Wishing Well Lyrics[Intro]|Mm-mm, mm-mm-mm-mm, mm-mm-mm, uh|I can't breathe (Chopsquad), I can't breathe, 999|Waiting for the exhale|I toss my pain with my wishes in a wishing well||[Chorus]|I can't breathe, I'm waiting for the exhale|Toss my pain with my wishes in a wishing well|Still no luck, but oh well|I still try even though I know I'm gon' fail|Stress on my shoulders like a anvil|Perky got me itching like a anthill|Drugs killing me softly, Lauryn Hill|Sometimes I don't know how to feel|[Verse 1]|Ring-ring, phone call from depression|You used my past and my memories as a weapon|On the other line, I talk to addiction, huh|Speaking of the devil, all the drugs, I miss them|This can't be real, is it fiction?|Somethin' feels broke, need to fix it|I cry out for help, do they listen?|I'ma be alone until it's finished||[Pre-Chorus]|This is the part where I tell you I'm fine, but I'm lying|I just don't want you to worry|This is the part where I take all my feelings and hide 'em|'Cause I don't want nobody to hurt me||[Chorus]|I can't breathe, I'm waiting for the exhale|Toss my pain with my wishes in a wishing well|Still no luck, but oh well|I still try even though I know I'm gon' fail|It's stress on my shoulders like a anvil|Perky got me itching like a anthill|Drugs killing me softly, Lauryn Hill|Sometimes I don't know how to feel|You might also like[Verse 2]|Sometimes I don't know how to feel|Let's be for real|If it wasn't for the pills, I wouldn't be here|But if I keep taking these pills, I won't be here, yeah|I just told y'all my secret, yeah|It's tearing me to pieces|I really think I need them|I stopped taking the drugs and now the drugs take me||[Pre-Chorus]|This is the part where I tell you I'm fine, but I'm lying|I just don't want you to worry|This is the part where I take all my feelings and hide 'em|'Cause I don't want nobody to hurt me||[Chorus]|I can't breathe, I'm waiting for the exhale|Toss my pain with my wishes in a wishing well|Still no luck, but oh well|I still try even though I know I'm gon' fail|It's stress on my shoulders like a anvil|Perky got me itching like a anthill|Drugs killing me softly, Lauryn Hill|Sometimes I don't know how to feel218Embed"
Juice WRLD,Robbery,2019,"Robbery Lyrics[Intro]|Man, what? (Haha)|This shit funny, one sec|Oof, this Hennessy strong as fuck, boy||[Chorus]|She told me put my heart in the bag (In the bag)|And nobody gets hurt (No hurt)|Now I'm running from her love, I'm not fast (Fast)|So I'm making it worse (Making it worse)|Now I'm digging up a grave from my past|I'm a whole different person (I'm a whole different person)|It's a gift and a curse (It's a gift and a curse)|But I cannot reverse it|[Verse 1]|I can't reverse it|It was a gift and a curse|And now I'm drinkin' too much, so I'ma talk with a slur|Last time I saw you, it ended in a blur|I woke up in a hearse|You said, ""You loved me first"" (First)|One thing my dad told me was, ""Never let your woman know when you're insecure""|So I put Gucci on the fur|And I put my wrist on iceberg|One thing my heart tells me is|""Flex on a ho every time they're insecure""|I guess you came through, I'm running from you|Is your love for real? (For real? For real?)|Is your love really true?||[Chorus]|She told me put my heart in the bag (In the bag)|And nobody gets hurt (Hurt)|Now I'm running from her love, I'm not fast (Fast)|So I'm making it worse (Worse)|Now I'm digging up a grave from my past (Past)|I'm a whole different person (Person)|It's a gift and a curse (Curse)|But I cannot reverse it|You might also like[Bridge]|You gave me the runaround|I really hate the runaround|You really got me paranoid|I always keep a gun around|You always give me butterflies|When you come around|When you come around|When you come around||[Verse 2]|You let me know love is not the answer|Not the answer, not the answer|I love to do drugs, so mind my manners|I get high when you don't decide to answer|Phone home, I need to phone home|I'm throwing rocks at your window, I need to go home|I don't wanna leave|I just wanna be with you|You, you, you||[Chorus]|She told me put my heart in the bag (In the bag)|And nobody gets hurt (No hurt)|Now I'm running from her love, I'm not fast (Fast)|So I'm making it worse (I'm making it worse)|Now I'm digging up a grave from my past|I'm a whole different person (I'm a whole different person)|It's a gift and a curse (It's a gift and a curse)|But I cannot reverse it280Embed"
Juice WRLD,Legends,2018,"Legends Lyrics[Intro]|I usually don't speak on shit like this, but|Ain't nobody else saying shit|Daytrip took it to ten (Hey)||[Chorus]|I usually have an answer to the question, but this time I'm gon' be quiet (This time)|Ain't nothing like the feeling of uncertainty, the eeriness of silence|This time, it was so unexpected|Last time, it was the drugs he was lacing|All legends fall in the making, yeah, sorry truth, uh|Dying young, uh, demon youth|[Verse 1]|What's the 27 Club? We ain't making it past 21|I been going through paranoia, so I always gotta keep a gun|Damn, that's the world we live in now|Yeah, hold on, just hear me out|They tell me I'ma be a legend, I don't want that title now|'Cause all the legends seem to die out, what the fuck is this 'bout?|I'm tryna make it out, I'm tryna change the world|I'm tryna take her out, I'm tryna take your girl|More importantly, I'm tryna change the world|Maybe flex with some diamonds and pearls, yeah||[Chorus]|I usually have an answer to the question, but this time I'm gon' be quiet (This time)|Ain't nothing like the feeling of uncertainty, the eeriness of silence|This time, it was so unexpected|Last time, it was the drugs he was lacing|All legends fall in the making, yeah, sorry truth, uh|Dying young, uh, demon youth||[Verse 2]|My mind is foggy, I'm so confused|We keep on losing our legends to|The cruel cold world, what is it coming to?|The end of the world, is it coming soon?|You might also like[Interlude]|Now, ooh, ooh, oh|That hit's for you||[Chorus]|I usually have an answer to the question, but this time I'm gon' be quiet (This time)|Ain't nothing like the feeling of uncertainty, the eeriness of silence|This time, it was so unexpected|Last time, it was the drugs he was lacing|All legends fall in the making, yeah, sorry truth, uh|Dying young, uh, demon youth||[Outro]|Daytrip took it to ten (Hey)256Embed"
Juice WRLD,Righteous,2020,"Righteous Lyrics[Intro]|I will (I will)|I will (I will)|I will|Oh-ooh (Oh-ooh)|Uh (Uh)||[Chorus]|All white Gucci suit, I'm feeling righteous, yeah|I know that the truth is hard to digest, yeah|Five or six pills in my right hand, yeah|Codeine runneth over on my nightstand|Takin' medicine to fix all of the damage|My anxiety the size of a planet (Yeah, ooh)|Holes in my skull, over time|My heart's over ice (Woah)|[Verse 1]|Over ice, I'm freezing|Beautiful eyes, deceiving|We may die this evening|Coughing and wheezing, bleeding|Hi, I'm anxious so|Blood moons are my eyes, stay low|Red and black, they glow|Under attack, in my soul|When it's my time, I'll know|Never seen a hell so cold|Yeah, we'll make it out, I know|We'll run right through the flames, let's go||[Chorus]|All white Gucci suit, I'm feeling righteous, yeah|I know that the truth is hard to digest, yeah|Five or six pills in my right hand, yeah|Codeine runneth over on my nightstand|Taking medicine to fix all of the damage|My anxiety the size of a planet (Yeah, ooh)|Holes in my skull, over time|My heart's over ice (Woah, uh)||[Verse 2]|I'm in too deep|Can't swim like me|We're drowning, so I will sing|My demons turn face under me|Inhale, exhale, but I can't breathe|Too busy drinking codeine doin' high speeds|Crash (Shh), pour a four, sip it slow, make the time pass|Take a pill for the thrill, have a relapse|Devil in my head tryna run gym laps|I ain't tryna race, he don't even know me like that|You might also like[Chorus]|All white Gucci suit, I'm feeling righteous|I know that the truth is hard to digest|Five or six pills in my right hand|Codeine runneth over on my nightstand|Taking medicine to fix all of the damage|My anxiety the size of a planet (Yeah, ooh)|Holes in my skull, over time|My heart's over ice (Woah)||[Outro]|I will sing236Embed"
Juice WRLD,Lean wit Me,2018,"Lean wit Me Lyrics[Intro]|Drugs got me sweatin', but the room gettin' colder|Lookin' at the devil and the angel on my shoulder|Will I die tonight? I don't know, is it over?|Lookin' for my next high, I'm lookin' for closure||[Chorus]|Lean with me, pop with me|Get high with me if you rock with me|Smoke with me, drink with me|Fucked up liver with some bad kidneys|Lean with me, pop with me|Get high with me if you rock with me|Smoke with me, drink with me|Fucked up liver with some bad kidneys|[Verse 1]|Told her if I die, I'ma die young|Every day I've been gettin' fucked up|Finally know the difference between love and drugs|Shawty tell me I should really sober up|This shit ain't fiction, it's too real, too real|Fuck one dose, I need two pills, two pills|I'm lookin' for trouble so I know I'm gonna find it|Ring, ring, plug hit my phone, perfect timin'|I know I'm not right|But I'm not wrong, no, I'm not wrong|Girl, you hate it when I'm too high|But that's where I belong, where I belong||[Chorus]|Lean with me, pop with me|Get high with me if you rock with me|Smoke with me, drink with me|Fucked up liver with some bad kidneys|Lean with me, pop with me|Get high with me if you rock with me|Smoke with me, drink with me|Fucked up liver with some bad kidneys||[Verse 2]|Eyes red, no Visine|Crashed the Mustang, no Saleen|Yeah, I love beans, yeah, I love lean|I laugh when they ask if my piss clean|Huh, smoke with me, huh, pop with me, huh|Ayy, Gucci store, come and shop with me|If I overdose, bae, are you gon' drop with me?|I don't even wanna think about that right now|Let's get too high, reach a new height|Take the shrooms and the pills at the same time|Went to Hollywood thrills from the street life|Took too many drugs, now I don't feel right|You might also like[Chorus]|Lean with me, pop with me|Get high with me if you rock with me|Smoke with me, drink with me|Fucked up liver with some bad kidneys|Lean with me, pop with me|Get high with me if you rock with me|Smoke with me, drink with me|Fucked up liver with some bad kidneys (Bad kidneys)||[Outro]|Oh-oh|Oh-oh-oh|Oh-oh-oh170Embed"
Juice WRLD,Wasted,2018,"Wasted Lyrics[Intro: Juice WRLD & Lil Pump]|Yeah, no, no, no|No, no, no, uh|Fuck, uh, Perc'|CB on the beat, ho|Perc', mmm|Bitch, yeah, huh||[Chorus: Juice WRLD]|Wasted, GTA love, bitches wasted|Wasted, I'm on these drugs, I feel wasted|Wasted, get her off my mind when I'm wasted|Wasted, I waste all my time when I'm wasted|Wasted, GTA love, bitches wasted|Wasted, I'm on these drugs, I feel wasted|Wasted, get her off my mind when I'm wasted|Wasted, I waste all my time when I'm wasted|Wasted|[Post-Chorus: Juice WRLD]|She do cocaine in my basement|I'm a doctor, but I'm runnin' out of patience|She told me that she tryna get closer to Satan|She be talkin' to him when she in the matrix||[Verse 1: Juice WRLD]|Damn, why is she so demonic?|She Medusa with a little Pocahontas|She been lacin' all my drugs or somethin'|'Cause every time that we're together, I'm unconscious|Hold up, uh, let me be honest|I know I saw her put the Percs in my chronic|Smokin' 'til my eyes roll back like the omen|Just another funeral for her, goddamn||[Chorus: Juice WRLD]|Wasted, GTA love, bitches wasted|Wasted, I'm on these drugs, I feel wasted|Wasted, get her off my mind when I'm wasted|Wasted, I waste all my time when I'm wasted|Wasted, GTA love, bitches wasted|Wasted, I'm on these drugs, I feel wasted|Wasted, get her off my mind when I'm wasted|Wasted, I waste all my time when I'm wasted|Wasted|You might also like[Post-Chorus: Juice WRLD]|She do cocaine in my basement|I'm a doctor, but I'm runnin' out of patience|She told me that she tryna get closer to Satan|She be talkin' to him when she in the matrix||[Verse 2: Lil Uzi Vert]|Rockstar, that's our style, these boys can't take it (Yeah)|Hatin', but they're still tryna take our cadence (Woah)|No basic, brand new 'Rari when I'm racin' (Yeah)|Take it, let you roll my weed, please don't lace it, yeah (Yeah)|That's a bum bitch that you chasin', ayy (Yeah)|Foreign with me, she a dominatrix (Woah)|I love that girl and I do like her body|""I don't want the money, I just want the molly""|That's what she say when she lived in the Valley|Lil' boy, I'm your father, hakuna matata|I made that girl give all of that top up|Got dreads in my head, used to pray for the lock up|I hit from the back and my legs start to lock up|Jacuzzi that booty, I gave that girl flakka|I'm takin' blue caps that keep tweakin' my chakra|Rose on my chain, there's no hint like no copper|Tats in the middle my head like I'm Avatar|That's the reason that I ride on my Appas|[Chorus: Juice WRLD & Lil Uzi Vert]|Wasted, GTA love, bitches wasted|Wasted, I'm on these drugs, I feel wasted|Wasted, get her off my mind when I'm wasted|Wasted, I waste all my time when I'm wasted (Yeah)|Wasted, GTA love, bitches wasted|Wasted, I'm on these drugs, I feel wasted|Wasted, get her off my mind when I'm wasted|Wasted, I waste all my time when I'm wasted|Wasted||[Post-Chorus: Juice WRLD & Lil Uzi Vert]|She do cocaine in my basement (In my basement)|I'm a doctor, but I'm runnin' out of patience (Out of patience)|She told me that she tryna get closer to Satan (Satan)|She be talkin' to him when she in the matrix||[Verse 3: Juice WRLD]|My eyes closed, hopin' this ain't make-believe|And she don't know that all her demons live in me, yeah|I don't know, I don't know|Don't know what she been on, I don't know|All that lean I sip on, now watch me pour it|One cup on me, don't got no friends|I'm an open door, I ain't have to let her in|She ain't take my heart, but she took my medicine|Least somebody gon' take it, hate to waste it||[Chorus: Juice WRLD with Lil Uzi Vert]|Wasted, GTA love, bitches wasted|Wasted, I'm on these drugs, I feel wasted|Wasted, get her off my mind when I'm wasted|Wasted, I waste all my time when I'm wasted (Yeah)|Wasted, GTA love, bitches wasted|Wasted, I'm on these drugs, I feel wasted|Wasted, get her off my mind when I'm wasted|Wasted, I waste all my time when I'm wasted|Wasted||[Outro: Juice WRLD]|Wasted, wasted, wasted, wasted70Embed"
Juice WRLD,Empty,2019,"Empty Lyrics[Chorus]|From the unknown|I ran away, I don't think I'm coming back home|Whoa-whoa-whoa-whoa-whoa-whoa|Like a crawlspace, it's a dark place I roam|Ain't no right way, just the wrong way I know|I problem-solve with Styrofoam|My world revolves around a black hole|The same black hole that's in place of my soul, uh|Empty, I feel so goddamn empty|I may go rogue|Don't tempt me, big bullet holes|Tote semi-autos|[Verse 1]|Huh, yeah|I'm keepin' it real, real|I'm keepin' it real, uh, yeah|Life gets tough, shit is getting real (Yeah)|I don't know how to feel|Swallowing all these pills|Numb my real feels, uh|Devil standing here|Tryna' make a deal, uh|It ain't no deals|Feel like I'm going crazy but still took a lot to get me here|Losing my sanity up in a house in the hills, hills, hills|I ain't have anything then and I still don't have anything still, still, still, uh|Bein' me, I rock, PnB|These hoes actin' like gossip, TMZ|These drugs acting like|Mosh pits squishing me|Oh my, oh me, how they kill me slowly|Lonely, I been gettin' no peace|OD, feel like overdosing|Low key I been looking for the signs|But all I can find is a sign of the times||[Chorus]|From the unknown|I ran away, I don't think I'm coming back home|Whoa-whoa-whoa-whoa-whoa-whoa|Like a crawlspace, it's a dark place I roam|Ain't no right way, just the wrong way I know|I problem-solve with Styrofoam|My world revolves around a black hole|The same black hole that's in place of my soul, uh|Empty, I feel so goddamn empty|I may go rogue|Don't tempt me, big bullet holes|Tote semi-autos|You might also like[Verse 2]|I ain't suicidal|Only thing suicide is suicide doors|Fight for survival|Gotta keep hope up, rolling good dope up (Uh)|Hold my hand, through hell we go|Don't look back, it ain't the past no more|Gonna get to the racks, all them niggas want war|Yeah, I was put here to lead the lost souls|Exhale depression as the wind blows|These are the laws of livin' in vogue|We're perfectly imperfect children|Rose from the dust, all of us are on a mission|Never gave a fuck, really came from rags to riches|Now we live it up, driving with the rooftop missin'|I don't give a fuck, really came from rags to riches|Now I live it up, driving with the rooftop missin'||[Chorus]|From the unknown|I ran away, I don't think I'm coming back home|Whoa-whoa-whoa-whoa-whoa-whoa|Like a crawlspace, it's a dark place I roam|Ain't no right way, just the wrong way I know|I problem-solve with Styrofoam|My world revolves around a black hole|The same black hole that's in place of my soul, uh|Empty, I feel so goddamn empty|I may go rogue|Don't tempt me, big bullet holes|Tote semi-autos110Embed"
Juice WRLD,Armed and Dangerous,2018,"Armed and Dangerous Lyrics[Intro]|Gun 'em down (Gun 'em down, bih, yeah)|With a .50 (With a .50, brr, bih', brr)|Gun 'em down (Gun 'em down, uh)|Oh my God, huh (Oh my God, uh)|Ya dig? (Ya dig? Uh, hoo)|999 shit, ayy (999 shit, hoo)|When||[Chorus]|I'm in town (Yeah, uh)|Party's goin' down (You dig? It's goin' down, hoo)|Shoot 'em down (Baow)|With a .50 round (You dig? A .50 round, hoo, ayy)|Run the town (What?)|Ballin' hard, you outta bounds (You dig? Swish, ayy)|So much money, damn it, I forgot the count|(Cash, cash, cash, you dig? Hoo)|Ayy, look at my bank account (You dig? Hoo)|Look at the cash amount (Hoo, ooh, you dig?)|I get the cash, I'm out (You dig? Yeah, hoo)|I do the dash, I'm out (You dig? Yeah, hoo, ooh)|Look at my bank account (You dig? Ooh)|Look at the cash amount (You dig? Skrrt, uh)|I get the cash, I'm out (Look, uh)|I just be cashin' out (You dig? Skrr)|[Verse 1]|Walk in that bitch and I'm faded, uh, I fuck that bitch when I'm faded|I got the M&M's (Millions), I called my mom, told her I made it|Yeah, mama, your son too famous (Yeah), he on everybody playlist|But he's still armed and dangerous, he'll pop at a stranger||[Bridge]|Sippin' lean, cliché, I still do it anyway|Red or purple in a cup, which one shall I pick today? Ayy, ayy|Sippin' hard, gun on me, no need for bodyguard||[Verse 2]|Aim at your body parts, yeah, take off your body parts, yeah|I'm swingin' when I'm off the ecstasy (Uh), that's a Molly park, yeah|Iron on me, hoo-hoo, that's a Tony Stark, yeah|Pourin' fours in a twenty ounce soda pop, yeah|I'm O.C, three-gram Wood full of OG (Huh)|Give BM dick like Moby (Uh), gun make him flash, Adobe (Uh)|Pay up that cash, you owe me, yeah, huh, bitch, I need it|Matter fact, fuck that shit, I'm rich, uh, you can keep it|Yeah (Bitch, woo, yeah), damn|Rich niggas over here (They over, huh, here), yeah|Broke niggas over there (They over, uh, there, hoo)|Why is you over here? (Why?)|Go over there (Go over, uh, go over, hoo, go over there, what?)|Yeah, yeah, yeah, yeah|You might also like[Chorus]|I'm in town (Yeah, uh)|Party's goin' down (You dig? It's goin' down, hoo)|Shoot 'em down (Baow)|With a .50 round (You dig? A .50 round, hoo, ayy)|Run the town (What?)|Ballin' hard, you out of bounds (You dig? Swish, ayy)|So much money, damn it|I forgot the count (Cash, cash, cash, you dig? Hoo)|Ayy, look at my bank account (You dig? Hoo)|Look at the cash amount (Hoo, ooh, you dig?)|I get the cash, I'm out (Yeah, hoo)|I do the dash, I'm out (You dig? Yeah, hoo, ooh)|Look at my bank account (You dig? Ooh)|Look at the cash amount (You dig? Skrrt, uh)|I get the cash, I'm out (Look, uh)|I just be cashin' out (You dig? Skrr)100Embed"
