rapper,song,year,lyrics
MC Ren,Ruthless For Life,1998,"Ruthless For Life Lyrics[Intro]|Make a long live the Villain nigga, fuck a intro||[Hook]|The saga continues right before your eyes|The saga continues cause it's do or die|The saga continues right before your eyes|You know why? Why? - Cause I'm Ruthless for life|The saga continues right before your eyes|The saga continues cause it's do or die|The saga continues right before your eyes|You know why? Why? - Cause I'm Ruthless for life|[Verse 1]|Nigga ten years passed, and we still up in that ass|Villain make it all continuing, look at all the shit you in|Eazy-Duz-It, heavy like the shit we used to do|5 niggas coming out the C-P-T, so fuck you|Time changed for the good|Niggas in the hood be coming up|Villain can you set it off again, you know, you should|Yo let's take this shit back to 1989|Where these niggas shit, I'm busting, niggas know they couldn't find|Dream Team lovers, Egyptian fan based|Villain hit the scene, all them fools got erased|Threw a motherfucking monkey, wrench up in the rap game|Since I hooked up with E, shit ain't never been the same|Opened up doors for you niggas that be thinking|That your flows be on tizight|Biting what I wrizite, joking when I recite|Villain manuscripts when I MC|If it ain't ruff it ain't me||[Hook]|The saga continues right before your eyes|The saga continues cause it's do or die|The saga continues right before your eyes|You know why? Why? - Cause I'm Ruthless for life|The saga continues right before your eyes|The saga continues cause it's do or die|The saga continues right before your eyes|You know why? Why? - Cause I'm Ruthless for life|You might also like[Verse 2]|All y'all motherfucking G's nigga, like Eric Wright|You can floss for your bitch, but you know this shit is tight|Cause when y'all niggas started rappin, who you trying to be?|I'mma slap you cause you lying if you don't be saying me|Or the other 3, that the FBI be phone tapping|Shoot the government before you niggas start rapping|Now it's clone city, I gotta bomb it like Iraq|Use my alias, spend my nights at The Shack|Ruthless attack all the way to two thou'|Try to black it out, but you never knew how and when|I walk through the crowd, I'm seeing motherfucker's brain|I hear their bitches saying that's MC Ren|Making fools Sway when I pull the King Tech's|Because I started cussing all you fools getting checks|Ruthless for life, see, that be my state of mind|Y'all can Kizz My Black Azz one more time||[Hook]|The saga continues right before your eyes|The saga continues cause it's do or die|The saga continues right before your eyes|You know why? Why? - Cause I'm Ruthless for life|The saga continues right before your eyes|The saga continues cause it's do or die|The saga continues right before your eyes|You know why? Why? - Cause I'm Ruthless for life|[Verse 3]|I run a hundred miles just so I can MC|Villain wants that bomb so I get with L.T|Ain't nothing changed, we find them, fuck them, then flee|While you're hating, pillow talking, with that bitch, she want me|Niggas weed crazy, Dre and Snoop turned you out|Now y'all cristal sipping, y'all niggas be tripping|Make the West look like ass, all full of shit|Investing drug money, shit still didn't hit|What it takes for y'all quit, Ruthless got it on lock|Y'all shooting videos trying to look like 'Pac|Here we come, here we come, blowing up your spot|With my little brother Jubee and that Bigg homie Rocc|Full Circle, all that shit gone repeat|When the shit dropped, niggas clowning in the streets|The saga continues right before your eyes|Villain gives a fuck nigga, cause this is ruthless for life||[Hook]|The saga continues right before your eyes|The saga continues cause it's do or die|The saga continues right before your eyes|You know why? Why? - Cause I'm Ruthless for life|The saga continues right before your eyes|The saga continues cause it's do or die|The saga continues right before your eyes|You know why? Why? - Cause I'm Ruthless for life4Embed"
MC Ren,Final Frontier,1992,"Final Frontier Lyrics[Intro: DJ Bobcat]|Hey, hey Ren, hey check this out loc|Hey man I've been hearing a gang of niggas|Talking a whole lot of unnecessary bullshit man|What if one of them trick ass niggas|Come at you the wrong way, loc?||[Verse 1]|I'll beat a nigga's ass on this track just for the hell of it|There the motherfucking piece of pussy there's no tell of it|I don't give a damn I'll beat a nigga like he stole something|And then I'll let the motherfucker know where Ren is coming from|(Where you from, loc?)|I'm from Compton, everybody's on the wagon|I'm looking for niggas that's thinking|That they're the shit, that's who I'm tagging|Never asking questions I just go right in and do it|And if you're thinking that you can fuck with Ren|You bitch already blew it|Like I said before, fools want up in my shoes|But after fucking with me|They giving up rapping and singing the blues|Me and DJ Train dropping bombs like a B-2|So you should get the picture or if not, you get a preview|That we don't take no shit|Cause MC Ren ain't a nigga that you wanna try and fuck with|Kick a little ass in my spare time|To keep myself occupied when I'm not busting up a rhyme|Writing that shit that ya love to hear|Cause MC Ren is the final frontier|[Hook]|Who is it? - The black nigga that they call Ren|Who is it? - The black nigga that they call Ren|Who is it? - The black nigga that they call Ren|You fuck with me, you gotta fuck with a Mac-10|Who is it? - The black nigga that they call Ren|Who is it? - The black nigga that they call Ren|Who is it? - The black nigga that they call Ren|You fuck with me, you gotta fuck with a Mac-10||[Verse 2]|Now throw your hands in the air and let me see ya slap a ho|Start the violence going on through an MC Ren show|I don't give a fuck if niggas is fighting in the crowd|I only got one concern, that's my vocals pumping loud|I'm standing on the stage I got my niggas to my right|I bust a couple of verses|Then jump in the crowd and get with the fight|I hit a nigga off in the head with a chair|The reason for that, the motherfucker he was standing there|Then DJ Train will grab the gauge - just in case a motherfucker|Talks shit; he'll be the victim on the front page|He's on his way to the morgue - to kick it with the rest|Of them motherfuckers that I gave free room and board|So when you at my show|Let me see ya throw your hands up in the air and slap a ho|Cause that's the only noise I wanna hear|Cause MC Ren is the final frontier|You might also like[Hook]|Who is it? - The black nigga that they call Ren|Who is it? - The black nigga that they call Ren|Who is it? - The black nigga that they call Ren|You fuck with me, you gotta fuck with a Mac-10|Who is it? - The black nigga that they call Ren|Who is it? - The black nigga that they call Ren|Who is it? - The black nigga that they call Ren|You fuck with me, you gotta fuck with a Mac-10||[Verse 3]|The final frontier makes the average nigga wonder|Why they do a couple of records and then they go up under|Try to copy Ren but Ren just can't be duplicated|Motherfuckers making pussy shit so I come in and fade it|Slap the niggas like bitches if they have to talk back|Put my foot so deep in their ass they have a hole and not a crack|The shit just makes a nigga laugh, cause niggas be coming to me|Asking me why did I leave a size 10 Nike in their ass|I tell them I had to do it was part of the plan|To try to stop the fools jacking off by the hand|Putting wack records in the make|By using R&B fucking singers in the god damn breaks|Trying to go commercial but they started out street|That's reason why they're still drivin in their two feet|Thinking they can diss Ren's flow, but singing and dancing|Don't go with the format that I be using in my show|It's just hardcore niggas acting crazy on the stage|Wearing gangsta clothes yo and spitting on the hoes|Doing that shit that ya love to hear|Cause MC Ren is the final frontier|[Hook]|Who is it? - The black nigga that they call Ren|Who is it? - The black nigga that they call Ren|Who is it? - The black nigga that they call Ren|You fuck with me, you gotta fuck with a Mac-10|Who is it? - The black nigga that they call Ren|Who is it? - The black nigga that they call Ren|Who is it? - The black nigga that they call Ren|You fuck with me, you gotta fuck with a Mac-1012Embed"
MC Ren,Same Old Shit,1993,"Same Old Shit Lyrics[Hook]|Same old shit every day and every night|When it gets dark niggas get outta sight|Make sure the AK's locked up tight|Cause ain't no telling if some shit might pop tonight||[Sample]|This type of shit happens every day||[Verse 1]|Same old shit every morning when I wake|I'm thinking of another bitch's money to take|I start to get dressed, yo, my bitch is still asleep|Go put the 9 millimeter gun in the jeep|And let it warm up and bump Marvin Gaye|I wish somebody would come out and have something to say|I take out my dick, beat my girl wide awake|Grab her hand and kiss the bitch and tell her ""have a nice day""|Then go around the corner cause I fuck her best friend|It ain't a bitch that I don't put my dick in|I can't stay long I gotta hit the boulevard|Put your fist in your pussy bitch and breathe real hard|Go to the shack with the G's, that's mega|Getting drunk busting with Larry Csonka on Sega|Niggas can't take it always having a fit|Yo, but it's the same old shit|[Hook]|Same old shit every day and every night|When it gets dark niggas get outta sight|Make sure the AK's locked up tight|Cause ain't no telling if some shit might pop tonight||[Verse 2]|Playing dominoes with a nigga and some ho's|Hot pussies and hard dicks and slapping big six|At this bitch's house for the very first time|Some niggas came in and try to take what's mine|Tried to jack and the bitch played it off|She was in it all along, bitch screaming ""what's wrong""|I said ""what the fuck,"" the MAC-10 start to bark|Unloaded the clip and then escaped through the park|I think I hit one but I needed to shoot them all|Now I'm running like shit - thinking about getting hit|Now this bitch, that was hugged up with me|Was with these niggas letting off slugs at me|Oh shit can't trust a bitch I should've known|Fucking with a hoe, now a nigga's cover's blown|But I got away without getting hit|Yo, cause it's the same old shit||[Sample]|This type of shit happens every day|You might also like[Hook]|Same old shit every day and every night|When it gets dark niggas get outta sight|Make sure the AK's locked up tight|Cause ain't no telling if some shit might pop tonight||[Verse 3]|Forecast shows it's gonna rain 20%|I gotta pimp a ho so I can make up for the rent|Cause ain't nobody gonna gimme shit if I don't take it|There's too much motherfucking money, so I'm gonna make it|And when I make it, yo, I'm still the same nigga|So quit acting like a bitch if my pocket's getting bigger|I'm pimping out my game like Freddy told me in the mack|Always watching my back, with my god damn gat|I do what I gotta do, I sell my rocks like a slanger|Or say ""I don't give a fuck"" and be a gangbanger|Or go back and forth in the pen pitching three|Having little motherfuckers looking up to me|Yeah, the shit feels good, I won't lie|A real ass nigga til the day I fucking die|So pass me the weed so I can take me a hit|Of what? - Of the same old shit||[Hook]|Same old shit every day and every night|When it gets dark niggas get outta sight|Make sure the AK's locked up tight|Cause ain't no telling if some shit might pop tonight|[Sample]|This type of shit happens every day7Embed"
MC Ren,Who In The Fuck,1998,"Who In The Fuck Lyrics[Verse 1: MJG]|A natural fact, that I pimp tracks and freak around|The game got cracks in them pipes, it's leaking town|My lines blow your mind, your senses remain puzzled|You're trying to give me props, but you can't, your mouth muzzled|Attacked by the weight of the bass, in your chest|8Ball, MJG, MC Ren, nevertheless|Cause we's the most|My real-ass lizards, let's make a toast|And single out the bustas and force them to get ghost|And coast to coast|We shows loves in network|While some try to impress people, and get hurt|Deep thoughts cloud my conscience as I curl|Up in the corner on hand, and then I hurl|Call my girl, tell her I'm drunk and can't make it|I tried to drink the whole damn bar and couldn't take it|That's all right cause come sunrise, I'm still rolling|My nuts the only title I'm claiming and still holding|[Hook: MC Ren]|Now who in the fuck wanna come and represent?|You bitch ass niggas y'all be too hesitant|I, take my black ass, down to the south|Bitches wanna fuck me while I'm in the Suave House|Nigga, who in the fuck wanna come and represent?|Oh, I know you suck that dick, acting too hesitant|We, MJG, Eightball, Villain, make that straight nigga shit|That's how these niggas feeling||[8Ball]|Guess wo popped up straight up out the cuts|With lyrical buckshots spilling all a nigga guts|Touch whoever witness strays when I displays|A thousand different ways to get paid with a phrase|Days go by, I be hibernating getting high|Dreaming about L.A., penetrating something fly|Down in H-Town, or somewhere in the Mound|All eyes on me baby, cause I get around|We be like, connected weak-ass niggas get ejected|Ooze like slime dig this hines when we wreck shit|Uncut, coast to coast, slanging audio dope|Mangling MCs, leaving them, dangling from ropes|Boast, trying to be doper than most in my profession|Me and the villain, microphone killing - no blood spilling|Phat raps with much cheddar in the tellers|8Ball and MJG and MC Ren forever|You might also like[Hook]||[MC Ren]|Fuck that, bitches, the villain be out in Houston, Tex.,|To fuck with them niggas from Suave, who wanna flex|Bitch niggas got kidnapped with dicks in they mouth|For fucking Compton niggas, and niggas from down South|8Ball, MJG, where you at Space age-ing|Y'all probably got all the bitches paging|Sucking casian, writing left nuts, chapstick and lips|While bitch-ass niggas spending chips, just to see the hips|South-West connection, bitches bow the fuck down|Fuck how them other niggas sound|Villain be hated by niggas because they bitches pussies throb|Ready to slap that ho every time a head bob|Niggas be killing me, got that nigga T-Mix|Pull the fucking remix|If these words don't hurt you, nigga, got them stones and sticks|And some Compton-ass niggas, to make you fade to black|With some crazy Houston niggas in the cut in the back||[Hook]Embed"
MC Ren,Mad Scientist,1996,"Mad Scientist Lyrics[Intro]|Uhh, uhh, yeah, yeah||[Verse 1]|Darkside is where I'm comin' from all alone|Stranglin' niggas that's fakin' on the microphone|'Cause I've been around and I'mma be around again|Who is it? The black nigga that they call Ren|Won't be braggin' on the nine double M|My steel toe kicks, turn tricks, I use sticks and stones|And say what's up to my niggas on the sidewalk|Put on my black to jack, so I can night-stalk|'Cause I carry a big stick|For niggas that never shot a B.B. gun|Always talkin' about the trigger|Just to get paid, they make it all routine|Hear a firecracker pop, they runnin' from the scene|There's too many records out, that ain't sayin' nothin'|And fake-ass radio stations ain't playin' nothin'|The shit gotta get back, it's time to MC|Too many new niggas ain't sure like Al B|Or wanna be L and only care from the cream|And pose like a bitch to get put in the magazine (What's up?)|You ain't Fresh, you ain't Ride On, you ain't The Source|Nigga wanted to get with me, but your shit was hoarse|Lookin' at my crystal ball for competition|Hypocrite niggas hang around to get a listen|Tried to peep in my notebook, but lost a leg|Got paralyzed neck up from what you read|A mad scientist|[Chorus]|Ren is in control, here we go again scarin' people to death|Motherfuckin' Mad Scientist|Ren is in control, here we go again scarin' people to death||[Verse 2]|Weak-ass niggas keep eyein' this|But who can come and fade the mad scientist?|I've been away from the public 'cause I'm a enemy|With the black Beanie, disappear like Houdini|God of the universe, I control your soul|Shakin' niggas up from the bottom of the North Pole|And my double S, four fifty four|With my size ten, steel toe, shuffle through the floor|It's simple, don't wanna make it complicated|'Cause you simple minded niggas might get frustrated|With your bang-bang boogie, 'cause Ren heard enough|'Cause niggas nowadays don't come with the funky stuff|That I used to hear in eighty-three and eighty-four|When shit had to be hardcore|Criminal Minded, you've been blinded|I'm lookin' for some shit like that, but can't find it|Six in the mornin', police at my door|Niggas don't make that kind of shit no more|Simpin'-ass niggas make wave, 'cause Ren don't play that shit|I'm screamin' mayday, a fuckin' mad scientist|You might also like[Chorus]|Ren is in control, here we go again scarin' people to death|Motherfuckin' Mad Scientist|Ren is in control, here we go again scarin' people to death||[Verse 3]|Sneaky-sneaky is how I creep up on you|I clear my throat and then I drop bombs on you|Now be honest, did you think the Villain will let|New niggas come out and tear out the work?|That I put in, I'll pick up the pen and I write|'Til the hand feels arthritis|Shit down and dirty, you would swear it's hepatitis|I be creatin' what your body longs for|And fake-ass niggas, this is who the song's for|A mad scientist, but I won't make a Frankenstein|I just write a rhyme that'll blow your fuckin' mind|You can't follow this, I didn't leave a scent|You can't fool the five percent, that me and Train represent|I'm walkin' up right, and livin' civilized|The Messenger Elijah done opened up my eyes|Then the B-boys stands on my throne in black|Niggas scared as hell because the Villain is back|From the center of the Earth, I'm makin' way like the gopher|Nigga, by myself I'm takin' over|Ugh, a mad scientist|[Outro]|Ren is in control, here we go again scarin' people to death|Motherfuckin' Mad Scientist|Ren is in control, here we go again scarin' people to death|Motherfuckin' Mad Scientist|Ren is in control, here we go again scarin' people to death|Yeah, yeah, I wanna say what's up to tribe of Shabazz|Yo, nineteen ninety-four, ninety-five, mad scientist1Embed"
MC Ren,Fuck What Ya Heard,1993,"Fuck What Ya Heard Lyrics[Chorus]|Always carrying a MAC-10, you know what I'm saying?|Ren is a nigga that you don't wanna fuck with|Always carrying a MAC-10, you know what I'm saying?|Ren is a nigga that you don't wanna fuck with||[Verse 1]|In ninety-three I'm wrecking shit so you can fuck what ya heard|I'm dropping plenty shit like a motherfucking bird|I still gangsta boogie if I gets my boogie on|Put my finger in my throne keeps them fucking with my dome|Telling me to shoot all these niggas that I hear|Bitch, you gossip in my ear, I hear this shit every year|Niggas still talking like a bitch|Mad 'cause another nigga trying to get rich|I see ya telling niggas ""Yo, Ren is gonna fall""|But I think your dumb ass had too much of the 8 ball|Your own motherfucker don't know|That Ren can play ya low, you didn't know I fuck your ho|Now the kid that you're claiming, yo, you're very quick to claim|But to me it's just my kid with another fucking name|And niggas wanna know what's the word|So peep it out, you can fuck what ya heard|[Bridge]|Yeah, fuck what ya heard, fuck what ya heard, what ya heard|Yeah, fuck what ya heard, fuck what ya heard, what ya heard||[Chorus]|Always carrying a MAC-10, know what I'm saying?|Ren is a nigga that you don't wanna fuck with|Always carrying a MAC-10 know what I'm saying?|Ren is a nigga that you don't wanna fuck with||[Verse 2]|Niggas gimme looks like they wanna try to thump|Thinking Ren is just a chump, in the trunk I got the pump|Shoot it in the crowd, I shoot the nigga in the back|Keep my niggas in the shack, started dipping in the lack|Some niggas rolled up and said the truce was dead|Train said fuck it, shot the nigga in the head|And it's on, all y'all niggas get to your post|Train just killed a nigga so we gotta do a ghost|Dip back to the hood, sip the forty on the way|'Cause the niggas from my motherfucking hood don't play|And you still wanna know what's the word|Nigga, fuck you and fuck what ya heard||[Bridge]|Yeah, fuck what ya heard, fuck what ya heard, what ya heard|Yeah, fuck what ya heard, fuck what ya heard, what ya heard|You might also like[Chorus]|Always carrying a MAC-10, know what I'm saying?|Ren is a nigga that you don't wanna fuck with|Always carrying a MAC-10 know what I'm saying?|Ren is a nigga that you don't wanna fuck with||[Verse 3]|He say, she say, who gives a fuck what they say?|Screaming off that mayday, the shit is going my way|Niggas can't believe that I'm so much of a G|'Cause I don't let stinky bitches sit up under me|Like you niggas out there y'all swear y'all get scrap|Get your ass kicked makes you wanna try to rap|Sprung on a ho, yo, smoking all your weed|Fucking with a bitch that ya really don't need|The click, my niggas from the click pimps hoes|Grinch, J-Rocc, my nigga Bone and Jubee Lows|Them fools can't even say a word|'Cause a nigga don't give a fuck about what ya heard||[Bridge]|Yeah, fuck what ya heard, fuck what ya heard, what ya heard|Yeah, fuck what ya heard, fuck what ya heard, what ya heard||[Chorus]|Always carrying a MAC-10, know what I'm saying?|Ren is a nigga that you don't wanna fuck with|Always carrying a MAC-10 know what I'm saying?|Ren is a nigga that you don't wanna fuck withEmbed"
MC Ren,Behind the Scenes,1992,"Behind the Scenes Lyrics[Verse 1]|Now this is a bitch who makes straight A's|But never got to leave out of the house back in the days|And when she was at school, she gave people dirty looks|She always carried books and thought me and my friends were crooks|You always see the bitch in the classes|She never wore pants, she wore a dress and some glasses|Teachers used to brag, she was the teacher's pet|And the niggas used to brag how much they wanna get her wet|Straight to her butt, because she ain't tall|But you would say fuck her when you saw the bitch walk|Ass hanging out by the pound|And that's the reason why niggas wanted to get the panties down|She kept to herself in the hallways|And never looked at niggas like all day|And when the last bell rung she was gone|So one day I decided to follow the bitch home|Her mother was at work she wouldn't get home 'til six|So it was time for Ren to put the bitch in the mix|Cause back in the school that was every nigga's dream|So now it's time to get a closer look behind the scenes|(Dolemite quote)||[Verse 2]|Now I made it to her house but she wouldn't let me in though|So I said fuck it, snuck around to the window|She came into the room and start to undress|Now I'm biting on my lips saying, ""Damn this bitch is blessed""|The doorbell rung, it was the nextdoor neighbor|And he was axing her, could she do him a favor|She grabbed the nigga's hand and took him in the room|And layed her on her back as he fucked her with a broom|She said she wanted to cum so then she said|She wanted him to eat the pussy so she grabbed his head|And he started eating her like a Thanksgiving dinner|He made the bitch cum and then he put his dick up in her|She scratched up his back with her claws|But she was screaming so loud he had to gag her with his drawers|And after they finish fucking yo the bitch took a shower|To wash off the sweat from the last half hour|The bitch pulled out some bud and then she started to smoke|Took a swig of Jack Daniels and made a few lines of coke|That innocent shit gotta go - because this innocent little girl is a ho|Yo, behind the scenes|(Scratched samples)|You might also like[Verse 3]|Now I went back to school the very next day|And I knew that my niggas wouldn't believe what I had to say|I told them what I saw and niggas said, ""Yeah right""|So I told the mothafuckas to come over there tonight|Now there's ten real niggas at her window|Waiting to see a ho like at a matinee show|They thought that I was lying cause we waited one hour|And when we started to leave the bitch walked out the shower|Ass all naked, then she laid in her bed|Her bottomlips was hanging and she started fingerbanging|Her daddy walked in and started beating her with a belt|The bitch was so hot she made the leather start to melt|But she was liking it, yelling, ""Daddy give it to me harder""|Then he took off all his clothes and start fucking his daughter|My niggas outside didn't believe that they would see some|And when her mother got home, they turned into a threesome|Her mama ate the pussy while her daddy doggy styled it|The family prayed together and they also laid together|I couldn't take no more cause I was too much of a man|So I jumped right through the window with my dick in my hand|The dad and the mom kept doing what they was doing|Cause now it was even, it was two against two|But a couple minutes after I was in|All my niggas jumped in, all ten|Yo, behind the scenes!|""..this was a bitch that did the whole crew..""|(Dolemite sample)|""she likes dicks""|""she likes suckin' on dicks""|""suckin' on dicks""|""suckin' on dicks, and lickin' up nut|And they even take the broomstick up the butt""1Embed"
MC Ren,Comin’ After You,1998,"Comin’ After You Lyrics[Intro: MC Ren + Ice Cube]|Real nigga shit, y'all niggas know what time it is|They never thought they would see this|Check this shit out right here||[Verse 1: MC Ren]|In case you didn't know my flows rock the sho'|I'm making sure you niggas don't try me no more|Weak shit you talking and I'm surprised it's selling|Do-for-self niggas full of felon's who the fuck you telling|Braggin bout money where that shit be at|After videos all that shit we never see that|Bitches with big asses blunts and big cars|Shot calling niggas pissy drunk in them tittie bars|Ren assasinating, all of these|Wack ass rapping niggas that say they selling keys|And pimping hoes and smoking a million blunts a day|Shooting a hundred niggas and saying he walked away|Without a scratch - some of that bullshit f*ck outta here|Living with your mama talking about a hundred grand|Nigga please, who the fuck you think you talking to|Real niggas coming after you, we after you|[Hook]|Fake ass ballers who we talkin to|We coming|Lying on records bout what you do|We coming|The shit y'all doin is played out and through|We coming|To come with that shit we come after you||[Verse 2: Ice Cube]|It's the Don Daddy with the Villain, who you killing|Oh we hate them, come verbatim with this cap peeling|Top billin, make a million|Paparazzi, chase us through the tunnel in the Maserati|Now they got me on Hard Copy didn't have to shoot Versace|Yet you still wanna watch me|Motherfuckers wait they whole fuckin' life and a day|Hopin that we can reunite N.W.A|All purpose, try to serve us, gettin nervous, more murders|Shit can just turn into the circus|Standin over the carcass|You look like the kind of nigga that'd press charges|We the largest, we the biggest, we the Niggas, With the Attitudes|Wee longitude you latitude, have some gratitude|To the niggas that started this shit|Been around forever bitch, we smart at this shit|Don Mega, MC Ren, Ren, Ren|You might also like[Hook]|Fake ass ballers who we talkin to|We coming|Lying on records bout what you do|We coming|The shit y'all doin is played out and through|We coming|To come with that shit we come after you||[Verse 3: MC Ren]|I make the Planet Groove nigga more than BET|Yo' bitch tied up phoning home like E.T|So kick in that fifty grand|Before you find body parts nigga in Japan|A motherfucking lyricist nigga top cop|I'm makin hits what yo bitch ass talking bout|That same old shoot them out and smokin fifty blunts|That's why your shit ain't coming out for like fifty months|Ain't nobody trying to hear your nigga outdated|Your wack ass quit tellin niggas that you made it|I'm never faded like a ghost Villain disappear|Buy some shit to resurrect my dick the next year|Ninety eight ninety nine to the earthquake|How much garbage these mothefuckers go and make|You better shake, fuck that here I come strong|Best believe Ren will rock the shit all night long|We out|[Hook]|Fake ass ballers who we talkin to|We coming|Lying on records bout what you do|We coming|The shit y'all doin is played out and through|We coming|To come with that shit we come after you||[Outro: Ice Cube]|Full circle, nigga, full circle, nigga|Before we did it, y'all niggas was rapping like urban bitches|They were nerds before us, Ren, they were nerd before us||[Outro: Bobcat]|Microphone mafia, Bobcat, MC Ren, Ice Cube, 98-shot|Ice Cube, The Don|Ice Cube, The Don|Ice Cube, The Don|Ice Cube, The Don|MC Ren, Ruthless Villain|MC Ren, Ruthless Villain|MC Ren, Ruthless Villain|MC Ren, MC Ren, MC Ren, Ren, Ren, Ren2Embed"
MC Ren,Keep It Real,1996,"Keep It Real Lyrics[Intro: Cold 187um]|That's what the fuck I'm talking about, that real shit nigga||[Verse 1]|Living room packed, laid back on the flow|Niggas can't see me on the Madden with Frisco|I'm running fools straight to the dirt|While my man Train talking on the phone the evil curse|Niggas waste gas driving down the same streets|And hood rats swishing for the passenger seats|Flag them down, like they flagging down to get a taxi|Too good to ride a bus, tricking is a must|Another day kicking back, the scientist is hard at work|Thinking how to get paid, kicking back in the shade|Or call Will and Temple where my homie down by Zeenie|With the bald head it's too hot for the beanie|Sitting on the porch niggas run the stop sign|Hookers sell they bodies around the way, ain't hard to find|Right in the corner of McDonald's parking lot|Peeping out their hair cause that spot is hot|And that's real|[Hook]|Nigga gotta keep my shit real|Letting punk niggas know how the fuck I feel|Pussy ass niggas always wanna be around|A nigga like Ren when I put that real shit down|Nigga gotta keep my shit real|Letting punk niggas know how the fuck I feel|Pussy ass niggas always wanna be around|A nigga like Ren when I put that real shit down||[Verse 2]|Randy up the street cutting up the fresh fade|And Compton P.D. around the corner 'bout to raid|The yellow helicopter hanging around like a gnat|And hood rats yellin' out a car 'where the party at'|My robbing train go and get a deuce|And niggas around the way don't give a damn about a gang truce|But I gotta lotta love for my people|And like they ain't tryin', niggas just keep dyin'|I won't be like most niggas and just come|And shoot my video in Compton and disappear for a year|We make fools like that check the spot|One for the treble jack yo ass in the parking lot|Cause handkerchief headed niggas come around faking|Bragging about that money they be making|Bootlegging, butt dancing niggas just better chill|Before I tell them how I feel and that's real|You might also like[Hook]|Nigga gotta keep my shit real|Letting punk niggas know how the fuck I feel|Pussy ass niggas always wanna be around|A nigga like Ren when I put that real shit down|Nigga gotta keep my shit real|Letting punk niggas know how the fuck I feel|Pussy ass niggas always wanna be around|A nigga like Ren when I put that real shit down||[Bridge]|Yeah, uh, break it down|All y'all busta ass niggas|Do it like this, 1995|Uh, yeah, come all y'all fake ass niggas to this||[Verse 3]|Goin' to the pad hit the beach up on the pager|Here comes Korleone up the street in the mini-Blazer|While the dominoes start to get shaking|The same time that the BBQ start baking|I don't eat swine, but I take a turkey burger|I can't take worms, that book's full of germs|Homies pass by, some stop and conversate|On a gang a topics we start to debate|On why in black neighborhoods is always towed down|And white neighborhoods ain't one piece a trash around|So we gotta do for self and quit bitching|Recycle black dollars - so we can roll Impalas|Every street got their own rap artist|On every cover every brother got a gun tryin' to look the hardest|But some deserve a slap cause they laid down they strap|When they hear that's a rap and that's real|[Hook]|Nigga gotta keep my shit real|Letting punk niggas know how the fuck I feel|Pussy ass niggas always wanna be around|A nigga like Ren when I put that real shit down|Nigga gotta keep my shit real|Letting punk niggas know how the fuck I feel|Pussy ass niggas always wanna be around|A nigga like Ren when I put that real shit down||[Outro]|Yeah, puttin that real shit down in '95|This goes out to my nigga DJ Train, know what I'm saying?1Embed"
MC Ren,Rebel Music,2014,"Rebel Music Lyrics[Verse 1]|Look at The Vill twenty-twenty|Weak ass niggas done fucked up plenty|Took the rap game, niggas wanted shit|When you with The Vill, make your ass pay the bill|Hope you niggas die twice when we overkill|Video hoes, y'all made 'em stars|Fuck your money, fuck your cars|Nigga, spit some hot bars|Wack motherfuckers out here tryna bust|You can trust me they are not hard|Hollywood-ass motherfuckers in here|Always tryna act like they some stars|If it ain’t ruff, nigga it ain’t the villain|Ren where you been? Homie, I’ve been chilling|Can’t believe how y’all fools let all these wack motherfuckers in the building|E-A-Ski, MC Ren, yeah nigga I’m back again|Everytime I take a break|Garbage-ass niggas wanna be fake villains and put me back in|Y’all know what time it is|It can only be one villan|I'm about to hurt their feelings|Villains ain’t got no feelings|[Hook] (x2)|Throw your shit in the air|It’s that rebel music|Like you don’t fucking fucking care|It’s that rebel music|Ren about to put it down on fools right now|With that rebel music|It’s that rebel music, that that rebel music||[Verse 2]|Rebel music, niggas off in these streets|Ain’t got shit to eat, rob your ass and fall asleep|To that rebel music, motherfuckers bust at police|Can’t be black and get peace, that brutality increase|These wack fools don’t cease putting that wack shit out|That bragging about that money shit, we can do without|Nigga watch your mouth, don’t forget I’m the villain|Nigga, I gave birth to y’all|Start to reach out to a few of y'all niggas|But I realized y'all wasn't worth the call|First of all, y’all shit be wack|Homies ain’t gon' tell you that|Especially when they kiss your ass and they smoking up your sack|Homie step to the back, villain coming|Still alwayz into something|Still all my shit bumping, while all y’all niggas all about nothing|West coast bomb, me and my nigga Ski|Me and my nigga be like me and my nigga E|Two hard motherfuckers that you can’t see|So don’t fuck with me, nigga this that O.G|You might also like[Hook] (x2)||[Bridge] (x8)|It’s that rebel music, that that rebel music||[Hook] (x2)||[Outro]|That's that rebel music12Embed"
