rapper,song,year,lyrics
Ol’ Dirty Bastard,Shimmy Shimmy Ya,1995,"Shimmy Shimmy Ya Lyrics[Intro]|""Aw, I don't want to fuck you. You can't even sing!"" You had to sing, or something, to get some pussy||[Chorus]|Ooh, baby, I like it raw|Yeah, baby, I like it raw|Ooh, baby, I like it raw|Yeah, baby, I like it raw||[Verse 1]|Shimmy, shimmy, ya, shimmy, yam, shimmy, yay|Gimme the mic so I can take it away|Off on a natural charge, bon-voyage|Yeah, from the home of the Dodger Brooklyn squad|Wu-Tang killer bees on a swarm|Rain on your college-ass disco dorm|For you to even touch my skill|You gotta go through one killer bee and he aim for the kill now|Chop that down, pass it all around|Lyrics get hard quick cement to the ground|For any emcee in any fifty-two states|I get psycho killer, Norman Bates|My producer slam my flow is like bam|Jump on stage and then I dip down|(I like the way you talk)|[Chorus]|Ooh, baby, I like it raw|Yeah, baby, I like it raw|Ooh, baby, I like it raw|Yeah, baby, I like it raw|Ooh, baby, I like it raw|Yeah, baby, I like it raw|Ooh, baby, I like it raw|Yeah, baby, I like it raw||[Incomprehensible backwards verse incorporating part of Verse 2 (Extended version)]||[Verse 1]|Shimmy, shimmy, ya, shimmy, yam, shimmy, yay|Gimme the mic so I can take it away|Off on a natural charge, bon-voyage|Yeah, from the home of the Dodger Brooklyn squad|Wu-Tang killer bees on a swarm|Rain on your college-ass disco dorm|For you to even touch my skill|You gotta go through one killer bee and he ain't gonna kill|Now chop that down, pass it all around|Lyrics get hard quick cement to the ground|For any emcee in any fifty-two states|I get psycho killer, Norman Bates|My producer slam my flow is like bam|Jump on stage and then I dip down|You might also like[Outro 1]|Shi-shimmy shimmy ya, yeah|Shi-shimmy shimmy ya, shimmy yam|Shi-shimmy shimmy ya shimmy yam, shimmy yay|Shi-shi shimmy shimmy ya shimmy yam, shimmy yay|Shi-shimmy shi-shimmy ya shimmy yam, shimmy yay||Give me the mic so I can take it away, shimmy shimmy ya||[Outro 2]|You can't even sing. You have to sing or something to get some pussy||ADDITIONAL EXTENDED VERSE||[Verse 2]|See, when a nigga say he likes it raw|Keepin' it dirty, down to the floor|See my name is the ODB and I'll beat your ass|For the ladies who know me tell them who the fuck I be|For the niggas who know me tell them who the fuck I be|My style comes down on y'all like rocks|(Sitin' on the dock of the bay) By the dock!|(Aiyaiyaiyaiyaiyaiyaiy...) Umm by the flock|(Don't goooooo) By the creak by the flock|Got east coast locked down padlocked|My Zoo niggas be all all down by the flock|[Chorus]|Ooh, baby, I like it raw|Yeah, baby, I like it raw|Ooh, baby, I like it raw|Yeah, baby, I like it raw||[Verse 1]|Shimmy shimmy ya, shimmy yam, shimmy yay|Gimme the mic so I can take it away|Off on a natural charge, bon-voyage|Yeah from the home of the Dodger Brooklyn squad|Wu-Tang killer bees on a swarm|Rain on your college-ass disco dorm|For you to even touch my skill|You gotta go through one killer bee and he ain't gonna kill|Now chop that down, pass it all around|Lyrics get hard quick cement to the ground|For any emcee in any fifty-two states|I get psycho killer, Norman Bates|My producer slam my flow is like bam|Jump on stage and then I dip down|(I like the way you talk)||Yo, y'all know the lyrics, come on, sing with me||[Chorus]|Ooh, baby, I like it raw|Yeah, baby, I like it raw|Ooh, baby, I like it raw|Yeah, baby, I like it raw||[Produced by RZA]52Embed"
Ol’ Dirty Bastard,Brooklyn Zoo,1995,"Brooklyn Zoo Lyrics[Produced by True Master & Ol' Dirty Bastard]|[Intro]|Shit|Word, I'll bust that nigga ass right now|Ain't no– none of them niggas can't fuck with me|What? Nigga, you could never fuck with me, my nigga|I'll fuck you up right now, what? What? What?|Bust your motherfucking ass, boy|I ain't no motherfucking joke, you know who you talking to? (Yo, word up, bust that nigga ass, word up)|Ol' Dirty Bastard, you know what I'm sayin'?|I'll fuck you up right now|Yeah, what? What? What?|He ain't sayin' nothin', fuck him|[Verse]|I'm the one-man army, Ason|I never been tooken out, I keep MC's looking out|I drop science like Cosby dropping babies|Enough to make a nigga go crazy|In the G-Building, taking all types of medicines|Your ass thought you were better than|Ason? I keep planets in orbit|While I be coming with deeper and more shit|Enough to make you break and shake your ass|As I create rhyme good as a Tastykake makes|This style, I'm mastered in|Niggas catching headaches, what? What? You need aspirin?|This type of pain, you couldn't even kill with Midol|Fuck around, get sprayed with Lysol|In your face like a can of mace, baby|Is it burning? Well, fuck it, now you're learning|How I don't even like your motherfucking profile|Give me my fucking shit, chk-chk, blaow|Last seen and heard, no one knows|You forget, niggas be quiet as kept|Now you know nothing|Before you knew a whole fucking lot|Your ass don't wanna get shot|A lot of MC's came to my showdown|And watched me put your fucking ass low down|As you can go, below zero|Without a doubt, I never been tooken out|By a nigga who couldn't figure|Yo, by a nigga who couldn't figure|Yo, by a nigga who couldn't figure (Brooklyn Zoo)|How to pull a fucking gun trigger, I said ""Get the fuck outta here""|Nigga wanna get too close to the utmost|But I got stacks that'll jack any wack host|Introducing, yo, fuck that nigga's name|My hip-hop drops on your head like rain|And when it rains it pours, 'cause my rhymes hardcore|That's why I give you more of the raw|Talent that I got will rizzock the spot|MCs I'll be burning, burning hot|Woah-ho-ho, let me, like, slow up with the flow|If I move too quick, oh, you just won't know|I'm homicidal when you enter the target|Nigga, get up, act like a pig, try to hog shit|So I'll take your ass out quick|The mics, I'm had it, my nigga, you can suck my dick|If you wanna step to my motherfucking rep|Chk-chk, blaow, blaow, blaow, blown to death|You got shot 'cause you knock-knock-knock|""Who's there?"" Another motherfucking hard rock|Slacking on your macking 'cause raw's what you lack|You wanna react? Bring it on back (Back)|You might also like[Chorus]|Shame on you when you step through to|The Ol' Dirty Bastard, Brooklyn Zoo|Shame on you when you step through to|The Ol' Dirty Bastard, Brooklyn Zoo (Brooklyn Zoo, what?)|Shame on you when you step through to (My nigga)|The Ol' Dirty Bastard, Brooklyn Zoo|Shame on you when you step through to|The Ol' Dirty Bastard, Brooklyn Zoo|Shame on you when you step through to|The Ol' Dirty Bastard, Brooklyn Zoo||[Outro]|What? My nigga|Shame on you|Shame—|Shame on you when you step through to—|Shame on— Shame on—|Shame on you when you step through to—|Shame on you when you step through to|The Ol' Dirty Bastard, Brooklyn Zoo|Shame on you when you step through to|The Ol' Dirty Bastard, Brooklyn Zoo|What? My nigga30Embed"
Ol’ Dirty Bastard,Got Your Money,1999,"Got Your Money Lyrics[Intro: Ol' Dirty Bastard]|I dedicate this to all the pretty girls|All the pretty girls in the world|And the ugly girls too|‘Cause to me you're pretty anyway, baby||[Verse 1: Ol' Dirty Bastard]|You give me your number, I'll call you up|You act like your pussy on interrupt|I don't have no trouble with you fucking me|But I have a little problem with you not fucking me|Baby, you know I'ma take care of you|‘Cause you say you got my baby, and I know it ain't true|Is it a good thing? No it's bad, bitch|For good or worse, makes you switch|So I walk on over with my Cristal|Bitch-ass niggas, put away your pist-als|Dirty won't be having it in this house|‘Cause, bitch, I'll cripple your style!|Now that you heard my charming voice|You couldn't get another nigga, coochie won't get moist|If you wanna look good and not be bummy|Girl, you better give me that money! Aow!|[Hook: Kelis]|Hey, Dirty!|Baby, I got your money|Don't you worry, I said hey!|Baby, I got your money|Hey, Dirty!|Baby, I got your money|Don't you worry, I said hey!|Baby, I got your money||[Verse 2: Ol' Dirty Bastard]|So I glanced at the girls, girls glanced at me|I whispered in their ear: ""Wanna be with me?""|You wanna look pretty though, in my video|Ol' Dirty on the hat and I let you all know|Just dance if you caught up in the holy ghost trance|If you stop I'ma put the killer ants in your pants|I'm the O-D-B as you can see|F.B.I., don't you be watching me|I don't want no problems, ‘cause I'll put you down|In the ground where you can not be found|I'm just Dirt Dog trying to make some money|So give me my streaks and give me my honey!|Radios play this all day, everyday|Recognize I'm a fool and you love me!|None of you, NUH, better look at me funny|NUH, you know my name, now give me my money!|You might also like[Hook: Kelis]|Hey, Dirty!|Baby, I got your money|Don't you worry, I said hey!|Baby, I got your money||[Over the hook]|Sing it! Sing it, girls!|Just shake it right now!|If Dirty want his money|I think y'all should give him his money|That's how I like you, girl!||[Verse 3: Ol' Dirty Bastard]|Nigga playing in the club like this all night|Bitches put your ass out, let me hold it tight|You looking at my wrist saying ""It's so nice!""|The price bitch is diamonds, shining disco light|Well, you better help me solve my problem|Or I'ma get this money and rob them|Lucky Dog when I won the Lotto|Ran up on my car for carrying Rollo|But hold on, you can call me Dirty|And then lift up your skirt|And you want some of this Dirty|God made Dirt and Dirt bust your ass|Stop annoying me! Yeah, I play my music loud|It takes the Bastard – Ol' Dirty – to move the crowd|They say, ""He had his dick in his mouth.""|Eddie Murphy taught me that back in the house|Now give me my money!|[Hook: Kelis]|Hey, Dirty!|Baby, I got your money|Don't you worry, I said hey!|Baby, I got your money|Hey, Dirty!|Baby, I got your money|Don't you worry, I said hey!|Baby, I got your money|Hey, Dirty!|Baby, I got your money|Don't you worry, I said hey!|Baby, I got your money|Hey, Dirty!|Baby, I got your money|Don't you worry, I said hey!|Baby, I got your money|Hey, Dirty!|Baby, I got your money|Don't you worry, I said hey!|Baby, I got your money||[Outro: Kelis]|Hey, Dirty!|Baby, I got your money|Don't you worry, I said hey!19Embed"
Ol’ Dirty Bastard,Raw Hide,1995,"Raw Hide Lyrics[Intro: Ol' Dirty Bastard + (some Caribbean woman)]|Yeah! I wanna let all y'all niggas know in here tonight|That this is that Wu-Tang shit|This that shit that's gonna get you high|See when you stimulate your own mind for one common cause|You see who's the real motherfuckers|See what you see is you what you see|(You nuh see it? Wu-Tang a-run tings!)|Be the original G|Rhymin' on timin' in the place to be|(Run blood claat tings!)|Ladies love seein' me!|[Verse 1: Ol' Dirty Bastard]|You're a crossbreed, I'm a knowledge seed|I want action! That's what I need|I never put doubt on my mind|'Cause I know when I touch the mic, it's the rhyme|See murder which is caused|When you fuck with the negative and positive charge|Then they came up out my garage|With the hit that's gonna be large|Tired of sittin' on my fuckin ass|Niggas I know be runnin' around with mad fuckin' cash|Who the fuck wanna be an emcee|If you can't get paid to be a fuckin' emcee?|I came out my momma pussy, I'm on welfare|Twenty-six years old–still on welfare|So I gotta get paid fully|Whether it's truthfully or untruthfully|With my Boston bloodthirsty posse|P-E-A-C-E||[Chorus: Method Man]|Move 'em in, move 'em in|Move 'em out, move 'em out|Stick it up {*whip sound*}|Raw hide!|You might also like[Verse 2: Ol' Dirty Bastard]|Yeah, gotta come back to attack|Killin' niggas who said they got stacks, 'cause I don't give a fuck|I wanna see blood|Whether it's period blood or bustin' your fuckin face|Some BLOOD!|I'm goin' out my fuckin' mind!|Every time I get around devils...|Let me calm down, you niggas better start runnin'|'Cause I'm comin', I'm dope like fuckin' heroin|Wu-Tang Bloodkin, a goblin, who come tough like lambskin|Imagine, gettin' shot up with Ol' Dirty insulin|You bound to catch AIDS or somethin'|Not sayin I got it, but nigga, if I got it, you got it! What!||[Verse 3: Raekwon the Chef]|Yo, check the bulletproof fly shit, strong like Thai Stick|Then I'll remain to tear your frame while I freaks it|Like some fly new sneaks and shit|Now eat my shit, bitch tried to creep and got hit|Now regulate, and I'll be out to set up a date|Wu-Tang is bangin' like a Ron G tape|RZA pump the shit just like a shotty|Watch me run it like John Gotti|Collidin' on the track like gin and watty|Check the calendar, I warn any challenger|To step up {*whoosh*} feel the blast from the silencer|[Chorus: Method Man]|Move 'em in, move 'em in|Move 'em out, move 'em out|Stick it up {*whip sound*}|Raw hide!||[Verse 4: Method Man]|Comin' soon to a theatre near you, it be the Wu|Yeah, find yourself in the square and see it's true|Actual facts to snack on and chew|My positive energy sounds peace to you|A wise man killed one horse and made glue|Wicked women puttin' period blood in stew|Don't that make the stew witches brew?|I fear for the eighty-five that don't got a clue|How could he know what the fuck he never knew?|God-Cypher-Divine come to show and come to prove|A mystery god that's the work of Yacub|The Holy Ghost got you scared to death, kid, BOO!||[Outro: Ol' Dirty Bastard]|Yeah, we always gotta keep it fly|Fly for you to feel what you wants to feel|See Wu-Tang'd like to thank, all the people across the country|All the people in America, all the people outside of America|For listenin' to our music|We gotta keep it fly for ya!|See this ain't somethin' new|That's just gonna come out of nowhere, no!|This is somethin' old! And dirty!|And dirty!|Yeah6Embed"
Ol’ Dirty Bastard,Protect Ya Neck II the Zoo,1995,"Protect Ya Neck II the Zoo Lyrics[Intro: Ol' Dirty Bastard]|See let a nigga come through with that bullshit|Any time you pop that shit nigga|I'ma tell you you can suck a dick, you can suck a pussy|I know, it'll come to what? Say what?|Now I'ma let all you motherfuckers know|See them knows that this is something you can't fuck|Whether you from Brooklyn, whether you from Manhattan|You from Queens nigga|I don't give a fuck, where you be motherfucker!|Where you reside... motherfucker!|How you live? How you seeeeeeee|[Ol' Dirty Bastard]|Sort the stack outs, this one's the blackout|Three-fifty-seven to your mouth, blaow!!||[Buddha Monk - Brooklyn Zu]|Dirty, can you hear me? Rawness I’m inflicting|It's that G type slang that makes this real sickening|Ignite the styles, I got my hand upon the trigger|Starts from the smallest and hits the bigger nigga||[Prodigal Sunn - Sunz of Man]|Yo, straight out the lava by them hell fires|A known mental killer, born thriller, assassin of terror|A hot bloody fatal mixture of carbon and water|Homicidal manslaughter, death is the order|Start the mission, travel like the speed of wind|Through the valley of sin, I step to ville and murdered many men|Serving justice in my vicinity||[Zu Keeper - Brooklyn Zu]|(This is, Brooklyn, Zu!!)|Za-za-za, za-za-za|Zuh-za-zah, z-zz-zz-z-z-zz-zz-z-dah-duh-dnn-duh||[Murdoc - Brooklyn Zu]|I get down, I get down, I crack your fucking crown|Lay around and watch some real niggas break ground|I can't shop cause every bro blowing up the spot|Hit rocks and niggas know|You might also like[Killah Priest - Sunz of Man]|Yo! Niggas grab the mic like the bites of a scorpion|Nervous, that's why the Zu brought me in|Now bring em forth, like the tortures at the courts|Before the case begin, first break me in|His brain! And make sure he can't maintain the calmness|Ya harmless, watch how I bomb this|Stage light now appears to be the Moon|Now your Posse is your fucking Platoon|Stale sound just flows through the air|I'm like a ninja, once I send ya cold stares|Then I get furious, imperious, the lyricist with the clearest rhyme|Erupt to deduct your fucking mind||[12 O'Clock - Brooklyn Zu]|Fuck shit up on the hurry-up|Known for burying ducks through more styles than a monk|Warning you chump, brain is out for lunch|Given the power punch, soon to be paid like Donald Trump|Never fall victim to no bitch|Jerked my dick, but still got more hoes than a pimp|And score more points than Shawn Kemp|Keeping powerfully strong like the center on the Knicks||Hut one, hut two, hut three, hut!!|Ol Dirty Bastard live and uncut|(Shame on a nigga who tried to run game on a...)||[Shorty Shit Stain - Brooklyn Zu]|Got more props than the President|My hardcore represent|Blowing niggas back who never had this|Cause I'm gifted, so you can gift wrap the shit|I'm kicking and send it to your moms for Christmas|And tell her Shorty Shit Stain sent it|Soon to have more green than the Jolly Green Giant|Cause niggas rap styles just down, it's expired|You should've stayed home instead of picking up a microphone|But if you wanna run on up, like you tough|I call your bluff and blow you down with my hardcore stuff|I shine like twenty-four carat, niggas know...||[Ol' Dirty Bastard]|Roll and stroll with the party scene|Nigga wanna know me as Mr. Clean|Wza-wza-wza-wza-Wu-Tang, flip the script and|Test my skill niggas, you're tripping|Drugged up from sniffing, you're the one who's riffing|I'm not Opie, save that old shit for Andy Griffith|Start to flip, slip cause you're slipping|While you sleep I be the God on point, with Scottie Pippen|As I jump on stage, flip rip a show|Strip and rip a ho, wayyy like Bo|Jackson while I'm still taxing maxing|Relaxing sitting back, silly attraction|Again and again when I rock the jam|Wanna see em up in the air, throw up your hand|Introducing one-man band in town|It's wild, more the style couldn't stand nigga|When the jump stepped to the center|Of the rhyme inventor, MCs' tormentor|You get dap slapped, across the MC map|Your ass that's your ass on a whore shot|Come on through I black and blue your whole crew|Then I get Rudy with the Hong Kong Phoo'|Ol Dirty Bastard, MC killer|Money maker, Brooklyn, Shaolin style|That I lay down like tile, then I get higher||[60 Second Assassin - Sunz of Man]|Here comes the illlll, type ruffer|Style be untouched I'm leavin broken down grammars on the pen|Who who what? What brings it? Tighter than your anus|Chambers this name is for the deepest trainers|Keep it stainless, steel, on time it is the windmill|Deadly venom kills, at the last of the Sam's Mill|60 Second, nucleus, attack on your set|Hit you with the blast (yo close the door)|Shabazz!!|*gun blast*7Embed"
Ol’ Dirty Bastard,Snakes,1995,"Snakes LyricsNow number two, practiced the snake style|He was known as the snake spirit|He had the speed of a snake||[Intro: Killah Priest]|Niggas is like serpents out there|[Snake style, no one could compete]|Serpents will bite|Lay outside, and then they roll back into they holes|They slither, in the streets of Brooklyn, New York|Slither in the streets, of Manhattan|In the streets of Queens, streets of the Bronx|Streets of Staten Island|Wherever you see em they slither|Whoever... yo|Fearsome shit... check it out|Yo, yo|[Verse 1: Killah Priest]|It broke me up when they pat me on my shoulder|Said stay strong 'cause his life is now over|I flash back to the heathens that he roll with|They shot him up and down nobody knows shit|My peers, little ears|He Came up to me with a eye full of tears|Last night we was shootin' dice and gettin' nice|Kid rolled us, played us for our merchandise|We were in the hallway all day|Me, Steve and Little Ray|Probably at first they tried to rob me|Back me in the lobby, pull out the shotty|Then came Scotty, fragile body|My first impression, he returned from a party|He would just stagger, smellin' like Bacardi|The Dragon, braggin', how he was fuckin' mad hotties|Pressed on the elevator button, then all of a sudden|He licked off, about a dozen|Slugs from the cannon, that ripped through my cousin|And no one was standing when the nigga started bustin'|Blood started to flood the floors by the elevator doors|That's the last thing that I saw|Damn, we planned to make grands and buy a home||[Number two]|You might also like[Verse 2: RZA]|Jagged edge, rock head god hard as Stonehenge|Pledged whoever crossed his path get scrapped with a sledge|Hammer, he didn't give a damn about the manner|And on the block he was called by the momma's|And the grandma's, 'indecent', 'heathen', 'juvenile delinquent'|His weekends was frequently locked inside the precinct|His most recent cape for catchin' papes|Was snatchin' up snakes on a roof butt-naked hang 'em off like drapes|Then ask what's the combination to the safe, with the brace|And those who didn't reply, they fell straight to their face|Razor blade sharp who invades the dark|And raid more spots than Spays and NARCS iron heart like Tony Starks|A fierce lion, who never leave the crib without the iron|And on the block he be slingin' rocks and duckin' from the sirens|Greetin' niggas he loved with a pound and a bear hug|Those who wanted life, they catch a slug from the snub|A Five Percent, who all knew was one to ten|He loved the Gods with his heart but his brain was filled with sin|And when he came through niggas be lookin' out|Hopin' he gets shot or tooken out or locked the fuck up in Brooklyn House|In PC on a liquid diet, but he was louder than a riot||[Number two, the snake]||[Verse 3: Masta Killa]|Do the knowledge to a nigga named Trigga|Bad rudeboy from the land of Jamaica|With visions to venture to the U.S|To receive the gold that he couldn't achieve|In his country, even though he sold mad weed|For the next man, who was the Don of the clan|Niggas acting like they got the block locked|Like I can't sling drug raps and eat food|But I be the rudest, bad boy stepping gun toting|Shots lash out like a violent explosion|At the nigga, who tries to stop my production|Intervene the scene and slow up the cream|None of that black, East New York, gun talk|Niggas I extort from Baltic to Boardwalk|Memories of injuries, wounds and burns|Walking through the streets of Medina I stand firm|'Cause I know this, which means I can hold mine down|Without a doubt, niggas who front get snuffed out|Justice must be born there's no escape|'Cause a snake can't be reformed so why wait|Coming in the name to proclaim your fame for protection|And you don't know no fuckin' lessons?|[Number two, the snake]||[Verse 4: Ol' Dirty Bastard]|Bad, bad, Leroy Brown|Baddest man in the whole damn town|Badder than the deep blue seaaaaa|Badder than you and meeeeee|Niggas coming through the trees like a salamander|Biting like a piranha|But I'm biting you back, like a black panther, the style I'm ampin' the...|Fuck my name, who I be?|Fuck the game, it's all about the money!|Owahhaerahh|Sometimes I get high with the Meth then I turn to the Killah Priest|When it comes 12 o'clock! I turned into the demon beast||Yo, yo fuck that shit!||[Number two, the snake]|YO! SHOW THESE MOTHERFUCKERS WHAT TIME IT IS|[Number two, the snake] Rawwrarrrah|Rahhwarwaahauh, rawwaroar!!|WHO's THE BAD-ASS? *rawharrah*|WHO's THE BAD-ASS?|[Now number two] Rawwwaahrah|[He practiced the snake style|He was known as the snake spirit] YEAHhhhhh||[Verse 5: Buddha Monk]|Lyrics, never waiting, twelve days penetrated|When I come with the roughness, mad niggas try to rush this|Slip into my killings, then I slays and you're helpless|When I try to stay sick, it's Yakub grafted six|Calm for the kill, knowing the style that's ill|When I drop the greatest skills, brothers say, 'Buddha chill!!'||[Outro: Ol' Dirty Bastard]|I don't need to rhyme no more, niggas know, yo!|To all the Wu-Tang Clan members|The Ghostface Killah, the GZA, the RZA, the Ol' Dirty Bastard|The Method Man, the Chef - Raekwon, Inspectah Deck, U-God|Yo!2Embed"
Ol’ Dirty Bastard,Damage,1995,"Damage Lyrics[Intro]|(Say peace) Peace!|Dirty, Ol' Dirty Bastard|(Say it, say it again)|The Genius! Genius (The Genius)|The Genius, the Genius||[Verse: Ol Dirty Bastard & GZA]|I'll grab the mic and I'll damage ya|Crush your whole stamina|Here comes the medical examiner|One verse, then you're out for the count|Bring the ammonia! Make sure he sniffs the right amount|Wake him up and then ask him why did he attend this|Competition to get a asssss kickin' so tremendous?|Boy, you know you shouldn't bother this|Leave me alone like the son said, G, or he'll be fatherless!|'Cause I got the Asiatic flow mixed with disco|Roll up on the scene like the Count of Monte Cristo|And MC's start to vanish|I stepped up to a jet black kid, started speakin' Spanish!|Yo, he wasn't from Panama|Asked him how he get so dark, the nigga said ""Sun-tanama!""|He responded so fast, he made me laugh|Ha-ha-ha, HARARRRH! Then I scared his ass!|Kicked the hundred strongest rhymes|I brought out the punk in him|Caught him with a strong Five Deadly Venom|Told him enter the Wu-Tang|Witness the Shaolin slang that'll crush the shit you bring|And watch your ass take a big fall, why?!|My Main Source is like a Friendly Game of stickball|And as you step up to bat, man, I play The Riddler|Try to Jew me for a rhyme, and I change to Hitler|Go out like a Nazi|You'll be wishin' your fuckin' ass stayed home and played Yahtzee!|Or watchin' Happy Days, sweatin' Potsie|With Ralphie and Richie Cunningham, Joni and Chachi|Wu, who! Who?! Me gettin' wrecked, so I'm through|Like a ten-and-a-half foot gettin' in a seven shoe|Now picture that with a Minolta|Have your ass doin' some Night Fever shit like John Travolta|I come strong, I make knowledge born|I flip the script and rock on from P.M. past the fuckin' Dawn!|Pass the Hammer, you're broke down|English grammar, what? What?|Can't understand it? Here's the panorama|A complete view of how I defeat you|Should've stepped to those fuckin' kids who tried to beat you!|Yeah, I bust that ass before|You ran to Texas and came back, but forgot the chainsaw!|And when I perform a massacre|Better be comin' with some motherfuckin' shit that's spectacular|Crush the personal vendetta|Well, you just better start steppin' to your raggedy-ass Jetta|Put the pedal to the metal|You and your DJ change your name to Ma and Pa Kettle|As I pass the bone, kicks your every measure|It's not a Newport, but it's still live with pleasure|C'mon, don't be silly|Just a bag of sensimilli rolled up in a Motown Philly|I used to write all the time when I smoked|Grabbed the mic, then I like, kinda went for broke|With visually concepts, strongest rhymes or biceps|Lyrically speakin', three to four rhymes a choke|Uhh! Some think they be harmin' this, claimin' they be bombin' this|But they still remains anonymous|I pull strings like Jimi Hendrix|Rhyme on beats that go backs to the days of Eddie Kendricks|I teach the truth to the youth|I say, ""Hey, youth! Here's the truth, better start wearin' bulletproof""|Arm yourself with a shield|'Fore you get trapped up, just like the children in the cornfieldYou might also like5Embed"
Ol’ Dirty Bastard,Baby C’mon,1995,"Baby C’mon Lyrics[Intro: Ol' Dirty Bastard]|Yo, are you taping baby?|Baby are you taping?|Ohh yeahhahhahheeyahhhyahhhhohhhyahhhh|Baby baby c'mon, baby c'mon, baby c'mon|What the fuck anybody wanna do?|Right motherfucking now!|Ahhahhahhhah||[Verse 1: Ol' Dirty Bastard]|I'm the god who's the head of the Lords|Dirty Bastard from the Wu-Tang squad|Can I get raw? Yes, I get Dirty to the floor|Rhymes, hitting on your mind, you could never ignore|Hip-Hop to me is like a place to be|My specialty from me to you is MC|Say what you wanna say, baby say|I flip the microphone-ah, any day|I'm mad swift because I got that gift of gab|Niggas get mad, your ass never had|This talent that I got will riz-zock the spot|MCs, you got paid a lot|You ever notice a black man damn mostly slams|When it come to the money, yo it ain't funny|It's what you gotta do what you got to do|[Bridge: Ol' Dirty Bastard]|C'mon, can I get a Wu-Tang|Wu, Tang, Wu, Tang, Wu, Tang, Wu, Tang|Wu, Tang, Wu, Tang, Wu, Tang, it's on your brain||[Verse 2: Ol' Dirty Bastard]|I get riggy diggy raw when it's time to get|On the dance floor shotgun kill the shit|Blaow, then you won't step to me|Thinking is he really raw as he said he'd be|If I wasn't really raw, standing here on the floor|You'd be like, ""Booooo! He ain't hardcore!""|Niggas play like they live but won't survive|Jumpin up and down ticklin that jive when you ticklin gab|I'm an average man, G-O-D fan|Let it be known who's the champ, Wu-Tang Clan!|It's coming through and WU, boy it's bad too!|Throw your hands in the air, if you don't care|WHO, the Ol Dirty Bastard be|Oh me on my, you be hoppin on my shit just like a fly|BZZZZT, all around|The dirtiest stinkin sound down to the ground|What, what, what you wanna do?|What you wanna do when I'm coming for you?|I'm gonna give it to ya, bayyybah, bayybah|Bayybahhhahahahahahahahahahah...You might also like8Embed"
Ol’ Dirty Bastard,Wastin’ Time (No More),2009,"Wastin’ Time (No More) Lyrics[Verse 1]|Please pull the plug if the drugs are winning|Cause the high will keep your world spinning|Wasted time, thought about the high with fam|True the cash was there, and the stash was there|And I thought that Forever that the Wu was there|Wasted time, on hoes, pussy and clothes|I'm the Don of the rose, it's the life I chose|Baby Mamas are the worst, bitches don't even work|Yet the Coach bag matches with your hat and your skirt|So I slept for no reason, disappeared for seasons|Room may be padded, but damn, it's more easy|Beautiful girls tease me, they see the sleaze in me|But I'mma stay Dirty, accept the snake|No more will I waste the cake, no more will I run from Jake|No more will I make mistakes, no more will I waste the time|[Hook]|No more will you spit in my drink, no more will you poison me|I'mma climb real high, feel free with the thug inside|No more will I run and hide, wastin' time|No more will I taste the drugs, no more will I dodge the slugs|I'mma climb real high, feel free with the thug inside|No more will I run and hide, no more will I run and hide|No more will I waste the time||[Verse 2]|I walk on a dirty trail of cash and L's|Red Rose, you get high when I exhale|Jumped bail cause the judge promised my ass jail|West Coast couldn't hide me, the world's an audience|Passed out from the high like Martin Lawrence|Had me in the room next to Sarah Connor's|But my problem's much greater than any Terminator|Not one visit from fam, just letters from fans|Saying ""Dirt keep ya head up and fuck getting wet up""|The Roc told me to sign on the dotted line|""Welcome home, Russell Jones, you've been wasting time|Rocked up a little, bling bling a little|Now every roach in the cracks wanna jump in the Ac|Every cat in the front gotta ride in the back|You freaks in the Ford, I ride a Cadillac|You freaks in the Ford, I ride a Cadillac|At last|You might also like[Hook]7Embed"
Ol’ Dirty Bastard,Hippa to Da Hoppa,1995,"Hippa to Da Hoppa Lyrics[Intro]|My beats are slamming||[Verse 1]|My beats are slamming from the rugged programming|My man Bob Marley hey my man I'm jamming|You could never touch the stamina, while I'm ramming the|Hip-hop crowd makes me rrrah rrrah rrrah|Other MC's got flipped with the ease|Begging me for mercy, stop the music please|No cause I'm a pro, rap to the convo|Make a crowd say ho, at a strip show|Represent, my name is Ason keep calm|Rhyme's too smoky, funky like a stink bomb|Boom, blowing up niggas better than pulling the trigger|So you betta run for cover|Niggas better loosen they ass, felt the glass|A forty ounce bottle, yo yo yo money yo pass|Woooh-woooh-woooh, I sweat it live|Is he gonna live doc?, no the nigga dies|The max-imum of MC's are populating|The min-imum of those MC's are dominating|Now all and together now, to what what who|Rhymes come stinky like a girl's poo-poo|[Hook]|Hippa to da hoppa and you just don't stoppa|Hippa to da hoppa and you just don't stoppa||[Verse 2]|Ahh shit, here I go once again|Rhymes get shitty from the time that I spend|I come old like toe fungus mold|Ask my grand-pop pop duke gave my soul|Then I came with that old Al Green shit|Saaa-die, taught me the ballistic|I get you blurry in your eye with a high note|Down, to the Brownsville, oops you got smoked|The shit I'm dropping is stinking up your area|When I shoot it through like a messenger carrier|I keep my breath smelling like shit so I can get|Funky baby I'm not having it||[Hook]|Hippa to da hoppa and you just don't stoppa|Hippa to da hoppa and you just don't stoppa|Hippa to da hoppa and you just don't stoppa|Hippa to da hoppa and you just don't stoppa||[Outro]|The Hellfire style!|(Sound of dragon breathing fire) Dragon Fist!|(Sound of horse neighing and running.) Horse Fist!|Bastard, I didn't know who you were!You might also like5Embed"
