rapper,song,year,lyrics
Proof,Kurt Kobain,2005,"Kurt Kobain Lyrics[Intro]|This my last letter right here|Fuck this world|Let's get the fuck outta here||[Verse 1]|I put my soul through the ink|Bless a pad with thoughts, add my faults, before I grow extinct|My back-bone disowned by zone|Why roam? Called home, but now on I'm all alone|Just Proof, no shine, no friends, just fans|No wonder my hands tight where the Internet ends|I take back most of the flack|The stress smokes press me close to the crack|Like my pops, the ghost of my past|Thyme and Mudd, Jay Dee and Stuckey|Lately I'm lucky, I don't hate me to touch me|Maybe I'm ugly inside but smilin' to make it|I love y'all, dawg, and that's however you take it|The fame is an illusion, I'm still losin'|In this game, with the rules and I feel clueless|The streets with the hills blueless|Cops knockin' at the door, got me lookin' real foolish|But I still do this, like I love it|Even though I thug it, keep flossin' lights in public|The subject y'all don't know|Stars won't grow, wounded dreams with scars to show|Minus the MTV videos with Slim|""Up in Smoke,"" D-12, and many shows with Em|It's still me, dawg, no change for change|It's strange, when it pours it rains; I take it back|[Hook]|I wish I could take it back|I wish I could take it back, but it's too late|I wish I could take it back|I wish I could take it back, but it's too late||[Verse 2]|Always talkin' to Snook, hopin' he speak back|Wishin' my first son was here to reach at|Feelin' detached; my brother Earl, and Wayne|That bail money for jail, y'all can keep that|I've been deep before, ask Stillman|My heart's meltin', tell the truth I need help, man|My heart's big, but my sins bigger|Fuck the world, I don't feel like I can win, niggas|It's like I'm lost and I find only demons|I wanna quit, it's like I'm tired of breathin'|So my stress confess to a famous song|Em, I love you — don't let this money change us, dawg|First born, when I'm gone, grab Nasaan|Leave Naeem with the cream and his mom|And dear Momma, I used to hate you|Now I relate to everything you did to make Proof|I love you! Take it back…||[Hook]|I wish I could take it back|I wish I could take it back, but it's too late|I wish I could take it back|I wish I could take it back, but it's too late|You might also like[Verse 3]|All y'all see is Free from 106 & Park|Y'all don't know I risk my heart with this apart|From the streets, the groups, the friends, the foes|The jewels, the dick lickers and the hoes|What about me? Sheltered with no guidance|Look at the finest, royal highness on some hot shit|Still livin' with the liquor and bud|Sometimes I wish for my demise, so I can kick it with Bugz|I wish it was real between us all|In the past, you should've seen us, dawg|I'd die for Em and save Hailie|Brave maybe, but just let them tears roll off my grave, Shady|Kuniva and Swift, how live does it get?|I meant to teach y'all niggas to survive in this bitch|If we die to be rich, that makes me happy|And on another note, shit, don't hate me, Pappy|It's just that we look the same; you let the game take you|Your son came along and took the game|Since I took my own life, y'all feel a killer for sho'|Bizarre, on the real, you the realest nigga I know|Strappin' and bustin' ain't real, just tell your mans the truth|And that's why you've always been friends with Proof|Answer to all, I've always lied with truth|And before I pull the trigger, Denaun, I'm proud of you|[Outro]|Listen… LISTEN…|Love… killed me|Love… Love… killed… me|Love… killed… me52Embed"
Proof,8 Mile: Lil’ Tic vs B-Rabbit,2002,"8 Mile: Lil’ Tic vs B-Rabbit Lyrics[Intro: Proof (as Lil' Tic)]|I'ma murder this man!||[Verse: Proof (as Lil' Tic)]|He the type to lose a fight wit' a dyke|They don't laugh 'cause you're whack, they laugh 'cause you white wit' a mic|You're a laughin' stock and when will this laughin' stop?|When you and Everlast bitch-ass get popped|You a wigger that invented rhyme for money|Watch Lil' Tic spit, kick the Energizer bunny|Rip the Rabbit head off, toss it to Hugh Hefner|'Cause I don't play, boy, now tell me, who fresher? (You are!)|L.T., that's right, cock the heat and shoot ya|I'll punish Rabbit or obsolete Future|My paws love to maul a MC|'Cause he's faker than a psychic with caller ID|So that bullshit, save it for storage|'Cause this is hip-hop, you don't belong, you're a tourist|So put your hockey sticks and baseball bat away|'Cause this here Detroit, 16 Mile road is thataway, thataway|Thataway|[Outro: Eminem (as B-Rabbit)]|AyoYou might also like7Embed"
Proof,Life,1997,"Life Lyrics[Verse 1]|Magnificent, it been evident with this microphone|He been my ace boon coon, then again I might be wrong|I felt myself parting with who I started with|Fuck the skills, this is all from the heart and shit|This life I live, fighting and shooting|It’s polluting my mind, but I turned out fine|We used to strangle and smash, mangle and blast|Although we was opposites we was Tango & Cash|But it ain’t gonna last|We was equals with the lyrics|Whatev's homes, It ain’t your skin tone, it's in your spirit, hear it|First, I’m your boy since way back|We all fought the wheel of fortune, but don’t say jack|When you turned your back on your crew|Who was down with you?|Looking Tice in a woody|Tune to your hoodie|I’m from the Mob but not the Goodie|The name is Dirty Dozen, never meant to see you footie|So don’t step and wear it out|I’m calling you, was sold in the moon|So comprehend, the message I send|F-R-I to the friend, a friend to the end let’s begin|[Hook]|Where did we go wrong|We were so strong|Unified, but now we no long|This is yo' song|Now ask yourself where did we go wrong|I wanna know where did we go wrong|Where did we go wrong|We were so strong|Unified, but now we no long|This is yo' song|Now ask yourself in the mirror where did we go wrong|I wanna know where did we go wrong||[Verse 2]|It was simple mathematics, you needed money, not loyalty|We got allegiant but you sparked trees and in the royalty|We was Batman and Robin, you was more like Robin and Batman|So affirmative action was needed, that’s why I deleted|And proceeded to heat it|To other peoples minds through your ears|So clear, you was closer than my old lady|Your industry rule four thousand and eighty|Can’t trust you but got no love so heed that|Retrospective yesterdays so don’t give me no feedback|His wildest actions made my whole brain pause|You was sell-out, because you sold out my whole cause|Ain’t got no beef with you but I hope to sleep with you|Don't sell yourself short to be your inspirer|Peace to deep admirer, that said life ain’t to be fair|And your true friends, in the end will be there|(Was that you?)|You might also like[Hook]|Where did we go wrong|We were so strong|Unified, but now we no long|This is yo' song|Now ask yourself where did we go wrong|I wanna know where did we go wrong|Where did we go wrong|We were so strong|Unified, but now we no long|This is yo' song|Now ask yourself in the mirror will we go wrong|I wanna know where did we go wrong||[Verse 3]|5 Ela for life, inked in my flesh|Life was so fast, you could damn near blink to death|Let me think the rest Jay Dee, good luck and shit|Try your best to not go out and get fucked and shit|Yo, we been real since day one, no feelings to hide|Although that 'Player' shit had me angered inside|Ride with my goons trick tick, never changed up|Got out of hand, death wish will make your brain bust|We on the same stuff, the stacky that's out by kind|Keep it real with the faith and don’t doubt my guy|And to undertake a death for life again, you won’t like it when I strike again|So say my name up on your mic again|And Fuzz, you just ain’t got the look to last|If I'm a bitch nigga, then your bitch nigga done whooped your ass|You just another leech, hanging by my testicle|Peace to Zana, he'll tell ya I’m a spectacle|Best to flow, in my defense not the linguist but ?? fluid|Yo ass is grass niggas, and I’m the lawnmower|Flamethrower, make it hot this year|Hittin' on all y'all player hater niggas, flex this here|And to styles locked down and sobered and shit|Never sacrifice a true dog over a bitch|Over a bitch|Never sacrifice a true dog over a bitch|[Hook]|Now will we go wrong|We were so strong|Unified, but now we no long|This is yo' song|Now ask yourself in the mirror will we go wrong|I wanna know where did we go wrong|Where did we go wrong|We were so strong|Unified, but now we no long|This is yo' song|Now ask yourself where did we go wrong|Now ask yourself where did we go wrong||[Outro]|Ay yo, this is dedicated... to those...17Embed"
Proof,Forgive Me,2005,"Forgive Me Lyrics[Verse 1: Proof]|Barely raised by my dysfunctional fam|Here I stand as a dysfunctional man|Quick-tempered, short-fused and pissed at God|Demons pullin' at my soul 'til it's ripped apart|Secret's out, Momma: that fire, I started it|Fuck the fireman logic of the closet by the wire shit|What's positive about a father that bust nuts then wussed up|And a momma that don't show her son enough love?|Shit, that's why I run from my first son|And force these chickenhead bitches to get abortions|I married the Game, my mistress is Fame|My girl packed her clothes, she know I ain't gon' change|Go insane in a world evil as ours|I done shot at houses, people and cars|The deeper the scars, the worse is the history|God, you ain't gotta forgive me, just don't forget me, you hear me?|[Chorus: 50 Cent]|Lord, forgive me, for I've sinned|Over and over again just to stay on top|I recall memories filled with sin|Over and over again… and again|[Verse 2: Proof]|And most importantly I'm tryin' to support my seeds|Can't seem to get away from them courtin' fees|Embroidery, on my hood across my heart disorderly|Breakin' in houses of people who ain't got more than me|Accordingly, I move in error|Gotta face the fact though, I can't fool this mirror|Neglected my daughter|And tryin' to blame on how I was brought up|Like I'm a product of this environment, why ain't I shot up?|Got up today like, ""Why you let me breathe again?""|And with each breath I feel death is creepin' in|Thinkin' sinners are winners and I'ma finish last|My pen and pad record my life as each minute pass|Passin' minutes, I shook sin and shook drugs|I did right by you, but still you took Bugz|Then caught me in adultery, fought me|For not knowin' through the dark streets|You walked me, talked to me|You might also like[Chorus: 50 Cent]|Lord, forgive me, for I've sinned|Over and over again just to stay on top|I recall memories filled with sin|Over and over again… and again||[Verse 3: Proof]|It's the risk that's a rush, so rush my wrists into cuffs|It's like a fight for your attention and love|Speakin' of Bugz, give me a hint from above|If he not, you know I wanna be sent when I'm done|Kid out of wedlock so my lady's frontin'|I love Em 'cause he gave me somethin'|A positive anything is better than a negative nothin'|I was on the edge of death, ready to jump in|It's hard when you can't find love anywhere|And just because the reverend listen don't mean he care|Pops on crack with a sufferin' past|I dream in black and white, the world color me bad|Other than sad, painful and stressed|Life is good with the webs that tangle with death|Control the border, control the score|I have sinned amongst men and my soul is yours|[Chorus: 50 Cent]|Lord, forgive me, for I've sinned|Over and over again just to stay on top|I recall memories filled with sin|Over and over again… and again|Lord, forgive me, for I've sinned|Over and over again just to stay on top|I recall memories filled with sin|Over and over again… and again16Embed"
Proof,I Ain’t Trippin,2003,"I Ain’t Trippin Lyrics[Intro]|Ey yo, it's dedicated to all my homies from my past|You know what I'm sayin'|If you going in life|Hey, just listen||[Verse 1]|Ayo what make you think in a blink we ain't fam no more|I guessed the same shit they say I ain't the man no more|I played no more the grieve 'cause you're frustrated|You see me on the new ride and you must hate it|Let me tell you what's over me, where I've been|Keep you in focus while I share my sins|I had a son real young, now let's trace back|Put my faith in this music, and chose to chase rap|I left him fatherless, never bothered with facin' him|Gotta deal with the drama, others momma raisin' 'em|Ten years later, my girl tummy is fat|At the bottom of the barrel with my gun in my lap|Had to hustle for rent, put muscle in strength|Had to borrow a pimp for dollars and sex|It's a wonder why my blood even pump at all|Yo no matter what y'all think, my heart pumps for y'all|[Chorus]|I'm sorry for sayin' that, I ain't trippin' man|I love you though Proof, I ain't trippin' man|We still dawgs though right? I ain't trippin' man|You been real distant, but I ain't trippin man||[Verse 2]|My situation ain't improvin', in fact, I'm still [?]|Paid my dues and still losing, walk in my shoes then|First son passed, the second one is here now|Confused, reaching for the weed and all the beer now|Never rep for self, try to live for all|But you didn't appreciate the real time I given y'all|Is it y'all that you don't want it and flaunt it in rhymes?|You are my path for this cash seen hundred at time|It's crazy with the bullshit, y'all addressing me|When every real man makes out his own destiny|You know that saying I depressed you, neglect you and left you|Sharp minds, no harp wires, that respect's due|I had to get my thought on, through the drama brought on|I feel y'all 'cause I slept on Em when he got on|When pressure's above, there's no justice for scrubs|Y'all was thicker than water but not less than blood|I can't believe y'all deceived me behind my back|Flipping for fame, damn where you mommy at?|Put the time with Zac still gon' hug y'all|No matter you think my niggas I love y'all|You might also like[Chorus]|I'm sorry for sayin' that, I ain't trippin' man|I love you though Proof, I ain't trippin' man|We still gon' be dawgs though right, I ain't trippin' man|You been real distant, I ain't trippin man||[Verse 3]|It's easy to express all my pain with ink|Who held you down with love, if you brain would think|The fame will wink and the game extinct|It's plain and bleak that I came in peace (Peace)|But the love heal, my love kill|This love give, shit or this love still|Is your love fake, or is your love real?|Anyway fakin' luck and he be gettin' the bill|When you lose trust you lose light true|Through my consciousness is that of a confused Christ|I choose right and obey your decision|But you need to be men and just play your position|My flesh is sacred committed by God|If I'm livin' large, shit's likewise for the whole squad|My body is a temple, it simple to read it|If the Lord don't give it, then I must not need it|The world is cold, don't be afraid nigga|Don't let the fame fuck your brain, I ain't payin' nigga|Still got a thug for scrilla|No matter what you do and say your thing, shit I love y'all niggas, c'mon|[Chorus]|I'm sorry for sayin' that there, I ain't trippin' man|I love you though Proof, I ain't trippin' man|We still dawgs though right, I ain't trippin' man|You been real real distant, but I ain't trippin man|I didn't mean to really say that, I ain't trippin' man|Can we shake on that? I ain't trippin' man|Somebody robbed [?] records, I ain't trippin man|Sorry for sayin' that, but I ain't trippin' man1Embed"
Proof,Trapped,2006,"Trapped Lyrics[Intro: Eminem]|Big Proof, rest in peace|Doody, we love you|We just wanna keep makin' you proud||[Verse: Proof & Eminem]|My life is trapped in these lines, that’s why I’m packin' these nines|I gotta rap, I ain’t dyin', that’s in the back of my mind|Got a strap made of iron, can’t relax on this grind|Bendin' over backwards for these slackers 'til I’m snappin' my spine|Natural high, gotta focus, on these bogus poachers|Lookin' over my shoulder, Proof get it poppin' like soda, hold up|We nothin' but soldiers, slow up, this gun is loaded, roll up|They beef and we leavin' ‘em coked up|If Slim say it I spray it, if he will it I kill it|We Kilpatrick and Ilitch of Detroit, y'all can feel it|Real as this gun on my waistline, at war we don’t waste time|[Ja, man] he can’t take a punch and 50 can take nine|We got school crap here at the 7, 8, and Dexter|I’m up in Hollis spendin’ dollars, ain’t feelin' no pressure|Yes sir, your texture is bitch, betcha you flinch|When Proof shoot up that coup and wet your whole cliqueYou might also like7Embed"
Proof,Many Men,,"Many Men Lyrics(Background starts)|Hey, yo, Im the king of this muthafucka, I'm the king of Detroit You do what I say what I say nigga, yo dont say it we gonna smoke this nigga 'Proof'|Fuck that you shoot that nigga, right there, get that nigga!|King Of Detroit, what up now fool, what up now nigga!||[Intro-Singing:]|Many men, wish death upon P|Its hard to survive in the 313|I'm trying to be what Im destined to be|And niggas tryin to take my life away|I put a hole in a nigga for fuckin wit me|He ain't come dollo face in 1E|Watch what you say when you talk about me|Cuz I come and take your life away|Many men, many many many many men|Wish death upon me|Dog I don't cry no more|Don't look to the sky no more|Have mercy on me|[Verse 1]|Man these pussy niggas put money on head|Gonna get your refund, cuz motha fucka I ain't dead|I'm the dozen in the dirt, that ain't been found|The real king of the 'D' (shit) that ain't been crowned|When Im on, something special happens every time|Im the dopest, something like Roy Jones in his prime|I walk the planks of the jungle, got a problem then fuck you|Show you what my gun do, if you whack and unhumble|Be for real, punk niggas, your new to the beat|Ask any playa in the 'D', your new to the streets|Ya'll ain't from 7 mile, and y'all ain't wound|Fuck a bone, when you hear that *click* its a gun!||[Hook]|Many men, many many many many men wish death upon me|Dog I don't cry no more|Don't look to the sky no more|Have mercy on me|Have mercy on my soul|Somewhere my heart turned cold|Have mercy on many men, many many many many men|Wish death upon me||[Verse 2]|Now there wouldn't be real, if it wasn't for no heart|If there wasn't 8 mile, there wouldn't be O Port|Death gotta be easy, cuz life is hard|Murk you in afterlife, and see twice the god|This is for my niggas on the yo, doin there time|The real murkers in Detroit, that shine on the ground|I heard about that little hit, that u put in the hood|But your shootifyougetshot ain't gonna do no good|Im like MG for shady, you can call me 'the Don'|If you Micheal mothafucka, you gonna die in the storm|Can't switch sides homie, let cash ride homie|Thought we was cool, why you want me to die homie?|You might also like[Hook]||[Verse 3]|You know how many mothafuckas wanna hear your bone break?|PA 7 Mile, FA's on May|School craft LA mack and B-wick|CCs Runyan AV. That's who 'P' wit|The cops don't know much, where I tuck my Glock|I got the word from E-dog when Stuck got locked|Ain't gunna spell it out for you muthafuckas on the grind|Are you blind nigga, can't read between the lines|From Cameon, Rico Shocka and G-low|Rock man, First born, boxy and Dlow|Now lets clear, Im here for a real reason|He do a a hit, I do a hit, lets see who's still breathin'|*gasp*||[Outro-Singing:]|Many Friends|I lost to this game, and this cocksucka come namin names|So many hommies that passed away|Run up on him, point-blank and blast away|Many friends, many many many many friends|That died on me|I should have preserved my dog, poured out on the curb for ya'll|Your R.I.P|Many friends|I lost to this game, and this cocksucka coome namin names|So many hommies that passed away|Run up on him point-blank and blast away|For Lewon, Click-click, Bugs and Snook, Don't care bout all them drugs he took|Watch what you say when you talk about me, Cuz Im always gonna walk the 'D'|Many friends|That died on me|I shall have preserved my dogs, poured out on the curb for y'all|Yo R.I.P4Embed"
Proof,Oil Can Harry (Benzino Diss),2005,"Oil Can Harry (Benzino Diss) Lyrics[Intro: Proof & DJ Salam Wreck]|Salam Wreck!|(Derty Harry is dead) [x4]|I'm here to announce that Derty Harry is dead|Now we witness the rise of the son|Oil Can Harry, the Boss|Hahaha (Wreck!)||[Verse 1: Proof & Eminem]|My life is trapped in these lines, that’s why I’m packin' these nines|I gotta rap, I ain’t dyin', that’s in the back of my mind|Got a strap made of iron, can’t relax on this grind|Bendin' over backwards for these slackers 'til I’m snappin' my spine|Natural high, gotta focus, on these bogus poachers|Lookin' over my shoulder, Proof get it poppin' like soda|Hold up, we nothin' but soldiers|Slow up, this gun is loaded|Roll up, they beef and we leavin' ‘em coked up!|If Slim say it, I spray it; if he will it, I kill it|We Kilpatrick and Ilitch of Detroit, y'all can feel it|Real as this gun on my waistline, at war we don’t waste time|Ja, man, he can’t take a punch and 50 can take nine (brrrah!)|We got Schoolcraft here at the 7, 8, and Dexter|I’m up in Hollis spendin’ dollars, ain’t feelin' no pressure|Yes sir, your texture is bitch, betcha you flinch|When Proof shoot up that coup and wet your whole clique|Fuck it, who's next from this shit? This is This is breakfast time, bitch!|When you brothers is stiff as slugs exit ya wig|You'll be next to B.I.G., Pac, it's destiny kid|Before ya lid get popped, stop testin' me, bitch!|[Chorus: Proof]|Homie, you think you tough? (What?)|Think we won't fuck you up? (Punk!)|Even the innocent get pistol-whipped by this pistol grip (Punk!)|Talkin' shit, you drunk? (What?)|Think I won't fuck you up? (Punk?)|We both deep, I ain't scared and I don't give a fuck (Jump!)||[Verse 2: Proof]|I ain't fail no games, homie don't even try|We ain't bowin' down to no one, we gon' start a riot (yeah)|Heart of fire, soul of ice, roll the dice, see what you get|No advice all my life, I ain't leavin' this bitch|I'm a man, I'm holdin' my ground, unloadin' these rounds|At any clown approachin' my crown (brrrah!)|I'ma keep it grimey, nothin' but killas seen behind me|I'ma bully fully 'cuz your team is tiny|If I was to crush you, God can’t save you; Bibles are nothin'|This rifle I'm clutchin' to leave you stifled on crutches, hah|I fight for my cousins that ain't even related|Even I'll state it now, from life I leave you bleedin' and faded|Hatin' made in my nature, I'm clappin' and clackin' your captain|Smackin' faggots and act as a rapper with platinum status|Ya liver flappin', I'm slappin' 'em backwards|Half of these rappers' status to shadders|Knowin' Proof and the Mathers has gathered an army|It's Shady bandanas, after us the game is one|Who in the matters get plain-fashioned brain damage|The name that some forgot, D12|It ain't hard to feel, guard ya grill, it's real!|You might also like[Chorus: Proof]|Homie, you think you tough? (What?)|Think we won't fuck you up? (Punk!)|Even the innocent get pistol-whipped by this pistol grip (Punk!)|Talkin' shit, you drunk? (What?)|Think I won't fuck you up? (Punk?)|We both deep, I ain't scared and I don't give a fuck (Jump!)||[Outro: DJ Salam Wreck]|Yeah, Big Proof!|Grown Man Shit!|Shoutout to Mark Hicks, Jimmy Neutron|Mario, Skinny Boy Graphics|You know what I'm sayin'?|Firstborn, everybody up at Iron Fist|DJ Salam Wreck, let's go!1Embed"
Proof,Ja in a Bra (Ja Rule Diss),2004,"Ja in a Bra (Ja Rule Diss) Lyrics[Sample: Ja Rule]|It's Murda (Ha-ha-ha)|It's Murda|We back up in this motherfucker!|It's Murda|Y'all know who we be|(Yeah, ayo don't let me catch you runnin' from the back of BET either, nigga)|R.U.L.E. I.N.C.|My nigga Fatal on the mutherfuckin' ones and twos|Holla back, you bitch ass niggas|Yo, cocksucker|If y'all haven't heard yet, that nigga change is loose and I got proof|Get it? ""I got Proof""|[Intro: Proof]|Woof!|You know my name, it's like this: Proof!|D12, Sicknotes|It's war now! Let's man up! (Woof!)|No prisoners! No casualties!|All my riders, let's ride! C'mon! (Woof!)||[Verse 1: Proof]|Word on the street is I murdered this Inc.|You're wack with your hands, not deservin' the heat|You're nervous in beef, to Irv and his peeps|I ain't rappin' no more|I speak through the curb in the streets (Woof!)|Ya henchman got this bitch to get a poor job|That midget Cookie Monster hangin' from a door knob|Y'all lucky I don't like touchin' women|And don't send no peace talks|Comin' through Russel Simmons (Woof!)|Got the right connections, mic conceptions|Yo, with beef you sleep|Your life is definitely gone|Don't ever seep at least a woof of rap|You'll need more than a Bush Attack to push me back (Woof!)|You think it's just 50 and Sha|Listen up, Ja, no kissin' or not|Detroit City wishin' you die|I know you just wanna rap and be pop|But before it's said and done, you gon' see 'Pac (Woof!)|You might also like[Hook: Proof]|Y'all don't want war, y'all want talk|In the dark my dogs all bark like (Woof!)|Proof nigga, I'm a wolf|Now you all shook|About to get your brains pushed back||[Verse 2: Proof]|Chris Gotti|This nigga had the nerve|To have 10 niggas sneak me|Just to get wit' me|I'm only 1,60, and the fact is|Murder Inc. is DJs and kittens|I only walked out with scratches|Wearin' a Rolex shirt|So if that's your streets speakin'|Your threats don't hurt (Woof!)|You cowards, do something before we do ours|I could write a Ja Rule album in two hours (Nigga!)|Right down on your back, run your pockets flat|Like federal tax, put your head on a rack (Woof!)|It's so bad, only be good is death|In LA, G-Unit posted and Suge left (Fat bitch!)|I'm from Detroit, went to holla in Hollis|Niggas is like, ""Ja's garbage, don't even bother"" (Ha ha ha) (Woof!)|Plus your over witness, gangstas is mad|That 50 made ""Wanksta"" and wanksta's definition is ""ain't tough""|With bitches with ya'll wanna brawl with a paint brush|Paintin' his war marks, I'm losin' my patience|It ain't just D12 and Obie, homie|Cancel your shows, respect|And act like you know me|If you say Hailie's name again and I'm catchin' a jet|911 style, to your face and your chest|911 style, to your face and your chest|It's over, nigga, gettin' wet on the set|[Hook: Proof]|Y'all don't want war, y'all want talk|In the dark my dogs all bark like (Woof!)|Proof nigga, I'm a wolf|Now you all shook|About to get your brains pushed back||[Hook: Proof]|Y'all don't want war, y'all want talk|In the dark my dogs all bark like (Woof!)|Proof nigga, I'm a wolf|Now you all shook|About to get your brains pushed back||[Outro: Proof]|Ha! I ain't even talkin' no more|I can't believe my name came out yo' ho ass mouth, nigga|Talkin' 'bout like, ""We gave it to Proof""|Yo' bitch ass was scared to come in that club, nigga|Y'all ain't got that|I'ma tell you like this: Black-Child, Chris Gotti|I'm on that ass, word is bond!|So y'all niggas go get your wannabe street niggas|Recruit who you wanna recruit|'Cause I'ma murk all ya soldiers and recruit your bosses when it's over|Nigga, Big Proof, D12|Only 163, I left out with scratches, nigga|Wait 'til y'all niggas come to the D|Oh, y'all want New York? I just left Summer Jam|I'll be back fuckin' with yo' bitch!|Ayo, Cookie Monster, come get me, nigga|Ho ass nigga|And don't make me really write some shit1Embed"
Proof,Trapped (Full Version),2005,"Trapped (Full Version) Lyrics[Intro: Proof]|Derty Harry is dead [x4]|I'm here to announce that Derty Harry is dead|Now witness the life of his son, or Oil Can Harry, The Boss|[Verse 1: Proof & Eminem]|My life is trapped in these lines, that’s why I’m packin' these nines|I gotta rap, I ain’t dyin', that’s in the back of my mind|Got a strap made of iron, can’t relax on this grind|Bendin' over backwards for these slackers 'til I’m snappin' my spine|Natural high, gotta focus, on these bogus poachers|Lookin' over my shoulder, Proof get it poppin' like soda|Hold up, we nothin' but soldiers|Slow up, this gun is loaded|Roll up, they beef and we leavin' ‘em coked up!|If Slim say it, I spray it; if he will it, I kill it|We Kilpatrick and Ilitch of Detroit, y'all can feel it|Real as this gun on my waistline, at war we don't waste time|Ja, man, he can’t take a punch and 50 can take nine (brrrah!)|We got Schoolcraft here at the 7, 8, and Dexter|I’m up in Hollis spendin’ dollars, ain’t feelin' no pressure|Yes sir, your texture is bitch, betcha you flinch|When Proof shoot up that coup and wet your whole clique|Fuck it, who's next on this shit? This is breakfast time, bitch!|When you brothers is stiff as slugs exit ya wig|You'll be next to B.I.G., Pac, it's destiny kid|Before ya lid get popped, stop testin' me, bitch!|[Chorus: Proof]|Homie, you think you tough? (What?)|Think we won't fuck you up? (Punk!)|Even the innocent get pistol-whipped by this pistol grip (Punk!)|Talkin' shit, you drunk? (What?)|Think I won't fuck you up? (Punk?)|We both deep, I ain't scared and I don't give a fuck (Jump!)||[Verse 2: Proof]|I ain't fail no games, homie don't even try|We ain't bowin' down to no one, we gon' start a riot (yeah)|Heart of fire, soul of ice, roll the dice, see what you get|No advice all my life, I ain't leavin' this bitch|I'm a man, I'm holdin' my ground, unloadin' these rounds|At any clown approachin' my crown (brrrah!)|I'ma keep it grimey, nothin' but killas seen behind me|I'ma bully fully 'cuz your team is tiny|If I was to crush you, God can’t save you; Bibles are nothin'|This rifle I'm clutchin' to leave you stifled on crutches, hah|I fight for my cousins that ain't even related|Even I'll state it now, from life I leave you bleedin' and faded|Hatin' made in my nature, I'm clappin' and clackin' your captain|Smackin' faggots and act as a rapper with platinum status|Ya liver flappin', I'm slappin' 'em backwards|Half of these rappers' status to shadders|Knowin' Proof and the Mathers has gathered an army|It's Shady bandanas, after us the game is one|Who in the matters get plain-fashioned brain damage|The name that some forgot, D12|It ain't hard to feel, guard ya grill, it's real!|You might also like[Chorus: Proof]|Homie, you think you tough? (What?)|Think we won't fuck you up? (Punk!)|Even the innocent get pistol-whipped by this pistol grip (Punk!)|Talkin' shit, you drunk? (What?)|Think I won't fuck you up? (Punk?)|We both deep, I ain't scared and I don't give a fuck (Jump!)3Embed"
