rapper,song,year,lyrics
Q-Tip,Vivrant Thing,1999,"Vivrant Thing Lyrics[Intro]|Uh.. check it out now|Uh.. no doubt now|Uh.. yo, check it out now|Uh.. no doubt yo||[Verse 1]|Special girl, real good girl|Biggest thing in my itty bitty world|Called her up and she made me feel right|Wish for bliss could never take flight|Sittin back with this mic in my hand|Spittin hot shit tryin to see grand|Imprinted on my mind every minute|Make my plans and you always in it, yo|[Chorus]|Uhh, such a vivrant thing|Vivrant thing, a vivrant thing||[Verse 2]|And even though we both fly|Give each other space and not the evil eye|Actin like grownups|Don't even try to hide cause the spot blown up|Girlfriend tellin you she wanna see|I say 'I dunno' but you say 'Gladly'|And when we both do hit|We go on and on and on and on and on and|Sweeter than Ben & Jerry|Can I rhyme? Well you know I gets mine|Sittin round in my abstract car|This abstract thing goin' abstract far, yo||[Chorus]|Uhh, such a vivrant thing|Vivrant thing, a vivrant thing|Yo.. such a vivrant thing|Vivrant thing, a vivrant thing||[Bridge]|Look at you, look at me|Look at you, look at me|Check it, yo - check it, huh|Yo, check it - uhh, yo|Yo.. such a vivrant thing|Vivrant thing, a vivrant thing|Look at you, look at me|Look at you, look at me|Yo, check it, yo, check it|Yo, check it, yo yo yo|Yo.. such a vivrant thing|Vivrant uh, uhh-uhh, uh|You might also like[Verse 3]|Gettin back to my MC status|All the Willie that I kick make the other niggas mad it's|Movin, to your town and situation|Shorty thought she subtle but she really was blatant when she|Shook her thing and violated|Now these wolf-like thoughts are formulated|I'm sayin, ""Yo is this some heartfelt shit here?|Am I strong black nigga? Well shit yeah|Plus we can hold a convo'|Or go to the movies, my crib, whatever yo|Just wanna see you by my side""|We on 95, know the stash is in the ride|A rapping nigga for real|You would find me in a cypher if I didn't cop a deal|Rap slate like big weight|You buy, I sell, we split big cake||[Chorus]|Uh uh, just move your little thing|Move it around and shake your little thing|Uh uhh|Yo.. such a vivrant thing|Vivrant thing, a vivrant thing|Uh, yo, you such a vivrant thing|Vivrant thing, a vivrant thing yo|Uh, such a vivrant thing|Vivrant thing a vivrant thing uh|Vivrant thing a vivrant thing uh|Vivrant thing ah out yo uh uh|Yo2Embed"
Q-Tip,Life is Better,2008,"Life is Better Lyrics[Verse 1: Norah Jones]|Life's filled with gray|But now, it comes clean|Leaves fall away|Hip-hop is playing again|And it's banging, too|Know it's banging, for you|Don't stop this feeling I feel|I just wanna lay around all day and feel the breeze upon my knees|I'm so into your rich history|Tell me stories and take me away|Come and take me, ooh|Come and take me with you|[Hook: Norah Jones]|Life is better, now that, now that I found you|Life is better, now that, now that I found you|Life is better, now that, now that I found you|Life is better, now that, now that I found you|Life is better, now that, now that I found you|Life is better, now that, now that I found you|Life is better, now that, now that I found you|Life is better, now that, now that I found you||[Verse 2: Q-Tip]|Uh, uh, one step at a time, a man walked on the moon|One record got played, Kool Herc said boom|One minute young man, your time come soon|We waiting, it was prophesized you loon|We bang our drums, enter message through sound|We restless and we takin over your town|Hands sweatin'|It's critiquing all this vibe I'm gettin, playlist setting:|Cold Crush, Furious Five and the Masterdon|Cosmic Force, Bambaataa, Jazzy 5|Lovebug Starski, Junebug, Busy Bee|Run, D, Jay, LL, Kane, Biz Markie|Doug E., Will, Barry B., Spoonie, Schoolly D|Rakim, BDP, Dana Dane, Ricky D|Leaders of the New School, Snoop Dogg, Monie Love|BIG and Pac are up above, Eazy-E and Bone Thugz|Fat and Skinny Boys, Cash Money and the rapper Nas|Large Professor, Lauryn, Wyclef, and Pras|Brand Nubian, Diamond D, Ludacris and Jay|R.I.P. Pimp C, Common, Lil Wayne and 'Ye|Primo, OutKast, where my nigga Dilla at?|S.V., uh, uh, where my nigga Dilla at?|And when you look into my eyes, it makes all these feelings rise|Makes my space a better place, can't you see it in my face?|You might also like[Hook: Norah Jones & Q-Tip]|Life is better, now that, now that I found you|Life is better, now that, now that I found you|Life is better, now that, now that I found you|Life is better, now that, now that I found you|Life is better, now that, now that I found you|Life is better, since I found you|Life is better, now that, now that I found you|Life is better, since I found you|Life is better, now that, now that I found you|Life is better, since I found you|Life is better, now that, now that I found you|Life is better, since I found you|Life is better, now that, now that I found you|Life is better, since I found you|Life is better, now that, now that I found you|Life is better, since I found you|Life is better, now that, now that I found you|Life is better, since I found you|Life is better, now that, now that I found you|Life is better, since I found you|Life is better, now that, now that I found you|Life is better, since I found you|Life is better...|Life is better, since I found you|Life is better, since I found you|Life is better, since I found you|Life is better, since I found you|Life is better, since I found you|Life is better, since I found you|Life is better, since I found you4Embed"
Q-Tip,Let’s Ride,1999,"Let’s Ride Lyrics[Produced by J Dilla]||[Intro]|To all the lowriders, the big riders|Word up|What happened in the car, yo?|F'real, let a nigga—||[Verse 1]|Brand new truck, butter soft seats|Four-point-something with a low ridin' something|Ain't nothing better than to ride out the hood with it|Who looking better, and damn, you looking good in it|Take a chance with a nigga in the choice ride|Listen to the CDs I play inside|Mos Def, Jay, Prince and Stevie|Marvin Gaye, Led Zeppelin and Biggie|And when the evening is over, love|Gonna find a nice spot for the Rover, love|Do things to make the man in the moon blush|My mind race, but I tell my waist don't rush|You's a upper echelon piece|So when you find there's a stash then you don't freak|You wanna nibble on a nigga ear|And do all the things that make a nigga wanna get near|Oh, I'm a Queens representative|Get wild by any means, my incentive is|When we done, I start it up again|And ride around with you, 'cause you my special friend, uh|[Chorus]|Me and you, I think we should ride|Come on, come on, come on, come on|Don't worry, just come get inside|Come on, come on, come on, come on||[Verse 2]|The second part, my ride is like art|We get creative in it when we take it out and spin it|The backseat is the canvas we painting on|Abstract the word we creating on|The TV's in the back and the dash too|Got miss napkins and bamboo|Don't worry, the tint's passed the legal one|OutKast banging loud in my eardrum|The way the wheels spin cutting through the still wind|Outsiders looking in with the ill grin|Fuel injected, brand new inspected|Emissions got tested, details perfected|Got the Armor All touch, empty out the Dutch|No tobacco spilling on my rug, klutz|Kick off your shoes, show off your pedicure|Shake off the blues, we all for getting more|More of that thing|Stuff that brings ecstasy making you cling|A little harder than your average hug or grab|Lady, tell me this is better than taking a cab|And when you bounce, tell all your girls|You rode around hot-wheeling, drinking, no earl|Vacationing, V up my V8|Just one night we drive and we escape|You might also like[Chorus]|Me and you, I think we should ride|Come on, come on, come on, come on|Don't worry, just come get inside|Come on, come on, come on, come on|Me and you, I think we should ride|Come on, come on, come on, come on|Don't worry, just come get inside|Come on, come on, come on, come on5Embed"
Q-Tip,You,2008,"You Lyrics[Intro]|Wait||[Hook]|At the end of it all its you|And at the end of it all it's you|And at the end, it's you|At the end of it all it's you|It's you, it's you|At the end of it all its you|It's you, it's you|At the end of it all|[Verse 1]|Looking from how I see it|When I finally realized couldn't believe it|I couldn't even swallow|Had a lump in my throat, my stomach hollow|I had a notion that things were fishy|But everything was fine, so why be pissy?|But when you wasn't seeing me nights you get it in|That's when the snooping and shit, it would begin|""Where you at?"" ""Where you going?""|That's what I get when I pick up the phone|Not a, ""Hello,"" or, ""I miss you""|Or, ""The Renaissance, how does it do?""|Suspicious ones, though few|Can stress out your brain, it weighs on you, man|And helps your peep game, I thought it was me|But then I could see||[Hook]|It was you, it's you|At the end of it all it was you|And at the end it was you|At the end of it all it was you|And at the end, it's you|It's you at the end of it all|It's you, it's you, it's you|At the end of it all|You might also like[Verse 2]|I couldn't take it|But the spell of love, I couldn't shake it|Even though I would discover|That there was somebody else who was your lover|You gave me up and managed to turn the tables|And all your honest words, they turned to fables|The things that you would accuse me of|It seem were the things you were doing, love|Get it? These things you projected|And I don't want to be affected|But when you get in love, it's never easy, love|To make decisions of you've defected|You were doing so much to try to pin me|Going through all my stuff, but it was empty|Answers, that I'm seeking|Well, it seems I'm getting close, that I'm reaching|And I was thinking, I had no reason|Calling you a culprit, it was treason|And the twinkle, in your eye|It was cunning, not for loving, tell me why?|We'll make amends if you admit it|We can ascend if you're committed|Your heart, is it in it?|If it goes too many days, sweet love can decay from you|[Hook]|It's you|At the end of it all it was you|And at the end, it was you|At the end of it all it was you|And the end, it's you, it's you|At the end of it all it's you|It's you, It's you|At the end of it all2Embed"
Q-Tip,Breathe & Stop,1999,"Breathe & Stop Lyrics[Intro]|Uh uh uh uh uh get up|Uh uh for real uh uh|Come on|Ummah, Ummah, Ummah, Ummah||[Verse 1: Q-Tip]|A hard time if your motion is still|Let me move some things around because the lyrics is ill|Abstract..you know my stiggidy in here (yeah)|Niggas get on and swear it's they fuckin' year|But yo your girl just moved|To the joint in the club, in the car if it groove|Broad look, the movement is on|Mild mannered mami's in Victoria thongs, uh|I get my rhyme on thus|Guaranteed to make it right if your night is a bust (yeah yeah)|You Vivrant and you fresh and all|Original to say the least and you've impressed Kamaal (come on)|Rappers start then they stall|Findin' it very hard to make it over the wall|Hey, get your weight up, my motto you heard?|And I grown a deaf ear to felonious words, uh|So girls move it around|If you see your main dog give a brother a pound|And just uh..|[Hook: Q-Tip]|Breathe and Stop, for real and give it what you got, and just uhh|Breathe and Stop, for real and give it what you got|Give it what you got, give it what you got|If you on the block then give it what you got||[Verse 2: Q-Tip]|A thug, a thrill, you as mean as the eyes (say word)|I wanna feel you, them big ass thighs|Your Prada dress or your Gucci bag|With the Polo jeans over doobi-bag, uh|Yo hold the door a-ight?|We comin through, Tribe beef, hold it down for the night|Big Moon got the fifth|D-Lyfe he got the deally and girl you got the gif (yeah for real love)|Turn it over the page|Usherin all of y'all to a brand new age, where (yeah)|Status really don't matter|Everbody get right to the pitter the patter (come on)|Makin moves, settin precedence|Enter in your residence, the whole scene is decadence|And the feelin is true|I'm seein me and my crew, you seein black and blue, uh (yeah)|So let's go for the ride|Strap yourself in tight and if you bonafied then just uh|You might also like[Hook: Q-Tip]|Breathe and Stop, for real and give it what you got, and just uhh|Breathe and Stop, for real and give it what you got|Give it what you got, give it what you got|If you on the block then give it what you got||[Bridge: Q-Tip]|Dunn what what bring it, bring it|A-bring it give it bring it give it|Bring it give it bring it give it|Bring it give it bring it give it|Bring it give it bring it give it|Bring it give it bring it give it|A-where we bring it to?|Right here, right where? Right here, right where?|Right here, right where? Right here, right where?|Right here, right where? Right here, here here|Right here, take it home home, take it home, right here||[Verse 3: Q-Tip]|Millenium, on your mind, are you runnin out of time?|Hope you skippin every line because I'm gettin mine|Move it around a bit again|Every block every town we startin a trend (for real for real)|Eye to eye ma and toe to toe (toe to toe)|Who concentratin on killin the show?|Penetration is methodically slow|Mountain high valley low gonna find the dough (yo for real for real)|All my peoples, no matter the creed|We gonna satisfy the urge and discover the need|You feel, you feel the bite in this|If you think I'm type real then invite me miss|And let me say a rhyme in your ear|Dancin close you the most and you fit in here (yeah)|You feel the rhythm is right|You know the spittin is tight|You think you won't but I think you might, uh|[Hook: Q-Tip]|Breathe and Stop, for real and give it what you got, and just uhh|Breathe and Stop, for real and give it what you got|Because uhh breathe and Stop, for real and give it what you got, and just uhh|Breathe and Stop, for real and give it what you got|Because uhh breathe and Stop, for real and give it what you got, and just uhh|Breathe and Stop, for real and give it what you got|Because uhh breathe and Stop, for real and give it what you got|If you on the block keep diggin the hot|And if you dig what I got we keep makin it hot2Embed"
Q-Tip,WeFight/WeLove,2008,"WeFight/WeLove Lyrics[Verse 1: Q-Tip]|And it, and it begins, he walks outside for a cigarette break|And thinks ""How many cigarettes does it take?""|He takes a long drag with the sun in his eye|He squints, he thinks he starts to sigh|Sometimes he cry|When he think about his girlfriend on his side|She held him down, she made him better|Fucked a thug through fucked up weather|And she thinkin' about her life|With no more work, just being a wife|But instead her love she gave to a man|Who fought against her lovely plans|So when she go to work, plus go to school|Plus fight the love, she must feel like a fool|She want the ease that come after pain|She fights for love, that's her campaign|We fight, we love|[Hook: Raphael Saadiq]|We fight and love so much|Sometimes I get confused of who we are|(Cmon, yeah, yeah, uh uh uh uh, yeah, yeah, yeah cmon)|Maybe if we just stop and chat a bit|We'll find out who we are|We fight and love so much|Sometimes I get confused of who we are|(Cmon, yeah, yeah, uh uh uh uh, yeah, yeah, yeah cmon)|Maybe if we just stop and chat a bit|We'll find out who we are|(Cmon, yeah, cmon, yeah, cmon)||[Bridge: Raphael Saadiq]|Fighting just a little bit, loving just a little bit|Fighting just a little bit, loving just a little bit more|(Yeah huh, yeah huh, yeah huh, yeah huh)|We just keep on fighting just a little bit, loving just a little bit|Fighting just a little bit, loving just a little bit more|(Yeah huh, yeah huh, yeah huh, yeah huh)|Fighting just a little bit, loving just a little bit|Fighting just a little bit, loving just a little bit more|(Yeah huh, yeah huh, yeah huh, yeah huh)|We just keep on fighting just a little bit, loving just a little bit|Fighting just a little bit, loving just a little bit more|(Yeah huh, yeah huh, yeah huh, yeah huh)|You might also like[Verse 2: Q-Tip]|And it, yeah, and it, and it begins, he's off the wall|He left his friends, he ain't home no more|He's in a place that's far away|Where he can't understand what they say|(Cmon)|They say ""Salaam!"", they carry bombs|In crowded places, and cause alarm|You're the infidel who's uninvited|But really an American boy who's slighted|It ain't your fault, you want identity|So you join this big fraternity|You get to travel the world, it's cheaper than college|And you get guns and you get knowledge|Lookin' for your soul, and WMD's|You can't find nothing, cause it's empty|You got your gun, and he's your friend|And he's your man, until the end|We fight, we love||[Hook: Raphael Saadiq]|We fight and love so much|Sometimes I get confused of who we are|(Cmon, yeah, yeah, uh uh uh uh, yeah, yeah, yeah cmon)|Maybe if we just stop and chat a bit|We'll find out who we are|We fight and love so much|Sometimes I get confused of who we are|(Cmon, yeah, yeah, uh uh uh uh, yeah, yeah, yeah cmon)|Maybe if we just stop and chat a bit|We'll find out who we are|(Cmon, yeah, cmon, yeah, cmon)|[Outro]|Fighting just a little bit, loving just a little bit|Fighting just a little bit, loving just a little bit more|We just keep on fighting just a little bit, loving just a little bit|Fighting just a little bit, loving just a little bit more|Fighting just a little bit, loving just a little bit|Fighting just a little bit, loving just a little bit more|We just keep on fighting just a little bit, loving just a little bit|Fighting just a little bit, loving just a little bit more|Fighting just a little bit, loving just a little bit|Fighting just a little bit, loving just a little bit more|(Yeah huh, yeah huh, yeah huh, yeah huh)|We just keep on fighting just a little bit, loving just a little bit|Fighting just a little bit, loving just a little bit more|(Yeah huh, yeah huh, yeah huh, yeah huh)|Fighting just a little bit, loving just a little bit|Fighting just a little bit, loving just a little bit more|(Yeah huh, yeah huh, yeah huh, yeah huh)|We just keep on fighting just a little bit, loving just a little bit|Fighting just a little bit, loving just a little bit more|(Yeah huh, yeah huh, yeah huh, yeah huh)4Embed"
Q-Tip,Renaissance Rap (Remix),2013,"Renaissance Rap (Remix) Lyrics[Intro: Q-Tip (imitating Marley Marl)]|I don't care who first or who last|I just know y'all betta rock dis at da drop of a dime, baby!|(Renaissance…) I don't care what y'all say or what y'all do|But you got to be finished before the music is through|I don't think they heard me, hold up…|So here we go, now||[Verse 1: Q-Tip]|It be the Midnight Maurader on the scene|Geographically earthed in a place called Queens|I was formed with my principles, way I displayed|When I used to cool out where all the other kids played|‘Cause I was way too ill, I would hone my skill|Go out in the park and let my chemicals spill|Right there, on Farmers Boulevard, I made my mark|Two dudes, brothers would dip from us, me, and NARCS|And then my legend would grow on the A-train line|Where rappers would gather to see me blowin' nicks and dimes|It was me, Big Pete, Tanya, and Sir Ibu|When in the heat of the cypher, I was not liable|For all the casualties of the dutty MCs|I split the train car like Moses did the Red Sea|Get it in your head, we gon' rock the dead|Night of the living MC's, the weak ones fled; c'mon Bus…|[Verse 2: Busta Rhymes]|Yo, yo, Godbody, wise intelligence|Smack niggas and wrestle with elephants|My beloved, respect my benevolence, comin' like missiles|The issue is this, be the shit you can't rebel against|Then I sniff out you niggas that be hidin' in bushes, waassup?|And strangle niggas like poisonous octopuses, shut the fuck up!|Back with hazardous weathers and blizzards|As I spit, stickin' out my tongue like an iguana lizard|At you corny niggas (ha!), Animal Planet rap, Wildlife|Stabbin' you in your back wild nice (Ahhhh!)|While I hunt and eat you niggas like food, leavin' you bleedin'|(Beats!) Rattle the speakers, like some buffalo stampedin'|If you don't understand what I'm sayin', lyrically|I'm like goons acci-DENTALLY beating you like gorillas playin'|(Ha ha!) Bitches know when I spit, I be seducin' them|Countless money with diamonds that's buried in Jerusalem|The Renaissance||[Interlude: Q-Tip (imitating Marley Marl)]|WHOOO, that's Busta Rhymes right there|I don't know what I look like sendin' Raekwon in there|Where Raekwon at?||[Verse 3: Raekwon]|Ayo, squeezing Johnny Walker neck up in the Benzo freezing|The head-long cock, block pumpin' is easy|Poison medals on my neck wrists and arms|Louie luggages is bronze, a big bag of D, Happy Kwanz'|Together, we the Chi-Lites to twists of the O'Jays|One line from this'll have you leanin' like roach spray|Poison up on Hoyt Street, my boys in Mrs., our choice|Brooklyn, Shaolin wildin' in the Royces|Old Gold at the Golden Globes, my robe hittin' the cement|Chef in the building, yep, and he been|A thousand one goons at the Rhumba|Certified clients, drug money and somethin' up, giants|Yo, it's the Tarzan cocaine clan in the area|Guerrillas in Louie hats, the more, the merrier|Take mines, take a hundred 9's|We be runnin' out of rhymes, never bullets|Try to front and you mines, Renaissance|You might also like[Interlude: Q-Tip]|(WHOOOOOOOOOO-WHEEE!!!)||[Verse 4: Lil Wayne & Q-Tip]|Ahem, I go off|Let me spaz, let me spaz (C'mon!)|Though they call me Weezy F., you gon let me pass|So ahead of my time with my next-week ass|Money on the dinner table like, ""Let's eat cash!""|And I do it for the killers and the hundred dollar billas|And from now on, I don't think you should stunt without a million|Dollars in the bank, I got money in the bank|Now throw yo' hands in the air if your pussy don't stank|You got a bullet and a shank, I got a bullet and a tank|I got fur in my boots, and the hoodie on the minks|Stop sweatin' me, you should follow me, I'm directing it|Other fools break it down, I be dissecting it|Ever since I made it up out of middle America|Everybody wanna be in my genital area|But you better stay away from my chemical barrier|Weezy Baby, straight out the Caesarean, nigga|(What's it called, man?) Oh yeah: ""Renaissance Rap""||[Outro: Q-Tip (imitating Marley Marl)]|Man, I ain't gon give y'all my microphone no more!|‘Cause y'all tear it up when you get it|Lemme see who we had on here|Now, we had Q-Tip, we had Busta Rhymes|You had Raekwon the Chef, you had Lil Wayne on here|Man, I ain't givin' y'all my microphone no more|‘Cause y'all tear it up when you get it|I just said, get a lil' somethin before the beats go… [*echoes*]12Embed"
Q-Tip,Gettin Up,2008,"Gettin Up Lyrics[Verse 1: Q-Tip]|Sent you a message, sent you an email|Hasty decisions we made still prevail|Both needed breaks, we both needed to bail|Walking through the corridors of my mind|The hideaways and nooks, and things with good times|Memories, certainly, yes, they still bind|Still a common man and yeah, that's for sure|Still a bankroll, and yeah, still couture|But man, this thing we had was much more|Come back home, don't be out in the world|It's a rat race and no place for a girl|Amongst the scavengers, I found a pretty pearl|It's for the faint of heart who never get enough|Gotta get tough, buckle em up, we call 'em duds|And we, and we, and we, ahhh!|[Hook: Q-Tip]|We got the gettin up, we got the gettin up|Today is nice, come on, we gon' gettin up|Said we gettin up, said we gettin up|Tonight is right, come on, we gon' gettin up|Said we gettin up, said we gettin up||[Verse 2: Q-Tip]|Come over here baby, don't look so grumpy|This kind of lifestyle could be so comfy|We can start a clan just like the Kennedy's|You and I advance, certainly we can expand|Feelings that should never end, you respect me like a friend|But love me like your man, no other could contend|Or we could be like those exposed to history|Like staying with each other with truth and chivalry|The things we go thru they shape our identity|Yes pretty let's do this all nite|Consummate this thing and make it alright|And when we cuddle up, I promise that I'll bite||[Hook: Q-Tip]|We got the gettin up, we got the gettin up|Today is nice, come on, we gon' gettin up|Said we gettin up, said we gettin up|Tonight is right, come on, we gon' gettin up|Said we gettin up, said we gettin up|You might also like[Verse 3: Q-TIP]|I like to watch everybody gravitate towards you|Your magnetic presences make them come thru|The same way you got them you got me too|Now look at our lives, are so colorful|A wonderful spectrum, not one-tone, dull|Full of excitement and not one lull|See we had an understanding, oh, yes, we did|I'm bringing it back, I'm puttin in my bid|Have a couple of kids, have a couple of cribs|We like Ruby Dee and Ossie, Martin and Coretta|Doin it to death, no one can do it better|When we leave our physical, our sprits still together|Come on now, here's a placement for your hand|You rockin with the number-one MC man|The number-one controller of right with the plan||[Hook: Q-Tip]|We got the gettin up, we got the gettin up|Today is nice, come on, we gon' gettin up|Said we gettin up, said we gettin up|Tonight is right, come on, we gon' gettin up|Said we gettin up, said we gettin up13Embed"
Q-Tip,Johnny is Dead,2008,"Johnny is Dead Lyrics[Verse 1: Q-Tip]|Sometimes I phase out when I look at the screen|And I think about my chance for me to intervene|And it's up to me to bring back the hope|Put feeling in the music that you could quote|Not saying that I hate it, cause, yea, I kinda dig it|But what good is a ear if a Q-Tip isn't in it?|So to stick it in, to inform your friend|Your boy from the hood, is on that shit again|He has upped the degrees and dropped the mercuries|To splash on the mass from low to upper class|And when the records spins and sometimes blows a wind|A fickleness of friends, they sometimes hate again|They always bring up Tribe, I mean, can I survive? I mean|Cause this is my man's on me, this is my fams|And here's somethin' new, it's front row for you|So don't misconstrue, it's Tribal and true|My dudes who hustle hard, don't stop your repertoire|As long as you could see, it's you who's stayin' we|Cause life is filled with pills and little pearls and shit|I'm fuckin' up, I mean, I'm trippin' up|But still, there is a void, them people get annoyed|Let's focus is on the feel, before we get a deal|Come on|[Hook: Q-Tip]|Figurin' life can be a thing, the wilderness is wild to me|But you're not alone, I see we're just the same|Figuring out where we should be|Figurin' life can be a thing, the wilderness is wild to me|But you're not alone, I see we're just the same||[Verse 2: Q-Tip]|With the vibe we came, to put back on the street|Let's take care of ours, and ensure we eat|And Oprah an 'em, they criticize the boys|Without empathy, they lose all their boys|They can't keep us down, we're dominate and brown|And those other shades, they join our parade|But wait there's rain ahead, like Brit and Kevin Fed|And magazine debris, is shit she gotta see it|I'm no different to you, I goes through it too|I thumbs through the page, I don't come of age|I'm not a deity, I'm far from perfect, see|I roll the tumble weed, it's just a humble scene|That I present to you, is just a mister crue|Who burrs a harmony, and soon a melody|That speaks to where we are, the door, I hope's ajar|And soon we're walkin' in, a blip, it's just to say, ""Come on""||[Hook: Q-Tip]|Figurin' life can be a thing, the wilderness is wild to me|But you're not alone, I see we're just the same|Figuring out where we should be|Figurin' life can be a thing, the wilderness is wild to me|But you're not alone, I see we're just the same|Figuring out where we should be|Figurin' life can be a thing, the wilderness is wild to me|But you're not alone, I see we're just the sameYou might also like4Embed"
Q-Tip,Believe,2008,"Believe Lyrics[D'Angelo]|I believe... that's love, that's love|I believe... that's love|I believe... that's love, that's love|I believe... that's love|I believe... love, love||[Q-Tip]|Uh, of the things we believe|There's a whole lot of work, we should roll up our sleeves|And we got to hold firm when fateful sight conceiving|Why doubt your plans? Cause it's all worth believing|We can make it work, do believe that|Leave mistrust in the dust and believe fact|We can achieve tact by tuning out negative feedback|Naysayers can hate, we concentrate to bring belief back|Into ourselves, into the world, into the rap game|Emcees are miserable, their music should be leaving mics maimed|Man, look we holding out for the truth|If we alone and aloof, we gon' hold for the proof|Man put it in believing, believe in believing|Seeing ain't believing, it's the feeling that we needing|Believe in each other, put the question to the system|They promising returns? Then question what you getting|We should believe in the reasons we existing|Time for Renaissance to reawaken what is withered|Belief can confirm, make it is what it isn't|Sometimes I wish I had belief when I didn't|[D'Angelo]|I believe... that's love|I believe... that's love, that's love||[Q-Tip]|In the land of make-believe, time to make unbelief believable|Taking belief to the realm of the real|Believing this shit that's force-fed through the media|Believing it's real when it's really a raw deal|Never disbelieve when you see human miracle|Like ghetto children shining bright in Babylon|Believe in that, don't believe in stats to the contrary|Gotta be weary of them theories, carry on|People find belief when they don't find identity|Believe in your friends, don't believe in your enemies|Mountains of doubts and disbelief right in front of you|Troops on the other side, what you gon' do?||[D'Angelo]|Oooh... oooh, oooh, heeey|Ooh that's love, that's love|Oooh... oooh, oooh, heeey|Ooh that's love, that's love|I believe...|I believe...|I believe...You might also like4Embed"
