rapper,song,year,lyrics
Rakim,When I B on tha Mic,1999,"When I B on tha Mic Lyrics[Chorus]|Hardcore, real ill niggas|I'm internationally known when I be on the mic|Hardcore, real ill niggas|I'm internationally known, yo|Hardcore, real ill niggas|I'm internationally known when I be on the mic|Hardcore, real ill niggas|So all hail the honorable||[Verse 1]|It's to my real ill niggas, heavyweight hitters|Dough-getters, fifty ways to make figures|My niggas that come on the spot to feel sisters|Like they hear real spitters and kids on the zigga-ziggas|When it's ugly, then the club is lovely|Thugs be sippin' Hennessey and bubbly|To my comrades that keep it flamin' hot|On dangerous blocks, claimin' spots|Where the goal is to be one of the top-ranked soldiers|Forty-five holders, one of the high rollers|Get respect in the hood, credit is good|Knock it down lumberjack style, baby; extra wood|Rock it all night long, the bang-a-thon, baby|Keep hangin' on, we like it with the lights on|Don't have to blow twenty thou' to get to know honey's style|Show her the town, steal her heart, no money down|[Chorus]|Hardcore, real ill niggas|I'm internationally known when I be on the mic|Hardcore, real ill niggas|I'm internationally known, yo|Hardcore, real ill niggas|I'm internationally known when I be on the mic|Hardcore, real ill niggas|So all hail the honorable||[Verse 2]|How about some hardcore? Yeah, we like it raw for sure|Broads on the floor, wall to wall|There's more at the door, players ball to score|‘Cause this right here is for all of y'all|Rakim and Premo; yo, I got what you need, bro|You go see a show, smokin' El Niño|And DJ's play hits with hard bass kicks|And then they display tricks like The Matrix|Make the record fly, undetected by the naked eye|So just feel the vibe, ‘cause your ears never lie|Nowadays DJ's bags of tricks, graphic|On some behind-the-back shit, catch it and scratch it|Blast it, this kid got his craft mastered|Hands is mad quick like he mix with magic|Spin it back and forth and grab it|And know just where it is… there it is|You might also like[Chorus]|Hardcore, real ill niggas|I'm internationally known when I be on the mic|Hardcore, real ill niggas|I'm internationally known, yo|Hardcore, real ill niggas|I'm internationally known when I be on the mic|Hardcore, real ill niggas|So all hail the honorable||[Verse 3]|To my elite peeps with the murderous mystiques|I hit the streets with beats and they critique for weeks|They be like: ""How that kid Ra reach the peak?""|Pull out the heat and use my technique to speak|It's dangerous, sit calm and explain to kids|What part of the game this is in foreign languages|They hold Ra's events in different continents|Put my lyrical contents in monuments|In ghetto garments, I rock a towel like a pharaoh|Mind travel, design style like apparel|My fashions last long as a lifetime|‘Cause I can see the future when the god write rhymes|They're mad ‘cause I managed to reign so long|Like their chance to get money done came and gone|This is strictly for my listeners on the corners at night|And the sisters that be keepin' us right, when I be on the mic|[Chorus]|Hardcore, real ill niggas|I'm internationally known when I be on the mic|Hardcore, real ill niggas|I'm internationally known, yo|Hardcore, real ill niggas|I'm internationally known when I be on the mic|Hardcore, real ill niggas|So all hail the honorable29Embed"
Rakim,It’s Been a Long Time,1997,"It’s Been a Long Time Lyrics[Hook: Samples with Scratches by DJ Premier]|“It’s been a long time” (x4)|“Rakim… the microphone soloist”||[Verse 1: Rakim]|Follow procedures, the crowd couldn’t wait to see this|Nobody been this long-awaited since Jesus|Who wouldn’t believe this? I heard the word on the street is|I’m still one of the deepest on the mic since Adidas|They said I changed the times from the rhymes that I thought of|So I made some more to put the New World in Order|With mathematics, put your status above the average|And help you rappers make paragraphs with graphics|‘Cause new days is dawnin', new ways of performin'|Brainstormin', I write and watch the night turn to mornin'|On and on and, I got the whole world respondin'|Rock, I keep it hot, blow the spot without warnin'|The emperor well-known for inventin' a sentence full of adventure|Turnin' up the temperature|Rush with adrenaline, how long has it been again|To be in the state of mind that Rakim is in?|[Hook: Samples with Scratches by DJ Premier]|“It’s been a long time”|“Rakim… the microphone soloist”|“It’s been a long time” (x2)|“Rakim”||[Verse 2: Rakim]|When I’m out proppin', either hangin' or shoppin'|People see me, stop and ask me when the album droppin'|The wait is over, in formation like a soldier|Like I told ya; greater, stronger, now that I’m older|I broke the code of silence with overloads of talents|My only challenge is not to explode in violence|I’m Asiatic, and blazin' microphones' a habit|At least once durin' the course of a day — it’s automatic|In ghetto apparel, mind of a Egyptian pharaoh|Far from shallow, thoughts travel like an arrow|Allah’s monotony, so far, they can’t stop me|You know Ra want property like Muammar Gaddafi|More thoughts than Bibles, recitals taught disciples|A sawed-off mic, so words scatter like a rifle|Thoughts that’s trifle, I’m bustin' these for you|Aye yo, technical difficulties is through||[Hook: Samples with Scratches by DJ Premier]|“It’s been a long time”|“Rakim… the microphone soloist”|“It’s been a long time”|“Rakim… the microphone soloist”|“It’s been a long time”|“Rakim… the microphone soloist”|“It’s been a long time” (x2)|You might also like[Verse 3: Rakim]|When I flow tonight, I'll show ‘em new heights I go to write|They know I strike with new prototypes to blow the mic|Critics and biters don’t know where my source of light is|Still leave authors and writers with arthritis|Cursed kids like the pyramids when they found the style|First to ever let a rhyme flow down the Nile|The rebirth of hip-hop’ll be dropped now|‘Cause the crowd didn’t hear the original in a while|So be alarmed, what you ‘bout to see is the bomb|Like 3D in ‘Nam, vivid like CD-Rom|Info kept like internet.com|My notebook’s my bond like the Holy Quran|Since I came in the door, said it before|But, no, I ain’t down with Eric B. no more|At night, the open mic be invitin' me to rhyme|So, yo, I’m online, it’s been a long time||[Hook: Samples with Scratches by DJ Premier]|“It’s been a long time” (x2)|“Rakim… the microphone soloist”|“It’s been a long time”|“Rakim… the microphone soloist”|“It’s been a long time” (x5)9Embed"
Rakim,Guess Who’s Back,1997,"Guess Who’s Back Lyrics[Intro]|Yeah, yeah|""Once again, back is the incredible""||[Verse 1]|It's the return of the Wild Style fashionist|Smashin' hits, make it hard to adapt to this|Put pizzazz and jazz in this, and cash in this|Mastered this, flash this and make 'em clap to this|DJ's throw on cuts and obey the crowd|Just pump the volume up, and play it loud|Hip-hop's embedded, before I said I wouldn't let it|But me and the microphone is still magnetic|Straight off the top, I knew I'd be forced to rock|Dancefloors just stop, the spot's scorchin' hot|Hopin' I'll open Rakim Allah seminars|Massage at the bar, smokin' ten dollar cigars|While I admire MIDI, with more vision than TVs|I find it easy catchin' diabetes from fly sweeties|Sit back and wait to hear a slammin' track|Rockin' jams, by popular demand I'm back|[Hook]|I control the crowd, you know Ra hold it down|When it drop, you know it's jiggy when you hear the sound|From town to town, until it's world-renowned|And I rock New York City all year around||[Verse 2]|It's on, so you can swerve when it's heard in clubs|Thought patterns displayed on Persian rugs|Equations are drawn up in paisley form|Mic, it stay warm, my flow is Evian|Deep as a Nautilus, you stay dipped in Ra's style|From the shores of Long Island to Panama Canal|Intellect pitches new trends like a clothes designer|I'm in effect, quicker than medicines in China|Split the mic open, fill it with somethin' potent to go in|And take a toke then mental planes start floatin'|Hot science is smokin', altitudes cause chokin'|Product is hypnotic, you're soakin' and still smokin'|Showin' better scenes than grams of amphetamines|Plans to scheme, means I'll forever fiend|Long as the mic is loud and the volume's pumpin'|I'mma move crowds to two-thousand and somethin'||[Hook]|I control the crowd, you know Ra hold it down|When it drop, you know it's jiggy when you hear the sound|From town to town, until it's world-renowned|And I rock New York City all year around|You might also like[Verse 3]|My rhymes and lyrics find spirits like a seance|Since fat crayons, I write and display chaos|My plan is damage, the diagram to where the jam is|I take advantage until the crowd go bananas|What a rush! I hear cuts, then I lust to touch|Microphones get clutched by the illustrious|Word spread, I inherited many ways to say the unsaid|Born with three 7's in my head|In time, no one can seem to blow your mind as far as this|To find, you'll need philosophers and anthropologists|Astrologists, professors from your smartest colleges|With knowledge of scholarships, when Ra be droppin' this|Some of the things that I know will be in your next bible|When I die, go bury me and my notebook in Cairo|With the great God from Egypt, manifest, was writin' rhymes|Align with the stars, I come back to bless the mic||[Hook]|I control the crowd, you know Ra hold it down|When it drop, you know it's jiggy when you hear the sound|From town to town, until it's world-renowned|And I rock New York City all year around||I control the crowd, you know Ra hold it down|When it drop, you know it's jiggy when you hear the sound|From town to town, until it's world-renowned|And I rock New York City all year around|[Outro]|Once again, back is the incredible|Word up, Rakim Allah the Microphone Fiend is back|Yaknahmean? (Rakim Allah!)|Til' death do us part, it's on|Once again, back is the incredible (Rakim Allah!)|Once again, back is the incredible (Rakim Allah!)|Once again, back is the incredible (Rakim Allah!)|Once again, back is the incredible (Rakim Allah!)|Once again, back is the incredible (Rakim Allah!)|Once again, back is the incredible (Rakim Allah!)|Once again, back is the incredible (Rakim Allah!)|Once again, back is the incredible (Rakim Allah!)|Once again, back is the incredible (Rakim Allah!)|Once again, back is the incredible (Rakim Allah!)|Once again back is the incredible|The incredible, the incredible, the incredible|Once again, back is the incredible|Rhyme animal, the incredible18Embed"
Rakim,The 18th Letter (Always and Forever),1997,"The 18th Letter (Always and Forever) Lyrics[Verse]|Just when things seem the same, and the whole scene is lame|I come and reign with the unexplained|For the brains 'til things change|They strain to sling slang, I'm trained to bring game|History that I arranged been regained by King James|Go to practice with tactics, when the track hits, theatrics|Women that look like actresses, the status of Cleopatra's|Stacks of mathematics to feed yo' Asiatics|As I find out, what the facts is, for geographic|No time to sip Mo's with hostess|Never mind what the total gross is|I rip shows, stay focused, and split cheese with soldiers|While you hit trees and coast, I spit flows that be ferocious|And with these explosives, I split seas for Moses|Shine permanently, only my mind's concernin' me|Fire burns in me eternally, time's eternity|Followers turn on me, they'll be in a mental infirmary|Determinedly advance technology better than Germany|Since the first days you know of, 'til the last days is over|I was always the flow-er, I made waves for Noah|From a compound, to the anatomy, to the breakdown of a atom|Some of my rap patterns still surround Saturn|From the ancient hieroglyphics, to graffiti painted pictures|I study, I know the scriptures, but nowaday ain't it vicious?|Date back, I go beyond, check the Holy Qu'ran|To speeches at the Audobon, now we get our party on|So bein' beneficent, I bless 'em with dialogue|They expectin' the next testament by the God|I roam through battle zones with chrome for chaperone|Blast beat with saxophones, one of the baddest rappers known|Every country, city and borough, side-street and ghetto|Island, alley and meadow, theory's thorough enough to echo|When it was one mass of land, with one nat' of man|And the whole mass was ran under one master plan|Since the world's metamorphis, and the planet's kept in orbit|Turntables, we spin awkward but needles never skip off it|Rhythms we expressin' similar to our ancestors|It'll answer your questions if you understand the message|From the days of the slave topics, to the new age of prophets|As heavy as hip-hop is, I'm always ready to drop it|From the mind which is one of Allah's best designs|And mines'll stand the test of time, when I rhyme|[Hook]|The 18th Letter, the prophecy professor|I stay clever, long as the planet stay together|Bring up praise from Mecca, make a phrase for the better|In new days to remember, always and forever|The 18th Letter, the prophecy professor|I stay clever, long as the planet stay together|Bring up praise from Mecca, make a phrase for the better|In new days to remember, always and forever|||[Outro]|The R, babyYou might also like9Embed"
Rakim,R.A.K.I.M.,2002,"R.A.K.I.M. LyricsRa! (repeat 7X)||[Hook (repeat 2X)]|R: Rugged and rough that's how I do it|A: Allah who I praise to the fullest|K: Keep it moving|I, Stand alone|M: It's my crown, my world, my throne||[Verse 1]|Aiyyo when Rakim Allah attack, it's a wrap y'all relax|The almanac, just show me where the party's at|Seminars and tracks, whores, comas, and cardiacs|Broads and cats screaming ""Oh my God he's back""|Just imagine, I hit the lab and get it crackin'|A thousand styles in one verse, rhythms will switch patterns|Chicks get stabbed in the back, till they get spasms|Known to spit a magnum, or split an atom|Who woulda known that Jesus would come back to the ghetto|On that level, and that thorough, like a black hero|And pack metal, so rap rebels, will back pedal|The pharaoh of five boroughs, and take over the rap world|Gettin' bizarre, hardcore, this is for y'all|The crib or the park, play it when you get in the car|Chill at the bar, sip somethin' or split a cigar|Get with your dogs, don't be alarmed, this kid is the bomb|It's the...|[Hook (repeat 2X)]|R: Rugged and rough that's how I do it|A: Allah who I praise to the fullest|K: Keep it moving|I, Stand alone|M: It's my crown, my world, my throne||[Verse 2]|Uh, yeah yo, I used to paint this flow, on ancient scrolls|And learn ta, make this dough, where gangstas roll|Think like the late great Capone when the bank is closed|It's cats that claim they bold, but they ain't this cold|I'm from New York City, even pretty chicks act up|Niggas get clapped up, you stack up, they stick that up|Put the strap up, you think my name was ""Kid back up""|Big niggas (spittin' noise) pick that up, or lift that up|Raised by gangstas and gamblers, hustlers, con artists|And convicts, killers and dons|Drug dealers, playas and pimps, smooth talkers|Stick up kids, thugs, real niggas and gods|Haunted by every soul that lay dead in the turf|Cursed by every spirit, that never made it to birth|Since the Moon separated from Earth|That's why they say I'm the greatest that ever orchestrated a verse|It's the|You might also like[Hook (repeat 2X)]|R: Rugged and rough that's how I do it|A: Allah who I praise to the fullest|K: Keep it moving|I,   Stand alone|M: It's my crown, my world, my throne||[Verse 3]|Ay yo, we toast to that, it's the cat that broke backs|To a soul clap, a smoke a track, how dope is that|Poet for rap, wrote backs that most slack|That know rap before they turned coke to crack|To my dogs hearin' sirens on and firearms|Outcome die in wars or behind iron bars|The boulevard, tire frauds when I evolve|Try and rob, my dialogue, I am God|Chicks moan just to get next to my throne|And sniff my cologne and get Ra alone|Sex spot's at home, I'm testosterone|Caress spots, stress drops, bedrock's the bone|Hit the floor, it's hot for 2003|Hit's galore, who rock a style as wild as me|Rest assure, when I rock dance crowds and scream|Bismillah Ir-Rahman Ir-Rahim it's the||[Hook (repeat 2X)]|R: Rugged and rough that's how I do it|A: Allah who I praise to the fullest|K: Keep it moving|I, Stand alone|M: It's my crown, my world, my throne8Embed"
Rakim,Mystery (Who Is God?),1997,"Mystery (Who Is God?) Lyrics[Chorus]|If you can see, if you can solve the mystery|The answer revolves around your history|So carefully, I drop this degree|Scientifically and realistically||If you can see, if you can solve the mystery|The answer revolves around your history|So carefully, I drop this degree|Scientifically and realistically (Who is God?)|[Verse 1]|In eternal blackness, in the midst of the darkest night|Proteins and minerals, exist within specks of light|Solids liquids and gases, and sparks of light within|Infinite lengths and widths and depths and heights|No beginning or ending, the seven dimensions|Enough space for more than a million worlds and inventions|To travel through time within enough room to be the womb|Of the most high's great mind which he will soon make shine|With intelligent elements in sight that he will gather|In the realms of relativity electricity struck matter|Energies explode he reload to keep releasing|Atoms by the millions, til the numbers increasing|'Til it was burning he kept returning itself to the source|The hotter his thoughts it gave the center more force|He gave birth to the sun which would follow his laws|All caused by his mental intercourse, who is God?||[Chorus]|If you can see, if you can solve the mystery|The answer revolves around your history|So carefully, I drop this degree|Scientifically and realistically||If you can see, if you can solve the mystery|The answer revolves around your history|So carefully, I drop this degree|Scientifically and realistically (Who is God?)|You might also like[Verse 2]|He began to explain his craft, the master in the attic|He dealt with measurements his language, was mathematics|His theoretical wisdom of the numerical system|The complete number nine which means born or existed|He gave birth to all planets, inorganic, and organic|So you wouldn't take it for granted|They rotated they own distance around the sun|And fully submit to the existance of one|And each one was promised everlasting perfection|If each one keeps spinnin in the same direction|To the East, and each speak the motion of peace|And harmony, and each show devotion to teach|The universe is to come, the whole world must go according|Know your galaxies and mirages stars start fallin|So stay in your orbit maintain safe and sound|Like the planets each cipher remains perfectly round||[Chorus]|If you can see, if you can solve the mystery|The answer revolves around your history|So carefully, I drop this degree|Scientifically and realistically||If you can see, if you can solve the mystery|The answer revolves around your history|So carefully, I drop this degree|Scientifically and realistically (Who is God?)|[Verse 3]|From unconciousness, to conciousness|By knowledging his wisdom his response is this|A understanding, which is the best part|He picked the third planet where new forms of life would start|He pursued show and prove every move in order|Back to the source he let off his resources in the water|Climb his climax, where the climate is at, high degrees|See he start to breathe deep in the darkest seas|And the plan is, to lay in the clays to form land|And expand, usin the same clays to born man|In his own image our origin begins in the East|Culture rise to breed, with the powers of peace|Deal in equality nature's policy is to be God|Build or destroy positively born life like Allah|And each one was given everlasting perfection|If each one keep living in the same direction|And life was life, and love was love|We went according by the laws of the world above|They showed us physically, we could reach infinity|But mentally, through the century we lost our identity|Life start and ending, we got trife and started sinning|Lost touch with the beginning now ciphers stop spinnin|And what was once easy became confused and hard|Which brings us back, to the mystic question, who is God?|Sixty-six trillion years since his face was shown|When the seventh angel appears, the mystery will be known|Check Revelations and Genesis, St. Luke and John|It even tells us we are Gods in the Holy Qu'ran|Wisdom Strength and Beauty, one of the meanings of God|G.O.D. you and me Gomar Oz Dubar|Knowledge Wisdom Understanding Sun Moon and Star|Man Woman and Child, and so is Allah||[Chorus]|If you can see, if you can solve the mystery|The answer revolves around your history|So carefully, I drop this degree|Scientifically and realistically||If you can see, if you can solve the mystery|The answer revolves around your history|So carefully, I drop this degree|Scientifically and realistically (Who is God?)||[Outro]|Bear witness to Allah, gave birth to all|For Allah was all, and therefore, life itself|And the universe gave birth to man|The universe was man, and man was the universe|And the universe has always existed|And existance was life|And life is Allah|And Allah had no beginning because he is, what always was|Rakim Allah, peace|Now who is God?13Embed"
Rakim,Waiting for the World to End,1999,"Waiting for the World to End Lyrics[Intro]|Yeah|It's the God Rakim|Word up, I'm blazin' this out to all my comrades|Ya know I mean?|From the slums of New York, to the gutters all over the world|This is for y'all||[Verse 1]|Through my travels, I try to take righteous steps|Because right or left could mean life or death|No matter how trife it get, my sights is set|But it's twice the threat when the nights is death|My mental windows refuse to close, they get exposed|To the neighborhood info where the poison wind blows|A deadly plague spreadin' negativity, viciously|Unto every city be in ghetto misery|Don't let it get to me, the writer be left to die|But it get mesmerize if it catch your eye|Shine's enormous, from jewellery, vehicles and garments|But it's torment, jealousy, drug wars or warrents|Tallyin', slowly turnin' into barbarians|More scary when the whole boulevard's carryin'|Livin' in the world of sin, my ghetto girls and men|Waitin' for the world to end|[Hook]|""Tryin' to paint a perfect picture and excel""|""In case you didn't know""|""Never movin' backwards""|""Complicated""|""Know what I mean?""|""Tryin' to paint a perfect picture and excel""|""In case you didn't know""|""Never movin' backwards""|""Complicated""|""Know what I mean?""||[Verse 2]|I see destruction, even little kids trust none|They bust guns, that's what they get a rush from|When I see 'em, we build and have a real discussion|""Yo Ra, what's the jewel of the day?"" ""What up, son?""|""You got ambition?"" Shorty said, ""Man, listen|I got demands for livin', can't stand division|Make grands on my mission, 'til everythin' glisten|Women in the Expedition, no plans for prison|In a vision the city get, two milleni, G|Sittin' in my embassy, sippin' Hennesy|Gettin' high, and watch life pass me by""|So I asked him why, with a fast reply|He said, ""I'm livin' just to die without any feelings|So I wait here for my maker 'til it's time to go|With this dime I know, with all of her girls and all of my men|Waitin' for the world to end""|You might also like[Hook]|""Tryin' to paint a perfect picture and excel""|""In case you didn't know""|""Never movin' backwards""|""Complicated""|""Know what I mean?""|""Tryin' to paint a perfect picture and excel""|""In case you didn't know""|""Never movin' backwards""|""Complicated""||[Verse 3]|Shorty was taught to keep his head to the sky, and never cry|But the streets left him to die, now it's death in his eye|Livin' in sin'll give men a sinister grin|From the beginnin' to end, in it to win|Evil rebels, doin' what we do in the ghetto|Thinkin' if we was thorough we could deceive the devil|You can't win, your life'll end, try again|Shorty said, ""Why we born again to die again?""|That's what I said when I realized I had a gift|To uplift and be one of Allah's advocates|Teach the youth and speak the truth|Show 'em what peace can do when they'll reach for you|And my reward won't be jewels or cheese, it's even better|I can be one of the greatest MC's ever|If I tell 'em they intelligent women and great men|And live, stop waitin' for the world to end|[Hook]|""Tryin' to paint a perfect picture and excel""|""In case you didn't know""|""Never movin' backwards""|""Complicated""|""Know what I mean?""|""I'm ragin', rippin' up the stage an'|Don't it sound amazin', know what I mean?""|""Don't it sound amazin', know what I mean?""|""Rakim""10Embed"
Rakim,The Saga Begins,1997,"The Saga Begins Lyrics[Intro]|Ahh...|Ghetto music, ghetto music...|Yo, yo, yo...|Here we go, here we go|And my name is Rakim (Yo, yo, yo...)|And my name is Ra, Ra, Ra... (Yo, yo, yo...)|And my name is Rakim (Yo, yo, yo...)|And my name is Ra, Ra, Ra...|And my name is Rakim (Yo, yo, yo...)|Rakim|[Verse 1]|Yo, the saga begins, my eyes is the photography lens|Properly pushed pens, to show quality gems|The horrors be grim, but yo maybe tomorrow we win|If we follow the trends and keep count of the dollars we spend|I want a mahogany Benz, I want lottery ends|I want property, friends, plus my hobby is skins|If I get sloppy and sin, then my prophecy ends|But the God'll begin, watchin my odyssey spin|In the place where war be, based on a true story|Territory was made for me to pursue glory|Blast alone masses in zones have to be sewn|Every capacity blown, I'm internationally known, yo|So all hail the honorable, microphone phenomenal|Persona is invulnerable, trust me son|I continue like a saga do, bringin you the drama to|Allow you that the chronicle has just begun||[Hook]|""The saga begins""|""The soul controller, Rakim""|""Set it off''|''Yo, the saga begins""|""Still say a rhyme after the next one""|""The saga begins""|""The soul controller, Rakim""|""Set it off''|''Yo, the saga begins""|''You know that I'm the soloist''|You might also like[Verse 2]|Yo, my never-ending epic, got the world spinning hectic|I quickly spread it, till the whole city's infected|Suspense that I supply intensify|Then commence as my daily events go by|You get involved in this, paragraphologist|Narratin novelist, market this, sound marvelous|I'm the star in this, which means the author's authentic|Most definite, every episode's a epidemic|So when you research, check it, here go the evidence|They represent with lyrical negligence for presidents|My science existed, without the fiction|Every inscription is a special edition|So all hail the honorable, microphone phenomenal|Persona is invulnerable, trust me son|I continue like a saga do, bringing you the drama to|Allow you that the chronicle has just begun||[Hook]|""The saga begins""|""The soul controller, Rakim""|""Set it off''|''Yo, the saga begins""|""Still say a rhyme after the next one""|""The saga begins""|""The soul controller, Rakim""|""Set it off''|''Yo, the saga begins""|''You know that I'm the soloist''|[Verse 3]|Yo, the legacy lives, let em see what the pedigree is|Mega-thesis, blessin these kids with extra features|The depth's deep as, the deepest sea is|Telepathy increases melody gets speakers, telekinesis|Ideas appear as clear as, pictures in movie theaters|Lyrics you hear it, devastating the way you ear it|So stay tuned for sequels, part two's and more|So soon you and your peoples can bumrush the store|The names have changed the game remain the same|How one came to reign on his claim to fame|No stoppin this, I'm droppin this with Hip-Hop in this|And when the topic is topicless, then I'm writing the apocalypse|So all hail the honorable, microphone phenominal|Persona is invulnerable, trust me son|I continue like a saga do, bringing you the drama to|Allow you that the chronicle has just begun||[Hook]|""The saga begins""|""The soul controller, Rakim""|""Set it off''|''Yo, the saga begins""|""Still say a rhyme after the next one""|""The saga begins""|""The soul controller, Rakim""|""Set it off''|''Yo, the saga begins""|''You know that I'm the soloist''||[Outro]|""Rakim""|""Set it off''|"" Rakim""|""Set it off''|"" Rakim""|""Set it off''|''You know that I'm the soloist''|"" Yo, ""rakim""|""Set it off''|"" Rakim""|""Set it off''|"" Rakim""|""Set it off''|''You know that I'm the soloist''|"" Rakim.. ""|"" Yo....................""4Embed"
Rakim,Holy Are You,2009,"Holy Are You Lyrics[Chorus]|Holy are you|Holy are you|There is no God but you|There is no God but you|Praised be the Lord||[Verse 1]|For those who find it hard to believe, and it is|Why they call me the God MC the lyricist|Trace this style to the roots from Genesis|The world wonder, I'm still standing like pyramids|Design so vivid, every brick it got a story to tell|My rhyme flow different like a hieroglyphic|Mind prolific, infinite, like mathematic|The first language, now add that and add graphics|Then go let the blocks know it's the gospel|Life's new manual so watch close|The new Michelangelo and Pablo Picasso|Prepared to show you the cosmos and rock flows|Even my lyrical metaphysical|What this'll do is help you get to your spiritual pinnacle|You find your mind too far-fetched for it to fathom|I bring the darkness to the light, split the atom|It's like watching the big bang theory emerge|I take titles, bond them to reveal new words|They want a clear view|From the farthest and the darkest corners of the universe|To a corner near you|A pharaoh in ghetto apparel, stay blinged up|Fort Knox display, a modern day King Tut|Wrapped tight, rap like I've been preserved in time|Spit the holy water, then touch it and turn it to wine|It's the God|[Chorus]|Holy are you|Holy are you|There is no God but you|There is no God but you|Praised be the Lord||[Verse 2]|We were children of the most high, so we fell|From paradise to holy hell|Probably descendants of the Holy Grail|Another part of history they won't reveal|Times'll only tell|You waiting for Judgment? It came|In the form of a thug in the game|To create a strong position, there's blood in my vein|The chemical is identical, we one and the same|With seven letters in all three of my government names|Walk on water? Nah, neither did Jesus|It's a parable to make followers and readers believers|From Egypt to Budapest, Rakim is the truest left|Understand the Scriptures like the minister Louis F|I told you who God is, you ignored me like most the prophets|Jesus, Solomon, Abraham, Moses and Muhammad|I showed the scholars, we'll fulfill the broken promise|I spit this truth to predict the future like Nostradamus|Like Revelations, I'm hoping my quotes reveal|The seven spirits of God when I open the seal|Interpret the holy Quran, these flows will guide you|Translate the Torah, and decode the Bible|Warn the elders in the mosques, masons, and the law|The seven churches, the synagogues, it's the Renaissance|Skin is bronze like the Messiah|Rakim Allah's about to reveal the biggest secret in time: Men are God|You might also like[Chorus]|Holy are you|Holy are you|There is no God but you|There is no God but you|Praised be the LordEmbed"
Rakim,Flow Forever,1999,"Flow Forever Lyrics[Intro: Rakim]|Aiyo, what's goin' on?|The mic Lebanon teflon don|I'm back, baby|The year of the 9's|And I'ma have make these motherfuckers an offer they can't refuse|You know?||[Verse 1]|Ha, what's goin' on? Yo, c'mon, you know it's on|I wrote a song, test my flow on the Autobahn|Make sure the force is right, I floss all night|Get off the mic, it'll smoke like an exhaust pipe|Keep 'em in the library, studyin' my theory|Ra theory get translated in Swahili|From the lands as far as Zanzibar|They understand the R, the man Allah|It's obvious why the copiers, they copy this|Soon as my data processes Y2K, they floppy disk|Now, who the hottest is? How can it not be this?|Baby, who the cockiest? Papi is? Gracias|Aiyo, this be so, magnifico|Even my typical style difficult|Make a crowd go wild when I rip a show|Better stand back, this'll blow, you didn't know?|[Chorus]|They show me love when I'm come through|Yo, any club that I come to|I hit a microphone, check one-two|And they know what I wanna do - flow forever!||[Verse 2]|You ever witness rapport like this before?|It's 'cause y'all kiss the floor, say Bismillah|It's the chosen one with the golden tongue|Flow for the old and young when I'm holdin' one|In the front row city, we show no pity|Where kids get jiggy and girls are so pretty|The Wanderer, back from Casablanca|To stomp all, what next for Ra to conquer?|So let's go, the best show will explode|No dress codes, they just pose in their best clothes|Girls get exposed when I show my rap expo|Will there be a next episode? I guess so|Those that have doubt, wanted to have clout|What they mad about? Must be a cash drought|MCs switch their style from their last bout|And I bet soon as they hear this, they spaz out||[Chorus]|They show me love when I'm come through|Yo, any club that I come to|I hit a microphone, check one-two|And they know what I wanna do - flow forever!|They show me love when I'm come through|Yo, any club that I come to|I hit a microphone, check one-two|And they know what I wanna do - flow forever!|You might also like[Verse 3]|Wherever Rakim go, it's the God tempo|It's simple, my M.O. - no problemo|Been all over the map, even know where Hell is at|I get the welcome mat and then welcome back|My flow is raw, they treat me like Mr. Know-It-All|They want me to show 'em all my brand new protocol|Excusez-moi, I make 'em move for Ra|You ain't soupin' Ra, save the hoop-a-la|Let me find out you rhymed out, designed out|Pullin' dimes out to climb out for time-out|I'm at the free throw, playin' ball or cee-lo, I keep dough|Reloaded like Carlito, incognito|I be so low-key women get nosy|I do a show, they wanna go see to get to know me|In the front row seat, they cosy|Thinking I'm giving 'em the bo-bo-vee until they O.D||[Chorus]|They show me love when I'm come through|Yo, any club that I come to|I hit a microphone, check one-two|And they know what I wanna do - flow forever!|They show me love when I'm come through|Yo, any club that I come to|I hit a microphone, check one-two|And they know what I wanna do - flow forever!|They show me love when I'm come through|Yo, any club that I come to|I hit a microphone, check one-two|And they know what I wanna do - flow forever!|They show me love when I'm come through|Yo, any club that I come to|I hit a microphone, check one-two|And they know what I wanna do - flow forever!6Embed"
