rapper,song,year,lyrics
Runblebee,Catch Me If You Can [Zero Gravity Ver.],2008,"Catch Me If You Can [Zero Gravity Ver.] Lyrics[Intro]||[Refrain]|No turnin' back, we are born to dream|In a world full of seeing what we never could reach|Air time makes on a wind, I'd be|Like life right by just a blur you see|One mind, too wild, stuck in divinity|Hawk tail, wing, claw — heaven sent a Jessy|A speed rush tweak to a melancholy, victory|Your chance don't stand|[Verse 1]|No one near my class of heat|The rule of the wind is to never get beat|Don't hedge, don't hog; you're put to the test|Like Jet, as hawk, I'll rattle your nest|I never come down, I'm high alone|Bred from a genie with wings and throne|Jet, fire hawk; the sky is me|All for speed I was born to be|Born to be! Born to be!||[Chorus]|Catch me if you can|There's no turnin' back|Reach, but never catch|Catch me if you can|You can't fathom that|Wonders you can have|Catch me if you can|Catch me if you can||[Refrain]|No turnin' back, we are born to dream|In a world full of seeing what we never could reach|Air time makes on a wind, I'd be|Like life right by just a blur you see|One mind, too wild, stuck in divinity|Hawk tail, wing, claw — heaven sent a Jessy|A speed rush tweak to a melancholy, victory|Your chance don't stand|You might also like[Verse 2]|Chaos in the emeralds, life is ephemeral|Whatcha gonna do? Nothin' is perpetual|World domination, advanced technology|Haven't got the interest in that form of glory|Put me in the air, and my speed will leave|All in a shine like a miracle weave|I just won't stop; the treasure's with me|I said it before, I was born to be...||[Chorus]|Catch me if you can|There's no turnin' back|Reach but never catch|Catch me if you can|You can't fathom that|Wonders you can have||[Chorus']|Catch me if you can|We are born to dream|Nothing can't be done||[Breakdown]||[Chorus]|Catch me if you can|There's no turning back|Reach but never catch|You can't fathom that|Wonders you can have|[Coda]|Catch meEmbed"
Runblebee,The Palace That Was Found,2007,"The Palace That Was Found Lyrics[Intro]|If truly free, be stopped never through all that's happening||[Chorus]|Who is gonna rock the place? (place? place?)|Who is gonna rock the place? (place? place?)|Who is gonna rock the place? (place? place?)|Who is gonna rock the place that no one can touch this!||Who is gonna rock the place?—We're forever gonna rock the place|Who is gonna rock the place?—All together gonna rock the place|Who is gonna rock the place?—We're forever gonna rock the place|Who is gonna rock the place that no one can touch this?|[Guitar Solo]||[Verse]|This evil foundry!||Who is gonna rock the place? (place? place?)|Who is gonna rock the place? (place? place?)|Who is gonna rock the place? (place? place?)||—We're forever gonna rock the place|Who is gonna rock the place?—All together gonna rock the place|Who is gonna rock the place?—We're forever gonna rock the place|Who is gonna rock the place?—All together gonna rock the place that no one can touch this!||[Turnaround]||[Bridge]|Who is gonna rock the place (place? place?)|Who is gonna rock the place (place? place?)|Who is gonna rock the place (place? place?)|Who is gonna rock the place?||[Break]||[Post-Verse]|Who is gonna rock the place?|Who is gonna rock the place?|Who is gonna rock the place? (place? place?)|Who is gonna rock the place?|You might also likeWho is gonna rock the place?|Who is gonna rock the place?—All together gonna rock the place|Who is gonna rock the place?—We're forever gonna rock the place that no one can touch this!||[Chorus]|Who is gonna rock the place? (place? place?)|Who is gonna rock the place? (place? place?)|Who is gonna rock the place? (place? place?)|Who is gonna rock the place that no one can touch this!||Who is gonna rock the place?—We're forever gonna rock the place|Who is gonna rock the place?—All together gonna rock the place|Who is gonna rock the place?—We're forever gonna rock the place|Who is gonna rock the place that no one can touch this?||[Outro]Embed"
Runblebee,Catch Me If You Can,2006,"Catch Me If You Can Lyrics[Intro / Chorus 2']|(But while!) Comin' out of sun|(Get mine!) Comin' out to stun|(But while!) Your chance is none|(Get mine!) Nothing can be done|Catch me if you can||[Verse 1]|(But while!) There's no turnin' back|(Get mine!) Reach but never catch|(But while!) You can't fathom that|(Get mine!) Wonders you can have|[Pre-Chorus A]|(Take the World!)  There's no turnin' back|(Change the World!) Reach but never catch|(Break the World!) You can't fathom that|(Make the World!) Wonders you can have|Catch me if you can!||[Chorus 1]|(Jet Bird, Jet Bird!) There's no turnin' back|(Sky Time, Sky Time!) Reach but never catch|(Jet Bird, Jet Bird!) You can't fathom that|(Sky Time, Sky Time!) Wonders you can have||[Post-Chorus A / Bridge 1]|There's no turnin' back|Reach but never catch|You can't fathom that|Wonders you can have||[Verse 2]|So catch me if you can, we are born to dream|In a world full of seeing what we never could reach|Air time makes on the wind, I'd be|Like life right by just a blur you see||One mind, too wild, stuck in divinity|Hawk tail, wing, claw: Heaven sent a Jessy|A speed rush tweak to a melancholy, victory|Your chance don't stand|You might also like[Pre-Chorus B / Bridge 2]|Catch me if you can|Catch me if you can|Catch me if you can|Catch me if you can|Only if you can||[Chorus 2]|(Jet Bird!) Comin' out of sun|(Sky Time!) Comin' out to stun|(Jet Bird!) Your chance is none|(Sky Time!) Nothing can be done||[Verse 3]|No one near my class of heat|The rule of the wind is to never get beat (But While!)|Don't hedge, don't hog; you're put to test|Like Jet, as hawk, I'll rattle your nest (Get Mine!)||I never come down; I'm high alone|Bred from a genie with wings and throne (But While!)|Jet, fire hawk; the sky is me|All for the speed I was born to be (Get Mine!)||[Chorus 1]|(Take the World!) There's no turnin' back (There's no turning back)|(Change the World!) Reach but never catch (Reach but never catch)|(Break the World!) You can't fathom that (You can't fathom that)|(Make the World!) Wonders you can have!|[Chorus 2]|(But while!) Comin' out of sun|(Get mine!) Comin' out to stun|(But while!) Your chance is none|(Get mine!) Nothing can be done|(But while!)||[Verse 4 / Post-Chorus B]|Chaos in the emeralds, life is this ephemeral|Whatcha gonna do? Nothin' is perpetual (Get Mine!)|World domination, advanced technology|Haven't got the interest into that form of glory (But While!)||Put me in the air and my speed will leave|All in a shine like a miracle weave (Get Mine!)|I just won't stop; the treasure's with me|I said it before I was born to be... (But While!)||[Outro / Chorus 2']|(Take the World!) Comin' out of sun|(Change the World!) Comin' out to stun|(Break the World!) Your chance is none|(Make the World!) Nothing can be done|Catch me if you can!1Embed"
Runblebee,Let the Speed Mend It,2007,"Let the Speed Mend It Lyrics[Intro]|(Yeah—)||[Chorus]|Let the speed mend it||[Verse 1]|Stories in the myths re-shape|Wrong yet still un-strange|A movement to exist|Just let the speed mend it (whoo—)|[Chorus]|Let the speed mend it|(Aw, mend it, —yeah!)|Let the speed mend it|(Aw, mend it!)||[Verse 2]|Speed sonic blur through entities|Eye time before they happen|All I ever knew was make-believe|Go before the moment escapes (whoo—)||[Chorus]|Let the speed mend it||Let the speed mend it||[Verse 3]|Sand in my eyes I can't see|But I run still un-phased|Nowhere does exist|Just let the speed find it (whoo—)||Speed sonic blur through entities|Eye time before they happen|All I ever knew was make-believe|Go before the moment escapes (whoo—)|You might also like[Middle 8]|(Yeah—)||You've never seen|Anything|Movement|To exist!||[Breakdown / Chorus]|Let the speed mend it|Let the speed mend it|Let the speed mend it|Let the speed mend it||[Ad Lib]|Aw|Yeah|Aw|Yeah||[Chorus]|Let the speed mend it||Let the speed mend it2Embed"
Runblebee,Sonic Speed Riders,2006,"Sonic Speed Riders Lyrics[Intro]|I'm gonna hit you with sonic speed!||[Verse 1]|I'm gonna hit you with sonic speed|(Ha! Ha! Ha! Ha!)|Ridin' of the waves of supersonic!|(Ugh! Ugh! Ugh!)||[Refrain]|I'm gonna, I'm gonna, I'm gonna, I'm gonna|I'm gonna, I'm gonna, I'm gonna show you!|I'm gonna, I'm gonna, I'm gonna, I'm gonna|I'm gonna, I'm gonna, I'm gonna show you!|[Interlude]||[Verse 2]|I'm gonna show you what true speed is!|(Ha! Ha! Ha! Ha!)|Ridin' on the of the waves of supersonic!|(Ugh! Ugh! Ugh!)||[Refrain']|I'm gonna, I'm gonna, I'm gonna, I'm gonna|I'm gonna, I'm gonna, I'm gonna show you!|I'm gonna, I'm gonna, I'm gonna, I'm gonna|I'm gonna||[Coda]|Supersonic, Supersonic|Supersonic Speed!You might also likeEmbed"
Runblebee,Unawakening Float,2007,Unawakening Float Lyrics[Intro]||[Chorus]|Must I float away?||Will I ever wake?||[Verse 1]|As far as I know|Nothin' is for sure right now|For all I knew|Unpowered in the light of now|[Chorus]|Must I float away?||Will I ever wake?||[Verse 2]|The fault is mine|For it's I who gave this heart|Much has dawned|In this place that has no sun||[Chorus]|Must I float away?||Will I ever wake?||Must I float away?||Will I ever wake?||[Interlude]||[Chorus']|Must I float away?|Will I ever wake?|Must I float away?|Will I ever wake?|You might also like[Break]||[Chorus']|Must I float away?|Will I ever wake?|Must I float away?|Will I ever wake?||[Outro]1Embed
Runblebee,The White of Sky,2007,The White of Sky Lyrics[Intro]||[Main Verse]|Never rest|Nothing lasts|At your feet|It falls the white of sky!||Never rest|Nothing lasts|At your feet|[Sub-Verse]|Here there everywhere|Falls white from the sky|Making things happen|Of things that can't happen right||Half the world in winter|The other half to win her|From the storytellers that|Cheat a book to keep her||Nothin' ever feels right|Nothin' ever acts right|Everything's a story|Even if it is phony||Looking for that glory|In the midst of blurry|Making things happen of|Things that can't happen right||[Instrumental Bridge]||It falls the white of sky!||[Main Verse / Coda]|Never rest|Nothing lasts|At your feet|It falls the white of sky!|You might also like[Outro]Embed
Runblebee,It Has Come to This,2007,It Has Come to This Lyrics[Intro]|Every single drop of all you got (of all you got)|Every single drop of all you got (of all you got)|Every single bit of all you have (of all you have)|Every single bit of all you have (of all you have)||[Refrain]|Every single drop of all you got|Every single drop of all you got|Every single bit of all you have|Every single bit of all you have (of all you got)|Every single drop of all you got (of all you got)|Every single drop of all you got (of all you got)|Every single bit of all you have (of all you have)|Every single bit of all you have||[Chorus]|It has come to this|It has come to this|No other way|No other way||[Refrain]|Every single drop of all you got|Every single drop of all you got|Every single bit of all you have|Every single bit of all you have||[Verse]|Makes the only sense|As it all awaits|To step in a hope|Kick time away||If this is what it takes to be|In stopping this anomaly|Curing every destiny|Into what it has to be|You might also likeJust this once|Is all I ask to be|Turn me into stone|If it can't be done||If wrong starts walking|We all come running|This shouldn't be a fight|That is all in vain||[Pre-Chorus]|Makes the only sense||Kick time away||[Chorus]|It has come to this|It has come to this|No other way|No other way||It has come to this (of all you got)|It has come to this (of all you got)|No other way (of all you got)|No other way|Every single drop of all you got||[Turnaround / Refrain]|Every single drop of all you got (of all you got)|Every single drop of all you got (of all you got)|Every single bit of all you have (of all you have)|Every single bit of all you have (of all you have)||Every single drop of all you got (of all you got)|Every single drop of all you got (of all you got)|Every single bit of all you have (of all you have)|Every single bit of all you have (of all you have)||[Outro]|Every single drop of all you gotEmbed
Runblebee,The Wicked Wild,2007,"The Wicked Wild Lyrics[Intro]|Yo!||[Verse]|Dino, it's jungle|Dino, the wicked wild|Dino, it's jungle|Dino, they will all over roam||[Chorus']|Yo, too funky!|Too funky!|(Alright!)||[Refrain]|Dinos all over, it's jungle; the wicked wild|Dinos all over, it's jungle; the wicked wild|Dinos all over, it's jungle; the wicked wild|Dinos all over, it's jungle; the wicked wild||[Chorus]|Yo, too funky!|Too funky!|Too funky!|Too funky!||(Alright!)||[Refrain]|Dinos all over, it's jungle; the wicked wild|Dinos all over, it's jungle; the wicked wild|Dinos all over, it's jungle; the wicked wild|Dinos all over, it's jungle; the wicked wild||[Pre-Chorus]|Yo!|Yo!|(Alright!)|Yo! The wicked wild!|You might also like[Chorus]|Yo, too funky!|Too funky!|Too funky!|Too funky!||(Alright!)||[Post-Chorus]|Too funky!|Too funky!|Too funky!|Too funky!||[Repeat from Verse]Embed"
Runblebee,No Way Through,2007,"No Way Through Lyrics[Intro]||[Verse]|No souls can make it through|No ground to stand or run|No light can make it through|No speed can break it through||[Pre-Chorus]||[Chorus]|Hopes drown in this big of blue|All gone by the time it's through|No sound but the waves of blue|Dancing with the broken things|[Break]||[Pre-Chorus]|Hopes drown in this big of blue||World is made of broken things||[Chorus]|Hopes drown in this big of blue|All gone by the time it's through|No sound but the waves of blue|Dancing with the broken things||[Interlude]||[Post-Chorus]|Hopes drown in this big of blue|(Big of blue, big of blue)|World is made of broken things|(Broken things)||[Instrumental Bridge]||[Coda / Verse']|No souls can make it through|You might also likeNo light can make it throughEmbed"
