rapper,song,year,lyrics
Tony Yayo,I Know You Don’t Love Me,2005,"I Know You Don’t Love Me Lyrics[Intro: 50 Cent]|Yeah||[Chorus: 50 Cent]|I know you don't love me (I know you don't love me)|You ain't the same when Jay-Z's around|I know you don't love me (I know you don't love me)|You scream and holler when Eminem's in town|I know you don't love me (I know you don't love me)|Snoop put me up on how the hoes get down|I know you like Nelly, like Kelly, Ludacris|Try to run game on me, you punk bitch, I know you don't love me|[Verse 1: Tony Yayo]|Gators and ostrich, you know the apparel|You could see my outfit on the Discovery Channel|I'm a stunner, my bitches trained like robots|They sniff coke, deep throat and they hold out Glocks|It's the brick-copper, the ounce chopper|645 NASCAR driver that's known to spit lava|I'm in Cancun with a model in the bedroom|Her pussy tight like an airplane bathroom|Talk out your mouthpiece, baby pa|Or the baby AR will make it hot like South Beach|I move like Bin Laden armed with them hammers|In that new Jag wagon or James Bond Vanquish|Medina all red, mira, give me head|Bad bitch, look like Eva Mendes|I'm a gangsta, general, comrade nigga|Drug money, blood money in a brown bag, nigga||[Chorus: 50 Cent]|I know you don't love me (I know you don't love me)|You ain't the same whenever Banks around|I know you don't love me (I know you don't love me)|You scream and holler whenever Usher's in town|I know you don't love me (I know you don't love me)|See, Dre put me up on how the hoes get down|I know you like Buck and that Dirty South shit|Try to run game on me you punk bitch, I know you don't love me|You might also like[Verse 2: Young Buck]|I'm in the candy-painted Range, Cardier frames|Six by nines playing, so I can hear everything|Heavy on the gas homie, hogging up two lanes|The navigation got me to where I'm gon' be staying|A trunk full of something that can get a nigga life|So my seatbelt's on and I'm stopping at the lights|I done been to Queens before, but not behind the wheel|I'm a country nigga, ain't this many buildings where I live|But the business gotta be handled, so where this coward at?|We leave a couple niggas laying, bet them bitches holla back|Ever since Yayo been home it's been on|Smacking niggas up, employees is getting sent home|On this battlefield, you know, it's kill or be killed|Leavin' niggas with bullet holes and hospital bills|This is how it is homie, La Cosa Nostra|I won't stop 'til I'm on a ""Wanted"" poster, motherfuckers||[Chorus: 50 Cent]|I know you don't love me (I know you don't love me)|You ain't the same when Lil' Jon's around|I know you don't love me (I know you don't love me)|You scream and holler when Slim Thug's in town|I know you don't love me (I know you don't love me)|Yeah, Em put me up on how the hoes get down|I ain't got time for a groupie-ass bitch|Try to run game and they ain't about shit, I know you don't love me|[Verse 3: Lloyd Banks]|You should thank the Lord if the ray gon' getcha|Cause the sawed-off'll microwave a nigga like Adolf Hitler|Fuck pressure, I enter the ring calm|I'm nicer than them Japanese niggas in ping-pong|Look at my ring, don, at least a hundred K worth of bling on|Smoking the same buddha as the courtroom shooter|I got the mind of a genius, the rag-white Jag|Backhand like Venus', jab like Zab|And your bitch, I'm making her knees knock in the lab|Nut on her and send her to the weed spot in the cab|And I don't hate all music, I just hate y'alls|And I hear you when you whisper, got the ear of Ray Charles|I'm ahead of my class, fucker|And I only serve a bitch once, so they treat my dick like the Last Supper|Niggas calling out my name in vain|Must want a jab to the jaw to be they claim to fame||[Chorus: 50 Cent]|I know you don't love me (I know you don't love me)|You ain't the same whenever Banks around|I know you don't love me (I know you don't love me)|You scream and holler whenever Usher's in town|I know you don't love me (I know you don't love me)|See, Dre put me up on how the hoes get down|I know you like Buck and that Dirty South shit|Try to run game on me, you punk bitch, I know you don't love me3Embed"
Tony Yayo,Drama Setter,2005,"Drama Setter Lyrics[Prison guard]|""Mr. Yayo, you're free to go|So, I guess this means I'll see you tomorrow, eh?""||[Intro: Eminem + (Tony Yayo)]|{*Eminem laughs*}|Yeah! Ha ha, guess who's home?!|Tony Yayo! Yeah! Obie Trice, c'mon!|(Here we go now!)||[Hook: Eminem]|I'm a drama setter|Grippin' my Berretta, sippin' Amaretto|Man, you crazy if you think I'ma let up|I told you I'm a drama setter|I'll be the first to set it, homie, you can bet it|Just don't get in the way of my cheddar|Man, ‘cause I'm a drama setter|I don't go lookin' for no trouble|But somehow the trouble always finds me|Don't make me have you in the trauma center|With your momma cryin'|‘Cause her only son is dyin'|She don't know it's just your karma catchin' up|‘Cause I'm a drama setter|[Verse 1: Tony Yayo]|I'll poke you, man, I'm Rikers Island Pokemon|I got CO's bringin' me filet mignon|But now a nigga home, lookin' frail in the drop (whattup?)|With a bitch shotgun that's inhalin' the cock|I got rocks on my neck the size of bottle tops|And got Glocks in the Lex, so we ride behind cops|Broke days, we used to put water in our cereal|Now we're crossin' borders just to shoot another video|It's Tony Montana on full-body armor|Soning niggas, like Alfredo in The Godfather|Two-shot revolver, that Dillinger shit|And the AR-15 bending your six|We taking trips to Morocco just to tan|We smoke weed in restaurants in Amsterdam|I was worth a hundred grams, now I'm worth a cool million|I'll put money on your hairline, your dime and your children||[Hook: Eminem]|I'm a drama setter|Grippin' my Berretta, sippin' Amaretto|Man, you crazy if you think I'ma let up|I told you I'm a drama setter|I'll be the first to set it, homie, you can bet it|Just don't get in the way of my cheddar|Man, ‘cause I'm a drama setter|I don't go lookin' for no trouble|But somehow the trouble always finds me|Don't make me have you in the trauma center|With your momma cryin'|‘Cause her only son is dyin'|She don't know it's just your karma catchin' up|‘Cause I'm a drama setter|You might also like[Verse 2: Obie Trice]|Since Yayo is home, them AR's is drawn|Obie's Guerilla-Unit, fuck affiliation|We are one, it is senseless for you to prevent this|The .40 cal'll put you up under some photosynthesis|At any given instant {gunshot}, another incident|You just got a glimpse of Obie and Yay's temperment|And we holdin' them K's, that's why homie won't age|Isn't it that Tony's enraged they throw him in cages?|But now my nigga's loose, our crews is bulletproof|All brought to you from whom's pupils' baby blues|His short fuses put your portrait on the news|Nigga, them screws is loose|When you fuckin' with them Shady dudes||[Hook: Eminem]|I'm a drama setter|Grippin' my Berretta, sippin' Amaretto|Man, you crazy if you think I'ma let up|I told you I'm a drama setter|I'll be the first to set it, homie, you can bet it|Just don't get in the way of my cheddar|Man, ‘cause I'm a drama setter|I don't go lookin' for no trouble|But somehow the trouble always finds me|Don't make me have you in the trauma center|With your momma cryin'|‘Cause her only son is dyin'|She don't know it's just your karma catchin' up|‘Cause I'm a drama setter|[Verse 3: Tony Yayo]|I got fat while I was gone, but now I'm here|And y'all rappers only bust shots only in fear|Chinchillas on my back, itchy fingers on the MAC|Get scrilla off of crack, get 50's shooter back|Listen homie, don't let them niggas amp you money|‘Cause I got niggas in Queens that kill for Pamper money|Move like Keyzer, Jayson Williams, slaughter the driver|My daughter Maniyah, know that the kid spit fire|Reality rap, nigga, check my salary cap|I give guns to my soldiers with a battery pack|What you know about light planes and heavy coke?|And them drugs being smuggled on them fast speed boats?|It's the rap tycoon, Tony, y'all all know me|See me on MTV, I'm a parolee|I was out for twelve hours and went right back in|For three hots and one cot doin' time in the pen||[Hook: Eminem]|I'm a drama setter|Grippin' my Berretta, sippin' Amaretto|Man, you crazy if you think I'ma let up|I told you I'm a drama setter|I'll be the first to set it, homie, you can bet it|Just don't get in the way of my cheddar|Man, ‘cause I'm a drama setter|I don't go lookin' for no trouble|But somehow the trouble always finds me|Don't make me have you in the trauma center|With your momma cryin'|‘Cause her only son is dyin'|She don't know it's just your karma catchin' up|‘Cause I'm a drama setter||[Outro: Tony Yayo & Eminem]|Yeah nigga|Thank you Marshall (No problem!)|We don't stop (Nah)|Jay the best for the land|Talkin' to your Thoughts of a Predicate Felon baby (Yeah man)|Blew out to, Lloyd Banks and all|Black ballin'|Yung Buck|Curtis Interscope Jackson (Shady Aftermath Mathers)|Olivia, O' Trice, Stat Quo|We gonna keep gettin' this money|Y'all rappers gonna keep hatin'|Fuck y'all|No more problems|Appeal for this shit|Shady Aftermath|G-Unit|We run this rap shit13Embed"
Tony Yayo,So Seductive,2005,"So Seductive Lyrics[Produced by Punch]||[Intro- Tony Yayo]|Aww nigga do you|Know what this is|1 shot, 1 kill, what's the deal|G-UNIT! (HERE WE GO NOW!)||[Verse 1- Tony Yayo]|Aww nigga do you|Know who you with|It's Tony Yayo|Up in this bitch|Got them german lugers|Wit them hollow tips|6 shot Rugers|WitH them extra clips|[Verse 2- 50 Cent]|50 cent, back on that gangsta shit|On my way, OT to flip them bricks|In that big, body benz you know its a 6|Got your bitch on my dick, I stack them chips|And I'm flashy as a fuck my jewels are sick|From a block away you can see them kid|Don't front, muthafucka you know my style|I don't go nowhere without my .40 cal|On the low, shawty got a thang for the kid|And ya know, I'm finna take her back to the crib|Here we go, I'mma show her how a playa live|At the door, I tell her take her clothes off...shiiit||[Hook, 1x 50 cent, 1x tony yayo]|Shorty so seductive dancing on me|The way that she move is making me horny|If I wake up next to her in the morning|I'mma turn her over and tell her lets do it again||[Verse 3- Tony Yayo]|I put the G in G-Unit|Baby I got game|Any more good to go|And I dunno your name|Is it the wheels on the hot car|Meals from the shot bar|Or you just wanna quickie with a rap star|Ladies tell the truth, you know I'm cute|But what really turns you on is the rims on my coupe|Before you jump in my whip and you get dropped off|Going to the tele and your getting popped off|I can't stop thinking of the things you do|When you freaking me and I'm freaking you|I said the ice on my neck make the shorties stick|Baby let me fly you in my lear|Stop, slow down baby|If you hear this in the club shake it go down baby|It's past my curfew but parole don't know|Tear up the club, don't call my PO|You might also like[Hook, 1x 50 cent, 1x tony yayo]|Shorty so seductive dancing on me|The way that she move is making me horny|If I wake up next to her in the morning|I'mma turn her over and tell her lets do it again||[Verse 4- Tony Yayo]|My waves keep spinning, my charm be amazing women|You know them black and them white and them asian women|Lets cut the small talk, you know why I approached you|I can't stand with a dime thats anti-social|Gucci lip gloss, louis vuitton, and them boots from beneto vinetto cost her arm|Yayos a don, my car european|You got mirrors in your pants cause I see me in them|Listen, I piss out cris, inhale haze|In the marriott getting laid all day|Tattoos, and piercings and rings in your tongue|Shorty things like that will make my black ass cum|I need groupie love, the coupe on dubs|I'm in this club with a tre pound snub|Don't blame it on david I'm all iced out|50 got me rich so the bars priced out||[Hook, 1x 50 cent, 1x tony yayo]|Shorty so seductive dancing on me|The way that she move is making me horny|If I wake up next to her in the morning|I'mma turn her over and tell her lets do it again4Embed"
Tony Yayo,Fake Love,2005,"Fake Love Lyrics[Intro]|""My life, my life, my life, my life""|Yeah.. yeah.. yeah|""My life, my life, my life, my life""||[Chorus]|Fake love's when your homey give you dap|Smile in your face but he want yo' ass clapped (Fake love)|Fake love's when they never be around|But once you get rich, they all get down (Fake love)|Fake love's when yo' friend fuck yo' bitch|Don't think with his head, only think with his dick! (Fake love)|So my friends is enemies and my enemies be friends|Don't show no love, don't pretend|[Verse One]|50 got Yayo gettin all this cash|Now all these yes men wanna kiss my ass|But back in the street you ain't help me re-up|Locked up I had court dates, you never showed up|What the fuck? Tell me what you grinnin' at nigga|If I get killed, my stash, you spendin' that, nigga|Some people want nuttin' out of life|And some people want it all, let's ball|I see the jealousy and envy when you see me shoppin'|Sapphire watch, got your jaw droppin'|When I moved that eighth, you was 7 gram coppin'|You ain't happy for me, you hope that the Feds watchin'|I ain't stoppin, homey I'm #1|While you schemin' on me, I played it dumb|So when it comes to the point, that you ready to flip|I'ma pull out first, and let off my clip - take that!||[Chorus]|Fake love's when your homey give you dap|Smile in your face but he want yo' ass clapped (Fake love)|Fake love's when they never be around|But once you get rich, they all get down (Fake love)|Fake love's when yo' friend fuck yo' bitch|Don't think with his head, only think with his dick! (Fake love)|So my friends is enemies and my enemies be friends|Don't show no love, don't pretend|You might also like[Verse Two]|Now your man ain't your man if he extort you, nigga|And your man ain't your man if he shortin' you, nigga|Listen money talks, and bullshit run marathons|When your money's gone, that's when them hoes gone|Fake love is when a nigga set you up|How he knew about your chain when your shit was tucked|You know the type to rat you out, sell you out|You get locked, your man ain't gon' bail you out|You got a brand new whip, your shit is lovely|Yeah it's aight - but his rims is ugly|Fake friends, show fake love|You know the type of nigga that'll leave you in the club|Fake love||[Chorus]|Fake love's when your homey give you dap|Smile in your face but he want yo' ass clapped (Fake love)|Fake love's when they never be around|But once you get rich, they all get down (Fake love)|Fake love's when yo' friend fuck yo' bitch|Don't think with his head, only think with his dick! (Fake love)|So my friends is enemies and my enemies be friends|Don't show no love, don't pretend||[Outro]|""My life, my life, my life, my life""|""My life, my life, my life, my life""1Embed"
Tony Yayo,We Don’t Give a Fuck,2005,"We Don’t Give a Fuck Lyrics[Olivia harmonizing for 10 seconds]||[Hook: Olivia]|We, we don't give a fuck about you|Your homey on the block can get it too|Y'all lil' motherfuckers ain't gang-ster, save your|Crew, before I put a hit out on you|Before I let my niggas come through|Y'all lil' motherfuckers ain't gang-ster, gang-ster||[Verse 1: 50 Cent]|Yeah!|I come creepin through your hood in the day or the night boy|It's good that you ain't scared to die cause you might boy|Nigga cross the line, and my wolves'll jump on you|The beef escalate, they'll be back to dump on you|They follow orders, I tell 'em to let off that pump at you|Before you snitch, yeah see I know what you chumps'll do|Sunny day, hot fudge, vanilla banana split|Four niggas in a whip, AK banana clip|War time, frontline, nigga ride or run and hide|Everything alive dies, why ask why? Why cry|Man up, chump, worryin is for the weak|You could hold your own or get left for dead in the street|[Hook: Olivia]|We, we don't give a fuck about you|Your homey on the block can get it too|Y'all lil' motherfuckers ain't gang-ster, save your|Crew, before I put a hit out on you|Before I let my niggas come through|Y'all lil' motherfuckers ain't gang-ster, gang-ster||[Verse 2: Tony Yayo]|Yeah, yeah|In the hood when I pop up, minked up and rocked up|Niggas ice grill cause these O.G.'s is washed up|I got a left like, Winky Wright|My pinky bright, my bank card'll end your life|Niggas scheme but they sweeter than, cookies'n'cream|Homey I got more blocks than Hakeem the Dream|That ain't taskforce money, that's real police|I got my ratchet in the alley with that fiend Denise|Cruise the streets, stuntin in that Maybach sixty-two|Nigga what my dope goin fo', 62, c'mon! A gram|By man, my plan's to expand|Try to jux and you hoods get catscans||[Hook: Olivia]|We, we don't give a fuck about you|Your homey on the block can get it too|Y'all lil' motherfuckers ain't gang-ster, save your|Crew, before I put a hit out on you|Before I let my niggas come through|Y'all lil' motherfuckers ain't gang-ster, gang-ster|You might also like[Verse 3: Lloyd Banks]|Uhh, Banks|I got a crew of schitzos behind me, I give 'em the word|They'll wet your whole block up, like the tsunami|Try me, and your mami'll be right in the lobby|And they'll be feedin you Jello, like you're Bill Cosby|Yeah everybody yellin yeah, so the beef cook|Then somebody gets hit in the melon, then they tellin|Don't go tongue lashin with Lloyd|Niggas'll put stabs in your boy like Brad did in Troy|Be shakin like a cutty, with his last bit of boy|And I'll be calm cause there's bulletproof glass in the toy|Yeah I'm flashy as fuck, mashin with Buck|Windows up blowin big cause there's stash in the truck, what?||[Hook: Olivia]|We, we don't give a fuck about you|Your homey on the block can get it too|Y'all lil' motherfuckers ain't gang-ster, save your|Crew, before I put a hit out on you|Before I let my niggas come through|Y'all lil' motherfuckers ain't gang-ster, gang-ster4Embed"
Tony Yayo,Curious,2005,"Curious Lyrics[Yay] I'm sayin Ma, what's your name?|[Kay] My name is Kay|[Yay] Where you from?|[Kay] I'm from Brooklyn|[Yay] I'm sayin shit, why you with that bird over there?|[Yay] Now I don't wanna sound like a hater|[Kay] Because he can work the middle|[Yay] Oh aight but I can too|[Kay] Let's find out|[Yay] Ha ha ha!|[Hook: Joe]|Ma I'm curious, yeahhhh, I'm wonderin if I can make you mine|Baby I'm curious, so curious, I wonder if we can spend some time|Shorty I'm curious, ohhhh, girl I wanna know what's on your mind|Lady I'm curious, so curious, I wonder if I can make you mine (Ya-yo!)||[Tony Yayo]|Ma I'm curious to know if I lick that spot|Will it make your body shiver and your panties drop|Your baby father's a lame, he a deadbeat dad|So you and your kids could come cruise in my Jag|You ""My Boo"" like Usher, and Alicia Keys|And every time that you touch me girl you please my knees|Be like, George and Weezy, Jada and Will|Let's shop 'til we drop out in Beverly Hills|I'm curious to know if you want me girl|If so ma let's fly the country girl|I'm not sellin you a dream girl I give you the world|You want them furs and the minks and them diamond pearls||[Hook] w/ ad libs||[Tony Yayo]|I saw her in the projects, goin to the store|I never had a crush like this before|Her baby daddy is a killer, he hold weight in Attica|But every time he home, he beatin her and smackin her|Ma you don't need your face black and blue|You need diamonds from Jacob that's black and blue|Waterfront property, you see the sun risin|But back to the subject let me stop fantasizin|Listen boo, nobody in the world is perfect|So when you 'round my team there's no need to be nervous|I hit it from the back, pull out your tracks|Cause curiosity girl, kills the cat|You might also like[Hook] - 2X w/ ad libs||[Joe]|Wanna make you mine baby|See I gotta make you mine baby|Wanna make you mine baby|I gotta make you mine baby, ohhhhh|So curious, so curious {*fades out*}2Embed"
Tony Yayo,Pimpin,2005,"Pimpin Lyrics[Chorus]|I don't love hoes, I'm sharin' 'em|I ain't lovin 'em, or handcuffin' 'em 'cause, baby, I'm pimpin'|You love hoes, you chasin' 'em|You be lacin' 'em while I'm replacin' 'em 'cause, baby, I'm pimpin'||[Verse 1]|I lay my pimp game down when it comes to these bitches|They do what I say and obey all my wishes|Wash all my clothes and clean dirty dishes|I turn a sweet bitch to a switchblade sister|While you shop on Melrose, buyin' hoes shoes|I'm in Mickey D's buyin' number twos|Now get your ass on the track and get the dough for me|I'm the number one pimp, so she chosen me|And my hoes where the ballers and bros be|They collect them Gs and they give 'em to me|I'm pimpin', no perm, just gators|Pimpin', show you how to stunt on them haters|Pimpin', flossin' in that new Cadillac|Pimpin', chinchil' with the fur hat|Pimpin', I show you how to school a ho|And when you chasin' them bitches I'm chasin' the dough (Yeah)|[Chorus]|I don't love hoes, I'm sharin' 'em|I ain't lovin 'em, or handcuffin' 'em 'cause, baby, I'm pimpin'|You love hoes, you chasin' 'em|You be lacin' 'em while I'm replacin' 'em 'cause, baby, I'm pimpin'||[Verse 2]|Freakin', I ain't speakin', girl, I ain't ya hubby|Ma, back that thing up, girl, time is money|You ain't freakin', I ain't speakin', girl, I ain't no dummy|And we can play the Marriott, boo, pop some bubbly|I said if 50 can't get none, I ain't speakin'|Girl, I ain't speakin', girl, I ain't speakin'|I said if Banks can't get none, I ain't speakin'|Girl, I ain't speakin', girl, I ain't speakin'|Yeah, Lisa and Kim, they straight outta Cashville|I met 'em with Buck in his mansion in Nashville|My bitch from the D used to live on Marshall block|I put a foot to her ass like martial arts|I got a stable of hoes in the C-P-T|Ask my nigga Snoop and the D-R-E|Girl, fix your lipstick, your hair is a mess|And I know your feet hurt in them damn Payless||[Chorus]|I don't love hoes, I'm sharin' 'em|I ain't lovin 'em, or handcuffin' 'em 'cause, baby, I'm pimpin'|You love hoes, you chasin' 'em|You be lacin' 'em while I'm replacin' 'em 'cause, baby, I'm pimpin'You might also likeEmbed"
Tony Yayo,All I Wanna Do,2008,"All I Wanna Do Lyrics[Starts off with the beat of M.I.A's: ""Paper Planes"".]||[Chorus: M.I.A.]|[3 shots]... and a [gun cocks], [cha-ching] and take your money!|All I wanna do is [3 shots]... and a [gun cocks], [cha-ching] and take your money!|All I wanna do... [echoes]||[Intro: 50 Cent {DJ Whoo Kid}]|50!|Yeah! {Whoooooooooooooooooooooooo Kiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiid! }|I'm the greatest! [Joker laughs]|[50 Cent:]|First your hear the first shot - then you hear the second shot|By the time you hear the third shot you see a nigga DROP! [gunshot]|Then you hear the 4th shot! - The you hear the 5th shot!|.38 Revolver only hold six shots. [2 shots]|You know a robbery can turn into a homicide|Nigga don't co-operate we break him off proper like|Revolver get to spinnin', nigga you can spend the night|Planned operation! - Not communicating!|On the table weezin - respirator breathin'|For your bitch-ass summer time is the killing season. [gunshot]|A lil' Henny make the nigga wanna spray sumthin'|Dare nigga say sumthin'. - Muhfucka stay frontin'|If that's jewelry they be knowing it be sumthin' [classic evil laughter]|Until them cats scrap and get to blow him for the money|Some got good aim, some got bad aim|So it's bang bang! - It's all part of the game|Every hood is the same, different faces different names|Different crew different gangs! - Different is just the same||[Chorus: M.I.A.]|[3 shots]... and a [gun cocks], [cha-ching] and take your money! [gunshot]|All I wanna do is [3 shots]... and a [gun cocks], [cha-ching] and take your money!|All I wanna do [3 shots]... and a [gun cocks], [cha-ching] and take your money! {Whooooooooooo}|All I wanna do is [3 shots]... and a [gun cocks], [cha-ching] and take your money!|{Kiiiiiiiiiiiiiiiiiiiiiiiiiiid! } {""THISIS50.COM""! }|You might also like[Interlude: M.I.A.]|M.I.A. Third World Democracy {""SWAMMIES... ON DECK""! }|Yeah! - I got more records than the KGB. {TONY YAYO! }|So uuuuh!|No funny business! (Are you ready, aiiiiiiight?)||[Bridge: M.I.A.]|Some, some, some, I some murder|Some I some let goooooo!|Some, some, some, I some murder|Some I some let goooooo!||[Chorus: M.I.A.]|All I wanna do [3 shots]... and a [gun cocks], [cha-ching] and take your money!|All I wanna do is [3 shots]... and a [gun cocks], [cha-ching] and take your money!|All I wanna do [3 shots]... and a [gun cocks], [cha-ching] and take your money!|All I wanna do is [3 shots]... and a [gun cocks], [cha-ching] and take your money!||[Outro:]|CAN'T FORGET...|DIVA!|DAMN! [gunshot] [beat stops]1Embed"
Tony Yayo,Live by the Gun,2005,"Live by the Gun Lyrics[Intro: Tony Yayo]|Yeah|Yo, Word up man|Fuckin cold out here, man|My fuckin toes is killin me, man|I fuckin been on the block all day, man|But you know I gotta get this money rain, sleat, snow, man|Fuck man, yo man listen...||[Verse 1: Tony Yayo]|Yo we project livin, with plastic on the furniture|Little niggas comin up will fuckin try to murda ya|D's not out, so the coast is clear|But it's getting hard to sleep with this roach in my ear|Everybody got a nina. Everybody got a vest|New York City's the arena of death|Yo the strip movin slow, but everybody goin hard|Seein more D's than a damn report card|Everybody rap now, following these dreams|I'mma call my clientele, man, and sign all my fiends|Same gear for a week, wearin dirty cloths|All day in the spot, by a dirty stove|Trials keep me strong, hope keep me happy|But I'm only human, so these niggas wanna clap me|The drug game over, but there's money to make|So niggas clappin at niggas who raise that crime rate|[Hook: Tony Yayo]|You could live by the gun, or die by the bullet|You niggas push me, for sure I'm gon pull it|Material objects got the world crooked|In my hood, they hustle, and be on that jug shit|Snakes in the grass be on that bullshit|Niggas that's ass stay with a full clip|Guns get blast, niggas on that shook shit|So live by the gun, or die by the bullet||[Verse 2: Tony Yayo]|The rhymes you spit could embarrass the city|When my game bag names like Paris and Nikki|Load the semi, I'm in the spot carvin the crack|You stunt, I'll leave my bullets lodged in ya back|New York City, everything move fast|Little girls get pregnant, throw they baby in the trash|China white whizzy movin quickly on the ave|The same dope that Whitney in the rehab|Up early in the morning, cause there's money to earn|Cause the early bird be the one that catch the worm|We got nicks, tres, twenties and dimes|Got my spot lookin like a soul train line|Fuck doin time, I'm tryin to progress|Get that money, nigga, serve ya projects|Hustlin homie, that's all I know|In the summertime, I could make the whole strip snow|You might also like[Hook: Tony Yayo]|You could live by the gun, or die by the bullet|You niggas push me, for sure I'm gon pull it|Material objects got the world crooked|In my hood, they hustle, and be on that jug shit|Snakes in the grass be on that bullshit|Niggas that's ass stay with a full clip|Guns get blast, niggas on that shook shit|So live by the gun, or die by the bullet3Embed"
Tony Yayo,Tattle Teller,2005,"Tattle Teller Lyrics[Intro/Hook 2X: Tony Yayo]|I ain't your friend, you a tattle teller|You rat, you snitch, you jealous nigga|You coward nigga, you teller nigga|Tuck your tail, pluck your whiskers you tattle teller||[Tony Yayo]|There's rats in the street, and rats in the jail|In the feds, rats wear wires in they cell|Shit Steven Seagal, I used to love his karate|But even he snitched, he told on Peter Gotti|Pillowtalk wit'cha girl about that German Ruger|Got her in a small room with the prosecutor|Watch ya shooter, them feds givin years for them guns|And there's nowhere to hide, when the marshals come|D.A. don't play, giving life off of hearsay|And right hand on the stand for conspiracy|Kingpin charges, and that RICO law|Got agents in your spot for them bricks of raw|And people tellin on you that you never saw|Like your next door neighbor that live on your floor|The game over, man everybody wanna snatch|Fat Cat and Alpo nigga started this shit|[Hook]||[Tony Yayo]|Be careful what you ask for, Joe got bagged|He got knocked by the feds for some things in his past|Now he rattin on his co-D's, snitchin on his homies|To government officials, and U.S. attorneys|He told about his lifestyle and old war stories|The brawl in B-more in the stall with them shorties|Out of town trips, cocaine connects|He told about the ratchets, fo'-fifths and tecs|He snitched about the diesel, stashed in the ceiling|He bragged about them kids that caught bodies in his building|He told on himself and told on his right hand|He talked about taxes and credit card scams|Joe took the stand, he sold his soul|But little did he know he dug a deeper hole|He lied on his friends and the judge flipped on him|Now he in Fort Dix with a man's dick on him||[Hook]||[Tony Yayo]|Death before dishonor, what happened to that?|Them wolves in lamb's clothing is the ones that's rat|Nicky Barnes and Alpo, Cat and Freeze|I heard Ta-Ta tellin just to get that cheese|Pipe on death row, they told on Pete|They the reason that pistol ain't on the street|Chris Portello, yeah he used to fuck with Madonna|The South Beach King is, federal informer|Homey watch the corner, slingin that crack|That kid C.K. told on O.G. Mack|Sammy the Bull man, he the biggest of them all|He broke the code, he made the whole mob fall|Italian Joe Camby, he messed up the game|He tellin on his people like Saddam Hussein|So when you standin on that corner, chillin wit'cha fellas|Kid watch your back for them damn tattle tellers|You might also like[Hook]||[Tony Yayo]|And the Sammy the Bull award goes to, Fat Joe {*applause*}Embed"
