rapper,song,year,lyrics
Vince Staples,Norf Norf,2015,"Norf Norf Lyrics[Verse 1]|Bitch, you thirsty, please grab a Sprite|My Crips lurking, don't die tonight|I just want to dance with you, baby|Just don't move too fast, I'm too crazy|Man down, Downey Ave, it gets shady|Take a nigga mind off that|We can dip, fuck in the whip, slide right back in the function|One wrong word, start busting|Put that on my Yankee hat|I'm a gangsta Crip, fuck gangsta rap|Where the ladies at? Where the hoes? Where the bitches?|Every real nigga know the difference|Bandana brown like the dope daddy shooting in the kitchen|Real Norfside nigga, never went to Poly, Wilson, or Cabrillo|Cocaine color of a Creole|T-Skrap moving for the D-low, and he know|[Chorus]|I ain't never ran from nothing but the police|I ain't never ran from nothing but the police|I ain't never ran from nothing but the police|From the city where the skinny carry strong heat|Norfside, Long Beach (Norfside, Long Beach)||[Verse 2]|Hit the corner, make a dollar flipping|Split the dollars with my mama children|Folks need Porsches, hoes need abortions|I just need y'all out of my business|Never no problem playing no bitches|Never no problem spraying no witnesses|No face, no case, been with the shit|Hopped out broad day, then emptied clips|Cut class 'cause it wasn't 'bout cash|School wasn't no fun, couldn't bring my gun|Know a change gon' come like Obama 'nem say|But they shooting everyday 'round my mama 'nem way|So we put an AK where Kiana and them stay|And that's for any nigga say he got a problem with me|How I'm Cripping where I'm living, come and follow me|Pistol popping, Poppy Street||[Chorus]|I ain't never ran from nothing but the police|I ain't never ran from nothing but the police|I ain't never ran from nothing but the police|From the city where the skinny carry strong heat|Norfside, Long Beach (Norfside, Long Beach)|You might also like[Verse 3]|Nate Dogg still here 'cause of niggas like me|Police still scared 'cause of niggas like me|In the hood, like a dollar sweet tea or a Louis Burger|You ain't with the business, nigga, who you murdered?|You ain't heard of Coldchain? Best thang smokin' out the city|Riding 'round with the same shotgun that shot Ricky|Lil' nigga should've zig-zagged, then he got his back wet|Naughty running Norfside, niggas better fact-check|Fronting with the gun talk, I ain't heard a clap yet|All my niggas from the street, they the niggas best yet|'Cept for Lil' Halftime, brody bang the Five Blocks|Sorry, I hit your homie five times, better grab chalk|Did it, got away with it out the Civic|We Cripping, Long Beach City, pay a visit|Park Ramona, Pop-block the corner|Giving hell 'til it's frozen over|I ain't never ran from nothing||[Chorus]|I ain't never ran from nothing but the police|I ain't never ran from nothing but the police|I ain't never ran from nothing but the police|From the city where the skinny carry strong heat|Norfside, Long Beach (Norfside, Long Beach)106Embed"
Vince Staples,Señorita,2015,"Señorita Lyrics[Directed by Ian Pons Jewell]||[Intro: Future]|Hey, hey||[Chorus: Future]|Ayy, 9 millimeter, my brother's my keeper|Was serving that ether before I did features|My mamacita, she know how to greet me|She know how to keep me, she better not get—|9 millimeter, my brother's my keeper|Was serving that ether before I did features|My mamacita, she know how to greet me|She know how to keep me, she keep me, she-|[Verse 1: Vince Staples]|Fuck your dead homies, run your bread, homie|Got some lead for me, I'm on Artesia|Parked in my Bimmer, bumping my own shit|I'm focused, they stuck on that old shit|Living for that True Religion is broke shit|I could spend that on a MAC with a long clip|Fly in that Benz, but you hide in that Focus|My nigga, just focus, I'm trying to paint you a picture|We stuck in the moment|My burner get stuck if I shoot it too much|So a nigga resorted to doming|That's somebody's son, but a war to be won|Baby, either go hunt or be hunted|We crabs in a bucket|He called me a crab, so I shot him in front of the Douglas|I cannot be fucked with, we thuggin' in public|[Chorus: Future]|Ayy, 9 millimeter, my brother's my keeper|Was serving that ether before I did features|My mamacita, she know how to greet me|She know how to keep me, she better not get—|9 millimeter, my brother's my keeper|Was serving that ether before I did features|My mamacita, she know how to greet me|She know how to keep me, she keep me, she-|You might also like[Verse 2: Vince Staples]|What mean the world to you?|Is it fast life, money, and clothes?|Probably fucking these hoes?|Or what would you murder for?|Will your name hold weight when the curtains close?|Nigga caught one case, and I heard he told|Snitch get a full clip and closed casket|Won't hug your bitch when the ho ratchet|Cold jumper, been shooting, no practice|Been touring, whip foreign, coupe crashing|Still banging 2 Naughty 2 Nasty|Still ""fuck the police,"" they won't catch me|My feature too pricey, don't ask me|Go hard 'til Goyard on my baggage|He mad, we won't fight, I'm gon' tag him|Mask up at midnight and start clapping|Kids crying, still snipe him, no lacking|[Chorus: Future]|Ayy, 9 millimeter, my brother's my keeper|Was serving that ether before I did features|My mamacita, she know how to greet me|She know how to keep me, she better not get—|9 millimeter, my brother's my keeper|Was serving that ether before I did features|My mamacita, she know how to greet me|She know how to keep me, she keep me, she—|9 millimeter, my brother's my keeper|Was serving that ether before I did features|My mamacita, she know how to greet me|She know how to keep me, she better not get—|9 millimeter, my brothers my keeper|Was serving that ether before I did features|My mamacita, she know how to greet me|She know how to keep me, she keep me, she—|[Outro: Snoh Aalegra & Future]|(Brr) I don’t have a reason, oh, but I (Brr)|(Brr, brr) I'll get in your mind (Brr, get in your mind)|(Brr) Yeah, (Brr) yeah (yeah), (Brr) yeah,  (Brr) yeah|(Brr) Yeah, (Brr) yeah, (Brr, ooh-la-la) yeah (Get in your mind)|I keep you loaded and ready right here beside of me (Brr, brr)|I’ll pull up on you (Brr)|I’ll pull up on your mind (Brr)|I’ll pull up on you (Brr)|I’ll pull up on your mind (Brr)|I’ll pull up on you (Brr)|I’ll pull up on you (Brr)|I’ll pull up on you (Brr)|I’ll pull up on your mind (Brr)114Embed"
Vince Staples,Yeah Right,2017,"Yeah Right Lyrics[Chorus: Vince Staples]|Boy, yeah right, yeah right, yeah right|(Boy, yeah right, yeah right, yeah right)|Boy, yeah right, yeah right, yeah right|(Boy, yeah right, yeah right, yeah right)|Boy, yeah right, yeah right, yeah right|(Boy, yeah right, yeah right, yeah right)|Boy, yeah right, yeah right, yeah right|(Boy, yeah)||[Verse 1: Vince Staples]|Is your house big? Is your car nice?|Is your girl fine? Fuck her all night?|Is you well paid? Are your shows packed?|If your song played, would they know that?|How the thug life? How the love life?|How the workload? Is your buzz right?|Do the trap jump? Is the plug right?|Got your head right? Boy, yeah right|[Chorus: Vince Staples]|Boy, yeah right, yeah right, yeah right|(Boy, yeah right, yeah right, yeah right)|Boy, yeah right, yeah right, yeah right|(Boy, yeah right, yeah right, yeah right)|Boy, yeah right, yeah right, yeah right|(Boy, yeah right, yeah right, yeah right)|Boy, yeah right, yeah right, yeah right|(Boy, yeah)||[Verse 2: Vince Staples]|Pretty woman wanna slit the wrist|Pretty woman wanna be a rich man's bitch|Pretty woman want a couple kids|Pretty woman want a new ass, new lips|Pretty woman wanna push a Benz|Come correct or she won't let you in|Thumbin' through a check, she gets it in|Diamonds on your neck, is them pretend?||[Chorus: Vince Staples]|Boy, yeah right, yeah right, yeah right|(Boy, yeah right, yeah right, yeah right)|Boy, yeah right, yeah right, yeah right|(Boy, yeah right, yeah right, yeah right)|Boy, yeah right, yeah right, yeah right|(Boy, yeah right, yeah right, yeah right)|Boy, yeah right, yeah right, yeah right|(Boy, yeah)|You might also like[Bridge: KUČKA]|Got an enemy that changes dependin' what direction|You're facin'|Got an enemy that tells you what block and what division|You're placed in|You pretend to get a better idea about the lifestyle|You're chasin'|Keep pretendin', make it real until every cell replaced, erased||[Verse 3: Kendrick Lamar]|Pop 'til it's vacant|Pop 'til the wrist pop|Pop 'til he shakin'|Pop like four on the floor been in rotation|No allegation|Popular demand, I understand my name is only for conversation|New York nigga be like, ""Deadass""|L.A. nigga be like, ""On the dead homies""|I was off the porch like Fed-Ex|211, got bread on me|K-Dot twilight, the zeitgeist|Roll like fried rice and tempura shrimp, uh|Temporary pimp, nah, don't remember them|Just canary yellow gem, jumping out the fuckin' gym, uh|Swang like new Dana Dane, I ride dirty|Paid like two Damon Wayans, retire early, uh|Fade like shadows, the stallion, the cattle|A bitches decision for you is narrow|Collision, the money and fame, the pharaoh|The physic, the chemist, the lame|Collateral for Kendrick whenever exchange|Compatible for riches with more to gain|I said, nigga, yeah right|I don't fair fight but I bear fight|Lookin' for my next roadkill for the headlight|Hangin' on my last four kills for the highlights|My life, high life, high five, bye-bye|[Chorus: Vince Staples]|Boy, yeah right, yeah right, yeah right|(Boy, yeah right, yeah right, yeah right)|Boy, yeah right, yeah right, yeah right|(Boy, yeah right, yeah right, yeah right)|Boy, yeah right, yeah right, yeah right|(Boy, yeah right, yeah right, yeah right)|Boy, yeah right, yeah right, yeah right|(Boy, yeah right, yeah right, yeah right)|Boy, yeah right, yeah right, yeah right|(Boy, yeah right, yeah right, yeah right)|Boy, yeah right, yeah right, yeah right|(Boy, yeah)47Embed"
Vince Staples,Big Fish,2017,"Big Fish Lyrics[Intro: Juicy J]|You can get anything you want|Know what I'm saying?|You want that over there?|You want that over there?|I got you||[Chorus: Juicy J]|I was up late night ballin'|Countin' up hundreds by the thousand|I was up late night ballin'|Countin' up hundreds by the thousand|I was up late night ballin'|Countin' up hundreds by the thousand|I was up late night ballin'|Countin' up hundreds by the thousand|[Verse 1: Vince Staples]|I was up late night balling|So far from my past misfortune|No sleepin', late nights, no eatin'|Gun squeezing, I'm a real Artesian|Ramona, I was 'round that corner|Still down, I'm a Norf Norf soldier|G slide right down Sawyer|When we slide, you won't see morning|Another story of a young Black man|Tryna make it up out that jam, Goddamn|Bag back, let me make my bands, got plans|If you hatin', don't shake my hand|Take it easy, homie|Reminiscin' sitting in that Benz|Of the 22 bus stop way back when|With the .22, 5 shot eyes on scan|For the click, clack, clap|Or the boop, bop, bam, cuz||[Chorus: Juicy J]|I was up late night ballin'|Countin' up hundreds by the thousand|I was up late night ballin'|Countin' up hundreds by the thousand|I was up late night ballin'|Countin' up hundreds by the thousand|I was up late night ballin'|Countin' up hundreds by the thousand|You might also like[Verse 2: Vince Staples]|It's funny, I was going crazy not too long ago|Women problems every morning like the Maury show|Swimming upstream while I'm tryna keep my bread from the sharks|Make me wanna put the hammer to my head|At the park politickin' with the kids|Tryna get 'em on a straight path, got the lames mad|Know they hate to see me make cash, got the space dash|In the foreign with the GPS addressed to your mama house|Compensation, conversations, what I'm all about|Took the smart route, never been marked out|Shoulda been dead broke, shoulda been chalked out|But it didn't happen, now it's time to get it cracking|Quarterbackin' like I'm 40 Water|Mix the holy water with the Voss|Wanna be the boss? Then you gotta pay the cost|Learned it from the Dogg, I'm from Long Beach|That's the city where the skinny carry strong heat||[Chorus: Juicy J]|I was up late night ballin'|Countin' up hundreds by the thousand|I was up late night ballin'|Countin' up hundreds by the thousand|I was up late night ballin'|Countin' up hundreds by the thousand|I was up late night ballin'|Countin' up hundreds by the thousand|I was up late night ballin'|Countin' up hundreds by the thousand|I was up late night ballin'|Countin' up hundreds by the thousand|I was up late night ballin'|Countin' up hundreds by the thousand|I was up late night ballin'|Countin' up hundreds by the thousand33Embed"
Vince Staples,Blue Suede,2014,"Blue Suede Lyrics[Chorus]|New shoes with the blue suede|Blue suede, the blue suede, the blue suede|Young graves get the bouquets|Bouquets, the bouquets, the bouquets|Hope I outlive them red roses|Hope I outlive them red roses|Hope I outlive them red roses|Hope I outlive them red roses||[Verse 1]|Bitches ain't shit but hoes, I been known this|Niggas gon' snitch regardless, Mitch showed us|Never gon' switch, my momma raised soldiers|Show me that profit, cough them Rang Rovers|Up, I'm up now, these hoes all in love now|Wanna fuck now, they beg to bend over|Half these hoes chauffeurs, half these hoes useless|Fucked the face toothless, easy, so ruthless|Ask where he from then leave his dome roofless|Sweet Chin Music kick back, gruesome|Watch out for Judas, Vice and G Unit|5-0 fucking with the yayo too|L-B-P-D get sprayed on too|Always keep it GC, ask my homies for the proof|Blowing 40s as a youth, Thump Deuce in the Chevy|Hit the corner, run up on him, turn a nigga to Spaghettios|[Chorus]|New shoes with the blue suede|Blue suede, the blue suede, the blue suede|Young graves get the bouquets|Bouquets, the bouquets, the bouquets|Hope I outlive them red roses|Hope I outlive them red roses|Hope I outlive them red roses|Hope I outlive them red roses||[Verse 2]|Bitches ain't shit but tricks, I been known that|Blowing on dicks for spliffs and cold Cognac|Out club hoppin', hoppin' in Kodak's|Where the coke at? Love white like Bobby wife|Finna party like it's prom tonight|Finna kill a nigga walkin' to his mom’s tonight|Shit real in the field, get caught, don't squeal|Best deal that the judge finna offer: life|Play this track in Calipat, get it poppin' in the prison|And play this shit in Ironwood where my little brother livin'|Live or die for the whoopin' or the Crippin', pick a side|Death row, till they put you in the Pikachu to fry|That's life, three strikes, that's life|Three hoes, half dyke, this can be a long night|Long road to the riches, bravos from the bitches|Coulda' been a felon selling nickels off of Linden|Nigga, fuck that|You might also like[Chorus]|New shoes with the blue suede|Blue suede, the blue suede, the blue suede|Young graves get the bouquets|Bouquets, the bouquets, the bouquets|Hope I outlive them red roses|Hope I outlive them red roses|Hope I outlive them red roses|Hope I outlive them red roses||[Outro]|All I wanted was them Jordan's with the blue suede in 'em|All I wanted was them Jordan's with the blue suede in 'em|All I wanted was them Jordan's with the blue suede in 'em|All I wanted was them Jordan's with the blue suede in 'em|Blue suede 'em, blue suede in 'em|Blue suede 'em, blue suede in 'em67Embed"
Vince Staples,BagBak,2017,"BagBak Lyrics[Verse 1]|This is for my future baby mama|Hope your skin is black as midnight, I'll take you out that Honda|I can put you in a Benz, I can balance out your chakras|Fornication is a sin, we can fuck all night regardless|Our father art in heaven as I pray for new McLarens|Pray the police don't come blow me down 'cause of my complexion|Everybody think they know me now 'cause I'm chicken-checkin'|Negro, you are not my homie, how dare you think it's different?|Boy, you trippin'|[Chorus]|Gas break and dip, the cash came, I flipped|And stacked that, yeah, I stacked that past the ceiling|So sacrilegious, don't ask to chat|And don't ask for pictures, back back, I'm trippin'|Back back, better back back, you don't know me|Better back back, better back back, you don't know me|Better back back, better back back, you don't know me|Back back, better back back, you don't know me, homie||[Verse 2]|Boy, I'm buoyant, we are|Floatin' on the peons|Go in 'til they take my bro and 'em out them CDCRs|Prison system broken, racial war commotion|Until the president get ashy, Vincent won't be votin'|We need Tamikas and Shaniquas in that Oval Office|Obama ain't enough for me, we only getting started|The next Bill Gates can be on Section 8 up in the projects|So 'til they love my dark skin|Bitch, I'm goin' all in||[Chorus]|Gas break and dip, the cash came, I flipped|And stacked that, yeah, I stacked that past the ceiling|So sacrilegious, don't ask to chat|And don't ask for pictures, back back, I'm trippin'|Back back, better back back, you don't know me|Better back back, better back back, you don't know me|Better back back, better back back, you don't know me|Back back, better back back, you don't know me, homie|You might also like[Interlude]|They found it|Depth close to 3,230 feet|A deep dive, but within acceptable range||[Verse 3]|Clap your hands if the police ever profiled|You ain't gotta worry, don't be scary 'cause we on now|Ain't no gentrifying us, we finna buy the whole town|Tell the one percent to suck a dick because we on now|We on now, we on now|Tell the one percent to suck a dick because we on now|Tell the government to suck a dick because we on now|Tell the president to suck a dick because we on now|We on now|We on now|Tell the one percent to suck a dick because we on now|Tell the president to suck a dick because we on now|Tell the government to suck a dick because we on now|We on now|We on now|We on now|We on now|We on now|We on now|We on now|We on now35Embed"
Vince Staples,Lift Me Up,2015,"Lift Me Up Lyrics[Intro]|Right now|Hey!||[Verse 1]|I'm just a nigga, until I fill my pockets|And then, I'm Mr Nigga, they follow me while shopping (Uh-huh)|I feel like Mick and Richards, they feel like Muddy Waters (Uh-huh)|So tell me, what's the difference? So tell me, what's the difference? (Hey)|My momma was a Christian, Crip-walking on blue waters|Was fading up to Davis, then walking back to Palmer|A fro like Huey partner, Auntie Angie had them choppers (Uh-huh)|So tell me, what's the difference? So tell me, what's the difference? (All right!)|I feel like ""Fuck Versace"", they raping niggas' pockets|And we don't get acknowledged, just thank me for the profit|A prophet just like Moses, and Moses looked like Shaka|Zulu, my .44 loaded, I'm aiming at Nirvana (Nirvana)|My bitch look like Madonna ('Donna), they staring at Katana|Waiter still ain't brought the chopsticks, should've brought the chopper (Whoo)|Uber driver in the cockpit look like Jeffrey Dahmer|But he looking at me crazy when we pull up to the projects|[Hook]|See, this weight is on my shoulders, pray, Jehovah, lift me up|And my pain is never over, pills and potions, fix me up|I just want to live it up, can a motherfucker breathe?|Life ain't always what it seems, so, please (Hey)|Just lift me up, lift me up, lift me up, lift me up|Lift me up, lift me up, lift me up, lift me up|Lift me up, lift me up, lift me up, lift me up|Lift me up, lift me up, lift me up, lift me up (Say, man)||[Verse 2]|We love our neighborhood, so all my brothers bang the hood|I never vote for presidents, the presidents that change the hood|Is dead and green, was standing on this mezzanine in Paris, France|Finna spaz 'cause most my homies never finna get this chance|All these white folks chanting when I asked 'em, ""Where my niggas at?"" (Uh-huh)|Going crazy, got me going crazy, I can't get with that|Wonder if they know I know they won't go where we kick it at|Ho, this shit ain't Gryffindor, we really killing, kicking doors (Hey)|Fight between my conscience and the skin that's on my body|Man, I need to fight the power, but I need that new Ferrari|Man, I breathe and bleed this Poppy Street|I shot them guns 'cause talk is cheap|Bow your head and pray, okay, now, walk with me (You know it)||[Hook]|See, this weight is on my shoulders, pray, Jehovah, lift me up|And my pain is never over, pills and potions, fix me up|I just want to live it up, can a motherfucker breathe?|(Can a motherfucker breathe?)|Life ain't always what it seems, so please (Hey)|Just lift me up, lift me up, lift me up, lift me up|Lift me up, lift me up, lift me up, lift me up|Lift me up, lift me up, lift me up, lift me up|Lift me up, lift me up, lift me up, lift me up|You might also like[Outro]|Lift me up, lift me, lift me up|Lift me, lift me up, lift me, lift me up|Lift me, lift me, lift me, lift me, lift me, lift me up|Lift me, lift me up, lift me, lift me up35Embed"
Vince Staples,Summertime,2015,"Summertime Lyrics[Produced by Clams Casino]|[Chorus 1]|This could be forever, baby|This could be forever, baby|This could be forever, baby|This could be forever, maybe|Do you like the sunshine, do you like the snow?|Do you wanna talk about it, or be alone?|I think that you should know|That this could be forever, baby|[Verse 1]|Open up your eyes and tell me what you thinking|Open up your mind, and tell me what you seeing inside of me|Why we fussing, fucking up this evening?|I probably couldn't fix it if I knew the reason|Up on the sea, where I see you fallin' in the deep end|Is it love? I would really love to know the meaning|What's the grudge that you're holdin'? Hold my hand|Let me take you to the land where the ocean and the sands are meetin'|Look at the sun, all we need to see to know our freedom|Open up your heart|If we don't love, then we fall apart||[Chorus 2]|This could be forever, baby|I never seen you wetter, baby|Than when the tears fall, soakin' up your sweater, baby|I didn't mean harm—don't make me regret it, baby||[Bridge]|'Cause if I never knew you, I could never do this to you|Hope you understand|They never taught me how to be a man, only how to be a shooter|I only need the time to prove it|[Chorus 3]|'Cause this could be forever, baby|This could be forever, baby|This could be forever, baby|This could be forever, maybe|Do you like the sunshine, do you like the snow?|Do you wanna talk about it, or be alone?|I think that you should know|That this could be forever, baby|You might also like[Verse 2]|My teachers told me we was slaves|My mama told me we was kings|I don't know who to listen to|I guess we somewhere in between|My feelings told me love is real|But feelings known to get you killed|I feel as if I'm misconstrued|I spend my moments missing you|I'm searching for atonement|Do I blame my darker tone?|I know somethings are better left unsaid and people left alone|Pick up the phone|Don't leave me alone in this cruel, cruel world76Embed"
Vince Staples,745,2017,"745 Lyrics[Chorus]|I'm in that 745|Hope I can come scoop you up 'round 7:45|Slide 'round with my drop top up or down, you down to ride?|Looked into my eyes and told me, ""Daddy, sure you right""|745|745|Hope I can come scoop you up 'round 7:45|Slide 'round with my drop top up or down, you down to ride?|Looked me in my eyes and told me, ""Daddy, sure you right""|745|[Verse 1]|All my life, man, I want fast cars, NASCARs|All my life I want runway stars, Kate Moss|All my life I want waves at my front door|No green grass, no porch, I just want sea shores|All my life|All my life pretty women done told me lies|All my life pretty women done told me lies|All my life pretty women done told me lies|Told me lies, told me lies||[Chorus]|I'm in that 745|Hope I can come scoop you up 'round 7:45|Slide 'round with my drop top up or down, you down to ride?|Looked into my eyes and told me, ""Daddy, sure you right""|745|745|Hope I can come scoop you up 'round 7:45|Slide 'round with my drop top up or down, you down to ride?|Looked me in my eyes and told me, ""Daddy, sure you right""|745||[Verse 2]|Eyes can't hide your hate for me|Maybe you was made for the Maybelline|Spent so much tryna park the car|Barely got a tip for the maître d'|You head straight to the oyster bar|I tread light each time we speak|Play too rough, might break ya heart|And them glass shoes ain't made to walk|These lonely streets, unpaved, unscathed|Morning dew's giving you the coldest feet|Said that you was comin' through after dark|To look at the stars and hardly speak|This thing called love real hard for me|This thing called love is a God to me|And we all just God's property|So feel free to fulfill the prophecy|You might also like[Bridge]|Adam, Eve, apple trees|Watch out for the snakes, baby|Open streets, ocean breeze|We should get away, baby||[Chorus]|I'm in that 745|Hope I can come scoop you up 'round 7:45|Slide 'round with my drop top up or down, you down to ride?|Looked into my eyes and told me ""Daddy, sure you right""|745|745|Hope I can come scoop you up 'round 7:45|Slide 'round with my drop top up or down, you down to ride?|Looked me in my eyes and told me ""Daddy, sure you right""|7457Embed"
Vince Staples,Nate,2014,"Nate Lyrics[Verse 1]|As a kid all I wanted was to kill a man|Be like my daddy's friends, hopping out that minivan|Chrome '38s spinning like a ceiling fan|Crying on my momma's phone swearing he a different man|Talking to me monotone, hardly ever coming home|Knew he was the villain never been a fan of Superman|Beaten on my momma in the kitchen screaming:|""Bitch you better listen when I speak my mind!""|Used to think he was unbreakable he did fed time|But made sure a nigga plate was full and I shined|Was walking in the first day of school new J's, and all of that|Football was cornerback, never made a game I played for Compton High|But my daddy was the man that would be suicide|Picked me up from visitation in the newest ride|Always told me that he loved me, fuck his foolish pride|As a kid all I wanted was to kill a man|[Chorus]|Cause my daddy did it, eyes bloodshot|With the caddy tinted, fuck handouts|Fuck the county building, never seen that|Catch him riding round the city with the seat back|With the seat back, with the seat back|Catch him ride round the city with the seat back|With the seat back, with the seat back|Catch him ride round the city with the seat back||[Verse 2]|As a kid all I wanted was a hundred grand|Uncle counting money while my daddy cut him grams|Made me promise that this shit would never touch my hands|And it never did said it'd make me be a better man|Smoking in the crib, hiding dip inside of soda cans|Black bandana on his arm, needle in his hand|Momma trying to wake him up, young so I ain't understand|Why she wouldn't let my daddy sleep, used to see him stand|Out in the alley through my window|Drinking Hen' with his homies blowing cig' smoke|Lights flashing now he running from the Winslows|Hear him screaming from my momma at the backdoor|Sometimes she wouldn't open it, sitting on the couch|Face emotionless, I don't think they ever noticed that I noticed it|As a kid all I wanted a hundred grand|You might also like[Chorus]|Cause my daddy did it, eyes bloodshot|With the caddy tinted, fuck handouts|Fuck the county building, never seen that|Catch him riding round the city with the seat back|With the seat back, with the seat back|Catch him ride round the city with the seat back|With the seat back, with the seat back|Catch him ride round the city with the seat back||[Bridge: James Fauntleroy]|No, No, No, No|Niggas die everyday don't know how to live, don't know how to make sense|25 to life today just got locked away, all that just to pay rent|Now they're all bound on the slave ship|And they left behind their patience|Thought that'd last them for a little|Pass it down for my kin, ohh||[Chorus]|Cause my daddy did it, eyes bloodshot|With the caddy tinted, fuck handouts|Fuck the county building, never seen that|Catch him riding round the city with the seat back|With the seat back, with the seat back|Catch him ride round the city with the seat back|With the seat back, with the seat back|Catch him ride round the city with the seat back61Embed"
