rapper,song,year,lyrics
Warren G,Regulate,1994,"Regulate Lyrics[Produced by Warren G]||[Intro]|Regulators. We regulate any stealin' of his property. We’re damn good too. But you can’t be any geek off the street. You gotta be handy with the steel, if you know what I mean. Earn your keep. Regulators, mount up!||[Verse 1: Warren G & Nate Dogg]|It was a clear black night, a clear white moon|Warren G was on the streets tryin' to consume|Some skirts for the eve so I can get some funk|Rollin' in my ride, chillin' all alone|Just hit the east side of the LBC|On a mission tryna find Mr. Warren G|Seen a car full of girls, ain't no need to tweak|All you skirts know what's up with 213|So, I hooks a left on 21 and Lewis|Some brothers shootin' dice, so I said ""Let's do this!""|I jumped out the ride and said ""What's up?""|Some brothers pulled some gats, so I said ""I'm stuck!""|Since these girls peepin' me I'ma glide and swerve|These hookers lookin' so hard they straight hit the curb|Onto bigger, better things than some horny tricks|I see my homie and some suckas all in his mix|[Verse 2: Warren G & Nate Dogg]|I'm gettin' jacked, I'm breakin' myself|I can't believe they takin' Warren's wealth|They took my rings, they took my Rolex|I looked at the brothers, said ""Damn, what's next?""|They got my homie hemmed up and they all around|Can't none of them see him if they goin' straight pound-for-pound|They wanna come up real quick before they start to clown|I best pull out my strap and lay them bustas down|They got guns to my head, I think I'm goin' down|I can't believe it's happenin' in my own town|If I had wings I would fly, let me contemplate|I glanced in the cut and I see my homie Nate|Sixteen in the clip and one in the hole|Nate Dogg is about to make some bodies turn cold|Now they droppin' and yellin', it's a tad bit late|Nate Dogg and Warren G had to regulate||[Interlude]||[Verse 3: Nate Dogg & Warren G]|I laid all them bustas down, I let my gat explode|Now I'm switchin' my mind back into freak mode|If you want skirts, sit back and observe|I just left a gang of hoes over there on the curb|Now, Nate got the freaks and that's a known fact|Before I got jacked I was on the same track|Back up, back up, 'cause it's on|N-A-T-E and me, the Warren to the G|Just like I thought, they were in the same spot|In need of some desperate help|But Nate Dogg and the G child|Were in need of somethin' else|One of them dames was sexy as hell|I said, ""Ooh, I like your size!""|She said, ""My car's broke down and you seem real nice|Would you let me ride?""|I got a car full of girls and it's goin' real swell|The next stop is the Eastside Motel|You might also like[Interlude]||[Outro: Warren G & Nate Dogg]|I'm tweaking into a whole new era|G-funk, step to this, I dare ya|Funk on a whole new level|The rhythm is the bass and the bass is the treble|Chords, strings, we brings melody, G-funk|Where rhythm is life and life is rhythm|If you know like I know, you don't wanna step to this|It's the G-funk era, funked out with a gangsta twist|If you smoke like I smoke, then you're high like every day|And if yo' ass is a busta, 213 will regulate87Embed"
Warren G,Party We Will Throw Now,2012,"Party We Will Throw Now Lyrics[Chorus: Nate Dogg]|As I travel this lonely gangster road|Just me and my negroes|We still got bomb hydro|We just double independent|And the night falls that's when young girls go home|Big girls put on small clothes|A party we will throw|A party we will throw now||[Verse 1: The Game]|Yeah, all I need is the chronic to keep me fit|A bad bitch, a project apartment and 2 pits|Red chucks, a red Bic to keep my kush lit|Thank god for what I get but never really needed shit|I'm a hustler nigga, that's how I got this red Bentley|Slay the competition and told them that Dre sent me|Walk through the smoke like, ""what up loc""|Cause Warren got that bomb that kind that make me choke|We gonna twist up 8 for Nate, blow the smoke through the clouds|In hopes that it reaches the pearly gates|Now, how many niggas wanna throw up a dub|And be surrounded by the baddest bitches up in the club, yeah|It's the 'math blood, sixes on the ave cuz|Phantom got your girl pussy wetter than my bathtub|Fuck her all night, wake her up at 6|Lil mama grab your shit, get ghost|[Chorus: Nate Dogg]|As I travel this lonely gangster road|Just me and my negroes|We still got bomb hydro|We just double independent|And the night falls that's when young girls go home|Big girls put on small clothes|A party we will throw|A party we will throw now||[Verse 2: Warren G]|Click-clack what up, zig-zag run up|Knick-knack paddywhack, twisting up a fat sack|Tic tac toe up, I be in them streets like an|Intersection, I got connections, from every section|Critical, political, it's killer Cal'|Roll it up, now pass that shit around|My mental is cynical, original|Thinking you could see us, I'm like nigga how?|I'm in that diamond lane, I'm in that diamond chain|Glistenin', glowin', I'm sippin' liquor I'm blowin' zippers|My nigga, I'm on one, I'm twistin' the zone up|I'm sitting up low, my pistol shinin' my chrome up|My nigga Game got the gun load, one shot|Mix a nigga brain like some gumbo, uh, oh|All that tough talk nigga, what for?|Shut your scary ass up at the front door|You might also like[Chorus: Nate Dogg]|As I travel this lonely gangster road|Just me and my negroes|We still got bomb hydro|We just double independent|And the night falls that's when young girls go home|Big girls put on small clothes|A party we will throw|A party we will throw now||[Verse 3: Warren G]|Couldn't, nobody diss my nigga|Damn I miss my nigga, pour out a little liquor|Big Nate Dogg nigga, 2-1-3|From the city by the sea, where them Gs ride|Turn around baby let me listen to the b-side|Slap that, tap that, after that, East side|As I travel this road I see the street sign|Ready for whatever, Beretta's you know I keep mine||[Verse 4: The Game]|It's the L-B, C-P-T nigga we be|OG to BG, that's where the weed be|Killer (what?) Cali-forni-a|Eh, load the strap, hop into the six-trey|Snoop, what up loc?, I'm headed to the East side|G ride, throwin' up everything but the peace sign|Gold Daytonas, gangbang persona|Nigga trip, I'ma pop the top off his Corolla|[Chorus: Nate Dogg]|As I travel this lonely gangster road|Just me and my negroes|We still got bomb hydro|We just double independent|And the night falls that's when young girls go home|Big girls put on small clothes|A party we will throw|A party we will throw now19Embed"
Warren G,This D.J.,1994,"This D.J. Lyrics[Hook: Warren G]|It's kind of easy when you listen to the G'd-up sound|Pioneer speakers bumpin' as I smoke on a pound|I got the sound fo' yo' ass and it's easy to see|That this D.J. be Warren G||[Verse 1: Warren G]|Can I get in where I fit in? Sit in, listen (uh-huh)|Let me conversate better yet Regulate|Shake the spot with my knot, may fade|'Cause I don't like to dream about gettin' paid|I played ball through the halls of CIS|With Snoop Dogg's big brother, call him Dirty Left|Rack 'em up, crack 'em up, stack 'em up against the gate|The homies tryin' ta catch me but they can't, wait|Damn, the street lights just came on!|And my momma's in the streets tellin' me to come home|I hit the gate and I hops on my Schwinn|And I tell the homies, ""Aight then,"" yeah|[Hook: Warren G]|It's kind of easy when you listen to the G'd-up sound|Pioneer speakers bumpin' as I smoke on a pound|I got the sound fo' yo' ass and it's easy to see|That this D.J. be Warren G||It's kind of easy when you listen to the G'd-up sound|Pioneer speakers bumpin' as I smoke on a pound|I got the sound fo' yo' ass and it's easy to see|That this D.J. be Warren G||[Verse 2: Warren G]|Verse two (uh-huh), now what the fuck I do?|Catch the bus to Cal State, or chill with the Voltron crew?|And make a few ends on the side|Here comes a baby blue van, time to ride|So I hops in the van with my nigga Tick|And Baby Poppa back then, that was my clique|We groovin' to Santa Ana|And we plan-on makin' hellafied mount of money (hell yeah)|And what I did for extra fees|Was break niggas after work playin' get like me|I was fourteen years old, havin' a sack|Just a young motherfucker eatin' ValuPaks|Shootin' dice in the corners of them public schools|And I used to gangbang, but now it's a G thang|And I still know how to make those ends|You don't believe me? go ask The Twinz, motherfucker|You might also like[Hook: Warren G]|It's kind of easy when you listen to the G'd-up sound|Pioneer speakers bumpin' as I smoke on a pound|I got the sound fo' yo' ass and it's easy to see|That this D.J. be Warren G||It's kind of easy when you listen to the G'd-up sound|Pioneer speakers bumpin' as I smoke on a pound|I got the sound fo' yo' ass and it's easy to see|That this D.J. be Warren G||[Interlude: O.G.L.B]|Yeah, check dis out, this is I'm O.G.L.B|Know what I'm sayin'? I'm on my little O.G. Warren G|And he just droppin' this to let you BG's know|What's happen, y'all got to recognize|'Cause this is y'know a Long Beach thang|21st Street, but check this out|G gonna go out there, ya know what I'm sayin'?|And handle that shit y'now? Yeah||[Hook: Warren G]|It's kind of easy when you listen to the G'd-up sound|Pioneer speakers bumpin' as I smoke on a pound|I got the sound fo' yo' ass and it's easy to see|That this D.J. be Warren G|It's kind of easy when you listen to the G'd-up sound|Pioneer speakers bumpin' as I smoke on a pound|I got the sound fo' yo' ass and it's easy to see|That this D.J. be Warren G||[Outro: Warren G]|Hey Greg, I hope you was tapin' that shit!11Embed"
Warren G,What’s Next,1994,"What’s Next Lyrics[Verse 1: Warren G]|This DJ, he gets down|Mixing records while they go round|To the hip to the hop, you just don't stop|Producing funky tracks til it makes you drop|Conjunction junction, whats my function?|I'm hookin up tracks so that niggas can function|It's not Pete Rock or that nigga Dr. Dre|It's this muthafuckin nigga from around the way|The one that brings you styles on timesy, whymsy|Thats why it's so hard to find me|Conduction, construction when I bust choo choo, bustas|It's a must when I bust when I bust, I gotta come correct|The R to the E to the S-P-ect architect|Yup nigga no I'm not tweaking|Its one of the sixteen minds that I'm speaking|The W-A the double R the E into the R|A-B-C-D-E-F to the muthafuckin G|Ooh shit as I flex I wrecks I checks|So what's next|[Verse 2: Mr. Malik]|Oh who's next, to catch wreck on the menu|I snap necks when I flex let me continue|Send you, on a mission when I rock|It goes on and on and on and you know it don't stop|Yes I'm back on another route, ready to take em all out|Now can't get with this, cause they get faded without a doubt|Check em, I wreck em like 1-2-3 why|They can't fuck with that rude one Malik|Will I drop it, can't stop it, lit it up like a rocket|When they get out of line I grip the nine out my pocket|Lock it down yeah that's what I do|How could you come solo nigga when I run through your whole crew|I rule, fool, act like you heard it|The one I run with, can't remember the last he murdered|Dem do away or dem get dealt with|Kill the noise I want silence, no bomboclat bullshit|Nigga, it's all about my grip|So the one who starts to slip is the one who gets ripped|Kept a chip on my shoulder not now that I'm older|They, all of me, the LBG high roller|Cause back in the days on the side where we sat|Niggas come up missing if they didn't have they strap|So why, try to be, like me|Just when you pull back a G and I think I'm Mr. Malik|You might also like[Hook]|Well if the beat is funkadelic then the tune is right|Mr. Malik and Warren G so tonight's the night that we spark|We spark in the dark when we do it in the park||[Verse 3: Mr. Malik(Warren G)]|Well its the A to the B (and the C to the D)|Hey my name is Mr. Malik with that DJ Warren G|(Mr. Malik can you hear me)|Yes I'm the host with the most they can't get close or even near me|(I said a tick, tock, ticking to the era)|I said a pick which Glock bitches get shot its still terror|(Terror, terror, pick which Glock)|Which one, (the black one with the big pin lock)|Me and Dre in a five hundred so those who wanna get dropped|Nigga go knock, knock I trick a flow non-stop|Fly double I never slip trip or flip flop|The tune is funkadelic, the crew was right|But if Malik will make you smell it then tonight's the night|For me to stay trump tight up with my nigga Warren G|That's sorrow when you borrow but you can't be oweing me|What's next||[Verse 4: Warren G]|I say what's next, what's next what's N-X-E-T|It's me, Warren to the muthafucking G|Flowing with my little homey named Malik|Yes everybody will just tweak|Off the new style ill ease that we got|Yes it's me Warren G on the block|Pump pump, block Glock, let me just tick tock|It's me Warren G on the muthafuckin rock-n-roll|Stroll, then stiff back to the rap|Its me with the big black mack eleven strap|So let me flix into the flex|Woo, so what's next|[Hook]|Well if the beat is funkadelic then the tune is right|Mr. Malik and Warren G so tonight's the night that we spark|We spark in the dark when we do it in the park3Embed"
Warren G,Do You See,1994,"Do You See Lyrics[Intro: Gil Scott-Heron]|The blues has always been totally American|As American as apple pie|As American as the blues|As American as apple pie|The question is why|Why should the blues be so at home here?|Well, America provided the atmosphere||[Verse 1]|You don't see what I see, every day as Warren G|I take a look over my shoulder, as I get older|Getting tired of mothafuckas saying, ""Warren I told ya""|You don't hear what I hear|But it's so hard to live through these years|With these funny-bunny niggas, ain't shit changing|Got my Mama wondering if I'm gang banging|But I don't pay attention to these father figures|I just handle mine, and I'm rolling with my niggas|Off to the VIP, you see Snoop Dogg and Warren G|Unbelievable how time just flies|Right before your eyes, but you don't recognize|Now who's the real victim, can you answer that|The nigga that's jacking or the fool getting jacked?|[Chorus]|You don't see what I see, every day as Warren G|You don't hear what I hear|But it's so hard to live through these years|You don't see what I see, every day as Warren G|You don't hear what I hear|But it's so hard to live through these years||[Verse 2]|Another sunny day, another bright blue sky|Another day, another muthafucka die|These are the things I went through when I was growing up|There's only one hood, and niggas shit be throwing up|And I knew it, there really ain't nothing to it|Thinking every fool's gotta go through it|Now let's go back, how far, back in time|Dragging to these hookas trying to mack for mine|I remember when we all used to stop at the spot|Back then my nigga-name was Snoop Rock|It was all so clear, '87, '88, then '89s the year|You say everywhere we roll, you can say we roll thick|Way back then 2-1-3 was the clique|Servin' to stay paid I was just a young hog|Warren G, Snoop Rock and Nate Dogg||[Chorus]|You don't see what I see, every day as Warren G|You don't hear what I hear|But it's so hard to live through these years|You don't see what I see, every day as Warren G|You don't hear what I hear|But it's so hard to live through these years|You might also like[Verse 3]|You make me wanna holla, get out the game|Too many muthafuckas know my name|While Snoop Dogg's serving time up in Wayside|I puts it down on the street, don't try to take mine|I had to reassure the homie that he wasn't alone|We'd talk, and him and Nate'd conversate on the phone|He kept saying, ""Nigga, it won't be long|Before a little skinny nigga like me'll be home""|I said ""Snoop, things done changed, it's not the same|We need to get up out the game|'Cause we can get paid in a different way|With you kicking dope rhymes and I DJ""|Well as time goes past, slowly we try to make it|But things are getting hectic, I just can't take it|Should I, A: Go back to slanging dope|Or should I, B: Maintain and try to cope|Or should I, C: Just get crazy and wild|But no, I chose D: Create the G-Child|It's been on ever since with me and Mista Grimm|This shit is getting so hectic that I can't even trust him now|What would you do for a Warren G cut|Would you act the fool and nut the fuck up|Back the fuck up, act the fuck up|Niggas talk shit they get smacked the fuck up, straight up|[Chorus]|You don't see what I see, every day as Warren G|You don't hear what I hear|But it's so hard to live through these years|You don't see what I see, every day as Warren G|You don't hear what I hear|But it's so hard to live through these years|You don't see what I see, every day as Warren G|You don't hear what I hear|But it's so hard to live through these years|You don't see what I see, every day as Warren G4Embed"
Warren G,Keep on Hustlin’,2015,"Keep on Hustlin’ Lyrics[Hook: Nate Dogg] x2|Keep on hustlin'|Can't stop gotta claim what's mine|If I lose my grip on the game|No more bud, no more cash, no more dames|(No, no more hoes)||[Verse 1: Warren G]|I'm realizing my struggle for what it is and taken|And what belong to me and my responsibility|Keep my enemies close cause they the ones that get me|In a minute they'll be trying to pump a gauge in me|Leave the other ""G"" committee|Funkadelic better tell it to the fellas I ain't the one to be played with|If you think you gon' be testing you sure in for a lesson|That's forever session I'm blessing to be the don|By the time you get the message outta this one I'll be dipping|Dipping the streets of LBC|Its been a long time stepping up to the plate now|I'm new and improved plus I drive a new Bent' now|My family straight, plus my homies in the game now|Living it straight, Long Beach the pen state|Bounce, rock, roller-skate|(Them niggas know they can't fuck with Warren G and Nate)|[Hook] x2||[Verse 2: Jeezy]|(Yeah, let's go)|Rest in peace Nate Dogg, I'll meet you at the gate (yeah)|Pac was alive, life still'll be great (yeah)|District attorney, go ahead and free Lil Boosie (Boosie)|B.I.G was alive, everybody need some juicy (right)|Tell me the difference between Suge and Puff|While you at it, tell me the difference between weed and dust|My hustle don't stop it's around the clock|My paranoia don't stop, hands around the Glock (that's right)|Some of the shit I say man a nigga might kill me (kill me)|It's all good long as you motherfuckers feel me|What the fuck is going on niggas acting like I owe them (owe em')|Think I can't do it by myself, but I'ma show em' (yeah)|Went from Air Force 1's to white Dolce Gabbanas|Nigga ain't shit changed, I'm still keeping them llamas|Yeah I use to cop them white ass bricks when they was high (high)|GS400 Lexus when they was fly (yeah)|It don't stop nigga (it don't stop nigga)||[Hook] x2||[Verse 3: Bun B]|Welcome to the ghetto (to the ghetto) just like my home boy Chico|Where everyday the block is on lock like Steve Biko|Everyday brothers getting hit up with the R.I.C.O|I see CE from PAT to CPT|You know they can't stand to see me ""G""|Getting my hustle on in these streets|Meeting my ends meet (meet)|So they hate on me behind my back|Hoping that one time flash lights behind my lac|They say its no pain no gain (gain) well guess what then (then)|I hurting bad as hell but it ain't for nothing ('thin)|Once I climb up out of this whole I been stuck in|The doors they kept me out they gone let me the fuck in (in)|I didn't come this far for me to quit now (now)|So I'ma make sure I get all I can get now (now)|Cause tomorrow might be my last|That's why I'm stacking everything I can before I pass|I gotta...|You might also like[Hook] x23Embed"
Warren G,So Many Ways,1994,"So Many Ways Lyrics[Intro: Lady Levi]|Hey, nah ya goin miss up on the G-Funk era|Ya know we said things won for Warren G, him soon turned superstar||[Verse 1: Warren G]|11-10-70 that was my intro|But now in 94, I'm rollin a 64|Cuz things get shady where the grass is greener|Niggas throwin up sets in hoods like they neva seen a|Young mack daddy do his thing cuz I pack right|I got 44 ways to make you act right|And its a shame how the game must be played|It was told never fold by the niggas you can't fade|So raise up off this young hog|Cuz I heard you punkin some but you can't punk me dog|I got my own thang cuz I let my nuts hang|If you wanna bring it, bring it on no pain no gain|So as I creep can you peep what I speak|Techniques unique, so what you sayin is obsolete|So there it is as I go about my days|I can only bring it to you like this in so many ways|[Chorus: Lady Levi]|Some homies are bad minded|Cannot take them for no friend|I’m sure they’re illegal (in so many ways)|Sure they’re illegal (in so many ways)|Cause I borrow, then they’ll borrow but I lend them a violin|I’m sure they’re illegal (in so many ways)|Sure they’re illegal (in so many ways)||[Interlude: Warren G]|Hey, hey, hey this is Warren G you know|And I was in Baghdad|Before these lil youngstaz was in they Daddy bag|Ya know, yeah, they in violation Wayniac so handle em||[Verse 2: Wayniac]|Its all plain and simple|I roll just to serve a lifetime wit my niggas|Idiotic fools can't figure|The way I display or should I say more than that|Its crucial when I name how many niggas got my back|Neva lack, the skills when its time to handle mine|You can't front if you wanna but you still know the time|I'm, the nigga that they call Wayniac (what that mean)|I'm the nigga stayin down for the home team|So if you didn't know let me slow ya roll|This pro is on the go with some shit you ain't heard before|So recognize game in your face|A touch of the bass then I'm gone without a trace|You might also like[Chorus]|People Warren G rhyme wit are gone put you on front lines|I’m sure they’re illegal (in so many ways)|I’m sure they’re illegal (in so many ways)|Cause me kofi drop the dime for officer not serve the time|I’m sure they’re illegal (in so many ways)|I’m sure they’re illegal (in so many ways)||[Verse 3: Warren G]|I stay true to the game|But some stay blind to the fact|That if I don't look good, you dont look good|So please rearrange and change the shit you doin|You fuckin yourself cuz you the one gettin screwed|As I, ease on down the brick road|As I shift from first to second, cruise control|So blaze up the buddha|Cuz I got drink, and dont think|We dont roll without a full tank|Of that bomb ass shit called the funk|Cuz I am the G and the funk is what you want|Now, lets take a trip to the other side of town|Niggas flip flop and they never stay down|Wanna be all they can be, but gettin held back|Tryin to take what is mine, (what) what type of shit is that?|So, this is for the homies stay down for your pay|I can only bring it to you like this in so many ways|[Chorus]|Some homies are bad minded, cannot take them for no friend|I’m sure they’re illegal (in so many ways)|Sure they’re illegal (in so many ways)|Cause I borrow, then they’ll borrow but I lend them a violin|I’m sure they’re illegal (in so many ways)|Sure they’re illegal (in so many ways)3Embed"
Warren G,I Want it All,1999,"I Want it All Lyrics[Intro]|What's up negros and negrettes?|It's your boy Warren G|You know what I'm saying?|Chillin' with the home boy Mack 10|And we gon' lay a lil' sumpin' down for y'all|Let y'all know what time it is|Show you how we keepin' it real wit' it|You know, cuz this world is built on material thangs|But we ain't trippin' off that|We want y'all to know this, check it|[Hook]|I want it all; money, fast cars|Diamond rings, gold chains and champagne|Shit, everydamn thing|I want it all; houses, expenses|My own business, a truck, hmm, and a couple o' Benz's|I want it all; brand new socks and drawls|And I'm ballin everytime I stop and talk to y'all|I want it all, all, all, all|I want it all, all, all, all, all||[Verse 1]|They say, 'There go Warren G with that envious stare'|I love this game too much, I wish these haters wasn't here|It's a shame, we came too far to turn back|It's a cold world, it gets so hard, you learned that|]From falling, tryin' to walk from crawl|Tryin' to hustle up from broke to ballin'|And, yeah, y'all in effect that's all me|The jiggy G-Z, all my niggas that keep it real and do it easy|Believe me, young nigga, fat meat is greasy|And shit stank, so if you plot a lick and hit a bank|And get away, or get gaffled, the very next day|Don't cry, hold your head up high|And remember what you told yourself, nigga|I said remember what you told yourself, nigga|I said remember what you told yourself, nigga|I said remember what you told yourself, nigga|You might also like[Hook]|I want it all; money, fast cars|Diamond rings, gold chains and champagne|Shit, everydamn thing|I want it all; houses, expenses|My own business, a truck, hmm, and a couple o' Benz's|I want it all; brand new socks and drawls|And I'm ballin everytime I stop and talk to y'all|I want it all, all, all, all|I want it all, all, all, all, all||[Verse 2: Mack 10]|I want it all, so I got to wake up and ball|And thanks to y'all, I got plaques on the wall|Mack 10 laced with the know how to paper chase|Crushed ice, throw my Rollie face in the platinum fan base|]From net workin' and hustlin', no doubt, I got clout|And live the lifestyle that Robin Leach talkin' about|Slow down player, don't hate cuz you can't relate|The Bently Coupes and kickin' gears on Harley's with the straights|I got more lime light than Vegas on cable|Will it enable to shoot C-Note ""Yo's"" at the crap table|And while you can't get off the ground, I'm getting high|A nigga fly and fly, with the desire to build an empire|I strapped up and took flight like a missle|Told them loud and clear as a whistle 'Hoo Bangin' is official'|Handing out gold medallions at roll-call|I'ma ball and never fall cuz Mack 10 want it all|What|[Hook]|I want it all; money, fast cars|Diamond rings, gold chains and champagne|Shit, everydamn thing|I want it all; houses, expenses|My own business, a truck, hmm, and a couple o' Benz's|I want it all; brand new socks and drawls|And I'm ballin everytime I stop and talk to y'all|I want it all, all, all, all|I want it all, all, all, all, all||[Verse 3: Warren G + Mack 10]|Me and 10 get paid escapade to the spot|We hot like rocks served on hot blocks|I notice money make the world circulate|So we gon' stack and stack and take a sip and perculate|Bump, let the woofers sub (sub), show the homies love (love)|Warren to the G (G), and Little G-Dub (Dub)|Surface on the low, slide or don't slide at all|Ride or don't ride at all|Warren, I couldn't be more serious about my 'fetti|I stay tight on the mic and keep the pen movin' steady|I want it all, dog, and it might be greed|I hate to trip, but I got two little mouths to feed|They don't know nuttin' about no excuses and disrespect|Or somebody bein' jank with they Daddy's royalty check|And at that point, I'm through talkin', dog, enough said|So, if you owe Mack money, then I suggest you break bread|I want it all||[Hook]|I want it all; money, fast cars|Diamond rings, gold chains and champagne|Shit, everydamn thing|I want it all; houses, expenses|My own business, a truck, hmm, and a couple o' Benz's|I want it all; brand new socks and drawls|And I'm ballin everytime I stop and talk to y'all|I want it all, all, all, all|I want it all, all, all, all, all|I want it all; money, fast cars|Diamond rings, gold chains and champagne|Shit, everydamn thing|I want it all; houses, expenses|My own business, a truck, hmm, and a couple o' Benz's|I want it all; brand new socks and drawls|And I'm ballin everytime I stop and talk to y'all|I want it all, all, all, all|I want it all, all, all, all, all|I want it all; money, fast cars|Diamond rings, gold chains and champagne|Shit, everydamn thing|I want it all; houses, expenses|My own business, a truck, hmm, and a couple o' Benz's|I want it all; brand new socks and drawls|And I'm ballin everytime I stop and talk to y'all|I want it all, all, all, all|I want it all, all, all, all, all||[Warren G]			[Mack 10]|Mack 10				What up? I know|The paper's out there, ha ha	Yeah, Warren G|What up?			You know|The paper's out there, ha ha	Yeah|G Funk 				What up? You know|The paper's out there, ha ha 	That's right|What? Hoo Bangin'		What up?  We know|The paper's out there, ha ha	That's right, what?|The whole world|Paper's out there		Speak on it|Ha ha|Wrong:  All the hood|Right:  All the hood rats	What up? You know|Paper's out there3Embed"
Warren G,What’s Love Got to Do With It,1997,"What’s Love Got to Do With It Lyrics(Album Version Dirty)||* Intro Ooh, yeah, yeah|What's love got to do|Warren G, rap for me, yeah-eah, yeah, mm mm||* Verse 1|When G-dog, the hog, come up in the place|It's dollar signs in your eyes and a smile in your face|You wanna live fat, off of my sack|You got more drag than a low lo-do, cut the act|Cause back before '92 and '93|You didn't give a damn about Warren G|But now that I'm slingin' platinum LP's|All of a sudden, you on my N.U.T's|Ain't nothin' you can do to make it stop|Cause money makes the world go 'round and the panties drop|I ain't in love though, I don't need the pressure|I just wanna dig it like I'm diggin' for treasure|Some of y'all had a good thing that you couldn't keep|Thought you was TLC, you had to creep|You say you had love, I said you bullshiting|It's all about the dough, so what's love got to do with it?|* Chorus What's love got to do, got to do with it (that's right)?|What's love if you don't respect the game (uh-huh)?|What's love got to do, got to do with it?|If you lack in this game, it's a shame, you won't make it||* Verse 2|Now, I'm the type of brother that's down for mines|Before I made beats, I was down the grind|Back then, every single homey had my back|Now they're peepin' my stack and they're talkin' bout jack|But I'm the same brother day in and day out|And I'm-a stay that way until the day I lay out|In a casket, it's drastic, cause homies is plastic|Break 'em off some bread, they want the whole damn basket|If you's a true homey, you would wish me well|Not plot to make a brother bail, jealous as hell|We used to get the same riches|Now your trigger-finger got the itches, schemin' on my riches|Which is, not a suprise, my eyes peep game|211's, 187's it's all the same|It's all a shame, homies'd jack you for your grip|Ain't no love involved, because it's all about the chips||* Repeat chorus||* Verse 3|Now for these labels tellin' fables|Makin' the fucked-up deals under the tables|You think that you smart, but, fool, I'm the smartest|You can't make no money if you can't keep an artist|Sign the dotted line, put 'em on the shelf|Break 'em off some crumbs, keep the rest for yourself|I know how it goes, treat an artist like a ho|Fly cars, gold, clothes, but no dough|Since it's all business, I'm-a handle mine|Keep track of my stack down to the very last dime|Cause in this rap game, it's all about the buck|You bend over for the label and you will get fucked|Like how we run up in them trick, and then you're through|The record label do the same shit to you|90% business, 10% show|Ain't no love in this game, cause it's all about the dough|You might also like* Repeat chorus2Embed"
Warren G,I Need a Light,,"I Need a Light Lyrics[Chorus: Nate Dogg]|I need a light (Light)|So I can smoke away this pain|I need a drink (Drink)|So I can drink away this rain|Maybe a wife (Wife)|Somebody to share my name|I need a song (Ooh)|A brand new song to sing||[Verse 1: Warren G]|Long Beach back in the day was all hustlin'|Young niggas in the neighborhood strugglin' (Wassup?)|Prayin' to God we amount to somethin'|By living on the street where they constantly bustin' (Pa-dow)|Big Warren told us that they can't hold us|Niggas ain't shit 'til they pass away, so I|Watched my step, but when Ola Mae left|I was a motherfucking basket case, for real|God bless me|'Cause I be on the east where they wanna arrest me (Freeze)|I break bread, so they wanna suspect me|But look me in my eyes and say they wanna protect me, yeah|Ruthless, my style as a juvenile|Ran with a gang, got me a profile|As a child in the Beach I was wild|Ready to die and that's why|[Chorus: Nate Dogg]|I need a light (Light)|So I can smoke away this pain|I need a drink (Drink)|So I can drink away this rain|Maybe a wife (Wife)|Somebody to share my name|I need a song (Ooh)|A brand new song to sing||[Verse 2: Warren G]|Could it be it was all so simple? Dropping a slick instrumental|Snoop busting 'bout the shit we went through|Nate singing 'bout the city we came from|And niggas so tight, wasn't nothing we wouldn't do|Time keep slipping, but I ain't tripping, nigga|It's all about my children|So you can save that bullshit|'Cause if I pull my shit, nigga I'ma kill you|The streets is watching|And niggas fell victim from L.A. to Watts and Compton|But life goes on|It's just another song if you ain't the one gone, listen|Ruthless, my style as a juvenile|But now I got a brand new G-Child|Big Warren gotta stay Trump tight|'Cause he got to fly and that's why|You might also like[Chorus: Nate Dogg & Warren G]|I need a light (Light)|So I can smoke away this pain|I need a drink (Drink)|So I can drink away this rain|Maybe a wife (Wife)|Somebody to share my name|I need a song (Ooh)|A brand new song to sing (Listen)||[Verse 3: Warren G]|Caviar wishes (Wishes), twisting stitches (Stitches)|All out race for the riches|Got a nigga missing what rich is|And what a life mean when you do it for the kids (That's right)|It's for my family y'all|Really the only one who understand me y'all|'Cause it ain't hard to ball|But then who got ya back when it's time to fall?|And it's amazing|To stay up on top, your game so close to the pavement|Time brings change in mind|But then don't let the change bring your mind no time|Clearly, a conspiracy|Niggas right near me and still ain't hearing me (Hello?)|That's how it's always gon' fly|'Til you ready to die and that's why|[Chorus: Nate Dogg]|I need a light (Light)|So I can smoke away this pain|I need a drink (Drink)|So I can drink away this rain|Maybe a wife (Wife)|Somebody to share my name|I need a song (Song)Embed"
