rapper,song,year,lyrics
XXXTENTACION,SAD!,2018,"SAD! Lyrics[Intro]|Yeah||[Chorus]|Who am I? Someone that's afraid to let go, uh|You decide if you're ever gonna let me know (Yeah)|Suicide if you ever try to let go, uh|I'm sad, I know, yeah, I'm sad, I know, yeah|Who am I? Someone that's afraid to let go, uh|You decide if you're ever gonna let me know (Yeah)|Suicide if you ever try to let go, uh|I'm sad, I know, yeah, I'm sad, I know, yeah|[Verse]|I gave her everything|She took my heart and left me lonely|I think broken heart's contagious|I won't fix, I'd rather weep|I'm lost then I'm found|But it's torture bein' in love|I love when you're around|But I fuckin' hate when you leave||[Chorus]|Who am I? Someone that's afraid to let go, uh|You decide if you're ever gonna let me know (Yeah)|Suicide if you ever try to let go, uh|I'm sad, I know, yeah, I'm sad, I know, yeah|Who am I? Someone that's afraid to let go, uh|You decide if you're ever gonna let me know (Yeah)|Suicide if you ever try to let go, uh|I'm sad, I know, yeah, I'm sad, I know, yeah||[Instrumental Bridge]||[Chorus]|Who am I? Someone that's afraid to let go, uh|You decide if you're ever gonna let me know (Yeah)|Suicide if you ever try to let go, uh|I'm sad, I know, yeah, I'm sad, I know, yeah|Who am I? Someone that's afraid to let go, uh|You decide if you're ever gonna let me know (Yeah)|Suicide if you ever try to let go, uh|I'm sad, I know, yeah, I'm sad, I know, yeahYou might also like1.4KEmbed"
XXXTENTACION,Jocelyn Flores,2017,"Jocelyn Flores Lyrics[Intro: Shiloh Dynasty]|I know you so well, so well|I mean, I can do anything that he can|I've been pretty—||[Bridge: XXXTENTACION & Shiloh Dynasty]|I know you're somewhere, somewhere|I've been trapped in my mind, girl, just holding on|I don't wanna pretend we're something, we're nothing|I've been stuck thinking 'bout her, I can't hold on (I'll be feeling)|[Verse: XXXTENTACION]|I'm in pain, wanna put ten shots in my brain|I've been trippin' 'bout some things, can't change|Suicidal, same time I'm tame|Picture this, in bed, get a phone call|Girl that you fucked with killed herself|That was this summer when nobody helped|And ever since then, man, I hate myself|Wanna fuckin' end it, pessimistic|All wanna see me with no pot to piss in|But niggas been excited 'bout the grave I'm diggin'|Havin' conversations 'bout my haste decisions|Fuckin' sickenin'; at the same time|Memories surface through the grapevine|'Bout my uncle playin' with a slip knot|Post-traumatic stress got me fucked up|Been fucked up since the couple months they had a nigga locked up||[Chorus: XXXTENTACION & Shiloh Dynasty]|I'll be feelin' pain, I'll be feelin' pain just to hold on|And I don't feel the same, I'm so numb|I'll be feelin' pain, I'll be feelin' pain just to hold on|And I don't feel the same, I'm so numb|[Outro: Shiloh Dynasty]|I know you so well (I know you, girl)|I mean, I can do better than he can|I've been pretty—|I know you so wellYou might also like807Embed"
XXXTENTACION,Look At Me!,2015,"Look At Me! Lyrics[Intro]|Ayy, I'm like, ""Bitch, who is your mans?"" (Ayy)|Can't keep my dick in my pants (Ayy)|My bitch don't love me no mo' (Ayy)|She kick me out, I'm like, ""Vro""|[Interlude]|Damn, son, where'd you find this?|Yah, ayy|Yah, ayy, yah|Ayy, haha, yah, yah, yah|Ayy|Ayy, ayy, ayy|[Verse 1]|I'm like, ""Bitch, who is your mans?"" (Ayy)|Can't keep my dick in my pants (Ayy)|My bitch don't love me no mo' (Ayy)|She kick me out, I'm like, ""Vro"" (Ayy)|That bitch don't wanna be friends (Ayy)|I gave her dick, she amen (Ayy)|She put her tongue on my dick (Ayy)|Look at my wrist, about ten (Ayy)|Just got a pound of the boof (Ayy)|Brought that shit straight to the booth (Ayy)|Tommy my Hilfiger voots (Ayy)|She said, ""Wan' fuck?"" Bitch, I do (Ayy)|You put a gun on my mans (Ayy)|I put a hole in your parents (Ayy)|I just got lean on my Ksubis (Ayy)|I got a Uzi, no Uzi||[Chorus]|Fuck on me, look at me, ayy|Fuck on me, yah, look at me, ayy|Look at me, look at me, yah|Fuck on me, yah, ayy|Look at me, yah, fuck on me|Look at me, fuck on me, yah|Look at me, fuck on me|Yah, ayy|You might also like[Interlude]|Tell these fuck niggas, voot me up, pipe up|Ayy, shouts out Bans and them, ayy||[Verse 2]|I took a white bitch to Starbucks|That little bitch got her throat fucked|I like to rock out, I'm misfit|My emo bitch like her wrist slit|Curly hair bitch like I'm Corbin|Got like three bitches, I'm Mormon|Skeet on your main bitch's forehead|Don't want your pussy, just want head||[Chorus]|Look at me, fuck on me|Look at me, fuck on me|Look at me, fuck on me|Look at me, yah, ayy!|Look at me, fuck on me|Look at me, fuck on me|Look at me, fuck on me|Look at me, yah!661Embed"
XXXTENTACION,Fuck Love,2017,"Fuck Love Lyrics[Intro: Trippie Redd]|Ooh||[Pre-Chorus: Trippie Redd]|Baby, I need you in my life, in my life|Please, bae, don't go switchin' sides, switchin' sides|I swear this is where you reside, you reside|Please, bae, don't go switchin' sides, switchin' sides, yeah-yeah-yeah-yeah||[Chorus: Trippie Redd, Trippie Redd & XXXTENTACION]|Ooh-ooh, please don't throw your love away, huh|Please don't throw your love away, huh|Please don't throw your love away, huh|Yeah, yeah, yeah, ayy|[Verse: XXXTENTACION]|I'm nauseous, I'm dyin'|(She ripped my heart right out)|Can't find her, someone to—|(My eyes are all cried out)|Lost it, riots|Gunfire inside my head, I've|Lost it, riots|Gunfire inside my head||[Pre-Chorus: Trippie Redd]|Baby, I need you in my life, in my life|Please, bae, don't go switchin' sides, switchin' sides|I swear this is where you reside, you reside|Please, bae, don't go switchin' sides, switchin' sides, yeah-yeah-yeah-yeah||[Chorus: Trippie Redd, Trippie Redd & XXXTENTACION]|Ooh-ooh, please don't throw your love away, huh|Please don't throw your love away, huh|Please don't throw your love away, huh, yeah, yeah, ye—You might also like414Embed"
XXXTENTACION,Revenge,2017,"Revenge Lyrics[Intro]|I think I, I think I finally|Found a way to forgive myself|From mistakes I made in my past|I think that's the first step, right?|You agree?||[Verse]|I've dug two graves for us, my dear|Can't pretend that I was perfect, leavin' you in fear|Oh, man, what a world, the things I hear|If I could act on my revenge, then, oh, would I?|Some kill, some steal, some break your heart|And you thought that I would let it go and let you walk|Well, broken hearts break bones, so break up fast|And I don't wanna let it go, so in my grave I'll rot|I've dug two graves for us, my dear|Can't pretend that I was perfect, leavin' you in fear|Oh, man, what a world, the things I hear|If I could act on my revenge, then, oh, would I?|Some kill, some steal, some break your heart|And you thought that I would let it go and let you walk|Broken hearts break bones, so break up fast|And I don't wanna let it go, so in my grave I'll rot|[Chorus]|In my grave, I'll rot|In my grave, I'll rot|In my grave, I'll rot-ot-ot|In my grave, I'll rot|In my grave, I'll rot-ot-ot|In my grave, I'll rot||[Outro]|In my grave, I'll rot|I'll rot, I'll rot, I'll rot|Is my pain your freedom?|Is all of my pain your freedom?|EnjoyYou might also like349Embed"
XXXTENTACION,​changes,2018,"​changes Lyrics[Chorus: XXXTENTACION]|Mmm, baby, I don't understand this|You're changing, I can't stand it|My heart can't take this damage|And the way I feel, can't stand it|Mmm, baby, I don't understand this|You're changing, I can't stand it|My heart can't take this damage|And the way I feel, can't stand it|Mmm, baby, I don't understand it|[Bridge: PnB Rock]|Girl, you're makin' it hard for me|Girl, you're makin' it hard for me|Girl, you're makin' it hard for me|Mmm, ohh|Girl, you're makin' it hard for me|Girl, you're makin' it hard for me|Girl, you're makin' it hard for me||[Chorus: XXXTENTACION & PnB Rock]|Mmm, baby, I don't understand this|You're changing, I can't stand it|My heart can't take this damage|And the way I feel, can't stand it|Mmm, baby, I don't understand this|You're changing, I can't stand it|My heart can't take this damage|And the way I feel, can't stand it|Mmm, baby, I don't understand this||[Outro: XXXTENTACION]|You're changing, I can't stand it|My heart can't take this damage|And the way I feel, can't stand it|Mmm, baby, I don't understand itYou might also like327Embed"
XXXTENTACION,Moonlight,2018,"Moonlight Lyrics[Intro]|Yeah||[Chorus]|Spotlight, uh, moonlight, uh|Nigga, why you trippin'? Get your mood right, uh|Shawty look good in the moonlight|All these pussy niggas so bad mind|Spotlight, moonlight|Nigga, why you trippin'? Get your mood right|Shawty look good in the moonlight|All these pussy niggas so bad mind|Spotlight, uh, moonlight|Nigga, why you trippin'? Get your mood right, uh|Shawty look good in the moonlight|All these pussy niggas so bad mind|Spotlight, moonlight|Nigga, why you trippin'? Get your mood right|Shawty look good in the moonlight|All these pussy niggas so bad mind|[Verse]|Feel like I'm destined|I don't need no Smith & Wesson, no|Boy, who you testin'?|Fuck a Scantron, here's your lesson, oh|Knife in intestine|Takin' shots at all your brethren, no|Feel like I'm damaged|Girl I know you fucking planned this||[Bridge]|All alone, call my phone, make me feel right|Girl you know when you call, make me feel right|All alone, call my phone, make me feel right|Girl you know when you call, make me feel right||[Chorus]|Spotlight, uh, moonlight, uh|Nigga, why you trippin'? Get your mood right, uh|Shawty look good in the moonlight|All these pussy niggas so bad mind|Spotlight, moonlight|Nigga, why you trippin'? Get your mood right|Shawty look good in the moonlight|All these pussy niggas so bad mind|Spotlight, uh, moonlight|Nigga, why you trippin'? Get your mood right, uh|Shawty look good in the moonlight|All these pussy niggas so bad mind|Spotlight, moonlight|Nigga, why you trippin'? Get your mood right|Shawty look good in the moonlight|All these pussy niggas so bad mindYou might also like376Embed"
XXXTENTACION,Everybody Dies in Their Nightmares,2017,"Everybody Dies in Their Nightmares Lyrics[Intro: Shiloh Dynasty]|Ooh, ahh, ahh, ahh|Don't go, don't go to sleep|Don't go, stay up and||[Chorus: XXXTENTACION]|Tired of feelin' like I'm trapped in my damn mind|Tired of feelin' like I'm wrapped in a damn lie|Tired of feelin' like my life is a damn game|Nigga really wanna die in the night time|[Verse: XXXTENTACION]|Only time I feel pain, when I'm feelin' love|That's why it's tatted on my face that I'm damn numb|Only tell you 'bout my mind when I'm all alone|That's why I'm never really 'lone in the night time|Change hoes like clothes, I can't get attached|'Cause these hoes fire starters like lit matches|I've been feelin' really lost, duckin' all attachments|I don't really go outside 'cause I hate traffic|I don't wanna go outside, get caught in traffic, traffic||[Bridge: Shiloh Dynasty]|Ooh, ahh, ahh, ahh|Don't go, don't go to sleep|Don't go, stay up and||[Chorus: XXXTENTACION]|Tired of feelin' like I'm trapped in my damn mind|Tired of feelin' like I'm wrapped in a damn lie|Tired of feelin' like my life is a damn game|Nigga really wanna die in the night time|Tired of feelin' like I'm trapped in my damn mind|Tired of feelin' like I'm wrapped in a damn lie|Tired of feelin' like my life is a damn game|Nigga really wanna die in the night time|Tired of feelin' like I'm trapped in my damn mind|Tired of feelin' like I'm wrapped in a damn lie|Tired of feelin' like my life is a damn game|Nigga really wanna die in the night time|Nigga really wanna die in the night time|Nigga really wanna die in the night time|Nigga really wanna die in the night time, uh|Nigga really wanna die in the night time, uh|Nigga really wanna die in the night time|You might also like[Outro: Shiloh Dynasty]|Don't go to sleep|Don't go, stay up with me|Don't go, don't go to sleep|Don't go, stay up and don't go to sleep|Ooh, ahh, ahh, ahh|Don't go, don't go to sleep|Don't go, stay up and don't294Embed"
XXXTENTACION,Hope,2018,"Hope Lyrics[Intro]|Yeah|Rest in peace to all the kids that lost their lives in the Parkland shooting, this song is dedicated to you||[Chorus]|Okay, she keep cryin', she keep cryin' every single night|Day and night, on my mind, please don't kill the vibe|Oh no, I swear to God, I be in my mind|Swear I wanna die, yeah, when you cross my—|Said I wanna die, yuh, no, I'm not alright, yuh|I might start a riot, yuh, I'm so fuckin' tired, yuh|So what's up? What you say? Feelin' good, I'm feelin' great|Tired of the fuckin' hate, stackin' cheese all on my plate|[Bridge]|So outside my misery, I think I'll find|A way of envisioning a better life|For the rest of us, the rest of us|There's hope for the rest of us, the rest of us||[Chorus]|Okay, she keep cryin', she keep cryin' every single night|Day and night, on my mind, please don't kill the vibe|Oh no, I swear to God, I be in my mind|Swear I wanna die, yeah, when you cross my—|Said I wanna die, yuh, no, I'm not alright, yuh|I might start a riot, yuh, I'm so fuckin' tired, yuh|So what's up? What you say? Feelin' good, I'm feelin' great|Tired of the fuckin' hate, stackin' cheese all on my plateYou might also like396Embed"
XXXTENTACION,​the remedy for a broken heart (why am I so in love),2018,"​the remedy for a broken heart (why am I so in love) Lyrics[Refrain]|Why am I so in love?|Why am I so in love?|Why am I so in love?|I don't know why||[Verse]|Steady tryin' to maintain|Same things that'll blow a bitch mind frame|My brain can't fathom what the hate say|He say, she say, how 'bout me say?|Get the Vis-a, headed to the islands A-S-A-P|What's that on my shawty wrist? That's a AP|I'm the type to save a bitch, C-A-P-E|Feelin' like ET, flyin' out of the Addy|Fuckin' on shawty, she baddie, casual convo then at it|I mean I'm better than better, maybe I'm lyin'|I'm sadder than most of y'all with the money and the freedom, nigga|What is money really worth if it ain't love?|I'ma find a perfect balance, it's gon' take time|I heard shawty still in love through the grapevine|Heard shawty still in love through the grapevine|Heard shawty in love through the grapevine|[Chorus]|Mix a little bit of weed with a little bit of cash|With a little bit of this, with a little bit of that|We gon' be al-, we gon' be al- (right)|We gon' be al- (right) we gon' be al-|Mix a little bit of weed with a little bit of cash|With a little bit of this, with a little bit of that|We gon' be al-, we gon' be alright|We gon' be al- (right) we gon' be al-|Mix a little bit of weed with a little bit of cash|With a little bit of this, with a little bit of that|We gon' be al-, we gon' be al (right)|We gon' be alright, we gon' be al-|Mix a little bit of weed with a little bit of cash|With a little bit of this, with a little bit of that|We gon' be al- (right) we gon' be al-|We gon' be al- (right) we gon' be al-||[Refrain]|Why am I so in love?|I don't know why|Why am I so in love?|I don't know why||[Bridge]|She said I, oh, I, am fallin' for you, fallin' for you|I, oh, I, am fallin' for you, fallin' for you|I, oh, I, am fallin' for you, fallin' for you|I, oh, I, am fallin' for you, fallin' for you|You might also like[Refrain]|Why am I so in love?|Why am I so in love?|Why am I so in love?|I don't know why|Why am I so in love?|Why am I so in love?|Why am I so in love?|I don't know why213Embed"
