text;canonical_form_1;canonical_form_2;canonical_form_3;category_1;category_2;category_3;severity_rating;severity_description
69;69;;;sexual anatomy / sexual acts;;;1;Mild
@55;ass;;;sexual anatomy / sexual acts;;;1;Mild
rat baztad;bastard;;;animal references;;;1.8;Strong
ape shit;ape;shit;;bodily fluids / excrement;;;1.6;Strong
ape shite;ape;shit;;bodily fluids / excrement;animal references;;1.6;Strong
blow a load;blow a load;;;bodily fluids / excrement;;;1.6;Strong
0ral seks;sex;;;sexual anatomy / sexual acts;;;1;Mild
bonk juice;bonk;;;bodily fluids / excrement;;;1.6;Strong
0rg@sm;orgasm;;;sexual anatomy / sexual acts;;;1;Mild
0rgasms;orgasm;;;sexual anatomy / sexual acts;;;1;Mild
choad nectar;choad;;;bodily fluids / excrement;;;2;Strong
4r5e;arse;;;sexual anatomy / sexual acts;;;1.4;Mild
4r5ed;arse;;;sexual anatomy / sexual acts;;;1.4;Mild
4r5es;arse;;;sexual anatomy / sexual acts;;;1.4;Mild
4skin;foreskin;;;sexual anatomy / sexual acts;;;1;Mild
5h17;shit;;;bodily fluids / excrement;;;1;Mild
5h1t;shit;;;bodily fluids / excrement;;;1;Mild
cock droplets;cock;;;bodily fluids / excrement;sexual anatomy / sexual acts;;2.4;Strong
a_s_s;ass;;;sexual anatomy / sexual acts;;;1;Mild
abbie;abraham;;;racial / ethnic slurs;;;1.2;Mild
cumball;cum;;;bodily fluids / excrement;;;2.4;Strong
aboe;abo;;;racial / ethnic slurs;;;1;Mild
anal;anal;;;sexual anatomy / sexual acts;;;1;Mild
cumdumpster;cum;;;bodily fluids / excrement;;;2.8;Severe
cumming;cum;;;bodily fluids / excrement;;;1.6;Strong
cumslut;cum;;;bodily fluids / excrement;other / general insult;;2.8;Severe
cumz;cum;;;bodily fluids / excrement;;;2;Strong
darkshit;shit;;;bodily fluids / excrement;racial / ethnic slurs;;3;Severe
dipsh1tty;shit;;;bodily fluids / excrement;;;1.6;Strong
dipshidiot;shit;;;bodily fluids / excrement;mental disability;;1.6;Strong
dipshite;shit;;;bodily fluids / excrement;;;1.6;Strong
anus;anus;;;sexual anatomy / sexual acts;;;1;Mild
dipshits;shit;;;bodily fluids / excrement;mental disability;;1.6;Strong
dipshitter;shit;;;bodily fluids / excrement;mental disability;;1.6;Strong
dipshitty;shit;;;bodily fluids / excrement;mental disability;;1.8;Strong
apeshit;ape;shit;;bodily fluids / excrement;racial / ethnic slurs;animal references;1.4;Mild
apeshite;ape;shit;;bodily fluids / excrement;racial / ethnic slurs;;1.4;Mild
ar5e;arse;;;sexual anatomy / sexual acts;;;1;Mild
ar5ehole;arse;;;sexual anatomy / sexual acts;;;1.4;Mild
arse;arse;;;sexual anatomy / sexual acts;;;1;Mild
dumbshit;shit;;;bodily fluids / excrement;;;1.6;Strong
arse hole;arse;;;sexual anatomy / sexual acts;;;1.2;Mild
dump a load;dump a load;;;bodily fluids / excrement;;;1.6;Strong
erectoplasm;erectoplasm;;;bodily fluids / excrement;;;1.8;Strong
fagshit;faggot;shit;;bodily fluids / excrement;sexual orientation / gender;;3;Severe
gay shit;gay;shit;;bodily fluids / excrement;sexual orientation / gender;;1.8;Strong
gobshite;shit;;;bodily fluids / excrement;;;1.8;Strong
jizz;jizz;;;bodily fluids / excrement;;;1.6;Strong
jizz-jockey;jizz;;;bodily fluids / excrement;;;2.2;Strong
jizzbags;jizz;;;bodily fluids / excrement;;;2.4;Strong
arsehole;arse;;;sexual anatomy / sexual acts;;;1.4;Mild
jizzed;jizz;;;bodily fluids / excrement;;;2;Strong
arsewipe;arse;;;sexual anatomy / sexual acts;;;1.4;Mild
jizzes;jizz;;;bodily fluids / excrement;;;2.2;Strong
ass;ass;;;sexual anatomy / sexual acts;;;1;Mild
jizzfucker;fuck;jizz;;bodily fluids / excrement;sexual anatomy / sexual acts;;2.6;Severe
jizzing;jizz;;;bodily fluids / excrement;;;1.6;Strong
jizzstain;jizz;;;bodily fluids / excrement;;;2.8;Severe
jizzy;jizz;;;bodily fluids / excrement;;;1.6;Strong
packing fudgehead;fudge packer;;;bodily fluids / excrement;sexual anatomy / sexual acts;sexual orientation / gender;1.8;Strong
sh1td1ck;shit;dick;;bodily fluids / excrement;;;2;Strong
sh1th3ad;shit;;;bodily fluids / excrement;mental disability;;2;Strong
sh1theads;shit;;;bodily fluids / excrement;other / general insult;;2;Strong
ass hole;ass;;;sexual anatomy / sexual acts;;;1.2;Mild
ass kisser;ass;;;sexual anatomy / sexual acts;;;1.2;Mild
shit face;shit;;;bodily fluids / excrement;physical attributes;;1.8;Strong
shit for brains;shit;;;bodily fluids / excrement;mental disability;;1.6;Strong
shit head;shit;;;bodily fluids / excrement;;;1.8;Strong
shit licker;shit;;;bodily fluids / excrement;sexual anatomy / sexual acts;;2;Strong
shit stain;shit;;;bodily fluids / excrement;;;1.8;Strong
shit-ass;shit;ass;;bodily fluids / excrement;;;2;Strong
asses;ass;;;sexual anatomy / sexual acts;;;1;Mild
shit-bandit;shit;;;bodily fluids / excrement;other / general insult;;1.6;Strong
shitbag;shit;;;bodily fluids / excrement;;;2;Strong
shitbird;shit;;;bodily fluids / excrement;;;1.8;Strong
shitblimp;shit;;;bodily fluids / excrement;physical attributes;;1.6;Strong
shitblimps;shit;;;bodily fluids / excrement;physical attributes;;1.6;Strong
shitbrain;shit;;;bodily fluids / excrement;;;2;Strong
shitdikk;shit;dick;;bodily fluids / excrement;;;2;Strong
shitdip;shit;;;bodily fluids / excrement;;;1.8;Strong
shiteblimps;shit;;;bodily fluids / excrement;;;1.8;Strong
shitefulls;shit;;;bodily fluids / excrement;;;1.8;Strong
shitehead;shit;;;bodily fluids / excrement;;;1.8;Strong
shitface;shit;;;bodily fluids / excrement;;;2;Strong
shitfreak;shit;;;bodily fluids / excrement;;;2;Strong
shitfudgefucker;fuck;shit;fudge packer;bodily fluids / excrement;other / general insult;;2.6;Severe
shithead;shit;;;bodily fluids / excrement;;;1.8;Strong
shitheads;shit;;;bodily fluids / excrement;;;1.8;Strong
